PropertyID,PropType,taxkey,Address,CondoProject,District,nbhd,Style,Extwall,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
848609,Residential,0040062000,9421 N MICHAEL CT,,9,0040,Colonial,Fiber Cement/Hardiplank,2,2006,11,"2,615",1,4,3,1,"16,588",2/13/2020,"$357,000"
859441,Residential,0040062000,9421 N MICHAEL CT,,9,0040,Colonial,Fiber Cement/Hardiplank,2,2006,11,"2,615",1,4,3,1,"16,588",10/15/2020,"$369,900"
848069,Residential,0040064000,9445 N MICHAEL CT,,9,0040,Colonial,Fiber Cement/Hardiplank,2,2006,10,"3,140",1,4,3,1,"10,607",1/24/2020,"$315,000"
849117,Residential,0040073000,9563 N MICHAEL CT,,9,0040,Ranch,Fiber Cement/Hardiplank,1,2010,7,"2,153",1,3,2,1,"10,607",2/28/2020,"$338,000"
859049,Residential,0049994000,9423 W COUNTY LINE RD,,9,0040,Cape Cod,Aluminum/Vinyl,1,1950,5,"1,103",1,3,1,0,"71,438",10/28/2020,"$184,000"
857377,Residential,0050016000,8603 W GLENBROOK RD,,9,0040,Ranch,Aluminum/Vinyl,1,1981,5,"1,007",1,3,1,1,"8,450",9/17/2020,"$145,000"
861369,Residential,0050017000,8611 W GLENBROOK RD,,9,0040,Ranch,Aluminum/Vinyl,1,1982,5,"1,007",1,3,1,0,"7,625",12/9/2020,"$139,990"
854422,Residential,0050095000,9306 N BURBANK AV,,9,0040,Colonial,Aluminum/Vinyl,2,2008,9,"2,224",1,4,2,1,"11,129",7/7/2020,"$275,000"
853710,Residential,0050103000,8228 W GLENBROOK RD,,9,0040,Ranch,Aluminum/Vinyl,1,1988,5,"1,241",1,3,1,1,"7,980",6/12/2020,"$174,000"
860634,Residential,0050109000,8120 W GLENBROOK RD,,9,0040,Colonial,Aluminum/Vinyl,2,1990,7,"2,076",1,3,2,1,"7,800",11/17/2020,"$285,000"
853576,Residential,0050121000,7938 W GLENBROOK RD,,9,0040,Townhouse,Wood,2,1990,10,"2,621",2,6,2,2,"7,650",6/22/2020,"$200,000"
859588,Residential,0050128000,7836 W ANGELA AV,,9,0040,,,0,0,NULL,NULL,0,NULL,0,0,"12,272",11/4/2020,"$10,000"
851572,Condominium,0070045000,"9228 N 70TH ST, Unit 9",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,7,"1,437",1,4,2,1,0,4/23/2020,"$89,900"
853643,Condominium,0070058000,"9280 N 70TH ST, Unit 1",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,7,"1,437",1,3,2,1,0,6/26/2020,"$90,000"
847931,Condominium,0070072000,"9282 N 70TH ST, Unit 9",NORTHRIDGE WOOD LAKE,9,5010,Condo Ranch,,1,1973,4,898,1,2,1,1,0,1/2/2020,"$64,900"
857956,Condominium,0070089000,"6967 W GLENBROOK RD, Unit 11",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,5,"1,437",1,3,2,1,0,9/30/2020,"$83,500"
858905,Condominium,0310228000,8973 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,,2,1973,5,"1,498",1,3,1,1,1,9/28/2020,"$119,000"
848678,Condominium,0310251000,9021 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,,2,1973,4,"1,295",1,2,1,1,1,2/6/2020,"$80,000"
859503,Condominium,0310256000,9031 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,,2,1973,7,"1,626",1,4,2,1,1,7/28/2020,"$125,000"
852805,Condominium,0310257000,9033 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,,2,1973,6,"1,401",1,3,2,1,1,5/15/2020,"$90,000"
851877,Condominium,0310266000,9051 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,,2,1973,5,"1,498",1,3,1,1,1,5/5/2020,"$110,000"
860182,Condominium,0310267000,9053 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,,2,1973,5,"1,498",1,3,1,1,1,11/9/2020,"$125,000"
862064,Condominium,0310290000,9111 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,,2,1973,4,"1,295",1,2,1,1,1,11/10/2020,"$104,900"
848417,Condominium,0310401000,"9036 N 70TH ST, Unit 1",NORTHRIDGE THE TREES,9,5030,Condo Townhouse,,2,1975,6,"1,420",1,3,2,1,0,2/3/2020,"$86,000"
854778,Commercial,0310421000,7400 W BROWN DEER RD,,9,6441,Medical Clinic,Concrete Block,2,1978,NULL,"7,444",4,NULL,0,0,"47,350",7/30/2020,"$600,000"
850308,Residential,0310473000,8885 N 70TH ST,,9,0040,Bi-Level,Wood,1,1980,7,"1,520",1,4,2,0,"7,467",3/20/2020,"$164,500"
863199,Commercial,0320161000,8260 W NORTHRIDGE MALL RD,,9,6202,Warehouse Building - 1 Story,Brick,1,1972,NULL,"14,650",1,NULL,0,0,"218,366",1/29/2020,"$160,000"
848604,Commercial,0320167000,8901 N GRANVILLE STATION RD,,9,6202,Strip Shopping Center,Brick,1,2005,NULL,"8,293",4,NULL,0,0,"48,352",1/30/2020,"$540,000"
855096,Commercial,0329997123,7800-7810 W BROWN DEER RD,,9,6453,Office Building - Multi Story ( Ofc & Apt),Brick,2,1973,NULL,"184,712",5,NULL,0,0,0,7/15/2020,"$13,300,000"
858977,Residential,0330001000,8711 W GREENBROOK DR,,9,0040,Ranch,Aluminum/Vinyl,1,1978,6,"1,327",1,3,1,1,"7,812",10/20/2020,"$200,000"
861487,Residential,0330034000,8933 N 86TH ST,,9,0040,Colonial,Aluminum/Vinyl,2,1980,6,"1,489",1,3,2,1,"7,860",12/14/2020,"$191,000"
