SR.No,Country/other,Total_cases,Total_deaths,Total_recovered,Active_cases,Serious_cases,Total_tests,Population
1,USA,107715650,1171803,105773383,770464,894,1181246915,334805269
2,India,44996198,531920,44462773,1505,0,930797975,1406631776
3,France,40138560,167642,39970918,0,869,271490188,65584518
4,Germany,38428685,174352,38240600,13733,0,122332384,83883596
5,Brazil,37739057,704897,36249161,784999,0,63776166,215353593
6,Japan,33803572,74694,0,0,83,100414883,125584838
7,S. Korea,33554474,35411,32904899,614164,185,15804065,51329899
8,Italy,25924308,191118,25617603,115587,21,274511572,60262770
9,UK,24651375,228429,24417914,5032,0,522526476,68497907
10,Russia,22980206,399897,22434058,146251,0,273400000,145805947
11,Turkey,17232066,102174,0,0,0,162743369,85561976
12,Spain,13914811,121760,13762417,30634,231,471036328,46719142
13,Australia,11737836,22466,11710252,5118,31,81916639,26068792
14,Vietnam,11622178,43206,10640381,938591,1,85826548,98953541
15,Taiwan,10241506,19005,10222501,0,0,30742304,23888595
16,Argentina,10057945,130527,9927418,0,363,35716069,46010234
17,Netherlands,8610372,22992,8587380,0,53,25984435,17211447
18,Mexico,7633355,334336,6885378,413641,0,20013810,131562772
19,Iran,7613208,146318,7373629,93261,15,56934517,86022837
20,Indonesia,6813095,161916,6646293,4886,0,114158919,279134505
21,Poland,6518324,119635,5335940,1062749,53,38813791,37739785
22,Colombia,6378000,142961,6190683,44356,342,36951507,51512762
23,Greece,6101379,37089,6064290,0,115,102228365,10316637
24,Austria,6081287,22542,6054934,3811,14,211273524,9066710
25,Portugal,5597751,27013,5568198,2540,61,46139518,10140570
26,Ukraine,5557995,112418,5445577,0,0,32603805,43192122
27,Chile,5289760,64497,5224904,359,9,49922924,19250195
28,Malaysia,5121276,37165,5070750,13361,4,68383011,33181072
29,Israel,4831302,12592,4798473,20237,21,41373364,9326000
30,Belgium,4803455,34376,4767713,1366,43,37018657,11668278
31,DPRK,4772813,74,4772739,0,0,0,25990679
32,Thailand,4755443,34437,4692636,28370,0,17270775,70078203
33,Canada,4699544,53216,4640125,6203,99,66343123,38388419
34,Czechia,4643277,42813,4600214,250,0,57246549,10736784
35,Peru,4517034,221364,4295670,0,26,38753114,33684208
36,Switzerland,4408039,14452,4392785,802,39,23833472,8773637
37,Philippines,4174101,66643,4103828,3630,162,35659012,112508994
38,South Africa,4076463,102595,3912506,61362,192,26795090,60756135
39,Romania,3410903,68259,3341143,1501,36,27782037,19031335
40,Denmark,3182652,8776,3173677,199,4,129315909,5834950
41,Hong Kong,2916493,13819,2898534,4140,28,76127725,7604299
42,Sweden,2712743,24536,2688207,0,8,19500873,10218971
43,Serbia,2544952,18057,2526481,414,0,13045481,8653016
44,Singapore,2518281,1841,2149583,366857,2,24756666,5943546
45,Iraq,2465545,25375,2439497,673,21,19544451,42164965
46,New Zealand,2441517,4647,2433678,3192,0,7768604,4898203
47,Hungary,2203315,48881,2152155,2279,2,11394556,9606259
48,Bangladesh,2044861,29475,1998448,16938,0,15254399,167885689
49,Slovakia,1866857,21167,1845690,0,2,7432749,5460193
50,Georgia,1848357,17116,1776548,54693,0,16920079,3968738
51,Jordan,1746997,14122,1731007,1868,59,17201885,10300869
52,Ireland,1715608,9128,1704983,1497,19,13083449,5020199
53,Pakistan,1581304,30661,1538689,11954,1,30571377,229488994
54,Norway,1486483,5620,1480547,316,20,11002430,5511370
55,Finland,1483607,10127,1472981,499,21,12101220,5554960
56,Kazakhstan,1411831,13848,1383020,14963,24,11575012,19205043
57,Slovenia,1344337,7100,1337079,158,8,2847701,2078034
58,Lithuania,1322146,9695,1312058,393,0,10471904,2661708
59,Bulgaria,1309999,38443,1270062,1494,9,11316621,6844597
60,Morocco,1275293,16297,1256151,2845,3,13001033,37772756
61,Croatia,1274154,18288,1255706,160,0,5623103,4059286
62,Guatemala,1273535,20241,1249857,3437,5,7593848,18584039
63,Costa Rica,1238883,9428,860711,368744,52,4659757,5182354
64,Lebanon,1238552,10936,1087587,140029,74,4795578,6684849
65,Bolivia,1206931,22399,1176182,8350,220,2710261,11992656
66,Tunisia,1153361,29423,0,0,44,5013383,12046656
67,Cuba,1115089,8530,1106484,75,2,14345940,11305652
68,Ecuador,1069114,36042,1032936,136,759,3082403,18113361
69,UAE,1067030,2349,1054525,10156,0,200732262,10081785
70,Panama,1047690,8657,1038881,152,16,7770470,4446964
71,Uruguay,1038774,7634,1030944,196,18,6114822,3496016
72,Mongolia,1010954,2179,1008765,10,192,4030048,3378078
73,Nepal,1003398,12031,991322,45,0,6047766,30225582
74,Belarus,994037,7118,985592,1327,0,13646641,9432800
75,Latvia,978270,6390,971406,474,0,7879673,1848837
76,Saudi Arabia,841469,9646,827923,3900,66,45481735,35844909
77,Azerbaijan,832036,10293,821731,12,0,7663893,10300205
78,Paraguay,813083,19983,0,0,7,2657506,7305843
79,Bahrain,724377,1567,722165,645,2,10892544,1783983
80,Sri Lanka,672572,16882,655682,8,0,6486117,21575842
81,Dominican Republic,667048,4384,644785,17879,4,3740928,11056370
82,Kuwait,666011,2570,660237,3204,0,8455743,4380326
83,Cyprus,660854,1364,659490,0,60,9640118,1223387
84,Myanmar,641112,19494,619919,1699,0,11071399,55227143
85,Palestine,621008,5404,615445,159,17,3078533,5345541
86,Moldova,620848,12126,504142,104580,49,3216305,4013171
87,Estonia,619467,3001,524990,91476,0,3730376,1321910
88,Venezuela,552695,5856,546537,302,31,3359014,29266991
89,Egypt,516023,24613,442182,49228,122,3693367,106156692
90,Qatar,514524,690,513687,147,16,4065369,2979915
91,Libya,507266,6437,500829,0,0,2483848,7040745
92,China,503302,5272,379053,118977,0,160000000,1448471400
93,Ethiopia,500991,7574,488165,5252,0,5563762,120812698
94,Réunion,486588,921,418572,67095,10,1603660,908061
95,Honduras,472619,11116,0,0,105,1660662,10221247
96,Armenia,449293,8751,435162,5380,0,3242901,2971966
97,Bosnia and Herzegovina,403053,16352,379084,7617,0,1884721,3249317
98,Oman,399449,4628,384669,10152,2,25000000,5323993
99,Zambia,349287,4069,341316,3902,0,4112961,19470234
100,North Macedonia,348374,9677,337068,1629,0,2226216,2081304
101,Kenya,343918,5689,337309,920,1,3967062,56215221
102,Albania,334726,3602,329428,1696,0,1941032,2866374
103,Botswana,330194,2801,327049,344,1,2026898,2441162
104,Luxembourg,319959,1232,316690,2037,0,4587145,642371
105,Brunei,310106,225,243601,66280,3,717784,445431
106,Montenegro,292026,2828,288700,498,6,2764972,627950
107,Algeria,271852,6881,183061,81910,0,230960,45350148
108,Nigeria,266675,3155,259953,3567,11,5708974,216746934
