parent_idx,child_idx
9,2
7,0
13,6
12,5
10,3
11,4
8,1
133,7
209,7
90,7
163,7
49,7
71,7
15,7
188,7
252,7
116,7
235,7
118,8
255,8
16,8
189,8
91,8
73,8
134,8
45,8
233,8
211,8
162,8
138,12
50,12
21,12
210,9
92,9
135,9
166,9
190,9
234,9
72,9
256,9
46,9
119,9
17,9
139,13
95,13
192,13
257,13
75,13
167,13
120,13
214,13
237,13
117,10
236,10
47,10
164,10
18,10
74,10
191,10
136,10
93,10
253,10
212,10
48,11
19,11
165,11
94,11
137,11
254,11
78,73
84,73
82,73
80,73
86,73
88,76
78,71
84,71
80,74
86,74
78,74
84,74
78,75
84,75
82,75
80,75
86,75
77,75
78,72
84,72
82,72
80,72
86,72
76,77
88,77
34,33
28,27
44,43
24,23
38,37
32,31
42,41
26,25
40,39
30,29
36,35
281,30
283,34
286,40
278,24
280,28
287,42
284,36
279,26
285,38
288,44
282,32
146,134
154,134
142,134
148,134
148,139
142,139
154,139
150,139
144,139
148,137
142,137
156,137
154,137
150,137
158,137
142,136
154,136
152,136
148,135
142,135
154,135
150,135
144,135
140,133
142,133
148,138
142,138
154,138
150,138
160,138
158,138
53,45
67,45
59,45
51,45
67,49
61,49
59,49
59,46
57,46
67,46
51,46
55,46
67,50
69,50
59,50
59,48
65,48
67,48
63,48
51,48
67,47
61,47
59,47
216,215
232,231
228,227
224,223
230,229
222,221
218,217
220,219
226,225
351,218
354,224
356,228
352,220
357,230
355,226
350,216
358,232
353,222
126,125
124,123
122,121
130,129
132,131
128,127
318,128
316,124
315,122
319,130
320,132
317,126
64,63
58,57
54,53
60,59
70,69
62,61
52,51
68,67
56,55
66,65
289,52
291,56
292,58
293,60
298,70
297,68
294,62
290,54
295,64
296,66
113,112
97,96
109,108
111,110
99,98
105,104
115,114
101,100
103,102
107,106
311,109
307,101
309,105
308,103
305,97
313,113
310,107
312,111
306,99
314,115
85,84
79,78
89,88
87,86
81,80
83,82
304,89
299,79
301,83
300,81
303,87
302,85
221,214
225,214
213,214
215,214
219,214
217,214
221,211
215,211
223,211
225,211
221,209
225,209
215,209
219,209
217,209
215,210
219,210
213,210
217,210
227,212
215,212
225,212
231,213
229,213
151,150
141,140
161,160
157,156
159,158
155,154
153,152
145,144
147,146
149,148
143,142
327,155
325,151
323,149
329,159
330,157
328,153
324,147
326,145
322,141
321,143
331,161
207,206
201,198
208,205
204,197
200,199
195,194
196,193
203,202
347,203
344,204
349,207
343,195
342,196
345,201
346,200
348,208
251,250
239,238
245,244
241,240
247,246
249,248
243,242
364,249
362,241
365,251
360,245
363,247
359,243
361,239
244,237
248,237
238,237
246,237
242,237
248,236
246,236
250,236
244,234
248,234
238,234
246,234
242,234
246,235
244,235
242,235
240,233
246,233
238,233
248,233
121,117
123,117
127,117
129,117
125,119
131,119
129,119
127,119
121,119
125,120
131,120
129,120
127,120
121,120
121,118
123,118
127,118
129,118
121,116
123,116
129,116
172,166
186,166
184,166
176,166
168,166
172,164
176,164
178,164
172,162
176,162
168,162
170,162
172,167
186,167
184,167
176,167
168,167
182,165
172,165
176,165
180,165
168,165
172,163
174,163
269,268
267,266
271,270
259,258
265,264
261,260
275,274
263,262
277,276
273,272
369,265
373,273
370,267
374,275
371,269
366,259
372,271
368,263
375,277
367,261
202,192
205,192
197,192
193,192
198,192
194,188
193,188
202,190
205,190
197,190
193,190
198,190
205,189
198,189
193,189
199,189
206,191
193,191
205,191
106,95
102,95
96,95
108,95
110,95
106,92
102,92
96,92
108,92
110,92
102,94
96,94
110,94
114,94
100,94
102,91
110,91
96,91
104,91
110,93
96,93
112,93
98,90
96,90
29,20
35,20
31,20
39,20
23,19
39,19
43,19
29,19
22,19
33,19
23,16
39,16
25,16
29,16
22,16
29,15
31,15
39,15
23,21
39,21
29,21
22,21
33,21
41,21
29,18
22,18
31,18
39,18
23,17
39,17
27,17
37,17
29,17
22,17
35,22
181,180
173,172
185,184
177,176
171,170
169,168
179,178
175,174
183,182
187,186
337,179
333,171
338,181
334,173
340,185
335,175
341,187
336,177
339,183
332,169
258,253
262,253
260,253
258,252
272,252
274,257
272,257
276,257
270,257
258,257
260,257
264,257
264,254
266,254
258,254
260,254
274,256
272,256
270,256
258,256
260,256
264,256
264,255
258,255
268,255
260,255
