model_name,column_name,column_type,comment,index
model.amazon_ads.amazon_ads__portfolio_report,date_day,date,,1
model.amazon_ads.amazon_ads__portfolio_report,account_name,text,,2
model.amazon_ads.amazon_ads__portfolio_report,account_id,text,,3
model.amazon_ads.amazon_ads__portfolio_report,country_code,text,,4
model.amazon_ads.amazon_ads__portfolio_report,profile_id,text,,5
model.amazon_ads.amazon_ads__portfolio_report,portfolio_name,text,,6
model.amazon_ads.amazon_ads__portfolio_report,portfolio_id,text,,7
model.amazon_ads.amazon_ads__portfolio_report,budget_amount,integer,,8
model.amazon_ads.amazon_ads__portfolio_report,budget_currency_code,integer,,9
model.amazon_ads.amazon_ads__portfolio_report,budget_start_date,integer,,10
model.amazon_ads.amazon_ads__portfolio_report,budget_end_date,integer,,11
model.amazon_ads.amazon_ads__portfolio_report,budget_policy,integer,,12
model.amazon_ads.amazon_ads__portfolio_report,in_budget,boolean,,13
model.amazon_ads.amazon_ads__portfolio_report,serving_status,text,,14
model.amazon_ads.amazon_ads__portfolio_report,state,text,,15
model.amazon_ads.amazon_ads__portfolio_report,cost,double precision,,16
model.amazon_ads.amazon_ads__portfolio_report,clicks,bigint,,17
model.amazon_ads.amazon_ads__portfolio_report,impressions,bigint,,18
model.amazon_ads.amazon_ads__keyword_report,date_day,date,,1
model.amazon_ads.amazon_ads__keyword_report,account_name,text,,2
model.amazon_ads.amazon_ads__keyword_report,account_id,text,,3
model.amazon_ads.amazon_ads__keyword_report,country_code,text,,4
model.amazon_ads.amazon_ads__keyword_report,profile_id,text,,5
model.amazon_ads.amazon_ads__keyword_report,portfolio_name,text,,6
model.amazon_ads.amazon_ads__keyword_report,portfolio_id,text,,7
model.amazon_ads.amazon_ads__keyword_report,campaign_name,text,,8
model.amazon_ads.amazon_ads__keyword_report,campaign_id,text,,9
model.amazon_ads.amazon_ads__keyword_report,ad_group_name,text,,10
model.amazon_ads.amazon_ads__keyword_report,ad_group_id,text,,11
model.amazon_ads.amazon_ads__keyword_report,keyword_id,text,,12
model.amazon_ads.amazon_ads__keyword_report,keyword_text,text,,13
model.amazon_ads.amazon_ads__keyword_report,serving_status,text,,14
model.amazon_ads.amazon_ads__keyword_report,state,text,,15
model.amazon_ads.amazon_ads__keyword_report,keyword_bid,double precision,,16
model.amazon_ads.amazon_ads__keyword_report,keyword_type,text,,17
model.amazon_ads.amazon_ads__keyword_report,match_type,text,,18
model.amazon_ads.amazon_ads__keyword_report,cost,double precision,,19
model.amazon_ads.amazon_ads__keyword_report,clicks,bigint,,20
model.amazon_ads.amazon_ads__keyword_report,impressions,bigint,,21
model.amazon_ads.amazon_ads__ad_group_report,date_day,date,,1
model.amazon_ads.amazon_ads__ad_group_report,account_name,text,,2
model.amazon_ads.amazon_ads__ad_group_report,account_id,text,,3
model.amazon_ads.amazon_ads__ad_group_report,country_code,text,,4
model.amazon_ads.amazon_ads__ad_group_report,profile_id,text,,5
model.amazon_ads.amazon_ads__ad_group_report,portfolio_name,text,,6
model.amazon_ads.amazon_ads__ad_group_report,portfolio_id,text,,7
model.amazon_ads.amazon_ads__ad_group_report,campaign_name,text,,8
model.amazon_ads.amazon_ads__ad_group_report,campaign_id,text,,9
model.amazon_ads.amazon_ads__ad_group_report,ad_group_name,text,,10
model.amazon_ads.amazon_ads__ad_group_report,ad_group_id,text,,11
model.amazon_ads.amazon_ads__ad_group_report,serving_status,text,,12
model.amazon_ads.amazon_ads__ad_group_report,state,text,,13
model.amazon_ads.amazon_ads__ad_group_report,default_bid,double precision,,14
model.amazon_ads.amazon_ads__ad_group_report,campaign_bidding_strategy,text,,15
model.amazon_ads.amazon_ads__ad_group_report,cost,double precision,,16
model.amazon_ads.amazon_ads__ad_group_report,clicks,bigint,,17
model.amazon_ads.amazon_ads__ad_group_report,impressions,bigint,,18
model.amazon_ads.amazon_ads__account_report,date_day,date,,1
model.amazon_ads.amazon_ads__account_report,account_name,text,,2
model.amazon_ads.amazon_ads__account_report,account_id,text,,3
model.amazon_ads.amazon_ads__account_report,country_code,text,,4
model.amazon_ads.amazon_ads__account_report,profile_id,text,,5
model.amazon_ads.amazon_ads__account_report,cost,double precision,,6
model.amazon_ads.amazon_ads__account_report,clicks,bigint,,7
model.amazon_ads.amazon_ads__account_report,impressions,bigint,,8
model.amazon_ads.amazon_ads__search_report,date_day,date,,1
model.amazon_ads.amazon_ads__search_report,account_name,text,,2
model.amazon_ads.amazon_ads__search_report,account_id,text,,3
model.amazon_ads.amazon_ads__search_report,country_code,text,,4
model.amazon_ads.amazon_ads__search_report,profile_id,text,,5
model.amazon_ads.amazon_ads__search_report,portfolio_name,text,,6
model.amazon_ads.amazon_ads__search_report,portfolio_id,text,,7
model.amazon_ads.amazon_ads__search_report,campaign_name,text,,8
model.amazon_ads.amazon_ads__search_report,campaign_id,text,,9
model.amazon_ads.amazon_ads__search_report,ad_group_name,text,,10
model.amazon_ads.amazon_ads__search_report,ad_group_id,text,,11
model.amazon_ads.amazon_ads__search_report,keyword_id,text,,12
model.amazon_ads.amazon_ads__search_report,keyword_text,text,,13
model.amazon_ads.amazon_ads__search_report,match_type,text,,14
model.amazon_ads.amazon_ads__search_report,serving_status,text,,15
model.amazon_ads.amazon_ads__search_report,state,text,,16
model.amazon_ads.amazon_ads__search_report,search_term,text,,17
model.amazon_ads.amazon_ads__search_report,targeting,text,,18
model.amazon_ads.amazon_ads__search_report,cost,double precision,,19
model.amazon_ads.amazon_ads__search_report,clicks,bigint,,20
model.amazon_ads.amazon_ads__search_report,impressions,bigint,,21
model.amazon_ads.amazon_ads__campaign_report,date_day,date,,1
model.amazon_ads.amazon_ads__campaign_report,account_name,text,,2
model.amazon_ads.amazon_ads__campaign_report,account_id,text,,3
model.amazon_ads.amazon_ads__campaign_report,country_code,text,,4
model.amazon_ads.amazon_ads__campaign_report,profile_id,text,,5
model.amazon_ads.amazon_ads__campaign_report,portfolio_name,text,,6
model.amazon_ads.amazon_ads__campaign_report,portfolio_id,text,,7
model.amazon_ads.amazon_ads__campaign_report,campaign_name,text,,8
model.amazon_ads.amazon_ads__campaign_report,campaign_id,text,,9
model.amazon_ads.amazon_ads__campaign_report,campaign_bidding_strategy,text,,10
model.amazon_ads.amazon_ads__campaign_report,campaign_budget_amount,double precision,,11
model.amazon_ads.amazon_ads__campaign_report,campaign_budget_currency_code,text,,12
model.amazon_ads.amazon_ads__campaign_report,campaign_budget_type,text,,13
model.amazon_ads.amazon_ads__campaign_report,cost,double precision,,14
model.amazon_ads.amazon_ads__campaign_report,clicks,bigint,,15
model.amazon_ads.amazon_ads__campaign_report,impressions,bigint,,16
model.amazon_ads.amazon_ads__ad_report,date_day,date,,1
model.amazon_ads.amazon_ads__ad_report,account_name,text,,2
model.amazon_ads.amazon_ads__ad_report,account_id,text,,3
model.amazon_ads.amazon_ads__ad_report,country_code,text,,4
model.amazon_ads.amazon_ads__ad_report,profile_id,text,,5
model.amazon_ads.amazon_ads__ad_report,portfolio_name,text,,6
model.amazon_ads.amazon_ads__ad_report,portfolio_id,text,,7
model.amazon_ads.amazon_ads__ad_report,campaign_name,text,,8
model.amazon_ads.amazon_ads__ad_report,campaign_id,text,,9
model.amazon_ads.amazon_ads__ad_report,ad_group_name,text,,10
model.amazon_ads.amazon_ads__ad_report,ad_group_id,text,,11
model.amazon_ads.amazon_ads__ad_report,ad_id,text,,12
model.amazon_ads.amazon_ads__ad_report,serving_status,text,,13
model.amazon_ads.amazon_ads__ad_report,state,text,,14
model.amazon_ads.amazon_ads__ad_report,advertised_asin,integer,,15
model.amazon_ads.amazon_ads__ad_report,advertised_sku,integer,,16
model.amazon_ads.amazon_ads__ad_report,campaign_budget_amount,double precision,,17
model.amazon_ads.amazon_ads__ad_report,campaign_budget_currency_code,text,,18
