model_name,index
model.amazon_ads.amazon_ads__account_report,0
model.amazon_ads.amazon_ads__ad_group_report,1
model.amazon_ads.amazon_ads__ad_report,2
model.amazon_ads.amazon_ads__campaign_report,3
model.amazon_ads.amazon_ads__keyword_report,4
model.amazon_ads.amazon_ads__portfolio_report,5
model.amazon_ads.amazon_ads__search_report,6
model.amazon_ads.int_amazon_ads__portfolio_history,7
model.amazon_ads_source.stg_amazon_ads__ad_group_history,8
model.amazon_ads_source.stg_amazon_ads__ad_group_history_tmp,9
model.amazon_ads_source.stg_amazon_ads__ad_group_level_report,10
model.amazon_ads_source.stg_amazon_ads__ad_group_level_report_tmp,11
model.amazon_ads_source.stg_amazon_ads__advertised_product_report,12
model.amazon_ads_source.stg_amazon_ads__advertised_product_report_tmp,13
model.amazon_ads_source.stg_amazon_ads__campaign_history,14
model.amazon_ads_source.stg_amazon_ads__campaign_history_tmp,15
model.amazon_ads_source.stg_amazon_ads__campaign_level_report,16
model.amazon_ads_source.stg_amazon_ads__campaign_level_report_tmp,17
model.amazon_ads_source.stg_amazon_ads__keyword_history,18
model.amazon_ads_source.stg_amazon_ads__keyword_history_tmp,19
model.amazon_ads_source.stg_amazon_ads__portfolio_history,20
model.amazon_ads_source.stg_amazon_ads__portfolio_history_tmp,21
model.amazon_ads_source.stg_amazon_ads__product_ad_history,22
model.amazon_ads_source.stg_amazon_ads__product_ad_history_tmp,23
model.amazon_ads_source.stg_amazon_ads__profile,24
model.amazon_ads_source.stg_amazon_ads__profile_tmp,25
model.amazon_ads_source.stg_amazon_ads__search_term_ad_keyword_report,26
model.amazon_ads_source.stg_amazon_ads__search_term_ad_keyword_report_tmp,27
model.amazon_ads_source.stg_amazon_ads__targeting_keyword_report,28
model.amazon_ads_source.stg_amazon_ads__targeting_keyword_report_tmp,29
source.amazon_ads_source.amazon_ads.ad_group_history,30
source.amazon_ads_source.amazon_ads.ad_group_level_report,31
source.amazon_ads_source.amazon_ads.advertised_product_report,32
source.amazon_ads_source.amazon_ads.campaign_history,33
source.amazon_ads_source.amazon_ads.campaign_level_report,34
source.amazon_ads_source.amazon_ads.keyword_history,35
source.amazon_ads_source.amazon_ads.portfolio_history,36
source.amazon_ads_source.amazon_ads.product_ad_history,37
source.amazon_ads_source.amazon_ads.profile,38
source.amazon_ads_source.amazon_ads.search_term_ad_keyword_report,39
source.amazon_ads_source.amazon_ads.targeting_keyword_report,40
