input_model,input_column,tags,output_model,output_columns
model.amazon_ads.int_amazon_ads__portfolio_history,portfolio_id,"{""Integration"":""Used as a key to join with the campaigns table"",""Direct"":""Directly copied to the output""}",model.amazon_ads.amazon_ads__keyword_report,"{""portfolio_id"":""Directly copied""}"
model.amazon_ads.int_amazon_ads__portfolio_history,portfolio_name,"{""Direct"":""Directly copied to the output""}",model.amazon_ads.amazon_ads__keyword_report,"{""portfolio_name"":""Directly copied""}"
model.amazon_ads_source.stg_amazon_ads__ad_group_history,ad_group_id,"{""Integration"":""used as a key to join with the report table"",""Direct"":""directly copied to the output""}",model.amazon_ads.amazon_ads__keyword_report,"{""ad_group_id"":""directly copied""}"
model.amazon_ads_source.stg_amazon_ads__ad_group_history,campaign_id,"{""Integration"":""used as a key to join with the campaigns table""}",model.amazon_ads.amazon_ads__keyword_report,
model.amazon_ads_source.stg_amazon_ads__ad_group_history,ad_group_name,"{""Direct"":""directly copied to the output""}",model.amazon_ads.amazon_ads__keyword_report,"{""ad_group_name"":""directly copied""}"
model.amazon_ads_source.stg_amazon_ads__ad_group_history,is_most_recent_record,"{""Filtering"":""the column is filtered to include only the most recent records (where is_most_recent_record = True)""}",model.amazon_ads.amazon_ads__keyword_report,
model.amazon_ads_source.stg_amazon_ads__campaign_history,campaign_id,"{""Integration"":""used as a key to join with the report table"",""Direct"":""directly copied to the output""}",model.amazon_ads.amazon_ads__keyword_report,"{""campaign_id"":""directly copied""}"
model.amazon_ads_source.stg_amazon_ads__campaign_history,campaign_name,"{""Direct"":""directly copied to the output""}",model.amazon_ads.amazon_ads__keyword_report,"{""campaign_name"":""directly copied""}"
model.amazon_ads_source.stg_amazon_ads__campaign_history,portfolio_id,"{""Integration"":""used as a key to join with the portfolios table""}",model.amazon_ads.amazon_ads__keyword_report,
model.amazon_ads_source.stg_amazon_ads__campaign_history,profile_id,"{""Integration"":""used as a key to join with the account_info table""}",model.amazon_ads.amazon_ads__keyword_report,
model.amazon_ads_source.stg_amazon_ads__campaign_history,is_most_recent_record,"{""Filtering"":""used to filter for the most recent records (where is_most_recent_record = True)""}",model.amazon_ads.amazon_ads__keyword_report,
model.amazon_ads_source.stg_amazon_ads__keyword_history,keyword_id,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as a key to join with the report table""}",model.amazon_ads.amazon_ads__keyword_report,"{""keyword_id"":""Directly copied""}"
model.amazon_ads_source.stg_amazon_ads__keyword_history,keyword_text,"{""Direct"":""The column is directly copied without any transformation""}",model.amazon_ads.amazon_ads__keyword_report,"{""keyword_text"":""Directly copied""}"
model.amazon_ads_source.stg_amazon_ads__keyword_history,serving_status,"{""Direct"":""The column is directly copied without any transformation""}",model.amazon_ads.amazon_ads__keyword_report,"{""serving_status"":""Directly copied""}"
model.amazon_ads_source.stg_amazon_ads__keyword_history,state,"{""Direct"":""The column is directly copied without any transformation""}",model.amazon_ads.amazon_ads__keyword_report,"{""state"":""Directly copied""}"
model.amazon_ads_source.stg_amazon_ads__keyword_history,is_most_recent_record,"{""Filtering"":""The column is filtered to include only the most recent records""}",model.amazon_ads.amazon_ads__keyword_report,
model.amazon_ads_source.stg_amazon_ads__profile,profile_id,"{""Integration"":""used as a key to join with the campaigns table"",""Direct"":""directly copied to the output""}",model.amazon_ads.amazon_ads__keyword_report,"{""profile_id"":""directly copied""}"
model.amazon_ads_source.stg_amazon_ads__profile,account_id,"{""Direct"":""directly copied to the output""}",model.amazon_ads.amazon_ads__keyword_report,"{""account_id"":""directly copied""}"
model.amazon_ads_source.stg_amazon_ads__profile,account_name,"{""Direct"":""directly copied to the output""}",model.amazon_ads.amazon_ads__keyword_report,"{""account_name"":""directly copied""}"
model.amazon_ads_source.stg_amazon_ads__profile,country_code,"{""Direct"":""directly copied to the output""}",model.amazon_ads.amazon_ads__keyword_report,"{""country_code"":""directly copied""}"
model.amazon_ads_source.stg_amazon_ads__profile,_fivetran_deleted,"{""Filtering"":""the column is filtered to include only non-deleted records (where _fivetran_deleted = False)""}",model.amazon_ads.amazon_ads__keyword_report,
model.amazon_ads_source.stg_amazon_ads__targeting_keyword_report,ad_group_id,"{""Direct"":""The column is directly copied without transformation"",""Integration"":""Used as a key to join with the ad_groups table""}",model.amazon_ads.amazon_ads__keyword_report,"{""ad_group_id"":""Directly copied""}"
model.amazon_ads_source.stg_amazon_ads__targeting_keyword_report,campaign_id,"{""Direct"":""The column is directly copied without transformation"",""Integration"":""Used as a key to join with the campaigns table""}",model.amazon_ads.amazon_ads__keyword_report,"{""campaign_id"":""Directly copied""}"
model.amazon_ads_source.stg_amazon_ads__targeting_keyword_report,clicks,"{""Aggregation"":""The column is summed up in the group by clause""}",model.amazon_ads.amazon_ads__keyword_report,"{""clicks"":""Aggregated sum""}"
model.amazon_ads_source.stg_amazon_ads__targeting_keyword_report,cost,"{""Aggregation"":""The column is summed up in the group by clause""}",model.amazon_ads.amazon_ads__keyword_report,"{""cost"":""Aggregated sum""}"
model.amazon_ads_source.stg_amazon_ads__targeting_keyword_report,date_day,"{""Direct"":""The column is directly copied without transformation""}",model.amazon_ads.amazon_ads__keyword_report,"{""date_day"":""Directly copied""}"
model.amazon_ads_source.stg_amazon_ads__targeting_keyword_report,impressions,"{""Aggregation"":""The column is summed up in the group by clause""}",model.amazon_ads.amazon_ads__keyword_report,"{""impressions"":""Aggregated sum""}"
model.amazon_ads_source.stg_amazon_ads__targeting_keyword_report,keyword_bid,"{""Direct"":""The column is directly copied without transformation""}",model.amazon_ads.amazon_ads__keyword_report,"{""keyword_bid"":""Directly copied""}"
model.amazon_ads_source.stg_amazon_ads__targeting_keyword_report,keyword_id,"{""Direct"":""The column is directly copied without transformation"",""Integration"":""Used as a key to join with the keywords table""}",model.amazon_ads.amazon_ads__keyword_report,"{""keyword_id"":""Directly copied""}"
model.amazon_ads_source.stg_amazon_ads__targeting_keyword_report,keyword_type,"{""Direct"":""The column is directly copied without transformation""}",model.amazon_ads.amazon_ads__keyword_report,"{""keyword_type"":""Directly copied""}"
model.amazon_ads_source.stg_amazon_ads__targeting_keyword_report,match_type,"{""Direct"":""The column is directly copied without transformation""}",model.amazon_ads.amazon_ads__keyword_report,"{""match_type"":""Directly copied""}"
model.amazon_ads_source.stg_amazon_ads__keyword_history_tmp,id,"{""Cleaning"":""Cast to TEXT data type"",""Deduplication"":""Used in the window function to identify the most recent record""}",model.amazon_ads_source.stg_amazon_ads__keyword_history,"{""keyword_id"":""Directly mapped after casting to TEXT""}"
model.amazon_ads_source.stg_amazon_ads__keyword_history_tmp,last_updated_date,"{""Cleaning"":""Cast to timestamp data type"",""Deduplication"":""Used in the window function to order and identify the most recent record""}",model.amazon_ads_source.stg_amazon_ads__keyword_history,"{""last_updated_date"":""Directly mapped after casting to timestamp""}"
model.amazon_ads_source.stg_amazon_ads__keyword_history_tmp,ad_group_id,"{""Cleaning"":""Cast to TEXT data type""}",model.amazon_ads_source.stg_amazon_ads__keyword_history,"{""ad_group_id"":""Directly mapped after casting to TEXT""}"
model.amazon_ads_source.stg_amazon_ads__keyword_history_tmp,bid,"{""Cleaning"":""Cast to float data type""}",model.amazon_ads_source.stg_amazon_ads__keyword_history,"{""bid"":""Directly mapped after casting to float""}"
model.amazon_ads_source.stg_amazon_ads__keyword_history_tmp,campaign_id,"{""Cleaning"":""Cast to TEXT data type""}",model.amazon_ads_source.stg_amazon_ads__keyword_history,"{""campaign_id"":""Directly mapped after casting to TEXT""}"
model.amazon_ads_source.stg_amazon_ads__keyword_history_tmp,creation_date,"{""Cleaning"":""Cast to timestamp data type""}",model.amazon_ads_source.stg_amazon_ads__keyword_history,"{""creation_date"":""Directly mapped after casting to timestamp""}"
model.amazon_ads_source.stg_amazon_ads__keyword_history_tmp,keyword_text,"{""Cleaning"":""Cast to TEXT data type""}",model.amazon_ads_source.stg_amazon_ads__keyword_history,"{""keyword_text"":""Directly mapped after casting to TEXT""}"
model.amazon_ads_source.stg_amazon_ads__keyword_history_tmp,match_type,"{""Cleaning"":""Cast to TEXT data type""}",model.amazon_ads_source.stg_amazon_ads__keyword_history,"{""match_type"":""Directly mapped after casting to TEXT""}"
model.amazon_ads_source.stg_amazon_ads__keyword_history_tmp,native_language_keyword,"{""Cleaning"":""Cast to TEXT data type""}",model.amazon_ads_source.stg_amazon_ads__keyword_history,"{""native_language_keyword"":""Directly mapped after casting to TEXT""}"
model.amazon_ads_source.stg_amazon_ads__keyword_history_tmp,serving_status,"{""Cleaning"":""Cast to TEXT data type""}",model.amazon_ads_source.stg_amazon_ads__keyword_history,"{""serving_status"":""Directly mapped after casting to TEXT""}"
