model_name,column_name,column_type,comment,index
model.amplitude.amplitude__event_enhanced,unique_event_id,text,"A unique key for each event, concatenating event_id, device_id, and client_event_time",
model.amplitude.amplitude__event_enhanced,unique_session_id,text,"Unique key of each session, concatenating user_id and session_id",
model.amplitude.amplitude__event_enhanced,amplitude_user_id,text,"Unique key for each user, which is user_id by default. If user_id does not exist, use amplitude_id",
model.amplitude.amplitude__event_enhanced,event_id,bigint,A counter that distinguishes events,
model.amplitude.amplitude__event_enhanced,event_type,text,The assigned type of event. Example 'Add Friend',
model.amplitude.amplitude__event_enhanced,event_time,timestamp without time zone,"Amplitude timestamp (UTC) which is the client_event_time adjusted by the difference between server_received_time and client_upload_time, specifically: event_time = client_event_time + (server_received_time - client_upload_time) 2015-08-10T12:00:00.000000 We use this timestamp to organize events on Amplitude charts. Note: If the difference between server_received_time and client_upload_time is less than 60 seconds, the event_time will not be adjusted and will equal the client_event_time
",
model.amplitude.amplitude__event_enhanced,event_day,date,Day of event time,
model.amplitude.amplitude__event_enhanced,session_id,bigint,"The session start time in milliseconds since epoch. All events within the same session share the same session ID. By default, the setting in Amplitude for the session property is session ID. All events with the same session ID and the same user ID will be grouped into the same session. The session ID does not have to be unique across multiple users. Session IDs for events sent via the Amplitude SDKs are automatically generated and managed. However, for events sent via the HTTP API, Amplitude defaults to a session ID of -1. This means the event is excluded from all session metrics.
",
model.amplitude.amplitude__event_enhanced,amplitude_id,text,An internal ID used to count unique users.,
model.amplitude.amplitude__event_enhanced,app,bigint,Project ID found in your project's Settings page,
model.amplitude.amplitude__event_enhanced,project_name,bigint,Project ID,
model.amplitude.amplitude__event_enhanced,version_name,integer,The app version,
model.amplitude.amplitude__event_enhanced,client_event_time,timestamp without time zone,"Local timestamp (UTC) of when the device logged the event.
",
model.amplitude.amplitude__event_enhanced,client_upload_time,timestamp without time zone,The local timestamp (UTC) of when the device uploaded the event.,
model.amplitude.amplitude__event_enhanced,server_received_time,timestamp without time zone,Amplitude timestamp (UTC) of when servers received the event,
model.amplitude.amplitude__event_enhanced,server_upload_time,timestamp without time zone,Amplitude timestamp (UTC) of when the event data was uploaded to Amplitude servers,
model.amplitude.amplitude__event_enhanced,city,integer,City,
model.amplitude.amplitude__event_enhanced,country,text,Country,
model.amplitude.amplitude__event_enhanced,region,integer,Region,
model.amplitude.amplitude__event_enhanced,data,text,"Dictionary where certain fields such as first_event and merged_amplitude_id are stored.
",
model.amplitude.amplitude__event_enhanced,location_lat,integer,Latitude,
model.amplitude.amplitude__event_enhanced,location_lng,integer,Longitude,
model.amplitude.amplitude__event_enhanced,device_brand,integer,Device brand,
model.amplitude.amplitude__event_enhanced,device_carrier,integer,Device carrier.,
model.amplitude.amplitude__event_enhanced,device_family,integer,Device family. Apple iPhone,
model.amplitude.amplitude__event_enhanced,device_id,text,The device specific identifier,
