model_name,index
model.amplitude.amplitude__daily_performance,0
model.amplitude.amplitude__event_enhanced,1
model.amplitude.amplitude__sessions,2
model.amplitude.amplitude__user_enhanced,3
model.amplitude.int_amplitude__date_spine,4
model.amplitude_source.stg_amplitude__event,5
model.amplitude_source.stg_amplitude__event_tmp,6
model.amplitude_source.stg_amplitude__event_type,7
model.amplitude_source.stg_amplitude__event_type_tmp,8
source.amplitude_source.amplitude.event,9
source.amplitude_source.amplitude.event_type,10
