input_model,input_column,tags,output_model,output_columns
model.amplitude.amplitude__sessions,unique_session_id,"{""Integration"":""used as the key to join session_data with event_data"",""Direct"":""directly copied to the output""}",model.amplitude.amplitude__event_enhanced,"{""unique_session_id"":""directly copied""}"
model.amplitude.amplitude__sessions,events_per_session,"{""Direct"":""directly copied to the output""}",model.amplitude.amplitude__event_enhanced,"{""events_per_session"":""directly copied""}"
model.amplitude.amplitude__sessions,session_started_at,"{""Direct"":""directly copied to the output""}",model.amplitude.amplitude__event_enhanced,"{""session_started_at"":""directly copied""}"
model.amplitude.amplitude__sessions,session_ended_at,"{""Direct"":""directly copied to the output""}",model.amplitude.amplitude__event_enhanced,"{""session_ended_at"":""directly copied""}"
model.amplitude.amplitude__sessions,session_started_at_day,"{""Direct"":""directly copied to the output""}",model.amplitude.amplitude__event_enhanced,"{""session_started_at_day"":""directly copied""}"
model.amplitude.amplitude__sessions,session_ended_at_day,"{""Direct"":""directly copied to the output""}",model.amplitude.amplitude__event_enhanced,"{""session_ended_at_day"":""directly copied""}"
model.amplitude.amplitude__sessions,user_session_number,"{""Direct"":""directly copied to the output""}",model.amplitude.amplitude__event_enhanced,"{""user_session_number"":""directly copied""}"
model.amplitude.amplitude__sessions,is_first_user_session,"{""Direct"":""This column is directly copied from the input to the output without any transformation.""}",model.amplitude.amplitude__event_enhanced,"{""is_first_user_session"":""Directly copied to the output column with the same name.""}"
model.amplitude.amplitude__sessions,minutes_in_between_sessions,"{""Direct"":""This column is directly copied from the input to the output without any transformation.""}",model.amplitude.amplitude__event_enhanced,"{""minutes_in_between_sessions"":""Directly copied to the output column with the same name.""}"
model.amplitude.amplitude__sessions,session_length_in_minutes,"{""Direct"":""This column is directly copied from the input to the output without any transformation.""}",model.amplitude.amplitude__event_enhanced,"{""session_length_in_minutes"":""Directly copied to the output column with the same name.""}"
model.amplitude_source.stg_amplitude__event,unique_event_id,"{""Direct"":""The column is directly copied without any transformation"",""Deduplication"":""Used in the ROW_NUMBER() function for deduplication""}",model.amplitude.amplitude__event_enhanced,"{""unique_event_id"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,event_id,"{""Direct"":""The column is directly copied without any transformation""}",model.amplitude.amplitude__event_enhanced,"{""event_id"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,unique_session_id,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used to join with the session_data CTE""}",model.amplitude.amplitude__event_enhanced,"{""unique_session_id"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,amplitude_id,"{""Direct"":""The column is directly copied without any transformation""}",model.amplitude.amplitude__event_enhanced,"{""amplitude_id"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,amplitude_user_id,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""Cast as TEXT"",""Featurization"":""Used to generate user_event_number""}",model.amplitude.amplitude__event_enhanced,"{""amplitude_user_id"":""Directly copied after casting to TEXT""}"
model.amplitude_source.stg_amplitude__event,app,"{""Direct"":""The column is directly copied without any transformation""}",model.amplitude.amplitude__event_enhanced,"{""app"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,city,"{""Direct"":""The column is directly copied without any transformation""}",model.amplitude.amplitude__event_enhanced,"{""city"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,client_event_time,"{""Direct"":""The column is directly copied without any transformation"",""Deduplication"":""Used in the ROW_NUMBER() function for deduplication""}",model.amplitude.amplitude__event_enhanced,"{""client_event_time"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,client_upload_time,"{""Direct"":""The column is directly copied without any transformation"",""Deduplication"":""Used in the ORDER BY clause of the ROW_NUMBER() function for deduplication""}",model.amplitude.amplitude__event_enhanced,"{""client_upload_time"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,country,"{""Direct"":""The column is directly copied without any transformation""}",model.amplitude.amplitude__event_enhanced,"{""country"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,data,"{""Direct"":""The column is directly copied without any transformation""}",model.amplitude.amplitude__event_enhanced,"{""data"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,device_brand,"{""Direct"":""The column is directly copied without any transformation""}",model.amplitude.amplitude__event_enhanced,"{""device_brand"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,device_carrier,"{""Direct"":""The column is directly copied without any transformation""}",model.amplitude.amplitude__event_enhanced,"{""device_carrier"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,device_family,"{""Direct"":""The column is directly copied without any transformation""}",model.amplitude.amplitude__event_enhanced,"{""device_family"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,device_id,"{""Direct"":""The column is directly copied without any transformation"",""Deduplication"":""Used in the PARTITION BY clause for deduplication when _insert_id is NULL""}",model.amplitude.amplitude__event_enhanced,"{""device_id"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,device_manufacturer,"{""Direct"":""The column is directly copied without any transformation""}",model.amplitude.amplitude__event_enhanced,"{""device_manufacturer"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,device_model,"{""Direct"":""The column is directly copied without any transformation""}",model.amplitude.amplitude__event_enhanced,"{""device_model"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,device_type,"{""Direct"":""The column is directly copied without any transformation""}",model.amplitude.amplitude__event_enhanced,"{""device_type"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,dma,"{""Direct"":""The column is directly copied without any transformation""}",model.amplitude.amplitude__event_enhanced,"{""dma"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,event_time,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used to join with session data"",""Featurization"":""Used to calculate session and user event numbers""}",model.amplitude.amplitude__event_enhanced,"{""event_time"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,event_day,"{""Direct"":""The column is directly copied without any transformation"",""Other"":""Used in the unique_key generation""}",model.amplitude.amplitude__event_enhanced,"{""event_day"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,event_type,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used to join with event_type table""}",model.amplitude.amplitude__event_enhanced,"{""event_type"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,event_type_id,"{""Integration"":""Used to join with event_type table""}",model.amplitude.amplitude__event_enhanced,"{""event_type_id"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,group_types,"{""Direct"":""The column is directly copied without any transformation""}",model.amplitude.amplitude__event_enhanced,"{""group_types"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,_insert_id,"{""Deduplication"":""Used in the deduplication logic to determine which records to keep""}",model.amplitude.amplitude__event_enhanced,
model.amplitude_source.stg_amplitude__event,ip_address,"{""Direct"":""The column is directly copied without any transformation""}",model.amplitude.amplitude__event_enhanced,"{""ip_address"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,language,"{""Direct"":""The column is directly copied without any transformation""}",model.amplitude.amplitude__event_enhanced,"{""language"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,location_lat,"{""Direct"":""The column is directly copied without any transformation""}",model.amplitude.amplitude__event_enhanced,"{""location_lat"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,location_lng,"{""Direct"":""The column is directly copied without any transformation""}",model.amplitude.amplitude__event_enhanced,"{""location_lng"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,os_name,"{""Direct"":""The column is directly copied without any transformation""}",model.amplitude.amplitude__event_enhanced,"{""os_name"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,os_version,"{""Direct"":""The column is directly copied without any transformation""}",model.amplitude.amplitude__event_enhanced,"{""os_version"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,platform,"{""Direct"":""The column is directly copied without any transformation""}",model.amplitude.amplitude__event_enhanced,"{""platform"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,project_name,"{""Direct"":""The column is directly copied without any transformation""}",model.amplitude.amplitude__event_enhanced,"{""project_name"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,region,"{""Direct"":""The column is directly copied without any transformation""}",model.amplitude.amplitude__event_enhanced,"{""region"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,schema,"{""Direct"":""The column is directly copied without any transformation""}",model.amplitude.amplitude__event_enhanced,"{""schema"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,server_received_time,"{""Direct"":""The column is directly copied without any transformation""}",model.amplitude.amplitude__event_enhanced,"{""server_received_time"":""Directly copied""}"
model.amplitude_source.stg_amplitude__event,server_upload_time,"{""Direct"":""The column is directly copied without any transformation""}",model.amplitude.amplitude__event_enhanced,"{""server_upload_time"":""Directly copied""}"
