model_name,index
model.apple_store.apple_store__app_version_report,0
model.apple_store.apple_store__device_report,1
model.apple_store.apple_store__overview_report,2
model.apple_store.apple_store__platform_version_report,3
model.apple_store.apple_store__source_type_report,4
model.apple_store.apple_store__territory_report,5
model.apple_store.int_apple_store__app_store_overview,6
model.apple_store.int_apple_store__app_store_source_type,7
model.apple_store.int_apple_store__crashes_app_version,8
model.apple_store.int_apple_store__crashes_device,9
model.apple_store.int_apple_store__crashes_overview,10
model.apple_store.int_apple_store__downloads_overview,11
model.apple_store.int_apple_store__downloads_source_type,12
model.apple_store.int_apple_store__platform_version,13
model.apple_store.int_apple_store__usage_overview,14
model.apple_store.int_apple_store__usage_source_type,15
model.apple_store_source.stg_apple_store__app,16
model.apple_store_source.stg_apple_store__app_store_device,17
model.apple_store_source.stg_apple_store__app_store_device_tmp,18
model.apple_store_source.stg_apple_store__app_store_platform_version,19
model.apple_store_source.stg_apple_store__app_store_platform_version_tmp,20
model.apple_store_source.stg_apple_store__app_store_territory,21
model.apple_store_source.stg_apple_store__app_store_territory_tmp,22
model.apple_store_source.stg_apple_store__app_tmp,23
model.apple_store_source.stg_apple_store__crashes_app_version,24
model.apple_store_source.stg_apple_store__crashes_app_version_tmp,25
model.apple_store_source.stg_apple_store__crashes_platform_version,26
model.apple_store_source.stg_apple_store__crashes_platform_version_tmp,27
model.apple_store_source.stg_apple_store__downloads_device,28
model.apple_store_source.stg_apple_store__downloads_device_tmp,29
model.apple_store_source.stg_apple_store__downloads_platform_version,30
model.apple_store_source.stg_apple_store__downloads_platform_version_tmp,31
model.apple_store_source.stg_apple_store__downloads_territory,32
model.apple_store_source.stg_apple_store__downloads_territory_tmp,33
model.apple_store_source.stg_apple_store__sales_account,34
model.apple_store_source.stg_apple_store__sales_account_tmp,35
model.apple_store_source.stg_apple_store__usage_app_version,36
model.apple_store_source.stg_apple_store__usage_app_version_tmp,37
model.apple_store_source.stg_apple_store__usage_device,38
model.apple_store_source.stg_apple_store__usage_device_tmp,39
model.apple_store_source.stg_apple_store__usage_platform_version,40
model.apple_store_source.stg_apple_store__usage_platform_version_tmp,41
model.apple_store_source.stg_apple_store__usage_territory,42
model.apple_store_source.stg_apple_store__usage_territory_tmp,43
seed.apple_store_source.apple_store_country_codes,44
source.apple_store_source.apple_store.app,45
source.apple_store_source.apple_store.app_store_platform_version_source_type_report,46
source.apple_store_source.apple_store.app_store_source_type_device_report,47
source.apple_store_source.apple_store.app_store_territory_source_type_report,48
source.apple_store_source.apple_store.crashes_app_version_device_report,49
source.apple_store_source.apple_store.crashes_platform_version_device_report,50
source.apple_store_source.apple_store.downloads_platform_version_source_type_report,51
source.apple_store_source.apple_store.downloads_source_type_device_report,52
source.apple_store_source.apple_store.downloads_territory_source_type_report,53
source.apple_store_source.apple_store.sales_account,54
source.apple_store_source.apple_store.usage_app_version_source_type_report,55
source.apple_store_source.apple_store.usage_platform_version_source_type_report,56
source.apple_store_source.apple_store.usage_source_type_device_report,57
source.apple_store_source.apple_store.usage_territory_source_type_report,58
