model_name,column_name,column_type,comment,index
model.facebook_ads.facebook_ads__ad_set_report,source_relation,text,The source of the record if the unioning functionality is being used. If not this field will be empty.,
model.facebook_ads.facebook_ads__ad_set_report,date_day,date,The date of the performance.,
model.facebook_ads.facebook_ads__ad_set_report,account_id,bigint,The ID of the related account.,
model.facebook_ads.facebook_ads__ad_set_report,account_name,text,The name of the related account.,
model.facebook_ads.facebook_ads__ad_set_report,campaign_id,bigint,The ID of the related campaign.,
model.facebook_ads.facebook_ads__ad_set_report,campaign_name,text,The name of the related campaign.,
model.facebook_ads.facebook_ads__ad_set_report,ad_set_id,bigint,The ID of the related ad set.,
model.facebook_ads.facebook_ads__ad_set_report,ad_set_name,text,The name of the related ad set.,
model.facebook_ads.facebook_ads__ad_set_report,clicks,bigint,The number of clicks the ad had on the given day.,
model.facebook_ads.facebook_ads__ad_set_report,impressions,bigint,The number of impressions the ad had on the given day.,
model.facebook_ads.facebook_ads__ad_set_report,spend,double precision,The spend on the ad in the given day.,
model.facebook_ads.facebook_ads__ad_set_report,start_at,timestamp without time zone,,
model.facebook_ads.facebook_ads__ad_set_report,end_at,timestamp without time zone,,
model.facebook_ads.facebook_ads__ad_set_report,bid_strategy,text,,
model.facebook_ads.facebook_ads__ad_set_report,daily_budget,integer,,
model.facebook_ads.facebook_ads__ad_set_report,budget_remaining,integer,,
model.facebook_ads.facebook_ads__url_tags,source_relation,text,The source of the record if the unioning functionality is being used. If not this field will be empty.,
model.facebook_ads.facebook_ads__url_tags,_fivetran_id,text,The unique fivetran ID for this record.,
model.facebook_ads.facebook_ads__url_tags,creative_id,bigint,The associated creative_id for this record.,
model.facebook_ads.facebook_ads__url_tags,key,text,The url tag object name e.g. utm_source associated with this record.,
model.facebook_ads.facebook_ads__url_tags,value,text,The value assigned to the url tag object associated with this record.,
model.facebook_ads.facebook_ads__url_tags,type,text,The type assigned to the url tag object e.g. 'AD_VIDEO'.,
model.facebook_ads.facebook_ads__account_report,source_relation,text,The source of the record if the unioning functionality is being used. If not this field will be empty.,
model.facebook_ads.facebook_ads__account_report,date_day,date,The date of the performance.,
model.facebook_ads.facebook_ads__account_report,account_id,bigint,The ID of the related account.,
model.facebook_ads.facebook_ads__account_report,account_name,text,The name of the related account.,
model.facebook_ads.facebook_ads__account_report,clicks,bigint,The number of clicks the ad had on the given day.,
model.facebook_ads.facebook_ads__account_report,impressions,bigint,The number of impressions the ad had on the given day.,
model.facebook_ads.facebook_ads__account_report,spend,double precision,The spend on the ad in the given day.,
model.facebook_ads.facebook_ads__account_report,account_status,text,,
model.facebook_ads.facebook_ads__account_report,business_country_code,text,,
model.facebook_ads.facebook_ads__account_report,created_at,timestamp without time zone,,
model.facebook_ads.facebook_ads__account_report,currency,text,,
model.facebook_ads.facebook_ads__account_report,timezone_name,text,,
model.facebook_ads.facebook_ads__campaign_report,source_relation,text,The source of the record if the unioning functionality is being used. If not this field will be empty.,
model.facebook_ads.facebook_ads__campaign_report,date_day,date,The date of the performance.,
model.facebook_ads.facebook_ads__campaign_report,account_id,bigint,The ID of the related account.,
model.facebook_ads.facebook_ads__campaign_report,account_name,text,The name of the related account.,
model.facebook_ads.facebook_ads__campaign_report,campaign_id,bigint,The ID of the related campaign.,
model.facebook_ads.facebook_ads__campaign_report,campaign_name,text,The name of the related campaign.,
model.facebook_ads.facebook_ads__campaign_report,clicks,bigint,The number of clicks the ad had on the given day.,
model.facebook_ads.facebook_ads__campaign_report,impressions,bigint,The number of impressions the ad had on the given day.,
model.facebook_ads.facebook_ads__campaign_report,spend,double precision,The spend on the ad in the given day.,
