model_name,index
model.facebook_ads.facebook_ads__account_report,0
model.facebook_ads.facebook_ads__ad_report,1
model.facebook_ads.facebook_ads__ad_set_report,2
model.facebook_ads.facebook_ads__campaign_report,3
model.facebook_ads.facebook_ads__url_report,4
model.facebook_ads.facebook_ads__url_tags,5
model.facebook_ads.int_facebook_ads__creative_history,6
model.facebook_ads_source.stg_facebook_ads__account_history,7
model.facebook_ads_source.stg_facebook_ads__account_history_tmp,8
model.facebook_ads_source.stg_facebook_ads__ad_history,9
model.facebook_ads_source.stg_facebook_ads__ad_history_tmp,10
model.facebook_ads_source.stg_facebook_ads__ad_set_history,11
model.facebook_ads_source.stg_facebook_ads__ad_set_history_tmp,12
model.facebook_ads_source.stg_facebook_ads__basic_ad,13
model.facebook_ads_source.stg_facebook_ads__basic_ad_tmp,14
model.facebook_ads_source.stg_facebook_ads__campaign_history,15
model.facebook_ads_source.stg_facebook_ads__campaign_history_tmp,16
model.facebook_ads_source.stg_facebook_ads__creative_history,17
model.facebook_ads_source.stg_facebook_ads__creative_history_tmp,18
source.facebook_ads_source.facebook_ads.account_history,19
source.facebook_ads_source.facebook_ads.ad_history,20
source.facebook_ads_source.facebook_ads.ad_set_history,21
source.facebook_ads_source.facebook_ads.basic_ad,22
source.facebook_ads_source.facebook_ads.campaign_history,23
source.facebook_ads_source.facebook_ads.creative_history,24
