input_model,input_column,tags,output_model,output_columns
model.facebook_ads_source.stg_facebook_ads__account_history,source_relation,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""The column is used as a key to join with the report table"",""Aggregation"":""The column is part of the GROUP BY clause""}",model.facebook_ads.facebook_ads__account_report,"{""source_relation"":""Directly copied to output""}"
model.facebook_ads_source.stg_facebook_ads__account_history,account_id,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""The column is used as a key to join with the report table"",""Aggregation"":""The column is part of the GROUP BY clause""}",model.facebook_ads.facebook_ads__account_report,"{""account_id"":""Directly copied to output""}"
model.facebook_ads_source.stg_facebook_ads__account_history,account_name,"{""Direct"":""The column is directly copied without any transformation"",""Aggregation"":""The column is part of the GROUP BY clause""}",model.facebook_ads.facebook_ads__account_report,"{""account_name"":""Directly copied to output""}"
model.facebook_ads_source.stg_facebook_ads__account_history,is_most_recent_record,"{""Filtering"":""The column is used to filter for the most recent account records""}",model.facebook_ads.facebook_ads__account_report,
model.facebook_ads_source.stg_facebook_ads__account_history,account_status,"{""Direct"":""The column is directly copied without any transformation"",""Aggregation"":""The column is part of the GROUP BY clause""}",model.facebook_ads.facebook_ads__account_report,"{""account_status"":""Directly copied to output""}"
model.facebook_ads_source.stg_facebook_ads__account_history,business_country_code,"{""Direct"":""The column is directly copied without any transformation"",""Aggregation"":""The column is part of the GROUP BY clause""}",model.facebook_ads.facebook_ads__account_report,"{""business_country_code"":""Directly copied to output""}"
model.facebook_ads_source.stg_facebook_ads__account_history,created_at,"{""Direct"":""The column is directly copied without any transformation"",""Aggregation"":""The column is part of the GROUP BY clause""}",model.facebook_ads.facebook_ads__account_report,"{""created_at"":""Directly copied to output""}"
model.facebook_ads_source.stg_facebook_ads__account_history,currency,"{""Direct"":""The column is directly copied without any transformation"",""Aggregation"":""The column is part of the GROUP BY clause""}",model.facebook_ads.facebook_ads__account_report,"{""currency"":""Directly copied to output""}"
model.facebook_ads_source.stg_facebook_ads__account_history,timezone_name,"{""Direct"":""The column is directly copied without any transformation"",""Aggregation"":""The column is part of the GROUP BY clause""}",model.facebook_ads.facebook_ads__account_report,"{""timezone_name"":""Directly copied to output""}"
model.facebook_ads_source.stg_facebook_ads__basic_ad,source_relation,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as part of the join condition with the accounts table"",""Aggregation"":""Used in the GROUP BY clause""}",model.facebook_ads.facebook_ads__account_report,"{""source_relation"":""Directly copied to the output""}"
