model_name,index
model.google_play.google_play__app_version_report,0
model.google_play.google_play__country_report,1
model.google_play.google_play__device_report,2
model.google_play.google_play__os_version_report,3
model.google_play.google_play__overview_report,4
model.google_play.int_google_play__store_performance,5
model.google_play_source.stg_google_play__stats_crashes_app_version,6
model.google_play_source.stg_google_play__stats_crashes_app_version_tmp,7
model.google_play_source.stg_google_play__stats_crashes_os_version,8
model.google_play_source.stg_google_play__stats_crashes_os_version_tmp,9
model.google_play_source.stg_google_play__stats_crashes_overview,10
model.google_play_source.stg_google_play__stats_crashes_overview_tmp,11
model.google_play_source.stg_google_play__stats_installs_app_version,12
model.google_play_source.stg_google_play__stats_installs_app_version_tmp,13
model.google_play_source.stg_google_play__stats_installs_country,14
model.google_play_source.stg_google_play__stats_installs_country_tmp,15
model.google_play_source.stg_google_play__stats_installs_device,16
model.google_play_source.stg_google_play__stats_installs_device_tmp,17
model.google_play_source.stg_google_play__stats_installs_os_version,18
model.google_play_source.stg_google_play__stats_installs_os_version_tmp,19
model.google_play_source.stg_google_play__stats_installs_overview,20
model.google_play_source.stg_google_play__stats_installs_overview_tmp,21
model.google_play_source.stg_google_play__stats_ratings_app_version,22
model.google_play_source.stg_google_play__stats_ratings_app_version_tmp,23
model.google_play_source.stg_google_play__stats_ratings_country,24
model.google_play_source.stg_google_play__stats_ratings_country_tmp,25
model.google_play_source.stg_google_play__stats_ratings_device,26
model.google_play_source.stg_google_play__stats_ratings_device_tmp,27
model.google_play_source.stg_google_play__stats_ratings_os_version,28
model.google_play_source.stg_google_play__stats_ratings_os_version_tmp,29
model.google_play_source.stg_google_play__stats_ratings_overview,30
model.google_play_source.stg_google_play__stats_ratings_overview_tmp,31
model.google_play_source.stg_google_play__store_performance_country,32
model.google_play_source.stg_google_play__store_performance_country_tmp,33
model.google_play_source.stg_google_play__store_performance_source,34
model.google_play_source.stg_google_play__store_performance_source_tmp,35
seed.google_play_source.google_play__country_codes,36
source.google_play_source.google_play.stats_crashes_app_version,37
source.google_play_source.google_play.stats_crashes_os_version,38
source.google_play_source.google_play.stats_crashes_overview,39
source.google_play_source.google_play.stats_installs_app_version,40
source.google_play_source.google_play.stats_installs_country,41
source.google_play_source.google_play.stats_installs_device,42
source.google_play_source.google_play.stats_installs_os_version,43
source.google_play_source.google_play.stats_installs_overview,44
source.google_play_source.google_play.stats_ratings_app_version,45
source.google_play_source.google_play.stats_ratings_country,46
source.google_play_source.google_play.stats_ratings_device,47
source.google_play_source.google_play.stats_ratings_os_version,48
source.google_play_source.google_play.stats_ratings_overview,49
source.google_play_source.google_play.stats_store_performance_country,50
source.google_play_source.google_play.stats_store_performance_traffic_source,51
