input_model,input_column,tags,output_model,output_columns
model.google_play_source.stg_google_play__stats_crashes_overview_tmp,date,"{""Cleaning"":""The column is cast to DATE type""}",model.google_play_source.stg_google_play__stats_crashes_overview,"{""date_day"":""It is directly mapped after casting""}"
model.google_play_source.stg_google_play__stats_crashes_overview_tmp,package_name,"{""Direct"":""The column is directly copied without any transformation""}",model.google_play_source.stg_google_play__stats_crashes_overview,"{""package_name"":""It is directly copied""}"
model.google_play_source.stg_google_play__stats_crashes_overview_tmp,daily_crashes,"{""Direct"":""The column is directly copied without any transformation""}",model.google_play_source.stg_google_play__stats_crashes_overview,"{""crashes"":""It is directly copied and renamed""}"
model.google_play_source.stg_google_play__stats_crashes_overview_tmp,daily_anrs,"{""Direct"":""The column is directly copied without any transformation""}",model.google_play_source.stg_google_play__stats_crashes_overview,"{""anrs"":""It is directly copied and renamed""}"
model.google_play_source.stg_google_play__stats_crashes_overview_tmp,_fivetran_synced,"{""Direct"":""The column is directly copied without any transformation""}",model.google_play_source.stg_google_play__stats_crashes_overview,"{""_fivetran_synced"":""It is directly copied""}"
model.google_play_source.stg_google_play__stats_installs_country,active_devices_last_30_days,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is coalesced with 0 in case of NULL values""}",model.google_play.google_play__country_report,"{""active_devices_last_30_days"":""Directly mapped after cleaning""}"
model.google_play_source.stg_google_play__stats_installs_country,country,"{""Direct"":""The column is directly copied"",""Integration"":""Used as a key to join with other tables"",""Aggregation"":""Used in partitioning for rolling calculations""}",model.google_play.google_play__country_report,"{""country_short"":""Directly mapped""}"
model.google_play_source.stg_google_play__stats_installs_country,device_installs,"{""Direct"":""The column is directly copied"",""Cleaning"":""The column is coalesced with 0 in case of NULL values"",""Aggregation"":""Used to calculate total_device_installs""}",model.google_play.google_play__country_report,"{""device_installs"":""Directly mapped after cleaning"",""total_device_installs"":""Contributes to this cumulative metric""}"
model.google_play_source.stg_google_play__stats_installs_country,device_uninstalls,"{""Direct"":""The column is directly copied"",""Cleaning"":""The column is coalesced with 0 in case of NULL values"",""Aggregation"":""Used to calculate total_device_uninstalls""}",model.google_play.google_play__country_report,"{""device_uninstalls"":""Directly mapped after cleaning"",""total_device_uninstalls"":""Contributes to this cumulative metric""}"
model.google_play_source.stg_google_play__stats_installs_country,device_upgrades,"{""Direct"":""The column is directly copied"",""Cleaning"":""The column is coalesced with 0 in case of NULL values""}",model.google_play.google_play__country_report,"{""device_upgrades"":""Directly mapped after cleaning""}"
model.google_play_source.stg_google_play__stats_installs_country,user_installs,"{""Direct"":""The column is directly copied"",""Cleaning"":""The column is coalesced with 0 in case of NULL values""}",model.google_play.google_play__country_report,"{""user_installs"":""Directly mapped after cleaning""}"
model.google_play_source.stg_google_play__stats_installs_country,user_uninstalls,"{""Direct"":""The column is directly copied"",""Cleaning"":""The column is coalesced with 0 in case of NULL values""}",model.google_play.google_play__country_report,"{""user_uninstalls"":""Directly mapped after cleaning""}"
model.google_play_source.stg_google_play__stats_installs_country,date_day,"{""Direct"":""The column is directly copied"",""Integration"":""Used as a key to join with other tables"",""Aggregation"":""Used in partitioning for rolling calculations""}",model.google_play.google_play__country_report,"{""date_day"":""Directly mapped""}"
model.google_play_source.stg_google_play__stats_installs_country,install_events,"{""Direct"":""The column is directly copied"",""Cleaning"":""The column is coalesced with 0 in case of NULL values""}",model.google_play.google_play__country_report,"{""install_events"":""Directly mapped after cleaning""}"
model.google_play_source.stg_google_play__stats_installs_country,package_name,"{""Direct"":""The column is directly copied"",""Integration"":""Used as a key to join with other tables"",""Aggregation"":""Used in partitioning for rolling calculations""}",model.google_play.google_play__country_report,"{""package_name"":""Directly mapped""}"
model.google_play_source.stg_google_play__stats_installs_country,uninstall_events,"{""Direct"":""The column is directly copied to the output without transformation"",""Aggregation"":""It's used in the country_join CTE to coalesce values""}",model.google_play.google_play__country_report,"{""uninstall_events"":""Directly copied to the output column of the same name""}"
model.google_play_source.stg_google_play__stats_installs_country,update_events,"{""Direct"":""The column is directly copied to the output without transformation"",""Aggregation"":""It's used in the country_join CTE to coalesce values""}",model.google_play.google_play__country_report,"{""update_events"":""Directly copied to the output column of the same name""}"
model.google_play_source.stg_google_play__stats_ratings_country,country,"{""Integration"":""Used as a key to join with other tables"",""Direct"":""Directly copied to the output""}",model.google_play.google_play__country_report,"{""country_short"":""Directly copied""}"
model.google_play_source.stg_google_play__stats_ratings_country,average_rating,"{""Direct"":""Directly copied to the output""}",model.google_play.google_play__country_report,"{""average_rating"":""Directly copied""}"
model.google_play_source.stg_google_play__stats_ratings_country,date_day,"{""Integration"":""Used as a key to join with other tables"",""Direct"":""Directly copied to the output""}",model.google_play.google_play__country_report,"{""date_day"":""Directly copied""}"
model.google_play_source.stg_google_play__stats_ratings_country,package_name,"{""Integration"":""Used as a key to join with other tables"",""Direct"":""Directly copied to the output""}",model.google_play.google_play__country_report,"{""package_name"":""Directly copied""}"
model.google_play_source.stg_google_play__stats_ratings_country,rolling_total_average_rating,"{""Direct"":""Directly copied to the output"",""Other"":""Used in a window function to fill in NULL values for days without ratings""}",model.google_play.google_play__country_report,"{""rolling_total_average_rating"":""Copied and potentially filled in for NULL values""}"
model.google_play_source.stg_google_play__store_performance_country,country_region,"{""Integration"":""Used as a key to join with other tables"",""Cleaning"":""Coalesced with other country columns to handle null values""}",model.google_play.google_play__country_report,"{""country_short"":""Directly mapped after coalescing""}"
model.google_play_source.stg_google_play__store_performance_country,date_day,"{""Integration"":""Used as a key to join with other tables"",""Aggregation"":""Used in window functions for rolling calculations""}",model.google_play.google_play__country_report,"{""date_day"":""Directly copied to output""}"
model.google_play_source.stg_google_play__store_performance_country,package_name,"{""Integration"":""Used as a key to join with other tables"",""Aggregation"":""Used in window functions for rolling calculations""}",model.google_play.google_play__country_report,"{""package_name"":""Directly copied to output""}"
model.google_play_source.stg_google_play__store_performance_country,store_listing_acquisitions,"{""Aggregation"":""Used in window functions for rolling calculations"",""Cleaning"":""Coalesced to handle null values""}",model.google_play.google_play__country_report,"{""store_listing_acquisitions"":""Directly mapped after coalescing"",""total_store_acquisitions"":""Aggregated into a rolling total""}"
model.google_play_source.stg_google_play__store_performance_country,store_listing_conversion_rate,"{""Direct"":""Copied to output without transformation""}",model.google_play.google_play__country_report,"{""store_listing_conversion_rate"":""Directly copied to output""}"
model.google_play_source.stg_google_play__store_performance_country,store_listing_visitors,"{""Aggregation"":""Used in window functions for rolling calculations"",""Cleaning"":""Coalesced to handle null values""}",model.google_play.google_play__country_report,"{""store_listing_visitors"":""Directly mapped after coalescing"",""total_store_visitors"":""Aggregated into a rolling total"",""rolling_store_conversion_rate"":""Used in calculation of this derived metric""}"
seed.google_play_source.google_play__country_codes,country_name,"{""Direct"":""The column is directly used as a fallback option in COALESCE""}",model.google_play.google_play__country_report,"{""country_long"":""Used in COALESCE(country_codes.alternative_country_name, country_codes.country_name)""}"
seed.google_play_source.google_play__country_codes,alternative_country_name,"{""Direct"":""The column is directly used as the primary option in COALESCE""}",model.google_play.google_play__country_report,"{""country_long"":""Used in COALESCE(country_codes.alternative_country_name, country_codes.country_name)""}"
seed.google_play_source.google_play__country_codes,country_code_alpha_2,"{""Integration"":""Used as the key to join with the 'country' column from other tables""}",model.google_play.google_play__country_report,
seed.google_play_source.google_play__country_codes,region,"{""Direct"":""The column is directly copied without any transformation""}",model.google_play.google_play__country_report,"{""region"":""Directly mapped to the output column 'region'""}"
seed.google_play_source.google_play__country_codes,sub_region,"{""Direct"":""The column is directly copied without any transformation""}",model.google_play.google_play__country_report,"{""sub_region"":""Directly mapped to the output column 'sub_region'""}"
model.google_play_source.stg_google_play__stats_installs_device,active_devices_last_30_days,"{""Direct"":""This column is directly copied to the output without transformation"",""Integration"":""Used in the FULL OUTER JOIN with COALESCE to handle NULL values""}",model.google_play.google_play__device_report,"{""active_devices_last_30_days"":""Directly mapped with COALESCE to default to 0 if NULL""}"
model.google_play_source.stg_google_play__stats_installs_device,device_installs,"{""Direct"":""This column is directly copied to the output"",""Integration"":""Used in the FULL OUTER JOIN with COALESCE to handle NULL values"",""Aggregation"":""Used to calculate total_device_installs""}",model.google_play.google_play__device_report,"{""device_installs"":""Directly mapped with COALESCE to default to 0 if NULL"",""total_device_installs"":""Aggregated using SUM OVER to calculate cumulative installs""}"
model.google_play_source.stg_google_play__stats_installs_device,device_uninstalls,"{""Direct"":""This column is directly copied to the output"",""Integration"":""Used in the FULL OUTER JOIN with COALESCE to handle NULL values"",""Aggregation"":""Used to calculate total_device_uninstalls""}",model.google_play.google_play__device_report,"{""device_uninstalls"":""Directly mapped with COALESCE to default to 0 if NULL"",""total_device_uninstalls"":""Aggregated using SUM OVER to calculate cumulative uninstalls""}"
model.google_play_source.stg_google_play__stats_installs_device,device_upgrades,"{""Direct"":""This column is directly copied to the output"",""Integration"":""Used in the FULL OUTER JOIN with COALESCE to handle NULL values""}",model.google_play.google_play__device_report,"{""device_upgrades"":""Directly mapped with COALESCE to default to 0 if NULL""}"
model.google_play_source.stg_google_play__stats_installs_device,user_installs,"{""Direct"":""This column is directly copied to the output"",""Integration"":""Used in the FULL OUTER JOIN with COALESCE to handle NULL values""}",model.google_play.google_play__device_report,"{""user_installs"":""Directly mapped with COALESCE to default to 0 if NULL""}"
model.google_play_source.stg_google_play__stats_installs_device,user_uninstalls,"{""Direct"":""This column is directly copied to the output"",""Integration"":""Used in the FULL OUTER JOIN with COALESCE to handle NULL values""}",model.google_play.google_play__device_report,"{""user_uninstalls"":""Directly mapped with COALESCE to default to 0 if NULL""}"
model.google_play_source.stg_google_play__stats_installs_device,date_day,"{""Integration"":""Used as a key in the FULL OUTER JOIN"",""Aggregation"":""Used in window functions for calculating rolling metrics""}",model.google_play.google_play__device_report,"{""date_day"":""Directly mapped using COALESCE between install_metrics and ratings""}"
model.google_play_source.stg_google_play__stats_installs_device,device,"{""Integration"":""Used as a key in the FULL OUTER JOIN"",""Aggregation"":""Used in window functions for partitioning data"",""Cleaning"":""COALESCE used to handle NULL values""}",model.google_play.google_play__device_report,"{""device"":""Directly mapped using COALESCE between install_metrics and ratings""}"
model.google_play_source.stg_google_play__stats_installs_device,install_events,"{""Direct"":""This column is directly copied to the output"",""Integration"":""Used in the FULL OUTER JOIN with COALESCE to handle NULL values""}",model.google_play.google_play__device_report,"{""install_events"":""Directly mapped with COALESCE to default to 0 if NULL""}"
model.google_play_source.stg_google_play__stats_installs_device,package_name,"{""Integration"":""Used as a key in the FULL OUTER JOIN"",""Aggregation"":""Used in window functions for partitioning data""}",model.google_play.google_play__device_report,"{""package_name"":""Directly mapped using COALESCE between install_metrics and ratings""}"
model.google_play_source.stg_google_play__stats_installs_device,uninstall_events,"{""Direct"":""This column is directly copied to the output without transformation""}",model.google_play.google_play__device_report,"{""uninstall_events"":""Directly copied to the output column of the same name""}"
model.google_play_source.stg_google_play__stats_installs_device,update_events,"{""Direct"":""This column is directly copied to the output without transformation""}",model.google_play.google_play__device_report,"{""update_events"":""Directly copied to the output column of the same name""}"
model.google_play_source.stg_google_play__stats_ratings_device,average_rating,"{""Direct"":""The column is directly copied without any transformation""}",model.google_play.google_play__device_report,"{""average_rating"":""Directly copied to the output""}"
model.google_play_source.stg_google_play__stats_ratings_device,date_day,"{""Integration"":""Used as a key to join with the installs table"",""Aggregation"":""Used in window functions for rolling calculations""}",model.google_play.google_play__device_report,"{""date_day"":""Directly copied to the output""}"
model.google_play_source.stg_google_play__stats_ratings_device,device,"{""Integration"":""Used as a key to join with the installs table"",""Aggregation"":""Used in partitioning for rolling calculations""}",model.google_play.google_play__device_report,"{""device"":""Directly copied to the output""}"
model.google_play_source.stg_google_play__stats_ratings_device,package_name,"{""Integration"":""Used as a key to join with the installs table"",""Aggregation"":""Used in partitioning for rolling calculations""}",model.google_play.google_play__device_report,"{""package_name"":""Directly copied to the output""}"
