parent_idx,child_idx
32,4
27,4
20,4
31,3
38,3
20,3
59,8
20,8
17,20
29,20
30,20
37,27
26,32
90,32
61,30
19,29
39,31
20,31
27,19
82,19
61,19
62,9
27,9
61,9
27,11
61,11
66,11
27,12
61,12
68,12
27,14
72,14
61,14
76,16
27,16
61,16
27,13
61,13
70,13
27,15
61,15
74,15
27,10
61,10
64,10
78,17
27,17
61,17
80,18
27,18
61,18
42,2
26,0
88,0
33,0
28,7
26,7
92,7
28,6
56,6
50,6
51,6
88,26
90,26
92,26
85,26
26,22
94,22
26,25
100,25
26,23
96,23
26,21
86,21
26,24
98,24
103,28
50,28
45,28
51,28
34,1
54,5
63,62
52,51
99,98
36,33
93,92
69,68
81,80
41,38
84,61
91,90
89,88
83,82
104,103
71,70
47,46
55,54
95,94
75,74
97,96
57,56
49,48
60,59
43,42
73,72
107,106
35,34
53,50
101,100
65,64
79,78
67,66
40,39
102,85
87,86
77,76
58,45
44,37
108,105
130,75
143,101
145,108
113,40
110,35
116,47
139,93
126,67
127,69
138,91
128,71
123,84
125,65
129,73
112,41
133,81
146,107
132,79
122,60
142,99
144,104
111,44
124,63
137,89
135,102
115,58
120,55
121,57
140,95
109,36
136,87
141,97
134,83
118,53
114,43
117,49
119,52
131,77
