model_name,summary,tags
model.hubspot.hubspot__contacts,"This SQL query integrates contact data from Hubspot with engagement metrics and email send information. It combines data from multiple tables, including contacts, engagements, and email sends. The query calculates various engagement counts (notes, tasks, calls, meetings, emails) for each contact and joins this information with the main contact data. It also checks if a contact's email address has been used in email sends.","[""Integration"",""Aggregation"",""Featurization""]"
model.hubspot.hubspot__contact_lists,"This SQL query integrates data from two tables: contact lists and email metrics. It performs a left join between these tables using the contact_list_id as the joining key. The query selects all columns from the contact_lists table, effectively combining contact list information with associated email metrics data, if available.","[""Integration""]"
model.hubspot.hubspot__email_campaigns,"This SQL query joins data from two tables: 'stg_hubspot__email_campaign' and 'hubspot__email_sends'. It first creates CTEs for each table, then groups the email sends data by email_campaign_id. Finally, it performs a left join between the campaigns data and the grouped email metrics data, returning all columns from the campaigns table along with the matching email campaign IDs from the email metrics.","[""Integration"",""Aggregation""]"
model.hubspot.hubspot__email_sends,"This SQL query aggregates and integrates various email event metrics from Hubspot data. It starts by creating CTEs for email event aggregates and status changes. Then it joins these aggregates with the main email sent events, adding various metrics like bounces, clicks, opens, etc. Finally, it calculates boolean flags for each metric and adds unsubscribe information. The result is a comprehensive view of email campaign performance with detailed metrics and flags for each email send.","[""Aggregation"",""Integration"",""Featurization""]"
model.hubspot.int_hubspot__contact_merge_adjust,"This query adjusts contact data by removing merged contacts. It first extracts merged contact IDs from a string field, then removes any contacts that appear in this merged list. The result is a dataset of unique, non-merged contacts.","[""Filtering"",""Cleaning"",""Deduplication""]"
model.hubspot.int_hubspot__engagement_metrics__by_contact,"This SQL query calculates engagement metrics for each contact in HubSpot. It joins engagement data with contact data, then counts the number of different types of engagements (notes, tasks, calls, meetings, emails, incoming emails, and forwarded emails) for each contact. The result is a summary of engagement activities per contact.","[""Integration"",""Aggregation"",""Featurization""]"
model.hubspot.int_hubspot__email_event_aggregates,"This SQL query aggregates email event data from the stg_hubspot__email_event table. It counts various types of email events (opens, sends, deliveries, drops, clicks, forwards, deferrals, bounces, spam reports, and prints) for each unique email_send_id. The query filters out rows where sent_by_event_id is null and groups the results by this ID.","[""Filtering"",""Aggregation""]"
model.hubspot.int_hubspot__email_aggregate_status_change,This SQL query aggregates data from the hubspot__email_event_status_change table. It counts the number of unsubscribes for each combination of email_campaign_id and email_send_id. The query filters out rows where email_send_id is null and only considers 'UNSUBSCRIBED' status for counting.,"[""Filtering"",""Aggregation""]"
model.hubspot.int_hubspot__email_metrics__by_contact_list,"This SQL query joins email send data with contact list member data to generate email metrics grouped by contact list. It filters out records where the contact_list_id is null, effectively focusing on email sends associated with specific contact lists.","[""Integration"",""Filtering"",""Aggregation""]"
model.hubspot.hubspot__email_event_status_change,"This SQL query integrates data from three different tables: email event status changes, email events, and contacts. It joins these tables to create a comprehensive view of email status change events, including associated campaign information, recipient details, and contact status. The query uses LEFT JOINs to ensure all status change events are included, even if matching records are not found in the other tables. It also adds a flag to indicate whether the contact has been deleted.","[""Integration"",""Cleaning""]"
