input_model,input_column,tags,output_model,output_columns
model.hubspot.hubspot__email_sends,recipient_email_address,"{""Integration"":""used as the key to join with contacts table""}",model.hubspot.hubspot__contacts,
model.hubspot.hubspot__email_sends,contact_id,"{""Integration"":""used as the key to join with contacts and engagements tables""}",model.hubspot.hubspot__contacts,
model.hubspot.hubspot__email_sends,bounces,"{""Aggregation"":""aggregated to calculate total and unique bounces""}",model.hubspot.hubspot__contacts,"{""total_bounces"":""summed up"",""total_unique_bounces"":""counted uniquely""}"
model.hubspot.hubspot__email_sends,clicks,"{""Aggregation"":""aggregated to calculate total and unique clicks""}",model.hubspot.hubspot__contacts,"{""total_clicks"":""summed up"",""total_unique_clicks"":""counted uniquely""}"
model.hubspot.hubspot__email_sends,deferrals,"{""Aggregation"":""aggregated to calculate total and unique deferrals""}",model.hubspot.hubspot__contacts,"{""total_deferrals"":""summed up"",""total_unique_deferrals"":""counted uniquely""}"
model.hubspot.hubspot__email_sends,deliveries,"{""Aggregation"":""aggregated to calculate total and unique deliveries""}",model.hubspot.hubspot__contacts,"{""total_deliveries"":""summed up"",""total_unique_deliveries"":""counted uniquely""}"
model.hubspot.hubspot__email_sends,drops,"{""Aggregation"":""aggregated to calculate total and unique drops""}",model.hubspot.hubspot__contacts,"{""total_drops"":""summed up"",""total_unique_drops"":""counted uniquely""}"
model.hubspot.hubspot__email_sends,forwards,"{""Aggregation"":""aggregated to calculate total and unique forwards""}",model.hubspot.hubspot__contacts,"{""total_forwards"":""summed up"",""total_unique_forwards"":""counted uniquely""}"
model.hubspot.hubspot__email_sends,opens,"{""Aggregation"":""This column is aggregated to calculate the total number of open email events.""}",model.hubspot.hubspot__contacts,"{""total_opens"":""Summed up for each contact"",""total_unique_opens"":""Counted as unique occurrences for each contact""}"
model.hubspot.hubspot__email_sends,prints,"{""Aggregation"":""This column is aggregated to calculate the total number of print email events.""}",model.hubspot.hubspot__contacts,"{""total_prints"":""Summed up for each contact"",""total_unique_prints"":""Counted as unique occurrences for each contact""}"
model.hubspot.hubspot__email_sends,spam_reports,"{""Aggregation"":""This column is aggregated to calculate the total number of spam report email events.""}",model.hubspot.hubspot__contacts,"{""total_spam_reports"":""Summed up for each contact"",""total_unique_spam_reports"":""Counted as unique occurrences for each contact""}"
model.hubspot.hubspot__email_sends,unsubscribes,"{""Aggregation"":""This column is aggregated to calculate the total number of unsubscribe email events.""}",model.hubspot.hubspot__contacts,"{""total_unsubscribes"":""Summed up for each contact"",""total_unique_unsubscribes"":""Counted as unique occurrences for each contact""}"
