model_name,column_name,column_type,comment,index
model.linkedin.linkedin_ads__campaign_group_report,source_relation,text,The source of the record if the unioning functionality is being used. If not this field will be empty.,
model.linkedin.linkedin_ads__campaign_group_report,account_name,text,A label for the account.,
model.linkedin.linkedin_ads__campaign_group_report,account_id,integer,Unique internal ID representing the account.,
model.linkedin.linkedin_ads__campaign_group_report,date_day,timestamp without time zone,The day of the activity.,
model.linkedin.linkedin_ads__campaign_group_report,clicks,bigint,The count of chargeable clicks.,
model.linkedin.linkedin_ads__campaign_group_report,impressions,bigint,"This is the count of ""impressions"" for Direct Ads and Sponsored Updates and ""sends"" for InMails.",
model.linkedin.linkedin_ads__campaign_group_report,cost,numeric,The cost of the ads in the local currency or USD.,
model.linkedin.linkedin_ads__campaign_group_report,campaign_group_name,text,A label for the campaign group.,
model.linkedin.linkedin_ads__campaign_group_report,campaign_group_id,integer,Unique internal ID representing the campaign group.,
model.linkedin.linkedin_ads__campaign_group_report,last_modified_at,timestamp without time zone,The timestamp of when the version was updated.,
model.linkedin.linkedin_ads__campaign_group_report,created_at,timestamp without time zone,The timestamp of when the campaign group was created.,
model.linkedin.linkedin_ads__campaign_group_report,is_backfilled,boolean,Flag that denotes whether the campaign group was created organically or to backfill existing campaigns. This is a read-only field set by the system. Default = false.,
model.linkedin.linkedin_ads__campaign_group_report,run_schedule_start_at,timestamp without time zone,Represents the inclusive (greater than or equal to) date when to start running the associated campaigns under this campaign group. This field is required.,
model.linkedin.linkedin_ads__campaign_group_report,run_schedule_end_at,timestamp without time zone,"Represents the exclusive (strictly less than) date when to stop running the associated campaigns under this campaign group. If this field is unset, it indicates an open range with no end date.",
