model_name,index
model.linkedin.linkedin_ads__account_report,0
model.linkedin.linkedin_ads__campaign_group_report,1
model.linkedin.linkedin_ads__campaign_report,2
model.linkedin.linkedin_ads__creative_report,3
model.linkedin.linkedin_ads__url_report,4
model.linkedin_source.stg_linkedin_ads__account_history,5
model.linkedin_source.stg_linkedin_ads__account_history_tmp,6
model.linkedin_source.stg_linkedin_ads__ad_analytics_by_campaign,7
model.linkedin_source.stg_linkedin_ads__ad_analytics_by_campaign_tmp,8
model.linkedin_source.stg_linkedin_ads__ad_analytics_by_creative,9
model.linkedin_source.stg_linkedin_ads__ad_analytics_by_creative_tmp,10
model.linkedin_source.stg_linkedin_ads__campaign_group_history,11
model.linkedin_source.stg_linkedin_ads__campaign_group_history_tmp,12
model.linkedin_source.stg_linkedin_ads__campaign_history,13
model.linkedin_source.stg_linkedin_ads__campaign_history_tmp,14
model.linkedin_source.stg_linkedin_ads__creative_history,15
model.linkedin_source.stg_linkedin_ads__creative_history_tmp,16
source.linkedin_source.linkedin_ads.account_history,17
source.linkedin_source.linkedin_ads.ad_analytics_by_campaign,18
source.linkedin_source.linkedin_ads.ad_analytics_by_creative,19
source.linkedin_source.linkedin_ads.campaign_group_history,20
source.linkedin_source.linkedin_ads.campaign_history,21
source.linkedin_source.linkedin_ads.creative_history,22
