input_model,input_column,tags,output_model,output_columns
model.linkedin_source.stg_linkedin_ads__account_history,source_relation,"{""Integration"":""used as part of the join condition with other tables"",""Direct"":""directly copied to the output""}",model.linkedin.linkedin_ads__campaign_group_report,"{""source_relation"":""directly copied""}"
model.linkedin_source.stg_linkedin_ads__account_history,account_id,"{""Integration"":""used as the key to join with other tables"",""Direct"":""directly copied to the output""}",model.linkedin.linkedin_ads__campaign_group_report,"{""account_id"":""directly copied""}"
model.linkedin_source.stg_linkedin_ads__account_history,account_name,"{""Direct"":""directly copied to the output""}",model.linkedin.linkedin_ads__campaign_group_report,"{""account_name"":""directly copied""}"
model.linkedin_source.stg_linkedin_ads__account_history,currency,"{""Direct"":""directly copied to the output""}",model.linkedin.linkedin_ads__campaign_group_report,"{""currency"":""directly copied""}"
model.linkedin_source.stg_linkedin_ads__account_history,is_latest_version,"{""Filtering"":""used to filter for the latest version of the account""}",model.linkedin.linkedin_ads__campaign_group_report,
model.linkedin_source.stg_linkedin_ads__ad_analytics_by_campaign,source_relation,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as part of the join condition with other tables"",""Aggregation"":""Used in the GROUP BY clause""}",model.linkedin.linkedin_ads__campaign_group_report,"{""source_relation"":""Directly copied to the output""}"
model.linkedin_source.stg_linkedin_ads__ad_analytics_by_campaign,campaign_id,"{""Integration"":""Used as the key to join with the campaign table""}",model.linkedin.linkedin_ads__campaign_group_report,
model.linkedin_source.stg_linkedin_ads__ad_analytics_by_campaign,date_day,"{""Direct"":""The column is directly copied without any transformation"",""Aggregation"":""Used in the GROUP BY clause""}",model.linkedin.linkedin_ads__campaign_group_report,"{""date_day"":""Directly copied to the output""}"
model.linkedin_source.stg_linkedin_ads__ad_analytics_by_campaign,clicks,"{""Aggregation"":""The column is summed up in the final SELECT statement""}",model.linkedin.linkedin_ads__campaign_group_report,"{""clicks"":""Aggregated sum of clicks""}"
model.linkedin_source.stg_linkedin_ads__ad_analytics_by_campaign,impressions,"{""Aggregation"":""The column is summed up in the final SELECT statement""}",model.linkedin.linkedin_ads__campaign_group_report,"{""impressions"":""Aggregated sum of impressions""}"
model.linkedin_source.stg_linkedin_ads__ad_analytics_by_campaign,cost,"{""Aggregation"":""The column is summed up in the final SELECT statement""}",model.linkedin.linkedin_ads__campaign_group_report,"{""cost"":""Aggregated sum of cost""}"
model.linkedin_source.stg_linkedin_ads__campaign_group_history,source_relation,"{""Integration"":""used as part of the join condition with other tables"",""Direct"":""directly copied to the output""}",model.linkedin.linkedin_ads__campaign_group_report,"{""source_relation"":""directly copied""}"
model.linkedin_source.stg_linkedin_ads__campaign_group_history,campaign_group_id,"{""Integration"":""used as part of the join condition with the campaign table"",""Direct"":""directly copied to the output"",""Aggregation"":""used in the GROUP BY clause""}",model.linkedin.linkedin_ads__campaign_group_report,"{""campaign_group_id"":""directly copied""}"
model.linkedin_source.stg_linkedin_ads__campaign_group_history,last_modified_at,"{""Direct"":""directly copied to the output"",""Aggregation"":""used in the GROUP BY clause""}",model.linkedin.linkedin_ads__campaign_group_report,"{""last_modified_at"":""directly copied""}"
model.linkedin_source.stg_linkedin_ads__campaign_group_history,created_at,"{""Direct"":""directly copied to the output"",""Aggregation"":""used in the GROUP BY clause""}",model.linkedin.linkedin_ads__campaign_group_report,"{""created_at"":""directly copied""}"
model.linkedin_source.stg_linkedin_ads__campaign_group_history,campaign_group_name,"{""Direct"":""directly copied to the output"",""Aggregation"":""used in the GROUP BY clause""}",model.linkedin.linkedin_ads__campaign_group_report,"{""campaign_group_name"":""directly copied""}"
model.linkedin_source.stg_linkedin_ads__campaign_group_history,is_backfilled,"{""Direct"":""directly copied to the output"",""Aggregation"":""used in the GROUP BY clause""}",model.linkedin.linkedin_ads__campaign_group_report,"{""is_backfilled"":""directly copied""}"
model.linkedin_source.stg_linkedin_ads__campaign_group_history,run_schedule_start_at,"{""Direct"":""directly copied to the output"",""Aggregation"":""used in the GROUP BY clause""}",model.linkedin.linkedin_ads__campaign_group_report,"{""run_schedule_start_at"":""directly copied""}"
model.linkedin_source.stg_linkedin_ads__campaign_group_history,run_schedule_end_at,"{""Direct"":""directly copied to the output"",""Aggregation"":""used in the GROUP BY clause""}",model.linkedin.linkedin_ads__campaign_group_report,"{""run_schedule_end_at"":""directly copied""}"
model.linkedin_source.stg_linkedin_ads__campaign_group_history,status,"{""Direct"":""directly copied to the output"",""Aggregation"":""used in the GROUP BY clause""}",model.linkedin.linkedin_ads__campaign_group_report,"{""status"":""directly copied""}"
model.linkedin_source.stg_linkedin_ads__campaign_group_history,is_latest_version,"{""Filtering"":""This column is used to filter the records in the campaign_group CTE to only include the latest version of each campaign group.""}",model.linkedin.linkedin_ads__campaign_group_report,
model.linkedin_source.stg_linkedin_ads__campaign_history,source_relation,"{""Integration"":""used as part of the join condition with other tables"",""Direct"":""directly copied to the output""}",model.linkedin.linkedin_ads__campaign_group_report,"{""source_relation"":""directly copied""}"
model.linkedin_source.stg_linkedin_ads__campaign_history,campaign_id,"{""Integration"":""used as the key to join with the report table""}",model.linkedin.linkedin_ads__campaign_group_report,
model.linkedin_source.stg_linkedin_ads__campaign_history,account_id,"{""Integration"":""used to join with the account table""}",model.linkedin.linkedin_ads__campaign_group_report,
model.linkedin_source.stg_linkedin_ads__campaign_history,campaign_group_id,"{""Integration"":""used to join with the campaign_group table""}",model.linkedin.linkedin_ads__campaign_group_report,
model.linkedin_source.stg_linkedin_ads__campaign_history,run_schedule_start_at,"{""Integration"":""This column is used to join the campaign table with the campaign_group table""}",model.linkedin.linkedin_ads__campaign_group_report,"{""run_schedule_start_at"":""It is directly copied to the output""}"
model.linkedin_source.stg_linkedin_ads__campaign_history,is_latest_version,"{""Filtering"":""This column is used to filter for the latest version of campaign history records""}",model.linkedin.linkedin_ads__campaign_group_report,
model.linkedin_source.stg_linkedin_ads__ad_analytics_by_campaign_tmp,_dbt_source_relation,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as TEXT type in the macro CTE""}",model.linkedin_source.stg_linkedin_ads__ad_analytics_by_campaign,"{""source_relation"":""It is directly mapped to the source_relation column in the output""}"
model.linkedin_source.stg_linkedin_ads__account_history,source_relation,"{""Integration"":""used as part of the join condition with other tables"",""Direct"":""directly copied to the output""}",model.linkedin.linkedin_ads__creative_report,"{""source_relation"":""directly copied""}"
model.linkedin_source.stg_linkedin_ads__account_history,account_id,"{""Integration"":""used as the join key with other tables"",""Direct"":""directly copied to the output""}",model.linkedin.linkedin_ads__creative_report,"{""account_id"":""directly copied""}"
model.linkedin_source.stg_linkedin_ads__account_history,account_name,"{""Direct"":""directly copied to the output""}",model.linkedin.linkedin_ads__creative_report,"{""account_name"":""directly copied""}"
model.linkedin_source.stg_linkedin_ads__account_history,currency,"{""Direct"":""directly copied to the output""}",model.linkedin.linkedin_ads__creative_report,"{""currency"":""directly copied""}"
model.linkedin_source.stg_linkedin_ads__account_history,is_latest_version,"{""Filtering"":""used to filter for the latest version of account data""}",model.linkedin.linkedin_ads__creative_report,
model.linkedin_source.stg_linkedin_ads__ad_analytics_by_creative,source_relation,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as part of the join condition with other tables"",""Aggregation"":""Used in the GROUP BY clause""}",model.linkedin.linkedin_ads__creative_report,"{""source_relation"":""Directly copied to the output""}"
model.linkedin_source.stg_linkedin_ads__ad_analytics_by_creative,creative_id,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as a key to join with the creative table"",""Aggregation"":""Used in the GROUP BY clause""}",model.linkedin.linkedin_ads__creative_report,"{""creative_id"":""Directly copied to the output""}"
model.linkedin_source.stg_linkedin_ads__ad_analytics_by_creative,date_day,"{""Direct"":""The column is directly copied without any transformation"",""Aggregation"":""Used in the GROUP BY clause""}",model.linkedin.linkedin_ads__creative_report,"{""date_day"":""Directly copied to the output""}"
model.linkedin_source.stg_linkedin_ads__ad_analytics_by_creative,clicks,"{""Aggregation"":""The column is summed up in the SELECT statement""}",model.linkedin.linkedin_ads__creative_report,"{""clicks"":""Summed up and mapped to the output""}"
model.linkedin_source.stg_linkedin_ads__ad_analytics_by_creative,impressions,"{""Aggregation"":""The column is summed up in the SELECT statement""}",model.linkedin.linkedin_ads__creative_report,"{""impressions"":""Summed up and mapped to the output""}"
model.linkedin_source.stg_linkedin_ads__ad_analytics_by_creative,cost,"{""Aggregation"":""The column is summed up in the SELECT statement""}",model.linkedin.linkedin_ads__creative_report,"{""cost"":""Summed up and mapped to the output""}"
model.linkedin_source.stg_linkedin_ads__campaign_group_history,source_relation,"{""Integration"":""used as a key to join with other tables"",""Direct"":""directly copied to the output""}",model.linkedin.linkedin_ads__creative_report,"{""source_relation"":""directly copied""}"
model.linkedin_source.stg_linkedin_ads__campaign_group_history,campaign_group_id,"{""Integration"":""used as a key to join with the campaign table"",""Direct"":""directly copied to the output""}",model.linkedin.linkedin_ads__creative_report,"{""campaign_group_id"":""directly copied""}"
model.linkedin_source.stg_linkedin_ads__campaign_group_history,campaign_group_name,"{""Direct"":""directly copied to the output""}",model.linkedin.linkedin_ads__creative_report,"{""campaign_group_name"":""directly copied""}"
model.linkedin_source.stg_linkedin_ads__campaign_group_history,status,"{""Direct"":""directly copied to the output""}",model.linkedin.linkedin_ads__creative_report,"{""campaign_group_status"":""directly copied""}"
model.linkedin_source.stg_linkedin_ads__campaign_group_history,is_latest_version,"{""Filtering"":""This column is used to filter the campaign group history records to only include the latest version of each campaign group.""}",model.linkedin.linkedin_ads__creative_report,
model.linkedin_source.stg_linkedin_ads__campaign_history,source_relation,"{""Integration"":""used as part of the join condition with other tables"",""Direct"":""directly copied to the output""}",model.linkedin.linkedin_ads__creative_report,"{""source_relation"":""directly copied""}"
model.linkedin_source.stg_linkedin_ads__campaign_history,campaign_id,"{""Integration"":""used as join key with creative table"",""Direct"":""directly copied to the output""}",model.linkedin.linkedin_ads__creative_report,"{""campaign_id"":""directly copied""}"
model.linkedin_source.stg_linkedin_ads__campaign_history,account_id,"{""Integration"":""used as join key with account table""}",model.linkedin.linkedin_ads__creative_report,
model.linkedin_source.stg_linkedin_ads__campaign_history,campaign_group_id,"{""Integration"":""used as join key with campaign_group table""}",model.linkedin.linkedin_ads__creative_report,
model.linkedin_source.stg_linkedin_ads__campaign_history,campaign_name,"{""Direct"":""directly copied to the output""}",model.linkedin.linkedin_ads__creative_report,"{""campaign_name"":""directly copied""}"
