model_name,column_name,column_type,comment,index
model.pinterest.pinterest_ads__pin_promotion_report,source_relation,,The source of the record if the unioning functionality is being used. If not this field will be empty.,
model.pinterest.pinterest_ads__pin_promotion_report,date_day,,The performance date of the record.,
model.pinterest.pinterest_ads__pin_promotion_report,advertiser_id,,The ID of the related Advertiser.,
model.pinterest.pinterest_ads__pin_promotion_report,advertiser_name,,Name of the advertiser.,
model.pinterest.pinterest_ads__pin_promotion_report,campaign_id,,The ID of the related Campaign.,
model.pinterest.pinterest_ads__pin_promotion_report,campaign_name,,Name of the campaign.,
model.pinterest.pinterest_ads__pin_promotion_report,campaign_status,,Status of the campaign.,
model.pinterest.pinterest_ads__pin_promotion_report,ad_group_id,,The ID of the related Ad group.,
model.pinterest.pinterest_ads__pin_promotion_report,ad_group_name,,Name of the ad group.,
model.pinterest.pinterest_ads__pin_promotion_report,ad_group_status,,Status of the ad group.,
model.pinterest.pinterest_ads__pin_promotion_report,creative_type,,"The creative type. 
One of ""APP"", ""APP_VIDEO"", ""BOARD"", ""CAROUSEL"", ""CINEMATIC"", ""COMMERCE"", ""MAX_VIDEO"", ""NATIVE_VIDEO"", ""REGULAR"", 
""SEARCH_PROMINENCE"", ""SEARCH_PROMINENCE_CAROUSEL"", ""SHOPPING"", ""SHOP_THE_PIN"", ""THIRD_PARTY"", or ""VIDEO"".
",
model.pinterest.pinterest_ads__pin_promotion_report,pin_promotion_id,,The ID of the related Pin promotion.,
model.pinterest.pinterest_ads__pin_promotion_report,pin_name,,Name of the pin.,
model.pinterest.pinterest_ads__pin_promotion_report,pin_status,,Status of the pin.,
model.pinterest.pinterest_ads__pin_promotion_report,destination_url,,Pin destination URL.,
model.pinterest.pinterest_ads__pin_promotion_report,base_url,,"The base URL of the ad, extracted from the `destination_url`.",
model.pinterest.pinterest_ads__pin_promotion_report,clicks,,The number of paid and earned clicks that occurred on the day of the record.,
model.pinterest.pinterest_ads__pin_promotion_report,impressions,,The number of paid and earned impressions that occurred on the day of the record.,
model.pinterest.pinterest_ads__pin_promotion_report,spend,,The amount of spend that occurred on the day of the record.,
model.pinterest.pinterest_ads__campaign_report,source_relation,,The source of the record if the unioning functionality is being used. If not this field will be empty.,
model.pinterest.pinterest_ads__campaign_report,date_day,,The performance date of the record.,
model.pinterest.pinterest_ads__campaign_report,advertiser_id,,The ID of the related Advertiser.,
model.pinterest.pinterest_ads__campaign_report,advertiser_name,,Name of the advertiser.,
model.pinterest.pinterest_ads__campaign_report,campaign_id,,The ID of the related Campaign.,
model.pinterest.pinterest_ads__campaign_report,campaign_name,,The name of the related Campaign.,
model.pinterest.pinterest_ads__campaign_report,campaign_status,,Status of the campaign.,
model.pinterest.pinterest_ads__campaign_report,impressions,,The number of paid and earned impressions that occurred on the day of the record.,
model.pinterest.pinterest_ads__campaign_report,clicks,,The number of paid and earned clicks that occurred on the day of the record.,
model.pinterest.pinterest_ads__campaign_report,spend,,The amount of spend that occurred on the day of the record.,
model.pinterest.pinterest_ads__ad_group_report,source_relation,,The source of the record if the unioning functionality is being used. If not this field will be empty.,
model.pinterest.pinterest_ads__ad_group_report,date_day,,The performance date of the record.,
model.pinterest.pinterest_ads__ad_group_report,advertiser_id,,The ID of the related Advertiser.,
model.pinterest.pinterest_ads__ad_group_report,advertiser_name,,Name of the advertiser.,
model.pinterest.pinterest_ads__ad_group_report,campaign_id,,The ID of the related Campaign.,
model.pinterest.pinterest_ads__ad_group_report,campaign_name,,The name of the related Campaign.,
model.pinterest.pinterest_ads__ad_group_report,campaign_status,,Status of the campaign.,
model.pinterest.pinterest_ads__ad_group_report,ad_group_id,,The ID of the related Ad group.,
model.pinterest.pinterest_ads__ad_group_report,ad_group_name,,The name of the related Ad group.,
model.pinterest.pinterest_ads__ad_group_report,ad_group_status,,Status of the ad group.,
model.pinterest.pinterest_ads__ad_group_report,created_at,,Ad group creation time.,
model.pinterest.pinterest_ads__ad_group_report,start_time,,Ad group start time.,
model.pinterest.pinterest_ads__ad_group_report,end_time,,Ad group end time.,
model.pinterest.pinterest_ads__ad_group_report,impressions,,The number of paid and earned impressions that occurred on the day of the record.,
model.pinterest.pinterest_ads__ad_group_report,clicks,,The number of paid and earned clicks that occurred on the day of the record.,
model.pinterest.pinterest_ads__ad_group_report,spend,,The amount of spend that occurred on the day of the record.,
model.pinterest.pinterest_ads__url_report,source_relation,,The source of the record if the unioning functionality is being used. If not this field will be empty.,
model.pinterest.pinterest_ads__url_report,date_day,,The performance date of the record.,
model.pinterest.pinterest_ads__url_report,advertiser_id,,The ID of the related Advertiser.,
model.pinterest.pinterest_ads__url_report,advertiser_name,,Name of the advertiser.,
model.pinterest.pinterest_ads__url_report,campaign_status,,Status of the campaign.,
model.pinterest.pinterest_ads__url_report,ad_group_status,,Status of the ad group.,
model.pinterest.pinterest_ads__url_report,destination_url,,Pin destination URL.,
model.pinterest.pinterest_ads__url_report,pin_promotion_id,,The ID of the related Pin promotion.,
model.pinterest.pinterest_ads__url_report,pin_name,,Pin promotion name.,
model.pinterest.pinterest_ads__url_report,pin_status,,"The status of the Pin promotion. One of ""ACTIVE"", ""ARCHIVED"", ""PAUSED""",
model.pinterest.pinterest_ads__url_report,creative_type,,"The creative type. 
One of ""APP"", ""APP_VIDEO"", ""BOARD"", ""CAROUSEL"", ""CINEMATIC"", ""COMMERCE"", ""MAX_VIDEO"", ""NATIVE_VIDEO"", ""REGULAR"", 
""SEARCH_PROMINENCE"", ""SEARCH_PROMINENCE_CAROUSEL"", ""SHOPPING"", ""SHOP_THE_PIN"", ""THIRD_PARTY"", or ""VIDEO"".
",
model.pinterest.pinterest_ads__url_report,base_url,,"The base URL of the ad, extracted from the `destination_url`.",
model.pinterest.pinterest_ads__url_report,url_host,,"The URL host of the ad, extracted from the `destination_url`.",
model.pinterest.pinterest_ads__url_report,url_path,,"The URL path of the ad, extracted from the `destination_url`.",
model.pinterest.pinterest_ads__url_report,utm_source,,"The utm_source parameter of the ad, extracted from the `destination_url`.",
model.pinterest.pinterest_ads__url_report,utm_medium,,"The utm_medium parameter of the ad, extracted from the `destination_url`.",
model.pinterest.pinterest_ads__url_report,utm_campaign,,"The utm_campaign parameter of the ad, extracted from the `destination_url`.",
model.pinterest.pinterest_ads__url_report,utm_content,,"The utm_content parameter of the ad, extracted from the `destination_url`.",
model.pinterest.pinterest_ads__url_report,utm_term,,"The utm_term parameter of the ad, extracted from the `destination_url`.",
model.pinterest.pinterest_ads__url_report,campaign_id,,The ID of the related Campaign.,
model.pinterest.pinterest_ads__url_report,campaign_name,,The name of the related Campaign.,
model.pinterest.pinterest_ads__url_report,ad_group_id,,The ID of the related Ad group.,
model.pinterest.pinterest_ads__url_report,ad_group_name,,The name of the related Ad group.,
model.pinterest.pinterest_ads__url_report,impressions,,The number of paid and earned impressions that occurred on the day of the record.,
model.pinterest.pinterest_ads__url_report,clicks,,The number of paid and earned clicks that occurred on the day of the record.,
model.pinterest.pinterest_ads__url_report,spend,,The amount of spend that occurred on the day of the record.,
model.pinterest.pinterest_ads__keyword_report,source_relation,,The source of the record if the unioning functionality is being used. If not this field will be empty.,
model.pinterest.pinterest_ads__keyword_report,date_day,,The performance date of the record.,
