model_name,index
model.pinterest.pinterest_ads__ad_group_report,0
model.pinterest.pinterest_ads__advertiser_report,1
model.pinterest.pinterest_ads__campaign_report,2
model.pinterest.pinterest_ads__keyword_report,3
model.pinterest.pinterest_ads__pin_promotion_report,4
model.pinterest.pinterest_ads__url_report,5
model.pinterest_source.stg_pinterest_ads__ad_group_history,6
model.pinterest_source.stg_pinterest_ads__ad_group_history_tmp,7
model.pinterest_source.stg_pinterest_ads__ad_group_report,8
model.pinterest_source.stg_pinterest_ads__ad_group_report_tmp,9
model.pinterest_source.stg_pinterest_ads__advertiser_history,10
model.pinterest_source.stg_pinterest_ads__advertiser_history_tmp,11
model.pinterest_source.stg_pinterest_ads__advertiser_report,12
model.pinterest_source.stg_pinterest_ads__advertiser_report_tmp,13
model.pinterest_source.stg_pinterest_ads__campaign_history,14
model.pinterest_source.stg_pinterest_ads__campaign_history_tmp,15
model.pinterest_source.stg_pinterest_ads__campaign_report,16
model.pinterest_source.stg_pinterest_ads__campaign_report_tmp,17
model.pinterest_source.stg_pinterest_ads__keyword_history,18
model.pinterest_source.stg_pinterest_ads__keyword_history_tmp,19
model.pinterest_source.stg_pinterest_ads__keyword_report,20
model.pinterest_source.stg_pinterest_ads__keyword_report_tmp,21
model.pinterest_source.stg_pinterest_ads__pin_promotion_history,22
model.pinterest_source.stg_pinterest_ads__pin_promotion_history_tmp,23
model.pinterest_source.stg_pinterest_ads__pin_promotion_report,24
model.pinterest_source.stg_pinterest_ads__pin_promotion_report_tmp,25
source.pinterest_source.pinterest_ads.ad_group_history,26
source.pinterest_source.pinterest_ads.ad_group_report,27
source.pinterest_source.pinterest_ads.advertiser_history,28
source.pinterest_source.pinterest_ads.advertiser_report,29
source.pinterest_source.pinterest_ads.campaign_history,30
source.pinterest_source.pinterest_ads.campaign_report,31
source.pinterest_source.pinterest_ads.keyword_history,32
source.pinterest_source.pinterest_ads.keyword_report,33
source.pinterest_source.pinterest_ads.pin_promotion_history,34
source.pinterest_source.pinterest_ads.pin_promotion_report,35
