model_name,summary,tags
model.pinterest.pinterest_ads__pin_promotion_report,"This SQL query integrates data from multiple Pinterest Ads-related tables (pin promotion report, pin promotion history, ad group history, campaign history, and advertiser history) to create a comprehensive report. It joins these tables based on various IDs and source relations, filters for the most recent records in the history tables, and aggregates metrics such as clicks, impressions, and spend. The result is a detailed view of Pinterest ad performance across different levels of the advertising hierarchy (advertiser, campaign, ad group, and pin).","[""Filtering"",""Integration"",""Aggregation""]"
model.pinterest.pinterest_ads__campaign_report,"This SQL query combines data from three tables (campaign report, campaign history, and advertiser history) to create a comprehensive report on Pinterest ad campaigns. It joins the most recent campaign and advertiser data with daily report data, aggregates spend, clicks, and impressions, and includes relevant information such as advertiser name, campaign name, and status.","[""Filtering"",""Integration"",""Aggregation""]"
model.pinterest.pinterest_ads__ad_group_report,"This SQL query integrates data from multiple Pinterest Ads-related tables (ad group report, advertisers, campaigns, and ad groups) to create a comprehensive view of ad performance. It joins these tables based on relevant IDs and source relations, filters for the most recent records in some tables, and aggregates spend, clicks, and impressions data at the ad group level. The result is a detailed report that includes information about advertisers, campaigns, ad groups, and their performance metrics.","[""Filtering"",""Integration"",""Aggregation""]"
model.pinterest.pinterest_ads__url_report,"This SQL query integrates data from multiple Pinterest advertising tables (pin promotion report, pin promotion history, ad group history, campaign history, and advertiser history) to create a comprehensive URL report. It joins these tables, filters for the most recent records in the history tables, and aggregates metrics like clicks, impressions, and spend. The query provides a detailed view of advertising performance across various dimensions such as advertiser, campaign, ad group, and pin levels, including URL-related information and UTM parameters.","[""Integration"",""Filtering"",""Aggregation""]"
model.pinterest.pinterest_ads__keyword_report,"This SQL query combines data from multiple Pinterest Ads-related tables to create a comprehensive keyword report. It joins keyword performance data with advertiser, campaign, ad group, and keyword information. The query filters for the most recent records in the history tables, aggregates spend, clicks, and impressions data, and presents a detailed view of keyword performance across the advertising hierarchy.","[""Filtering"",""Integration"",""Aggregation""]"
model.pinterest.pinterest_ads__advertiser_report,"This SQL query combines advertiser report data with advertiser history data, joining them on advertiser_id and source_relation. It filters the advertiser history to only include the most recent records. The query then aggregates spend, clicks, and impressions by date, advertiser, currency, and country, providing a comprehensive summary of advertising performance for each advertiser.","[""Filtering"",""Integration"",""Aggregation""]"
model.pinterest_source.stg_pinterest_ads__keyword_history,"This SQL query performs a series of transformations on data from a Pinterest ads keyword history table. It starts by casting all fields to specific data types, then renames and reorganizes some columns. Finally, it adds a flag to identify the most recent record for each keyword using a window function.","[""Cleaning"",""Deduplication"",""Other""]"
model.pinterest_source.stg_pinterest_ads__advertiser_history,"This SQL query stages data from a Pinterest ads advertiser history table. It casts columns to specific data types, renames some columns, and adds a flag to identify the most recent record for each advertiser. The query also adds a source_relation column and selects specific fields from the base table.","[""Cleaning"",""Deduplication"",""Other""]"
model.pinterest_source.stg_pinterest_ads__pin_promotion_history,"This SQL query processes data from a Pinterest ads pin promotion history table. It performs several transformations on the data, including casting data types, extracting URL components, parsing UTM parameters, and creating a flag for the most recent record. The query also renames some columns and creates new features from existing data.","[""Cleaning"",""Featurization"",""Deduplication""]"
model.pinterest_source.stg_pinterest_ads__campaign_history,"This SQL query stages data from a temporary Pinterest ads campaign history table. It casts columns to specific data types, renames some columns, and adds a flag to identify the most recent record for each campaign. The query prepares the data for further processing or analysis by structuring it in a consistent format.","[""Cleaning"",""Deduplication""]"
model.pinterest_source.stg_pinterest_ads__ad_group_report,"This SQL query transforms and cleans data from a Pinterest ads ad group report. It casts various fields to specific data types, combines impression and clickthrough data, calculates spend in dollars from micro-dollars, and truncates the date to day-level granularity. The query also adds a source_relation field and renames some columns for clarity.","[""Cleaning"",""Featurization""]"
model.pinterest_source.stg_pinterest_ads__ad_group_history,"This SQL query performs a series of transformations on data from the 'pinterest_source.stg_pinterest_ads__ad_group_history' table. It starts by casting columns to specific data types, renames some columns, and adds a 'source_relation' column. The query then selects and reorganizes these fields, adding a 'is_most_recent_record' flag based on the most recent '_fivetran_synced' timestamp for each unique combination of 'source_relation' and 'id'.","[""Cleaning"",""Deduplication"",""Other""]"
model.pinterest_source.stg_pinterest_ads__campaign_report,"This SQL query performs several operations on the Pinterest ads campaign report data. It starts by casting fields to specific data types, then combines impression and clickthrough data, calculates spend in dollars from micro-dollars, and truncates the date to day level. The query also renames some columns and selects specific fields for the final output.","[""Cleaning"",""Featurization"",""Other""]"
model.pinterest_source.stg_pinterest_ads__advertiser_report,"This SQL query performs several transformations on data from a Pinterest ads advertiser report. It starts by casting columns to specific data types, then combines impression and clickthrough data, converts spend from micro-dollars to dollars, and truncates the date to day level. The query also adds a source_relation column and renames some fields for clarity.","[""Cleaning"",""Featurization"",""Other""]"
