input_model,input_column,tags,output_model,output_columns
model.pinterest_source.stg_pinterest_ads__advertiser_history,source_relation,"{""Integration"":""Used as part of the join condition with campaigns table"",""Direct"":""Directly included in the output""}",model.pinterest.pinterest_ads__campaign_report,"{""source_relation"":""Directly copied to the output""}"
model.pinterest_source.stg_pinterest_ads__advertiser_history,advertiser_id,"{""Integration"":""Used as the key to join with campaigns table"",""Direct"":""Directly included in the output""}",model.pinterest.pinterest_ads__campaign_report,"{""advertiser_id"":""Directly copied to the output""}"
model.pinterest_source.stg_pinterest_ads__advertiser_history,advertiser_name,"{""Direct"":""Directly included in the output""}",model.pinterest.pinterest_ads__campaign_report,"{""advertiser_name"":""Directly copied to the output""}"
model.pinterest_source.stg_pinterest_ads__advertiser_history,is_most_recent_record,"{""Filtering"":""This column is used to filter the advertiser history records to only include the most recent version of each advertiser's data.""}",model.pinterest.pinterest_ads__campaign_report,
model.pinterest_source.stg_pinterest_ads__campaign_history,source_relation,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""The column is used as a key to join with other tables"",""Aggregation"":""The column is grouped by in the final result""}",model.pinterest.pinterest_ads__campaign_report,"{""source_relation"":""Directly copied to output""}"
model.pinterest_source.stg_pinterest_ads__campaign_history,campaign_id,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""The column is used as a key to join with other tables"",""Aggregation"":""The column is grouped by in the final result""}",model.pinterest.pinterest_ads__campaign_report,"{""campaign_id"":""Directly copied to output""}"
model.pinterest_source.stg_pinterest_ads__campaign_history,advertiser_id,"{""Integration"":""The column is used as a key to join with the advertisers table""}",model.pinterest.pinterest_ads__campaign_report,
model.pinterest_source.stg_pinterest_ads__campaign_history,campaign_name,"{""Direct"":""The column is directly copied without any transformation"",""Aggregation"":""The column is grouped by in the final result""}",model.pinterest.pinterest_ads__campaign_report,"{""campaign_name"":""Directly copied to output""}"
model.pinterest_source.stg_pinterest_ads__campaign_history,campaign_status,"{""Direct"":""The column is directly copied without any transformation"",""Aggregation"":""The column is grouped by in the final result""}",model.pinterest.pinterest_ads__campaign_report,"{""campaign_status"":""Directly copied to output""}"
model.pinterest_source.stg_pinterest_ads__campaign_history,is_most_recent_record,"{""Filtering"":""This column is used to filter the most recent records from the campaign_history table""}",model.pinterest.pinterest_ads__campaign_report,
model.pinterest_source.stg_pinterest_ads__campaign_report,source_relation,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as part of the join condition with other tables"",""Aggregation"":""Used in the GROUP BY clause""}",model.pinterest.pinterest_ads__campaign_report,"{""source_relation"":""Directly copied to the output""}"
model.pinterest_source.stg_pinterest_ads__campaign_report,date_day,"{""Direct"":""The column is directly copied without any transformation"",""Aggregation"":""Used in the GROUP BY clause""}",model.pinterest.pinterest_ads__campaign_report,"{""date_day"":""Directly copied to the output""}"
model.pinterest_source.stg_pinterest_ads__campaign_report,campaign_id,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as the key to join with the campaigns table"",""Aggregation"":""Used in the GROUP BY clause""}",model.pinterest.pinterest_ads__campaign_report,"{""campaign_id"":""Directly copied to the output""}"
model.pinterest_source.stg_pinterest_ads__campaign_report,impressions,"{""Aggregation"":""The column is summed up in the SELECT statement""}",model.pinterest.pinterest_ads__campaign_report,"{""impressions"":""Aggregated sum of impressions""}"
model.pinterest_source.stg_pinterest_ads__campaign_report,clicks,"{""Aggregation"":""The column is summed up in the SELECT statement""}",model.pinterest.pinterest_ads__campaign_report,"{""clicks"":""Aggregated sum of clicks""}"
model.pinterest_source.stg_pinterest_ads__campaign_report,spend,"{""Aggregation"":""The column is summed up in the SELECT statement""}",model.pinterest.pinterest_ads__campaign_report,"{""spend"":""Aggregated sum of spend""}"
model.pinterest_source.stg_pinterest_ads__ad_group_history,source_relation,"{""Integration"":""used as part of the join condition with other tables"",""Direct"":""directly copied to the output""}",model.pinterest.pinterest_ads__pin_promotion_report,"{""source_relation"":""directly copied""}"
