model_name,column_name,column_type,comment,index
model.qualtrics_source.stg_qualtrics__block,is_deleted,boolean,Boolean representing whether the record was soft-deleted in Qualtrics.,
model.qualtrics_source.stg_qualtrics__block,_fivetran_synced,timestamp without time zone,The time when a record was last updated by Fivetran.,
model.qualtrics_source.stg_qualtrics__block,is_locked,integer,Boolean representing whether modification of the block and its contents is prevented.,
model.qualtrics_source.stg_qualtrics__block,block_visibility,integer,Whether the questions in the block are 'collapsed' or 'expanded' by default.,
model.qualtrics_source.stg_qualtrics__block,description,text,Description given to the block.,
model.qualtrics_source.stg_qualtrics__block,block_id,text,"The ID of the survey block. Match pattern = ^BL_[a-zA-Z0-9]{11,15}$",
model.qualtrics_source.stg_qualtrics__block,randomize_questions,integer,"If/how the block questions are randomized. Can be - `false` (no randomization), `RandomWithXPerPage` (randomize all and place X questions in each block), `RandomWithOnlyX` (randomly present only X out of the total questions), or `Advanced` (custom configuration)",
model.qualtrics_source.stg_qualtrics__block,survey_id,text,"The unique identifier for this survey. Match pattern = ^SV_[a-zA-Z0-9]{11,15}$",
model.qualtrics_source.stg_qualtrics__block,type,text,"Type of block. Can be `Trash`, `Default`, or `Standard`",
model.qualtrics_source.stg_qualtrics__block,source_relation,text,"The schema or database this record came from if you are making use of the qualtrics_union_schemas or qualtrics_union_databases variables, respectively. Empty string if you are not using either of these variables to union together multiple Qualtrics connectors.",
model.qualtrics_source.stg_qualtrics__directory_contact,_fivetran_synced,timestamp without time zone,The time when a record was last updated by Fivetran.,
model.qualtrics_source.stg_qualtrics__directory_contact,created_at,timestamp without time zone,"The creation date and time of the record, expressed as an ISO 8601 value.",
model.qualtrics_source.stg_qualtrics__directory_contact,directory_id,text,"The directory ID, also known as a pool ID. Example - POOL_012345678901234",
model.qualtrics_source.stg_qualtrics__directory_contact,unsubscribed_from_directory_at,timestamp without time zone,Date and time the user opted out of the directory.,
model.qualtrics_source.stg_qualtrics__directory_contact,is_unsubscribed_from_directory,boolean,Boolean indicating whether the contact unsubscribed from all contact from the Directory.,
model.qualtrics_source.stg_qualtrics__directory_contact,email,text,Contact's email address. Must be in proper email format.,
model.qualtrics_source.stg_qualtrics__directory_contact,email_domain,text,Domain of the contact's email address.,
model.qualtrics_source.stg_qualtrics__directory_contact,ext_ref,integer,The external reference for the contact.,
model.qualtrics_source.stg_qualtrics__directory_contact,first_name,text,Contact's first name.,
model.qualtrics_source.stg_qualtrics__directory_contact,contact_id,text,The ID for the contact. Example - CID_012345678901234,
model.qualtrics_source.stg_qualtrics__directory_contact,language,integer,The user's default language.,
model.qualtrics_source.stg_qualtrics__directory_contact,last_modified_at,timestamp without time zone,The point in time when the record was last modified.,
model.qualtrics_source.stg_qualtrics__directory_contact,last_name,text,Contact's surname.,
model.qualtrics_source.stg_qualtrics__directory_contact,phone,text,Contact's phone number.,
model.qualtrics_source.stg_qualtrics__directory_contact,source_relation,text,"The schema or database this record came from if you are making use of the qualtrics_union_schemas or qualtrics_union_databases variables, respectively. Empty string if you are not using either of these variables to union together multiple Qualtrics connectors.",
model.qualtrics_source.stg_qualtrics__directory,is_deleted,boolean,Boolean representing whether the record was soft-deleted in Qualtrics.,
model.qualtrics_source.stg_qualtrics__directory,_fivetran_synced,timestamp without time zone,The time when a record was last updated by Fivetran.,
model.qualtrics_source.stg_qualtrics__directory,is_deduped_on_email,boolean,Boolean representing if directory contacts are deduped based on email.,
model.qualtrics_source.stg_qualtrics__directory,is_deduped_on_ext_ref,boolean,Boolean representing if directory contacts are deduped based on an external data reference.,
model.qualtrics_source.stg_qualtrics__directory,is_deduped_on_first_name,boolean,Boolean representing if directory contacts are deduped based on first name.,
model.qualtrics_source.stg_qualtrics__directory,is_deduped_on_last_name,boolean,Boolean representing if directory contacts are deduped based on last name.,
model.qualtrics_source.stg_qualtrics__directory,is_deduped_on_phone,boolean,Boolean representing if directory contacts are deduped based on phone number.,
model.qualtrics_source.stg_qualtrics__directory,directory_id,text,"The directory ID, also known as a pool ID. Example - POOL_012345678901234",
model.qualtrics_source.stg_qualtrics__directory,is_default,boolean,"Boolean representing if this directory is the default one for your brand. 

The default directory will be the first directory listed in the dropdown menu in Qualtrics.",
model.qualtrics_source.stg_qualtrics__directory,name,text,Name of the directory.,
model.qualtrics_source.stg_qualtrics__directory,source_relation,text,"The schema or database this record came from if you are making use of the qualtrics_union_schemas or qualtrics_union_databases variables, respectively. Empty string if you are not using either of these variables to union together multiple Qualtrics connectors.",
model.qualtrics_source.stg_qualtrics__user,is_deleted,boolean,Boolean representing whether the record was soft-deleted in Qualtrics.,
model.qualtrics_source.stg_qualtrics__user,_fivetran_synced,timestamp without time zone,The time when a record was last updated by Fivetran.,
model.qualtrics_source.stg_qualtrics__user,account_created_at,timestamp without time zone,The date and time that the account was created. Dates and times are expressed in ISO 8601 format.,
model.qualtrics_source.stg_qualtrics__user,account_expires_at,timestamp without time zone,The date the account expires. Dates and times are expressed in ISO 8601 format.,
model.qualtrics_source.stg_qualtrics__user,account_status,text,"Either `active`, `disabled`, or `notVerified`.",
model.qualtrics_source.stg_qualtrics__user,division_id,integer,"The unique identifier for the Division ID. Match pattern = ^DV_[0-9a-zA-Z]{11,15}$",
model.qualtrics_source.stg_qualtrics__user,email,text,The user's email address.,
model.qualtrics_source.stg_qualtrics__user,first_name,text,The user's first name or given name.,
model.qualtrics_source.stg_qualtrics__user,user_id,text,"Unique ID of the user. Match pattern  = ^((UR)|(URH))_[0-9a-zA-Z]{11,15}$",
model.qualtrics_source.stg_qualtrics__user,language,integer,The user's default language.,
model.qualtrics_source.stg_qualtrics__user,last_login_at,timestamp without time zone,The date and time the user last logged into the user interface. Dates and times are expressed in ISO 8601 format.,
model.qualtrics_source.stg_qualtrics__user,last_name,text,User's surname.,
model.qualtrics_source.stg_qualtrics__user,organization_id,integer,ID of the organization/brand this record belongs to.,
model.qualtrics_source.stg_qualtrics__user,password_expires_at,timestamp without time zone,The date the account password expires. Dates and times are expressed in ISO 8601 format.,
model.qualtrics_source.stg_qualtrics__user,password_last_changed_at,timestamp without time zone,The date the account password was last changed. Dates and times are expressed in ISO 8601 format.,
model.qualtrics_source.stg_qualtrics__user,response_count_auditable,integer,The count of auditable responses.,
model.qualtrics_source.stg_qualtrics__user,response_count_deleted,integer,The count of deleted responses.,
model.qualtrics_source.stg_qualtrics__user,response_count_generated,integer,The count of generated responses.,
