model_name,column_name,column_type,comment,index
model.sap_source.stg_sap__t001,mandt,,Client,
model.sap_source.stg_sap__t001,waers,,Currency key,
model.sap_source.stg_sap__t001,periv,,Fiscal year variant,
model.sap_source.stg_sap__t001,ktopl,,Chart of accounts,
model.sap_source.stg_sap__t001,bukrs,,Company code,
model.sap_source.stg_sap__t001,land1,,Country key,
model.sap_source.stg_sap__t001,kkber,,Credit control area,
model.sap_source.stg_sap__t001,rcomp,,Company,
model.sap_source.stg_sap__t001,butxt,,Name of company code or company,
model.sap_source.stg_sap__t001,spras,,Language key,
model.sap_source.stg_sap__t001,MANDT,TEXT,,
model.sap_source.stg_sap__t001,BUKRS,TEXT,,
model.sap_source.stg_sap__t001,WAERS,TEXT,,
model.sap_source.stg_sap__t001,PERIV,TEXT,,
model.sap_source.stg_sap__t001,KTOPL,TEXT,,
model.sap_source.stg_sap__t001,LAND1,TEXT,,
model.sap_source.stg_sap__t001,KKBER,NUMBER,,
model.sap_source.stg_sap__t001,RCOMP,NUMBER,,
model.sap_source.stg_sap__t001,BUTXT,TEXT,,
model.sap_source.stg_sap__t001,SPRAS,TEXT,,
model.sap_source.stg_sap__mara,mandt,,Client,
model.sap_source.stg_sap__mara,matnr,,Material number,
model.sap_source.stg_sap__mara,ersda,,Created on,
model.sap_source.stg_sap__mara,ernam,,Name of person who created the object,
model.sap_source.stg_sap__mara,laeda,,Date of last change,
model.sap_source.stg_sap__mara,aenam,,Name of person who changed object,
model.sap_source.stg_sap__mara,vpsta,,Maintenance status of complete material,
model.sap_source.stg_sap__mara,pstat,,Maintenance status,
model.sap_source.stg_sap__mara,lvorm,,Flag material for deletion at client level,
model.sap_source.stg_sap__mara,mtart,,Material type,
model.sap_source.stg_sap__mara,mbrsh,,Industry sector,
model.sap_source.stg_sap__mara,matkl,,Material group,
model.sap_source.stg_sap__mara,bismt,,Old material number,
model.sap_source.stg_sap__mara,meins,,Base unit of measure,
model.sap_source.stg_sap__mara,bstme,,Order unit,
model.sap_source.stg_sap__mara,zeinr,,Document number (without document management system),
model.sap_source.stg_sap__mara,zeiar,,Document type (without document management system),
model.sap_source.stg_sap__mara,zeivr,,Document version (without document management system),
model.sap_source.stg_sap__mara,zeifo,,Page form of document (without document management system),
model.sap_source.stg_sap__mara,aeszn,,Document change number (without document management system),
model.sap_source.stg_sap__mara,blatt,,Page number of document (without document management system),
model.sap_source.stg_sap__mara,blanz,,Number of sheets (without document management system),
model.sap_source.stg_sap__mara,ferth,,Production/inspection memo,
model.sap_source.stg_sap__mara,formt,,Page format of production memo,
model.sap_source.stg_sap__mara,groes,,Size/dimensions,
model.sap_source.stg_sap__mara,wrkst,,Basic material,
model.sap_source.stg_sap__mara,normt,,Industry Standard Description (such as ANSI or ISO),
model.sap_source.stg_sap__mara,labor,,Laboratory/design office,
model.sap_source.stg_sap__mara,ekwsl,,Purchasing value key,
model.sap_source.stg_sap__mara,brgew,,Gross weight,
model.sap_source.stg_sap__mara,ntgew,,Net weight,
model.sap_source.stg_sap__mara,gewei,,Weight unit,
model.sap_source.stg_sap__mara,volum,,Volume,
model.sap_source.stg_sap__mara,voleh,,Volume unit,
model.sap_source.stg_sap__mara,behvo,,Container requirements,
model.sap_source.stg_sap__mara,raube,,Storage conditions,
model.sap_source.stg_sap__mara,tempb,,Temperature conditions indicator,
model.sap_source.stg_sap__mara,disst,,Low-level code,
model.sap_source.stg_sap__mara,tragr,,Transportation group,
model.sap_source.stg_sap__mara,stoff,,Hazardous material number,
model.sap_source.stg_sap__mara,spart,,Divsion,
model.sap_source.stg_sap__mara,kunnr,,Competitor,
model.sap_source.stg_sap__mara,eannr,,European Article Number (EAN),
model.sap_source.stg_sap__mara,wesch,,"Quantity, or number of GR/GI slips to be printed",
model.sap_source.stg_sap__mara,bwvor,,Procurement rule,
model.sap_source.stg_sap__mara,bwscl,,Source of supply,
model.sap_source.stg_sap__mara,saiso,,Season category,
model.sap_source.stg_sap__mara,etiar,,Label type,
model.sap_source.stg_sap__mara,etifo,,Label form,
model.sap_source.stg_sap__mara,entar,,Disposal type,
model.sap_source.stg_sap__mara,ean11,,International Article Number (EAN/UPC),
model.sap_source.stg_sap__mara,numtp,,Category of International Article Number (EAN),
model.sap_source.stg_sap__mara,laeng,,Length,
model.sap_source.stg_sap__mara,breit,,Width,
model.sap_source.stg_sap__mara,hoehe,,Height,
model.sap_source.stg_sap__mara,meabm,,Unit of dimension for length/width/height,
model.sap_source.stg_sap__mara,prdha,,Product hierarchy,
model.sap_source.stg_sap__mara,aeklk,,Stock transfer net change costing,
model.sap_source.stg_sap__mara,cadkz,,CAD indicator,
model.sap_source.stg_sap__mara,qmpur,,QM in procurement is active,
model.sap_source.stg_sap__mara,ergew,,Allowed packaging weight,
model.sap_source.stg_sap__mara,ergei,,Unit of weight (allowed packaging weight),
model.sap_source.stg_sap__mara,ervol,,Allowed packaging volume,
model.sap_source.stg_sap__mara,ervoe,,Volume unit (allowed packaging volume),
model.sap_source.stg_sap__mara,gewto,,Excess weight tolerance for handling unit,
model.sap_source.stg_sap__mara,volto,,Excess volume tolerance of the handling unit,
model.sap_source.stg_sap__mara,vabme,,Variable purchase order unit active,
model.sap_source.stg_sap__mara,kzrev,,Revision level has been assigned to the material,
model.sap_source.stg_sap__mara,kzkfg,,Configurable material,
model.sap_source.stg_sap__mara,xchpf,,Batch management requirement indicator,
model.sap_source.stg_sap__mara,vhart,,Packaging material type,
model.sap_source.stg_sap__mara,fuelg,,Maximum level (by volume),
model.sap_source.stg_sap__mara,stfak,,Stacking factor,
model.sap_source.stg_sap__mara,magrv,,Material group (Packaging materials),
model.sap_source.stg_sap__mara,begru,,Authorization group,
model.sap_source.stg_sap__mara,datab,,Valid-from date,
model.sap_source.stg_sap__mara,liqdt,,Deletion date,
model.sap_source.stg_sap__mara,saisj,,Season year,
model.sap_source.stg_sap__mara,plgtp,,Price band category,
model.sap_source.stg_sap__mara,mlgut,,Empties bill of material,
model.sap_source.stg_sap__mara,extwg,,External material group,
model.sap_source.stg_sap__mara,satnr,,Cross-plant configurable material,
model.sap_source.stg_sap__mara,attyp,,Material category,
model.sap_source.stg_sap__mara,kzkup,,Indicator (Material can be co-product),
model.sap_source.stg_sap__mara,kznfm,,Indicator (The amterial has a follow-up material),
model.sap_source.stg_sap__mara,pmata,,Pricing reference material,
model.sap_source.stg_sap__mara,mstae,,Cross-plant material status,
model.sap_source.stg_sap__mara,mstav,,Cross-distribution-chain material status,
model.sap_source.stg_sap__mara,mstde,,Date from which the cross-plan material status is valid,
model.sap_source.stg_sap__mara,mstdv,,Date from which the X-distr.-chain material status is valid,
model.sap_source.stg_sap__mara,taklv,,Tax classification of the material,
model.sap_source.stg_sap__mara,rbnrm,,Catalog profile,
model.sap_source.stg_sap__mara,mhdrz,,Minimum remaining shelf life,
model.sap_source.stg_sap__mara,mhdhb,,Total shelf life,
model.sap_source.stg_sap__mara,mhdlp,,Storage percentage,
model.sap_source.stg_sap__mara,inhme,,Content unit,
model.sap_source.stg_sap__mara,inhal,,Net contents,
model.sap_source.stg_sap__mara,vpreh,,Comparison price unit,
model.sap_source.stg_sap__mara,etiag,,IS-R labeling (material grouping),
model.sap_source.stg_sap__mara,inhbr,,Gross contents,
model.sap_source.stg_sap__mara,cmeth,,Quantity conversion method,
model.sap_source.stg_sap__mara,cuobf,,Internal object number,
model.sap_source.stg_sap__mara,kzumw,,Environmentally relevant,
model.sap_source.stg_sap__mara,kosch,,Product allocation determination procedure,
model.sap_source.stg_sap__mara,sprof,,Pricing profile for variants,
model.sap_source.stg_sap__mara,nrfhg,,Material qualifies for discount in kind,
model.sap_source.stg_sap__mara,mfrpn,,Manufacturer part number,
model.sap_source.stg_sap__mara,mfrnr,,Manufacturer number,
model.sap_source.stg_sap__mara,bmatn,,Number of firm's own (internal) inventory-managed material,
model.sap_source.stg_sap__mara,mprof,,Mfr part profile,
model.sap_source.stg_sap__mara,kzwsm,,Units of measure usage,
model.sap_source.stg_sap__mara,saity,,Rollout in a season,
model.sap_source.stg_sap__mara,profl,,Dangerous goods indicator profile,
model.sap_source.stg_sap__mara,ihivi,,Indicator (highly viscous),
model.sap_source.stg_sap__mara,iloos,,Indicator (in bulk/liquid),
model.sap_source.stg_sap__mara,serlv,,Level of explicitness for serial numbers,
model.sap_source.stg_sap__mara,kzgvh,,Packaging material is closed packaging,
model.sap_source.stg_sap__mara,xgchp,,Indicator (Approved batch record required),
model.sap_source.stg_sap__mara,kzeff,,Assign effectivity parameter values / override change numbers,
model.sap_source.stg_sap__mara,compl,,Material completion level,
model.sap_source.stg_sap__mara,iprkz,,Period indicator for shelf life expiration date,
model.sap_source.stg_sap__mara,rdmhd,,Rounding rule for calculation of SLED,
model.sap_source.stg_sap__mara,przus,,Indicator (Product composition printed on packaging),
model.sap_source.stg_sap__mara,mtpos_mara,,General item category group,
model.sap_source.stg_sap__mara,bflme,,Generic material with logistical variants,
model.sap_source.stg_sap__mara,nsnid,,NATO item identification number,
model.sap_source.stg_sap__mara,MANDT,NUMBER,,
model.sap_source.stg_sap__mara,MATNR,NUMBER,,
model.sap_source.stg_sap__mara,ERSDA,NUMBER,,
model.sap_source.stg_sap__mara,ERNAM,TEXT,,
model.sap_source.stg_sap__mara,LAEDA,NUMBER,,
model.sap_source.stg_sap__mara,AENAM,TEXT,,
model.sap_source.stg_sap__mara,VPSTA,TEXT,,
model.sap_source.stg_sap__mara,PSTAT,TEXT,,
model.sap_source.stg_sap__mara,LVORM,NUMBER,,
model.sap_source.stg_sap__mara,MTART,TEXT,,
model.sap_source.stg_sap__mara,MBRSH,TEXT,,
model.sap_source.stg_sap__mara,MATKL,NUMBER,,
model.sap_source.stg_sap__mara,BISMT,TEXT,,
model.sap_source.stg_sap__mara,MEINS,TEXT,,
model.sap_source.stg_sap__mara,BSTME,NUMBER,,
model.sap_source.stg_sap__mara,ZEINR,NUMBER,,
model.sap_source.stg_sap__mara,ZEIAR,NUMBER,,
model.sap_source.stg_sap__mara,ZEIVR,NUMBER,,
model.sap_source.stg_sap__mara,ZEIFO,NUMBER,,
model.sap_source.stg_sap__mara,AESZN,NUMBER,,
model.sap_source.stg_sap__mara,BLATT,NUMBER,,
model.sap_source.stg_sap__mara,BLANZ,NUMBER,,
model.sap_source.stg_sap__mara,FERTH,NUMBER,,
model.sap_source.stg_sap__mara,FORMT,NUMBER,,
model.sap_source.stg_sap__mara,GROES,NUMBER,,
model.sap_source.stg_sap__mara,WRKST,NUMBER,,
model.sap_source.stg_sap__mara,NORMT,NUMBER,,
model.sap_source.stg_sap__mara,LABOR,NUMBER,,
model.sap_source.stg_sap__mara,EKWSL,NUMBER,,
model.sap_source.stg_sap__mara,BRGEW,NUMBER,,
model.sap_source.stg_sap__mara,NTGEW,NUMBER,,
model.sap_source.stg_sap__mara,GEWEI,NUMBER,,
model.sap_source.stg_sap__mara,VOLUM,NUMBER,,
model.sap_source.stg_sap__mara,VOLEH,NUMBER,,
model.sap_source.stg_sap__mara,BEHVO,NUMBER,,
model.sap_source.stg_sap__mara,RAUBE,NUMBER,,
model.sap_source.stg_sap__mara,TEMPB,NUMBER,,
model.sap_source.stg_sap__mara,DISST,NUMBER,,
model.sap_source.stg_sap__mara,TRAGR,NUMBER,,
model.sap_source.stg_sap__mara,STOFF,NUMBER,,
model.sap_source.stg_sap__mara,SPART,NUMBER,,
model.sap_source.stg_sap__mara,KUNNR,NUMBER,,
model.sap_source.stg_sap__mara,EANNR,NUMBER,,
model.sap_source.stg_sap__mara,WESCH,NUMBER,,
model.sap_source.stg_sap__mara,BWVOR,NUMBER,,
model.sap_source.stg_sap__mara,BWSCL,NUMBER,,
model.sap_source.stg_sap__mara,SAISO,NUMBER,,
model.sap_source.stg_sap__mara,ETIAR,NUMBER,,
model.sap_source.stg_sap__mara,ETIFO,NUMBER,,
model.sap_source.stg_sap__mara,ENTAR,NUMBER,,
model.sap_source.stg_sap__mara,EAN11,NUMBER,,
model.sap_source.stg_sap__mara,NUMTP,NUMBER,,
model.sap_source.stg_sap__mara,LAENG,NUMBER,,
model.sap_source.stg_sap__mara,BREIT,NUMBER,,
model.sap_source.stg_sap__mara,HOEHE,NUMBER,,
model.sap_source.stg_sap__mara,MEABM,NUMBER,,
model.sap_source.stg_sap__mara,PRDHA,NUMBER,,
model.sap_source.stg_sap__mara,AEKLK,NUMBER,,
model.sap_source.stg_sap__mara,CADKZ,NUMBER,,
model.sap_source.stg_sap__mara,QMPUR,NUMBER,,
model.sap_source.stg_sap__mara,ERGEW,NUMBER,,
model.sap_source.stg_sap__mara,ERGEI,NUMBER,,
model.sap_source.stg_sap__mara,ERVOL,NUMBER,,
model.sap_source.stg_sap__mara,ERVOE,NUMBER,,
model.sap_source.stg_sap__mara,GEWTO,NUMBER,,
model.sap_source.stg_sap__mara,VOLTO,NUMBER,,
model.sap_source.stg_sap__mara,VABME,NUMBER,,
model.sap_source.stg_sap__mara,KZREV,NUMBER,,
model.sap_source.stg_sap__mara,KZKFG,NUMBER,,
model.sap_source.stg_sap__mara,XCHPF,NUMBER,,
model.sap_source.stg_sap__mara,VHART,NUMBER,,
model.sap_source.stg_sap__mara,FUELG,NUMBER,,
model.sap_source.stg_sap__mara,STFAK,NUMBER,,
model.sap_source.stg_sap__mara,MAGRV,NUMBER,,
model.sap_source.stg_sap__mara,BEGRU,NUMBER,,
model.sap_source.stg_sap__mara,DATAB,NUMBER,,
model.sap_source.stg_sap__mara,LIQDT,NUMBER,,
model.sap_source.stg_sap__mara,SAISJ,NUMBER,,
model.sap_source.stg_sap__mara,PLGTP,NUMBER,,
model.sap_source.stg_sap__mara,MLGUT,NUMBER,,
model.sap_source.stg_sap__mara,EXTWG,NUMBER,,
model.sap_source.stg_sap__mara,SATNR,NUMBER,,
model.sap_source.stg_sap__mara,ATTYP,NUMBER,,
model.sap_source.stg_sap__mara,KZKUP,NUMBER,,
model.sap_source.stg_sap__mara,KZNFM,NUMBER,,
model.sap_source.stg_sap__mara,PMATA,NUMBER,,
model.sap_source.stg_sap__mara,MSTAE,NUMBER,,
model.sap_source.stg_sap__mara,MSTAV,NUMBER,,
model.sap_source.stg_sap__mara,MSTDE,NUMBER,,
model.sap_source.stg_sap__mara,MSTDV,NUMBER,,
model.sap_source.stg_sap__mara,TAKLV,NUMBER,,
model.sap_source.stg_sap__mara,RBNRM,NUMBER,,
model.sap_source.stg_sap__mara,MHDRZ,NUMBER,,
model.sap_source.stg_sap__mara,MHDHB,NUMBER,,
model.sap_source.stg_sap__mara,MHDLP,NUMBER,,
model.sap_source.stg_sap__mara,INHME,NUMBER,,
model.sap_source.stg_sap__mara,INHAL,NUMBER,,
model.sap_source.stg_sap__mara,VPREH,NUMBER,,
model.sap_source.stg_sap__mara,ETIAG,NUMBER,,
model.sap_source.stg_sap__mara,INHBR,NUMBER,,
model.sap_source.stg_sap__mara,CMETH,NUMBER,,
model.sap_source.stg_sap__mara,CUOBF,NUMBER,,
model.sap_source.stg_sap__mara,KZUMW,NUMBER,,
model.sap_source.stg_sap__mara,KOSCH,NUMBER,,
model.sap_source.stg_sap__mara,SPROF,NUMBER,,
model.sap_source.stg_sap__mara,NRFHG,NUMBER,,
model.sap_source.stg_sap__mara,MFRPN,NUMBER,,
model.sap_source.stg_sap__mara,MFRNR,NUMBER,,
model.sap_source.stg_sap__mara,BMATN,NUMBER,,
model.sap_source.stg_sap__mara,MPROF,NUMBER,,
model.sap_source.stg_sap__mara,KZWSM,NUMBER,,
model.sap_source.stg_sap__mara,SAITY,NUMBER,,
model.sap_source.stg_sap__mara,PROFL,NUMBER,,
model.sap_source.stg_sap__mara,IHIVI,NUMBER,,
model.sap_source.stg_sap__mara,ILOOS,NUMBER,,
model.sap_source.stg_sap__mara,SERLV,NUMBER,,
model.sap_source.stg_sap__mara,KZGVH,NUMBER,,
model.sap_source.stg_sap__mara,XGCHP,NUMBER,,
model.sap_source.stg_sap__mara,KZEFF,NUMBER,,
model.sap_source.stg_sap__mara,COMPL,NUMBER,,
model.sap_source.stg_sap__mara,IPRKZ,NUMBER,,
model.sap_source.stg_sap__mara,RDMHD,NUMBER,,
model.sap_source.stg_sap__mara,PRZUS,NUMBER,,
model.sap_source.stg_sap__mara,MTPOS_MARA,TEXT,,
model.sap_source.stg_sap__mara,BFLME,NUMBER,,
model.sap_source.stg_sap__mara,NSNID,NUMBER,,
model.sap_source.stg_sap__mara,_FIVETRAN_ROWID,TEXT,,
model.sap_source.stg_sap__mara,_FIVETRAN_DELETED,BOOLEAN,,
model.sap_source.stg_sap__mara,_FIVETRAN_SYNCED,TIMESTAMP_NTZ,,
model.sap_source.stg_sap__t880,mandt,,Client,
model.sap_source.stg_sap__t880,rcomp,,Company,
model.sap_source.stg_sap__t880,name1,,Company name,
model.sap_source.stg_sap__t880,MANDT,TEXT,,
model.sap_source.stg_sap__t880,RCOMP,TEXT,,
model.sap_source.stg_sap__t880,NAME1,TEXT,,
model.sap_source.stg_sap__faglflexa,ryear,,Fiscal year,
model.sap_source.stg_sap__faglflexa,docnr,,Accounting document number,
model.sap_source.stg_sap__faglflexa,rldnr,,Ledger in genral ledger accounting,
model.sap_source.stg_sap__faglflexa,rbukrs,,Company code,
model.sap_source.stg_sap__faglflexa,docln,,Six-character posting item for ledger,
model.sap_source.stg_sap__faglflexa,activ,,FI-SL business transaction,
model.sap_source.stg_sap__faglflexa,rmvct,,Transaction type,
model.sap_source.stg_sap__faglflexa,rtcur,,Currency key,
model.sap_source.stg_sap__faglflexa,runit,,Base unit of measure,
model.sap_source.stg_sap__faglflexa,awtyp,,Reference transaction,
model.sap_source.stg_sap__faglflexa,rrcty,,Record type,
model.sap_source.stg_sap__faglflexa,rvers,,Version,
model.sap_source.stg_sap__faglflexa,logsys,,Logical system,
model.sap_source.stg_sap__faglflexa,racct,,Account number,
model.sap_source.stg_sap__faglflexa,cost_elem,,Cost element,
model.sap_source.stg_sap__faglflexa,rclnt,,Client,
model.sap_source.stg_sap__faglflexa,rcntr,,Cost center,
model.sap_source.stg_sap__faglflexa,prctr,,Profit center,
model.sap_source.stg_sap__faglflexa,rfarea,,Functional area,
model.sap_source.stg_sap__faglflexa,rbusa,,Business area,
model.sap_source.stg_sap__faglflexa,kokrs,,Controlling area,
model.sap_source.stg_sap__faglflexa,segment,,Segment for segmental reporting,
model.sap_source.stg_sap__faglflexa,scntr,,Sender cost center,
model.sap_source.stg_sap__faglflexa,pprctr,,Partner profit center,
model.sap_source.stg_sap__faglflexa,sfarea,,Partner functional area,
model.sap_source.stg_sap__faglflexa,sbusa,,Trading partner's business area,
model.sap_source.stg_sap__faglflexa,rassc,,Company id of trading partner,
model.sap_source.stg_sap__faglflexa,psegment,,Partner segment for segmental reporting,
model.sap_source.stg_sap__faglflexa,tsl,,Value in transaction currency,
model.sap_source.stg_sap__faglflexa,hsl,,Value in local currency,
model.sap_source.stg_sap__faglflexa,ksl,,Value in group currency,
model.sap_source.stg_sap__faglflexa,osl,,Value in another currency,
model.sap_source.stg_sap__faglflexa,msl,,Quantity,
model.sap_source.stg_sap__faglflexa,wsl,,Value in original transaction currency,
model.sap_source.stg_sap__faglflexa,drcrk,,Debt/credit indicator,
model.sap_source.stg_sap__faglflexa,poper,,Posting period,
model.sap_source.stg_sap__faglflexa,rwcur,,Currency key of the original transaction currency,
model.sap_source.stg_sap__faglflexa,gjahr,,Fiscal year,
model.sap_source.stg_sap__faglflexa,budat,,Posting date in the document,
model.sap_source.stg_sap__faglflexa,belnr,,Accounting document number,
model.sap_source.stg_sap__faglflexa,buzei,,Number of line item within accounting document,
model.sap_source.stg_sap__faglflexa,bschl,,Posting key,
model.sap_source.stg_sap__faglflexa,bstat,,Document status,
model.sap_source.stg_sap__faglflexa,faglflexa_timestamp,,UTC Timestamp in short form (YYYYMMDDhhmmss),
model.sap_source.stg_sap__faglflexa,RCLNT,TEXT,,
model.sap_source.stg_sap__faglflexa,RYEAR,NUMBER,,
model.sap_source.stg_sap__faglflexa,DOCNR,TEXT,,
model.sap_source.stg_sap__faglflexa,RLDNR,TEXT,,
model.sap_source.stg_sap__faglflexa,RBUKRS,TEXT,,
model.sap_source.stg_sap__faglflexa,DOCLN,TEXT,,
model.sap_source.stg_sap__faglflexa,ACTIV,TEXT,,
model.sap_source.stg_sap__faglflexa,RMVCT,NUMBER,,
model.sap_source.stg_sap__faglflexa,RTCUR,TEXT,,
model.sap_source.stg_sap__faglflexa,RUNIT,NUMBER,,
model.sap_source.stg_sap__faglflexa,AWTYP,TEXT,,
model.sap_source.stg_sap__faglflexa,RRCTY,NUMBER,,
model.sap_source.stg_sap__faglflexa,RVERS,NUMBER,,
model.sap_source.stg_sap__faglflexa,LOGSYS,NUMBER,,
model.sap_source.stg_sap__faglflexa,RACCT,TEXT,,
model.sap_source.stg_sap__faglflexa,COST_ELEM,NUMBER,,
model.sap_source.stg_sap__faglflexa,RCNTR,NUMBER,,
model.sap_source.stg_sap__faglflexa,PRCTR,NUMBER,,
model.sap_source.stg_sap__faglflexa,RFAREA,NUMBER,,
model.sap_source.stg_sap__faglflexa,RBUSA,NUMBER,,
model.sap_source.stg_sap__faglflexa,KOKRS,NUMBER,,
model.sap_source.stg_sap__faglflexa,SEGMENT,NUMBER,,
model.sap_source.stg_sap__faglflexa,SCNTR,NUMBER,,
model.sap_source.stg_sap__faglflexa,PPRCTR,NUMBER,,
model.sap_source.stg_sap__faglflexa,SFAREA,NUMBER,,
model.sap_source.stg_sap__faglflexa,SBUSA,NUMBER,,
model.sap_source.stg_sap__faglflexa,RASSC,NUMBER,,
model.sap_source.stg_sap__faglflexa,PSEGMENT,NUMBER,,
model.sap_source.stg_sap__faglflexa,TSL,NUMBER,,
model.sap_source.stg_sap__faglflexa,HSL,NUMBER,,
model.sap_source.stg_sap__faglflexa,KSL,NUMBER,,
model.sap_source.stg_sap__faglflexa,OSL,NUMBER,,
model.sap_source.stg_sap__faglflexa,MSL,NUMBER,,
model.sap_source.stg_sap__faglflexa,WSL,NUMBER,,
model.sap_source.stg_sap__faglflexa,DRCRK,TEXT,,
model.sap_source.stg_sap__faglflexa,POPER,NUMBER,,
model.sap_source.stg_sap__faglflexa,RWCUR,TEXT,,
model.sap_source.stg_sap__faglflexa,GJAHR,TEXT,,
model.sap_source.stg_sap__faglflexa,BUDAT,TEXT,,
model.sap_source.stg_sap__faglflexa,BELNR,TEXT,,
model.sap_source.stg_sap__faglflexa,BUZEI,TEXT,,
model.sap_source.stg_sap__faglflexa,BSCHL,NUMBER,,
model.sap_source.stg_sap__faglflexa,BSTAT,NUMBER,,
model.sap_source.stg_sap__faglflexa,FAGLFLEXA_TIMESTAMP,NUMBER,,
model.sap_source.stg_sap__faglflexa,_FIVETRAN_SYNCED,TIMESTAMP_NTZ,,
model.sap_source.stg_sap__lfa1,mandt,,Client,
model.sap_source.stg_sap__lfa1,lifnr,,Account number of vendor or creditor,
model.sap_source.stg_sap__lfa1,brsch,,Industry key,
model.sap_source.stg_sap__lfa1,ktokk,,Vendor account group,
model.sap_source.stg_sap__lfa1,land1,,Country key,
model.sap_source.stg_sap__lfa1,loevm,,Central deletion flag for master record,
model.sap_source.stg_sap__lfa1,name1,,Name 1,
model.sap_source.stg_sap__lfa1,name2,,Name 2,
model.sap_source.stg_sap__lfa1,name3,,Name 3,
model.sap_source.stg_sap__lfa1,ort01,,City,
model.sap_source.stg_sap__lfa1,ort02,,District,
model.sap_source.stg_sap__lfa1,pfach,,PO Box,
model.sap_source.stg_sap__lfa1,pstl2,,P.O. Box postal code,
model.sap_source.stg_sap__lfa1,pstlz,,Postal code,
model.sap_source.stg_sap__lfa1,regio,,"Region (State, province, county)",
model.sap_source.stg_sap__lfa1,sortl,,Sort field,
model.sap_source.stg_sap__lfa1,spras,,Language key,
model.sap_source.stg_sap__lfa1,stcd1,,Tax number 1,
model.sap_source.stg_sap__lfa1,stcd2,,Tax number 2,
model.sap_source.stg_sap__lfa1,stcd3,,Tax number 3,
model.sap_source.stg_sap__lfa1,stras,,Street and house number,
model.sap_source.stg_sap__lfa1,telf1,,First telephone number,
model.sap_source.stg_sap__lfa1,telfx,,Fax number,
model.sap_source.stg_sap__lfa1,xcpdk,,Indicator (is the account a one-time account?),
model.sap_source.stg_sap__lfa1,vbund,,Company id of trading partner,
model.sap_source.stg_sap__lfa1,kraus,,Credit information number,
model.sap_source.stg_sap__lfa1,pfort,,PO box city,
model.sap_source.stg_sap__lfa1,werks,,Plant,
model.sap_source.stg_sap__lfa1,MANDT,TEXT,,
model.sap_source.stg_sap__lfa1,LIFNR,TEXT,,
model.sap_source.stg_sap__lfa1,BRSCH,TEXT,,
model.sap_source.stg_sap__lfa1,KTOKK,TEXT,,
model.sap_source.stg_sap__lfa1,LAND1,TEXT,,
model.sap_source.stg_sap__lfa1,LOEVM,NUMBER,,
model.sap_source.stg_sap__lfa1,NAME1,TEXT,,
model.sap_source.stg_sap__lfa1,NAME2,NUMBER,,
