model_name,index
model.sap_source.stg_sap__bkpf,0
model.sap_source.stg_sap__bkpf_tmp,1
model.sap_source.stg_sap__bseg,2
model.sap_source.stg_sap__bseg_tmp,3
model.sap_source.stg_sap__faglflexa,4
model.sap_source.stg_sap__faglflexa_tmp,5
model.sap_source.stg_sap__faglflext,6
model.sap_source.stg_sap__faglflext_tmp,7
model.sap_source.stg_sap__kna1,8
model.sap_source.stg_sap__kna1_tmp,9
model.sap_source.stg_sap__lfa1,10
model.sap_source.stg_sap__lfa1_tmp,11
model.sap_source.stg_sap__mara,12
model.sap_source.stg_sap__mara_tmp,13
model.sap_source.stg_sap__pa0000,14
model.sap_source.stg_sap__pa0000_tmp,15
model.sap_source.stg_sap__pa0001,16
model.sap_source.stg_sap__pa0001_tmp,17
model.sap_source.stg_sap__pa0007,18
model.sap_source.stg_sap__pa0007_tmp,19
model.sap_source.stg_sap__pa0008,20
model.sap_source.stg_sap__pa0008_tmp,21
model.sap_source.stg_sap__pa0031,22
model.sap_source.stg_sap__pa0031_tmp,23
model.sap_source.stg_sap__ska1,24
model.sap_source.stg_sap__ska1_tmp,25
model.sap_source.stg_sap__t001,26
model.sap_source.stg_sap__t001_tmp,27
model.sap_source.stg_sap__t503,28
model.sap_source.stg_sap__t503_tmp,29
model.sap_source.stg_sap__t880,30
model.sap_source.stg_sap__t880_tmp,31
source.sap_source.sap.bkpf,32
source.sap_source.sap.bseg,33
source.sap_source.sap.faglflexa,34
source.sap_source.sap.faglflext,35
source.sap_source.sap.kna1,36
source.sap_source.sap.lfa1,37
source.sap_source.sap.mara,38
source.sap_source.sap.pa0000,39
source.sap_source.sap.pa0001,40
source.sap_source.sap.pa0007,41
source.sap_source.sap.pa0008,42
source.sap_source.sap.pa0031,43
source.sap_source.sap.ska1,44
source.sap_source.sap.t001,45
source.sap_source.sap.t503,46
source.sap_source.sap.t880,47
