input_model,input_column,tags,output_model,output_columns
model.sap_source.stg_sap__bkpf_tmp,BELNR,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as TEXT""}",model.sap_source.stg_sap__bkpf,"{""belnr"":""Directly mapped after casting to TEXT""}"
model.sap_source.stg_sap__bkpf_tmp,BUKRS,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as TEXT""}",model.sap_source.stg_sap__bkpf,"{""bukrs"":""Directly mapped after casting to TEXT""}"
model.sap_source.stg_sap__bkpf_tmp,GJAHR,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as TEXT""}",model.sap_source.stg_sap__bkpf,"{""gjahr"":""Directly mapped after casting to TEXT""}"
model.sap_source.stg_sap__bkpf_tmp,MANDT,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as TEXT""}",model.sap_source.stg_sap__bkpf,"{""mandt"":""Directly mapped after casting to TEXT""}"
model.sap_source.stg_sap__bkpf_tmp,BLART,"{""Direct"":""The column is directly copied without any transformation""}",model.sap_source.stg_sap__bkpf,"{""blart"":""Directly mapped without any transformation""}"
model.sap_source.stg_sap__bkpf_tmp,BLDAT,"{""Direct"":""The column is directly copied without any transformation""}",model.sap_source.stg_sap__bkpf,"{""bldat"":""Directly mapped without any transformation""}"
model.sap_source.stg_sap__bkpf_tmp,MONAT,"{""Direct"":""The column is directly copied without any transformation""}",model.sap_source.stg_sap__bkpf,"{""monat"":""Directly mapped without any transformation""}"
model.sap_source.stg_sap__bkpf_tmp,CPUDT,"{""Direct"":""The column is directly copied without any transformation""}",model.sap_source.stg_sap__bkpf,"{""cpudt"":""Directly mapped without any transformation""}"
model.sap_source.stg_sap__bkpf_tmp,XBLNR,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast to TEXT data type""}",model.sap_source.stg_sap__bkpf,"{""xblnr"":""Directly mapped after casting to TEXT""}"
model.sap_source.stg_sap__bkpf_tmp,WAERS,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as TEXT type""}",model.sap_source.stg_sap__bkpf,"{""waers"":""Directly copied and cast as TEXT""}"
model.sap_source.stg_sap__bkpf_tmp,KURSF,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) type""}",model.sap_source.stg_sap__bkpf,"{""kursf"":""Directly copied and cast as DECIMAL(28, 6)""}"
model.sap_source.stg_sap__bkpf_tmp,GLVOR,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as TEXT type""}",model.sap_source.stg_sap__bkpf,"{""glvor"":""Directly copied and cast as TEXT""}"
model.sap_source.stg_sap__bkpf_tmp,AWKEY,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast to TEXT data type""}",model.sap_source.stg_sap__bkpf,"{""awkey"":""Directly mapped after casting to TEXT""}"
model.sap_source.stg_sap__bkpf_tmp,FIKRS,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast to TEXT data type""}",model.sap_source.stg_sap__bkpf,"{""fikrs"":""Directly mapped after casting to TEXT""}"
model.sap_source.stg_sap__bkpf_tmp,HWAER,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast to TEXT data type""}",model.sap_source.stg_sap__bkpf,"{""hwaer"":""Directly mapped after casting to TEXT""}"
model.sap_source.stg_sap__bkpf_tmp,HWAE2,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast to TEXT data type""}",model.sap_source.stg_sap__bkpf,"{""hwae2"":""Directly mapped after casting to TEXT""}"
model.sap_source.stg_sap__bkpf_tmp,HWAE3,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast to TEXT data type""}",model.sap_source.stg_sap__bkpf,"{""hwae3"":""Directly mapped after casting to TEXT""}"
model.sap_source.stg_sap__bkpf_tmp,AWSYS,"{""Cleaning"":""The column is cast to TEXT type."",""Direct"":""The column is directly copied without any transformation.""}",model.sap_source.stg_sap__bkpf,"{""awsys"":""Directly mapped after casting to TEXT.""}"
model.sap_source.stg_sap__bkpf_tmp,LDGRP,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast to TEXT data type""}",model.sap_source.stg_sap__bkpf,"{""ldgrp"":""Directly mapped after casting to TEXT""}"
model.sap_source.stg_sap__bkpf_tmp,XREORG,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast to TEXT data type""}",model.sap_source.stg_sap__bkpf,"{""xreorg"":""Directly mapped after casting to TEXT""}"
model.sap_source.stg_sap__faglflext_tmp,DRCRK,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as TEXT type""}",model.sap_source.stg_sap__faglflext,"{""drcrk"":""Directly mapped""}"
model.sap_source.stg_sap__faglflext_tmp,OBJNR00,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) type""}",model.sap_source.stg_sap__faglflext,"{""objnr00"":""Directly mapped""}"
model.sap_source.stg_sap__faglflext_tmp,OBJNR01,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) type""}",model.sap_source.stg_sap__faglflext,"{""objnr01"":""Directly mapped""}"
model.sap_source.stg_sap__faglflext_tmp,OBJNR02,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) type""}",model.sap_source.stg_sap__faglflext,"{""objnr02"":""Directly mapped""}"
model.sap_source.stg_sap__faglflext_tmp,OBJNR03,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) type""}",model.sap_source.stg_sap__faglflext,"{""objnr03"":""Directly mapped""}"
model.sap_source.stg_sap__faglflext_tmp,OBJNR04,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) type""}",model.sap_source.stg_sap__faglflext,"{""objnr04"":""Directly mapped""}"
model.sap_source.stg_sap__faglflext_tmp,OBJNR05,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) type""}",model.sap_source.stg_sap__faglflext,"{""objnr05"":""Directly mapped""}"
model.sap_source.stg_sap__faglflext_tmp,OBJNR06,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) type""}",model.sap_source.stg_sap__faglflext,"{""objnr06"":""Directly mapped""}"
model.sap_source.stg_sap__faglflext_tmp,OBJNR07,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) type""}",model.sap_source.stg_sap__faglflext,"{""objnr07"":""Directly mapped""}"
model.sap_source.stg_sap__faglflext_tmp,OBJNR08,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as DECIMAL(28, 6) type""}",model.sap_source.stg_sap__faglflext,"{""objnr08"":""Directly mapped""}"
model.sap_source.stg_sap__faglflext_tmp,RCLNT,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as TEXT""}",model.sap_source.stg_sap__faglflext,"{""rclnt"":""Directly copied and cast as TEXT""}"
model.sap_source.stg_sap__faglflext_tmp,RPMAX,"{""Direct"":""The column is directly copied without transformation""}",model.sap_source.stg_sap__faglflext,"{""rpmax"":""Directly copied""}"
model.sap_source.stg_sap__faglflext_tmp,RYEAR,"{""Direct"":""The column is directly copied without transformation""}",model.sap_source.stg_sap__faglflext,"{""ryear"":""Directly copied""}"
model.sap_source.stg_sap__faglflext_tmp,ACTIV,"{""Direct"":""The column is directly copied without transformation""}",model.sap_source.stg_sap__faglflext,"{""activ"":""Directly copied""}"
model.sap_source.stg_sap__faglflext_tmp,RMVCT,"{""Direct"":""The column is directly copied without transformation""}",model.sap_source.stg_sap__faglflext,"{""rmvct"":""Directly copied""}"
model.sap_source.stg_sap__faglflext_tmp,RTCUR,"{""Direct"":""The column is directly copied without transformation""}",model.sap_source.stg_sap__faglflext,"{""rtcur"":""Directly copied""}"
model.sap_source.stg_sap__faglflext_tmp,RUNIT,"{""Direct"":""The column is directly copied without transformation""}",model.sap_source.stg_sap__faglflext,"{""runit"":""Directly copied""}"
model.sap_source.stg_sap__faglflext_tmp,AWTYP,"{""Direct"":""The column is directly copied without transformation""}",model.sap_source.stg_sap__faglflext,"{""awtyp"":""Directly copied""}"
model.sap_source.stg_sap__faglflext_tmp,RLDNR,"{""Direct"":""The column is directly copied without transformation"",""Cleaning"":""The column is cast as TEXT""}",model.sap_source.stg_sap__faglflext,"{""rldnr"":""Directly copied and cast as TEXT""}"
model.sap_source.stg_sap__faglflext_tmp,RRCTY,"{""Direct"":""The column is directly copied without transformation""}",model.sap_source.stg_sap__faglflext,"{""rrcty"":""Directly copied""}"
model.sap_source.stg_sap__faglflext_tmp,RVERS,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as TEXT""}",model.sap_source.stg_sap__faglflext,"{""rvers"":""Directly mapped after casting to TEXT""}"
model.sap_source.stg_sap__faglflext_tmp,LOGSYS,"{""Direct"":""The column is directly copied without any transformation""}",model.sap_source.stg_sap__faglflext,"{""logsys"":""Directly mapped without transformation""}"
model.sap_source.stg_sap__faglflext_tmp,RACCT,"{""Direct"":""The column is directly copied without any transformation""}",model.sap_source.stg_sap__faglflext,"{""racct"":""Directly mapped without transformation""}"
model.sap_source.stg_sap__faglflext_tmp,COST_ELEM,"{""Direct"":""The column is directly copied without any transformation""}",model.sap_source.stg_sap__faglflext,"{""cost_elem"":""Directly mapped without transformation""}"
model.sap_source.stg_sap__faglflext_tmp,RBUKRS,"{""Direct"":""The column is directly copied without any transformation"",""Cleaning"":""The column is cast as TEXT""}",model.sap_source.stg_sap__faglflext,"{""rbukrs"":""Directly mapped after casting to TEXT""}"
model.sap_source.stg_sap__faglflext_tmp,RCNTR,"{""Direct"":""The column is directly copied without any transformation""}",model.sap_source.stg_sap__faglflext,"{""rcntr"":""Directly mapped without transformation""}"
model.sap_source.stg_sap__faglflext_tmp,PRCTR,"{""Direct"":""The column is directly copied without any transformation""}",model.sap_source.stg_sap__faglflext,"{""prctr"":""Directly mapped without transformation""}"
model.sap_source.stg_sap__faglflext_tmp,RFAREA,"{""Direct"":""The column is directly copied without any transformation""}",model.sap_source.stg_sap__faglflext,"{""rfarea"":""Directly mapped without transformation""}"
model.sap_source.stg_sap__faglflext_tmp,RBUSA,"{""Direct"":""The column is directly copied without any transformation""}",model.sap_source.stg_sap__faglflext,"{""rbusa"":""Directly mapped without transformation""}"
