model_name,column_name,column_type,comment,index
model.shopify.shopify__customer_cohorts,cohort_month,,"The month the cohort belongs to, i.e the first month the customer had an order.",
model.shopify.shopify__customer_cohorts,cohort_month_number,,"The 'number' of the `date_month` of the record, i.e. how many months from their start month this cohort occurred",
model.shopify.shopify__customer_cohorts,customer_cohort_id,,"Unique key representing a customer in a given month. Hashed on 'date_month', 'customer_id', and 'source_relation'.",
model.shopify.shopify__customer_cohorts,customer_id,,The ID of the related customer.,
model.shopify.shopify__customer_cohorts,date_month,,The calendar month the customer stats relate to.,
model.shopify.shopify__customer_cohorts,first_order_timestamp,,The timestamp of the customer's first order.,
model.shopify.shopify__customer_cohorts,line_item_count_in_month,,Number of line items purchased in the `date_month`,
model.shopify.shopify__customer_cohorts,line_item_count_lifetime,,Number of line items purchased up until and including this `date_month`.,
model.shopify.shopify__customer_cohorts,order_count_in_month,,Number of orders purchased in the `date_month`,
model.shopify.shopify__customer_cohorts,order_count_lifetime,,Number of orders purchased up until and including this `date_month`.,
model.shopify.shopify__customer_cohorts,source_relation,,"The schema or database this record came from if you are making use of the `shopify_union_schemas` or `shopify_union_databases` variables, respectively. Empty string if you are not using either of these variables to union together multiple Shopify connectors.",
model.shopify.shopify__customer_cohorts,total_price_in_month,,Total amount (in shop currency) purchased in the `date_month`,
model.shopify.shopify__customer_cohorts,total_price_lifetime,,Total amount (in shop currency) up until and including this `date_month`.,
model.shopify.shopify__discounts,discounts_unique_key,,Unique key representing a discount. Hashed on 'discount_code_id' and 'source_relation'.,
model.shopify.shopify__discounts,_fivetran_synced,,The time when a record was last updated by Fivetran.,
model.shopify.shopify__discounts,code,,The case-insensitive discount code that customers use at checkout. Shopify recommends this map onto the associated `price_rule.title`.,
model.shopify.shopify__discounts,created_at,,The date and time (ISO 8601 format) when the discount code was created.,
model.shopify.shopify__discounts,discount_code_id,,The ID for the discount code.,
model.shopify.shopify__discounts,price_rule_id,,The ID for the price rule.,
model.shopify.shopify__discounts,updated_at,,The date and time (ISO 8601 format) when the discount code was updated.,
model.shopify.shopify__discounts,usage_count,,The number of times that the discount code has been redeemed.,
model.shopify.shopify__discounts,allocation_limit,,"The number of times the discount can be allocated on the cart - if eligible. For example a Buy 1 hat Get 1 hat for free discount can be applied 3 times on a cart having more than 6 hats,  where maximum of 3 hats get discounted - if the allocation_limit is 3. Empty (null) allocation_limit means unlimited number of allocations.
",
model.shopify.shopify__discounts,allocation_method,,"The allocation method of the price rule. Valid values include `each` (the discount is applied to each of the entitled items. For example, for a price rule that takes $15 off, each entitled line item in a checkout will be discounted by $15) and `across` (the calculated discount amount will be applied across the entitled items. For example, for a price rule that takes $15 off, the discount will be applied across all the entitled items).
",
model.shopify.shopify__discounts,price_rule_created_at,,The date and time (ISO 8601 format) when the price rule was created.,
model.shopify.shopify__discounts,customer_selection,,"The customer selection for the price rule. Valid values include `all` (the price rule is valid for all customers) and `prerequisite`  (the customer must either belong to one of the customer segments specified by customer_segment_prerequisite_ids, or be one of the customers specified by prerequisite_customer_ids).
",
model.shopify.shopify__discounts,ends_at,,The date and time (ISO 8601 format) when the price rule ends. Must be after starts_at.,
model.shopify.shopify__discounts,is_once_per_customer,,Boolean representing whether the generated discount code will be valid only for a single use per customer. This is tracked using customer ID.,
model.shopify.shopify__discounts,prereq_min_quantity,,"If `customer_selection` is `prerequisite`, the minimum number of items for the price rule to be applicable. The quantity of an entitled cart item must be greater than or equal to this value.",
model.shopify.shopify__discounts,prereq_max_shipping_price,,"If `customer_selection` is `prerequisite`, the maximum shipping price for the price rule to be applicable. The shipping price must be less than or equal to this value",
