parent_idx,child_idx
14,11
10,11
20,11
71,17
3,17
4,17
39,17
69,20
21,20
41,20
51,20
52,20
22,20
66,20
54,20
9,23
8,23
89,24
87,24
0,13
25,13
5,13
2,16
83,16
10,16
1,16
13,12
10,12
20,12
35,14
25,14
15,14
43,18
47,18
79,18
73,18
45,18
6,18
22,19
79,19
85,19
56,19
36,15
51,15
21,15
24,15
81,22
57,22
19,2
20,2
25,1
36,0
35,0
28,3
26,3
25,3
19,8
20,8
51,5
21,5
35,5
24,5
64,7
62,7
20,4
54,4
76,9
79,9
73,9
31,9
32,9
74,9
85,21
7,21
56,21
41,6
51,6
22,6
56,6
29,28
90,89
42,41
75,74
33,32
40,39
46,45
38,35
68,51
53,52
67,66
37,36
61,60
78,73
50,49
80,79
72,71
27,26
77,76
44,43
55,54
70,69
82,81
48,47
34,31
59,56
58,57
65,64
88,87
84,83
86,85
63,62
30,25
95,33
108,58
92,27
103,50
119,82
121,86
104,68
96,38
123,90
111,65
100,44
97,37
99,42
109,61
93,29
105,53
113,70
94,34
116,75
91,30
107,59
114,72
120,84
106,55
115,78
98,40
118,80
102,48
122,88
101,46
110,63
117,77
112,67
