model_name,index
model.shopify.int_shopify__customer_email_rollup,0
model.shopify.int_shopify__daily_abandoned_checkouts,1
model.shopify.int_shopify__daily_orders,2
model.shopify.int_shopify__discounts__abandoned_checkouts,3
model.shopify.int_shopify__discounts__order_aggregates,4
model.shopify.int_shopify__emails__order_aggregates,5
model.shopify.int_shopify__inventory_level__aggregates,6
model.shopify.int_shopify__order__shipping_aggregates,7
model.shopify.int_shopify__product__order_line_aggregates,8
model.shopify.int_shopify__products_with_aggregates,9
model.shopify.shopify__calendar,10
model.shopify.shopify__customer_cohorts,11
model.shopify.shopify__customer_email_cohorts,12
model.shopify.shopify__customer_emails,13
model.shopify.shopify__customers,14
model.shopify.shopify__customers__order_aggregates,15
model.shopify.shopify__daily_shop,16
model.shopify.shopify__discounts,17
model.shopify.shopify__inventory_levels,18
model.shopify.shopify__order_lines,19
model.shopify.shopify__orders,20
model.shopify.shopify__orders__order_line_aggregates,21
model.shopify.shopify__orders__order_refunds,22
model.shopify.shopify__products,23
model.shopify.shopify__transactions,24
model.shopify_source.stg_shopify__abandoned_checkout,25
model.shopify_source.stg_shopify__abandoned_checkout_discount_code,26
model.shopify_source.stg_shopify__abandoned_checkout_discount_code_tmp,27
model.shopify_source.stg_shopify__abandoned_checkout_shipping_line,28
model.shopify_source.stg_shopify__abandoned_checkout_shipping_line_tmp,29
model.shopify_source.stg_shopify__abandoned_checkout_tmp,30
model.shopify_source.stg_shopify__collection,31
model.shopify_source.stg_shopify__collection_product,32
model.shopify_source.stg_shopify__collection_product_tmp,33
model.shopify_source.stg_shopify__collection_tmp,34
model.shopify_source.stg_shopify__customer,35
model.shopify_source.stg_shopify__customer_tag,36
model.shopify_source.stg_shopify__customer_tag_tmp,37
model.shopify_source.stg_shopify__customer_tmp,38
model.shopify_source.stg_shopify__discount_code,39
model.shopify_source.stg_shopify__discount_code_tmp,40
model.shopify_source.stg_shopify__fulfillment,41
model.shopify_source.stg_shopify__fulfillment_tmp,42
model.shopify_source.stg_shopify__inventory_item,43
model.shopify_source.stg_shopify__inventory_item_tmp,44
model.shopify_source.stg_shopify__inventory_level,45
model.shopify_source.stg_shopify__inventory_level_tmp,46
model.shopify_source.stg_shopify__location,47
model.shopify_source.stg_shopify__location_tmp,48
model.shopify_source.stg_shopify__metafield,49
model.shopify_source.stg_shopify__metafield_tmp,50
model.shopify_source.stg_shopify__order,51
model.shopify_source.stg_shopify__order_adjustment,52
model.shopify_source.stg_shopify__order_adjustment_tmp,53
model.shopify_source.stg_shopify__order_discount_code,54
model.shopify_source.stg_shopify__order_discount_code_tmp,55
model.shopify_source.stg_shopify__order_line,56
model.shopify_source.stg_shopify__order_line_refund,57
model.shopify_source.stg_shopify__order_line_refund_tmp,58
model.shopify_source.stg_shopify__order_line_tmp,59
model.shopify_source.stg_shopify__order_note_attribute,60
model.shopify_source.stg_shopify__order_note_attribute_tmp,61
model.shopify_source.stg_shopify__order_shipping_line,62
model.shopify_source.stg_shopify__order_shipping_line_tmp,63
model.shopify_source.stg_shopify__order_shipping_tax_line,64
model.shopify_source.stg_shopify__order_shipping_tax_line_tmp,65
model.shopify_source.stg_shopify__order_tag,66
model.shopify_source.stg_shopify__order_tag_tmp,67
model.shopify_source.stg_shopify__order_tmp,68
model.shopify_source.stg_shopify__order_url_tag,69
model.shopify_source.stg_shopify__order_url_tag_tmp,70
model.shopify_source.stg_shopify__price_rule,71
model.shopify_source.stg_shopify__price_rule_tmp,72
model.shopify_source.stg_shopify__product,73
model.shopify_source.stg_shopify__product_image,74
model.shopify_source.stg_shopify__product_image_tmp,75
model.shopify_source.stg_shopify__product_tag,76
model.shopify_source.stg_shopify__product_tag_tmp,77
model.shopify_source.stg_shopify__product_tmp,78
model.shopify_source.stg_shopify__product_variant,79
model.shopify_source.stg_shopify__product_variant_tmp,80
model.shopify_source.stg_shopify__refund,81
model.shopify_source.stg_shopify__refund_tmp,82
model.shopify_source.stg_shopify__shop,83
model.shopify_source.stg_shopify__shop_tmp,84
model.shopify_source.stg_shopify__tax_line,85
model.shopify_source.stg_shopify__tax_line_tmp,86
model.shopify_source.stg_shopify__tender_transaction,87
model.shopify_source.stg_shopify__tender_transaction_tmp,88
model.shopify_source.stg_shopify__transaction,89
model.shopify_source.stg_shopify__transaction_tmp,90
source.shopify_source.shopify.abandoned_checkout,91
source.shopify_source.shopify.abandoned_checkout_discount_code,92
source.shopify_source.shopify.abandoned_checkout_shipping_line,93
source.shopify_source.shopify.collection,94
source.shopify_source.shopify.collection_product,95
source.shopify_source.shopify.customer,96
source.shopify_source.shopify.customer_tag,97
source.shopify_source.shopify.discount_code,98
source.shopify_source.shopify.fulfillment,99
source.shopify_source.shopify.inventory_item,100
source.shopify_source.shopify.inventory_level,101
source.shopify_source.shopify.location,102
source.shopify_source.shopify.metafield,103
source.shopify_source.shopify.order,104
source.shopify_source.shopify.order_adjustment,105
