model_name,summary,tags
model.shopify.shopify__customer_cohorts,"This SQL query creates customer cohorts based on their first order date and calculates various metrics for each customer on a monthly basis. It joins customer data with order data, calculates lifetime metrics using window functions, and assigns a unique identifier to each customer cohort. The query provides a comprehensive view of customer behavior over time, including order counts, total prices, and line item counts both for individual months and cumulatively.","[""Integration"",""Aggregation"",""Featurization"",""Other""]"
model.shopify.shopify__discounts,"This SQL query integrates data from multiple Shopify-related tables to create a comprehensive view of discounts. It combines information about discount codes, price rules, orders, and abandoned checkouts. The query performs various aggregations to calculate metrics such as total discount amounts, order counts, customer counts, and shipping costs. It also joins these aggregated results with the main discount and price rule data to provide a detailed analysis of discount performance across both completed orders and abandoned checkouts.","[""Integration"",""Aggregation"",""Featurization""]"
model.shopify.shopify__orders,"This SQL query combines and transforms data from multiple Shopify-related tables to create a comprehensive view of orders. It joins order information with related data such as refunds, adjustments, discounts, tags, and fulfillments. The query calculates various aggregates and derived fields, including adjusted totals, discount amounts, and shipping information. It also determines whether each order is from a new or repeat customer based on the order sequence for each customer.","[""Integration"",""Aggregation"",""Featurization"",""Cleaning""]"
model.shopify.shopify__products,"This SQL query integrates data from multiple Shopify-related tables to create a comprehensive view of products. It joins product information with collections, tags, variants, and images. The query also aggregates order line data to add sales-related metrics to each product. It includes various calculations such as quantity sold, subtotal sold, average quantity per order line, total discounts, and taxes. The result is a detailed product report that combines product attributes with sales performance data.","[""Integration"",""Aggregation"",""Featurization""]"
model.shopify.shopify__transactions,"This SQL query integrates data from three Shopify-related tables: transactions, tender transactions, and parent transactions. It creates a unique identifier for each transaction, joins the tables based on transaction IDs and source relations, and calculates exchange rates and currency-adjusted amounts from JSON data in the receipt field. The query enhances the transaction data with payment methods, parent transaction details, and currency exchange information.","[""Integration"",""Featurization"",""Cleaning""]"
model.shopify.shopify__customer_emails,"This SQL query aggregates and integrates customer data from various Shopify-related tables. It calculates lifetime metrics for customers, including order totals, average order values, abandoned checkouts, and various financial metrics (spent, refunded, tax, shipping, etc.). The query joins data from orders, transactions, customer emails, and abandoned checkouts to create a comprehensive customer profile.","[""Integration"",""Aggregation"",""Featurization"",""Cleaning""]"
model.shopify.shopify__daily_shop,"This SQL query creates a daily summary of shop performance metrics, combining order data, abandoned checkout information, and shop details. It calculates various aggregates such as order counts, sales figures, discounts, refunds, and product quantities. The query joins multiple tables to provide a comprehensive daily view of each shop's activities, including both successful orders and abandoned checkouts.","[""Filtering"",""Integration"",""Aggregation"",""Featurization""]"
model.shopify.shopify__customer_email_cohorts,"This SQL query creates customer email cohorts for Shopify data. It combines calendar, customer, and order data to track customer behavior over time. The query calculates monthly and lifetime metrics for each customer, including order count, total price, and line item count. It also assigns a cohort month and a unique customer cohort ID to each record.","[""Integration"",""Aggregation"",""Featurization"",""Other""]"
model.shopify.shopify__customers,"This SQL query integrates customer data from multiple Shopify-related tables to create a comprehensive customer profile. It combines information from orders, transactions, customer tags, and abandoned checkouts. The query calculates various customer metrics such as lifetime spending, order counts, average order value, and abandoned checkout counts. It also includes aggregations of tax, shipping, and discount information across a customer's order history.","[""Integration"",""Aggregation"",""Featurization"",""Cleaning""]"
model.shopify.shopify__inventory_levels,"This SQL query integrates data from multiple Shopify-related tables (inventory levels, items, locations, product variants, orders, refunds, and fulfillments) to create a comprehensive view of inventory and sales performance. It combines inventory data with sales and refund information, calculates various aggregates such as total sales, quantity sold, distinct orders and customers, and fulfillment statuses. The query also includes detailed information about products, variants, and locations, providing a holistic view of inventory across different dimensions.","[""Integration"",""Aggregation"",""Featurization"",""Cleaning""]"
model.shopify.shopify__order_lines,"This SQL query integrates data from multiple Shopify-related tables to create a comprehensive view of order lines. It joins order line data with refund information, product variant details, and tax information. The query calculates net quantities and subtotals after refunds, and includes various product variant attributes. It also aggregates refund and tax data at the order line level.","[""Integration"",""Aggregation"",""Featurization""]"
model.shopify.shopify__customers__order_aggregates,"This SQL query aggregates customer order data from various Shopify-related tables. It calculates customer-level metrics such as first and most recent order dates, average order value, lifetime total spent, refunded amounts, order counts, and various aggregations related to quantity, tax, discounts, and shipping. The query also includes customer tags and filters out certain transaction types. The result provides a comprehensive overview of each customer's purchasing behavior and order history.","[""Filtering"",""Integration"",""Aggregation"",""Featurization""]"
model.shopify.shopify__orders__order_refunds,"This SQL query integrates data from two staging tables: 'stg_shopify__refund' and 'stg_shopify__order_line_refund'. It joins these tables based on the refund_id and source_relation columns, combining information about refunds with their corresponding order line details. The query selects all columns from both tables, providing a comprehensive view of refund information along with associated order line refund data.","[""Integration""]"
model.shopify.int_shopify__daily_orders,"This SQL query performs daily aggregations of Shopify order and order line data. It combines information from orders and order lines, calculating various metrics such as order counts, customer counts, sales totals, discounts, refunds, and product quantities. The query also includes time-based aggregations and creates a comprehensive daily summary of order-related activities and financial metrics.","[""Filtering"",""Integration"",""Aggregation"",""Featurization""]"
model.shopify.int_shopify__daily_abandoned_checkouts,"This SQL query analyzes abandoned checkouts in a Shopify database. It first filters out deleted checkouts, then aggregates daily data on abandoned checkouts, including counts of unique checkouts, customers, and customer emails. The results are grouped by source relation and date.","[""Filtering"",""Featurization"",""Aggregation""]"
model.shopify.int_shopify__customer_email_rollup,"This SQL query creates a rolled-up view of customer data from Shopify. It combines customer information with their tags, groups customers by email address, and aggregates various attributes. The query performs deduplication by using ROW_NUMBER() to identify the most recent customer record for each email. It also cleans the email addresses by converting them to lowercase. The query integrates customer data with customer tags and aggregates multiple fields, including customer IDs, phone numbers, tags, and various timestamps. It also handles boolean fields by taking the maximum value.","[""Cleaning"",""Deduplication"",""Integration"",""Aggregation""]"
model.shopify.int_shopify__discounts__abandoned_checkouts,"This SQL query analyzes abandoned checkouts and their associated discounts in a Shopify dataset. It filters out deleted checkouts and empty discount types, joins relevant tables (abandoned checkouts, discount codes, and shipping lines), aggregates data on discounts, prices, and customer counts, and presents a summary of abandoned checkouts grouped by discount code, type, and source relation.","[""Filtering"",""Integration"",""Aggregation""]"
model.shopify.int_shopify__product__order_line_aggregates,"This SQL query aggregates data from Shopify order lines and orders to create product-level metrics. It calculates various sales statistics for each product, including quantity sold, subtotal, refunds, first and most recent order dates, discounts, taxes, and average quantities and amounts per order line. The query joins order lines with orders and groups the results by product ID and source relation.","[""Integration"",""Aggregation"",""Featurization""]"
model.shopify.int_shopify__emails__order_aggregates,"This SQL query aggregates and analyzes customer order data from Shopify. It combines information from various tables including orders, transactions, customers, and order line aggregates. The query calculates several metrics for each customer email and source relation, such as first and most recent order timestamps, average order value, lifetime total spent, refunded amounts, order counts, and various aggregations related to quantity, tax, discounts, and shipping. The result provides a comprehensive view of customer purchasing behavior and order statistics.","[""Filtering"",""Cleaning"",""Integration"",""Aggregation"",""Featurization""]"
model.shopify.int_shopify__order__shipping_aggregates,"This SQL query calculates shipping-related aggregates for Shopify orders. It joins order shipping line data with order shipping tax line data, then aggregates the shipping price, discounted shipping price, and shipping tax for each order. The result provides a summary of shipping costs and taxes per order.","[""Integration"",""Aggregation""]"
model.shopify.int_shopify__discounts__order_aggregates,"This SQL query aggregates order discount data from Shopify. It joins order discount codes with order details, then calculates various metrics such as average and total discount amounts, total order prices, shipping costs, refund amounts, and counts of unique customers and orders for each discount code. The results are grouped by discount code, type, and source relation.","[""Integration"",""Aggregation""]"
model.shopify.int_shopify__products_with_aggregates,"This SQL query integrates data from multiple Shopify-related tables to create a comprehensive view of products. It joins product information with aggregated data from collections, tags, variants, and images. The query performs several aggregations, including collecting collections and tags into comma-separated lists, counting variants and images, and determining if a product has an image. The result is a detailed product dataset with additional attributes derived from related tables.","[""Integration"",""Aggregation"",""Featurization""]"
