input_model,input_column,tags,output_model,output_columns
model.shopify_source.stg_shopify__discount_code,_fivetran_synced,"{""Direct"":""The column is directly copied without any transformation""}",model.shopify.shopify__discounts,"{""_fivetran_synced"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__discount_code,code,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as a key to join with other tables (orders_aggregated and abandoned_checkouts_aggregated)""}",model.shopify.shopify__discounts,"{""code"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__discount_code,created_at,"{""Direct"":""The column is directly copied without any transformation""}",model.shopify.shopify__discounts,"{""created_at"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__discount_code,discount_code_id,"{""Direct"":""The column is directly copied without any transformation"",""Other"":""Used to create the discounts_unique_key""}",model.shopify.shopify__discounts,"{""discount_code_id"":""Directly copied to the output"",""discounts_unique_key"":""Part of the MD5 hash to create this unique key""}"
model.shopify_source.stg_shopify__discount_code,price_rule_id,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used to join with the price_rule table""}",model.shopify.shopify__discounts,"{""price_rule_id"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__discount_code,updated_at,"{""Direct"":""The column is directly copied without any transformation""}",model.shopify.shopify__discounts,"{""updated_at"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__discount_code,usage_count,"{""Direct"":""The column is directly copied without any transformation""}",model.shopify.shopify__discounts,"{""usage_count"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__discount_code,source_relation,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as part of the join conditions with other tables"",""Other"":""Used to create the discounts_unique_key""}",model.shopify.shopify__discounts,"{""source_relation"":""Directly copied to the output"",""discounts_unique_key"":""Part of the MD5 hash to create this unique key""}"
model.shopify_source.stg_shopify__price_rule,allocation_limit,"{""Direct"":""The column is directly copied without any transformation""}",model.shopify.shopify__discounts,"{""allocation_limit"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__price_rule,allocation_method,"{""Direct"":""The column is directly copied without any transformation""}",model.shopify.shopify__discounts,"{""allocation_method"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__price_rule,created_at,"{""Direct"":""The column is directly copied without any transformation""}",model.shopify.shopify__discounts,"{""price_rule_created_at"":""Directly copied to the output with a renamed column""}"
model.shopify_source.stg_shopify__price_rule,customer_selection,"{""Direct"":""The column is directly copied without any transformation""}",model.shopify.shopify__discounts,"{""customer_selection"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__price_rule,ends_at,"{""Direct"":""The column is directly copied without any transformation""}",model.shopify.shopify__discounts,"{""ends_at"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__price_rule,is_once_per_customer,"{""Direct"":""The column is directly copied without any transformation""}",model.shopify.shopify__discounts,"{""is_once_per_customer"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__price_rule,prereq_min_quantity,"{""Direct"":""The column is directly copied without any transformation""}",model.shopify.shopify__discounts,"{""prereq_min_quantity"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__price_rule,prereq_max_shipping_price,"{""Direct"":""The column is directly copied without any transformation""}",model.shopify.shopify__discounts,"{""prereq_max_shipping_price"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__price_rule,prereq_min_subtotal,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__discounts,"{""prereq_min_subtotal"":""Directly mapped to the output column""}"
model.shopify_source.stg_shopify__price_rule,prereq_min_purchase_quantity_for_entitlement,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__discounts,"{""prereq_min_purchase_quantity_for_entitlement"":""Directly mapped to the output column""}"
model.shopify_source.stg_shopify__price_rule,prereq_buy_x_get_this,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__discounts,"{""prereq_buy_x_get_this"":""Directly mapped to the output column""}"
model.shopify_source.stg_shopify__price_rule,prereq_buy_this_get_y,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__discounts,"{""prereq_buy_this_get_y"":""Directly mapped to the output column""}"
model.shopify_source.stg_shopify__price_rule,starts_at,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__discounts,"{""starts_at"":""Directly mapped to the output column""}"
model.shopify_source.stg_shopify__price_rule,target_selection,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__discounts,"{""target_selection"":""Directly mapped to the output column""}"
model.shopify_source.stg_shopify__price_rule,target_type,"{""Direct"":""This column is directly copied without any transformation"",""Other"":""Used in a CASE statement to determine the discount type for joining with aggregated data""}",model.shopify.shopify__discounts,"{""target_type"":""Directly mapped to the output column""}"
model.shopify_source.stg_shopify__price_rule,title,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__discounts,"{""title"":""Directly mapped to the output column""}"
model.shopify_source.stg_shopify__price_rule,updated_at,"{""Direct"":""This column is directly copied without any transformation"",""Cleaning"":""The column is renamed to 'price_rule_updated_at' for clarity""}",model.shopify.shopify__discounts,"{""price_rule_updated_at"":""Mapped after being renamed""}"
model.shopify_source.stg_shopify__price_rule,usage_limit,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__discounts,"{""usage_limit"":""Directly mapped to the output column""}"
model.shopify_source.stg_shopify__price_rule,value,"{""Direct"":""The column is directly copied without any transformation""}",model.shopify.shopify__discounts,"{""value"":""It is directly mapped to the output column 'value'""}"
model.shopify_source.stg_shopify__price_rule,value_type,"{""Direct"":""The column is directly copied without any transformation"",""Other"":""Used in a CASE statement to determine the type of discount for joining with aggregated data""}",model.shopify.shopify__discounts,"{""value_type"":""It is directly mapped to the output column 'value_type'""}"
model.shopify_source.stg_shopify__price_rule,source_relation,"{""Direct"":""The column is directly copied without any transformation"",""Integration"":""Used as a key to join tables and ensure data from the same source is combined""}",model.shopify.shopify__discounts,"{""source_relation"":""It is directly mapped to the output column 'source_relation'""}"
model.shopify_source.stg_shopify__fulfillment,fulfillment_id,"{""Aggregation"":""Used in COUNT to determine the number of fulfillments""}",model.shopify.shopify__orders,"{""number_of_fulfillments"":""Aggregated count of distinct fulfillment_id""}"
model.shopify_source.stg_shopify__fulfillment,service,"{""Aggregation"":""Used in LISTAGG to create a list of distinct fulfillment services""}",model.shopify.shopify__orders,"{""fulfillment_services"":""Aggregated list of distinct service values""}"
model.shopify_source.stg_shopify__fulfillment,tracking_company,"{""Aggregation"":""Used in LISTAGG to create a list of distinct tracking companies""}",model.shopify.shopify__orders,"{""tracking_companies"":""Aggregated list of distinct tracking_company values""}"
model.shopify_source.stg_shopify__fulfillment,tracking_number,"{""Aggregation"":""The tracking_number is aggregated using LISTAGG to create a list of distinct tracking numbers for each order.""}",model.shopify.shopify__orders,"{""tracking_numbers"":""Aggregated into a comma-separated list of distinct tracking numbers.""}"
model.shopify_source.stg_shopify__order,_fivetran_synced,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""_fivetran_synced"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,app_id,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""app_id"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,checkout_id,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""checkout_id"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,order_status_url,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""order_status_url"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,billing_address_address_1,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""billing_address_address_1"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,billing_address_address_2,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""billing_address_address_2"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,billing_address_city,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""billing_address_city"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,billing_address_company,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""billing_address_company"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,billing_address_country,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""billing_address_country"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,billing_address_country_code,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""billing_address_country_code"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,billing_address_first_name,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""billing_address_first_name"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,billing_address_last_name,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""billing_address_last_name"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,billing_address_latitude,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""billing_address_latitude"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,billing_address_longitude,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""billing_address_longitude"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,billing_address_name,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""billing_address_name"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,billing_address_phone,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""billing_address_phone"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,billing_address_province,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""billing_address_province"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,billing_address_province_code,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""billing_address_province_code"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,billing_address_zip,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""billing_address_zip"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,browser_ip,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""browser_ip"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,has_buyer_accepted_marketing,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""has_buyer_accepted_marketing"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,cancel_reason,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""cancel_reason"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,cancelled_timestamp,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""cancelled_timestamp"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,cart_token,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""cart_token"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,closed_timestamp,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""closed_timestamp"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,created_timestamp,"{""Direct"":""This column is directly copied without any transformation"",""Featurization"":""Used to determine the customer order sequence number""}",model.shopify.shopify__orders,"{""created_timestamp"":""Directly copied to the output"",""customer_order_seq_number"":""Used in window function to determine order sequence""}"
model.shopify_source.stg_shopify__order,currency,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""currency"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,customer_id,"{""Direct"":""This column is directly copied without any transformation"",""Featurization"":""Used to determine the customer order sequence number and new vs repeat customer status""}",model.shopify.shopify__orders,"{""customer_id"":""Directly copied to the output"",""customer_order_seq_number"":""Used in window function to determine order sequence"",""new_vs_repeat"":""Used to determine if the order is from a new or repeat customer""}"
model.shopify_source.stg_shopify__order,email,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""email"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,financial_status,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""financial_status"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,fulfillment_status,"{""Direct"":""This column is directly copied to the output without transformation""}",model.shopify.shopify__orders,"{""fulfillment_status"":""Directly copied""}"
model.shopify_source.stg_shopify__order,order_id,"{""Direct"":""This column is directly copied to the output"",""Integration"":""Used as a key to join with other tables"",""Featurization"":""Used to create a unique key for the order""}",model.shopify.shopify__orders,"{""order_id"":""Directly copied"",""orders_unique_key"":""Used in combination with source_relation to create a unique key""}"
model.shopify_source.stg_shopify__order,landing_site_base_url,"{""Direct"":""This column is directly copied to the output without transformation""}",model.shopify.shopify__orders,"{""landing_site_base_url"":""Directly copied""}"
model.shopify_source.stg_shopify__order,location_id,"{""Direct"":""This column is directly copied to the output without transformation""}",model.shopify.shopify__orders,"{""location_id"":""Directly copied""}"
model.shopify_source.stg_shopify__order,name,"{""Direct"":""This column is directly copied to the output without transformation""}",model.shopify.shopify__orders,"{""name"":""Directly copied""}"
model.shopify_source.stg_shopify__order,note,"{""Direct"":""This column is directly copied to the output without transformation""}",model.shopify.shopify__orders,"{""note"":""Directly copied""}"
model.shopify_source.stg_shopify__order,number,"{""Direct"":""This column is directly copied to the output without transformation""}",model.shopify.shopify__orders,"{""number"":""Directly copied""}"
model.shopify_source.stg_shopify__order,order_number,"{""Direct"":""This column is directly copied to the output without transformation""}",model.shopify.shopify__orders,"{""order_number"":""Directly copied""}"
model.shopify_source.stg_shopify__order,processed_timestamp,"{""Direct"":""This column is directly copied to the output without transformation""}",model.shopify.shopify__orders,"{""processed_timestamp"":""Directly copied""}"
model.shopify_source.stg_shopify__order,referring_site,"{""Direct"":""This column is directly copied to the output without transformation""}",model.shopify.shopify__orders,"{""referring_site"":""Directly copied""}"
model.shopify_source.stg_shopify__order,shipping_address_address_1,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""shipping_address_address_1"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,shipping_address_address_2,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""shipping_address_address_2"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,shipping_address_city,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""shipping_address_city"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,shipping_address_company,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""shipping_address_company"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,shipping_address_country,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""shipping_address_country"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,shipping_address_country_code,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""shipping_address_country_code"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,shipping_address_first_name,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""shipping_address_first_name"":""Directly copied to the output""}"
model.shopify_source.stg_shopify__order,shipping_address_last_name,"{""Direct"":""This column is directly copied without any transformation""}",model.shopify.shopify__orders,"{""shipping_address_last_name"":""Directly copied to the output""}"
