"Activity, Exercise or Sport (1 hour)",130 lb,155 lb,180 lb,205 lb,Calories per kg
"Cycling, mountain bike, bmx",502,598,695,791,1.75072971940299
"Cycling, <10 mph, leisure bicycling",236,281,327,372,0.823235629850746
"Cycling, >20 mph, racing",944,1126,1308,1489,3.29497352835821
"Cycling, 10-11.9 mph, light",354,422,490,558,1.23485344477612
"Cycling, 12-13.9 mph, moderate",472,563,654,745,1.64782526567164
"Cycling, 14-15.9 mph, vigorous",590,704,817,931,2.05944308059702
"Cycling, 16-19 mph, very fast, racing",708,844,981,1117,2.47106089552239
Unicycling,295,352,409,465,1.02972154029851
"Stationary cycling, very light",177,211,245,279,0.61742672238806
"Stationary cycling, light",325,387,449,512,1.13262599402985
"Stationary cycling, moderate",413,493,572,651,1.44133935522388
"Stationary cycling, vigorous",620,739,858,977,2.16234753432836
"Stationary cycling, very vigorous",738,880,1022,1163,2.57464235223881
"Calisthenics, vigorous, pushups, situps…",472,563,654,745,1.64782526567164
"Calisthenics, light",207,246,286,326,0.721008179104478
"Circuit training, minimal rest",472,563,654,745,1.64782526567164
"Weight lifting, body building, vigorous",354,422,490,558,1.23485344477612
"Weight lifting, light workout",177,211,245,279,0.61742672238806
Health club exercise,325,387,449,512,1.13262599402985
Stair machine,531,633,735,838,1.85295717014925
"Rowing machine, light",207,246,286,326,0.721008179104478
"Rowing machine, moderate",413,493,572,651,1.44133935522388
"Rowing machine, vigorous",502,598,695,791,1.75072971940299
"Rowing machine, very vigorous",708,844,981,1117,2.47106089552239
Ski machine,413,493,572,651,1.44133935522388
"Aerobics, low impact",295,352,409,465,1.02972154029851
"Aerobics, high impact",413,493,572,651,1.44133935522388
"Aerobics, step aerobics",502,598,695,791,1.75072971940299
"Aerobics, general",384,457,531,605,1.33843490149254
Jazzercise,354,422,490,558,1.23485344477612
"Stretching, hatha yoga",236,281,327,372,0.823235629850746
Mild stretching,148,176,204,233,0.515199271641791
Instructing aerobic class,354,422,490,558,1.23485344477612
Water aerobics,236,281,327,372,0.823235629850746
"Ballet, twist, jazz, tap",266,317,368,419,0.927494089552239
"Ballroom dancing, slow",177,211,245,279,0.61742672238806
"Ballroom dancing, fast",325,387,449,512,1.13262599402985
"Running, 5 mph (12 minute mile)",472,563,654,745,1.64782526567164
"Running, 5.2 mph (11.5 minute mile)",531,633,735,838,1.85295717014925
"Running, 6 mph (10 min mile)",590,704,817,931,2.05944308059702
"Running, 6.7 mph (9 min mile)",649,774,899,1024,2.2652519880597
"Running, 7 mph (8.5 min mile)",679,809,940,1070,2.36815644179104
"Running, 7.5mph (8 min mile)",738,880,1022,1163,2.57464235223881
"Running, 8 mph (7.5 min mile)",797,950,1103,1256,2.77977425671642
"Running, 8.6 mph (7 min mile)",826,985,1144,1303,2.88267871044776
"Running, 9 mph (6.5 min mile)",885,1056,1226,1396,3.08916462089552
"Running, 10 mph (6 min mile)",944,1126,1308,1489,3.29497352835821
"Running, 10.9 mph (5.5 min mile)",1062,1267,1471,1675,3.70659134328358
"Running, cross country",531,633,735,838,1.85295717014925
"Running, general",472,563,654,745,1.64782526567164
"Running, on a track, team practice",590,704,817,931,2.05944308059702
"Running, stairs, up",885,1056,1226,1396,3.08916462089552
"Track and field (shot, discus)",236,281,327,372,0.823235629850746
"Track and field (high jump, pole vault)",354,422,490,558,1.23485344477612
Track and field (hurdles),590,704,817,931,2.05944308059702
Archery,207,246,286,326,0.721008179104478
