id,last_updated_date,_fivetran_synced,bidding_strategy,creation_date,budget,end_date,name,portfolio_id,profile_id,serving_status,start_date,state,targeting_type,budget_type,effective_budget
2187,2022-08-25 15:36:51.687000,2022-12-13 17:09:00.337000,autoForSales,2022-07-11 22:38:16.327000,2000,,Gold Leader,1138,66,CAMPAIGN_PAUSED,2022-07-11,paused,manual,daily,
2187,2022-07-14 11:58:58.857000,2022-08-09 11:09:43.874000,autoForSales,2022-07-11 22:38:16.327000,2000,,Gold Leader,1138,66,CAMPAIGN_PAUSED,2022-07-11,paused,manual,daily,
2187,2022-07-11 22:38:16.327000,2022-07-12 11:07:55.188000,autoForSales,2022-07-11 22:38:16.327000,300,,Red Leader,1138,66,CAMPAIGN_STATUS_ENABLED,2022-07-11,enabled,manual,daily,
2187,2022-07-12 21:19:35.684000,2022-07-14 11:08:04.632000,autoForSales,2022-07-11 22:38:16.327000,2000,,Gold Leader,1138,66,CAMPAIGN_STATUS_ENABLED,2022-07-11,enabled,manual,daily,
2187,2022-07-12 16:31:38.031000,2022-07-12 17:07:58.108000,autoForSales,2022-07-11 22:38:16.327000,1000,,Gold Leader,1138,66,CAMPAIGN_STATUS_ENABLED,2022-07-11,enabled,manual,daily,
2187,2022-08-09 12:31:52.823000,2022-08-25 11:14:09.762000,autoForSales,2022-07-11 22:38:16.327000,2000,,Gold Leader,1138,66,CAMPAIGN_STATUS_ENABLED,2022-07-11,enabled,manual,daily,
5555,2022-11-15 09:45:23.456000,2022-12-14 14:30:12.789000,autoForSales,2022-11-15 09:45:23.456000,1500,,Silver Wing,1139,67,CAMPAIGN_STATUS_ENABLED,2022-11-15,enabled,manual,daily,
5555,2022-11-20 16:22:41.123000,2022-12-15 10:15:33.987000,autoForSales,2022-11-15 09:45:23.456000,1800,,Silver Wing,1139,67,CAMPAIGN_STATUS_ENABLED,2022-11-15,enabled,manual,daily,
5555,2022-11-25 11:37:58.789000,2022-12-16 08:45:56.234000,autoForSales,2022-11-15 09:45:23.456000,1800,,Silver Wing,1139,67,CAMPAIGN_PAUSED,2022-11-15,paused,manual,daily,
5555,2022-12-01 14:53:12.456000,2022-12-17 12:20:45.678000,autoForSales,2022-11-15 09:45:23.456000,2000,,Silver Wing,1139,67,CAMPAIGN_STATUS_ENABLED,2022-11-15,enabled,manual,daily,
