id,last_updated_date,_fivetran_synced,ad_group_id,asin,campaign_id,creation_date,serving_status,sku,state
8108,2022-11-09 14:37:06.258000,2022-12-13 17:11:51.378000,501,ABC123,5555,2022-11-09 14:37:06.258000,AD_STATUS_LIVE,,enabled
8108,2022-11-15 09:22:18.456000,2022-12-13 17:11:51.378000,501,ABC123,5555,2022-11-09 14:37:06.258000,AD_STATUS_PAUSED,,enabled
8108,2022-11-30 16:45:33.789000,2022-12-13 17:11:51.378000,501,ABC123,5555,2022-11-09 14:37:06.258000,AD_STATUS_PAUSED,,disabled
8108,2022-12-10 11:03:27.159000,2022-12-13 17:11:51.378000,501,ABC123,5555,2022-11-09 14:37:06.258000,AD_STATUS_LIVE,,enabled
77,2022-07-11 22:38:17.125000,2022-12-13 17:11:51.373000,421,DEF456,2187,2022-07-11 22:38:17.125000,CAMPAIGN_PAUSED,,enabled
77,2022-08-05 14:12:09.357000,2022-12-13 17:11:51.373000,421,DEF456,2187,2022-07-11 22:38:17.125000,AD_STATUS_LIVE,,enabled
77,2022-09-20 08:55:41.963000,2022-12-13 17:11:51.373000,421,DEF456,2187,2022-07-11 22:38:17.125000,AD_STATUS_LIVE,,disabled
77,2022-10-15 19:30:22.741000,2022-12-13 17:11:51.373000,421,DEF456,2187,2022-07-11 22:38:17.125000,CAMPAIGN_PAUSED,,disabled
88,2022-07-11 22:38:17.125000,2022-12-13 17:11:51.373000,421,GHI789,2187,2022-07-11 22:38:17.125000,CAMPAIGN_PAUSED,,enabled
88,2022-08-18 10:05:33.852000,2022-12-13 17:11:51.373000,421,GHI789,2187,2022-07-11 22:38:17.125000,AD_STATUS_LIVE,,enabled
88,2022-09-25 16:40:19.247000,2022-12-13 17:11:51.373000,421,GHI789,2187,2022-07-11 22:38:17.125000,AD_STATUS_LIVE,,disabled
88,2022-11-02 07:15:50.639000,2022-12-13 17:11:51.373000,421,GHI789,2187,2022-07-11 22:38:17.125000,CAMPAIGN_PAUSED,,disabled
