id,_fivetran_deleted,_fivetran_synced,account_id,account_marketplace_string_id,account_name,account_sub_type,account_type,account_valid_payment_method,country_code,currency_code,daily_budget,timezone
66,FALSE,2022-12-17 10:15:32.450000,ENTITY31175,ABC456,Skywalker,premium,vendor,TRUE,UK,GBP,100,Europe/London
67,FALSE,2022-12-18 05:30:18.720000,ENTITY31176,DEF789,Kenobi,standard,agency,FALSE,AU,AUD,50,Australia/Sydney
68,FALSE,2022-12-19 14:45:56.890000,ENTITY31177,GHI012,Amidala,,seller,TRUE,DE,EUR,75,Europe/Berlin
69,FALSE,2022-12-20 20:22:41.330000,ENTITY31178,JKL345,Organa,enterprise,vendor,TRUE,CA,CAD,200,America/Toronto
70,FALSE,2022-12-21 08:07:03.610000,ENTITY31179,MNO678,Yoda,basic,agency,TRUE,JP,JPY,25,Asia/Tokyo
71,FALSE,2022-12-22 12:33:55.940000,ENTITY31180,PQR901,Windu,premium,seller,TRUE,FR,EUR,150,Europe/Paris
72,FALSE,2022-12-23 17:58:22.180000,ENTITY31181,STU234,Ahsoka,standard,vendor,FALSE,US,USD,80,America/New_York
73,FALSE,2022-12-24 03:42:10.720000,ENTITY31182,VWX567,Palpatine,enterprise,agency,TRUE,IT,EUR,300,Europe/Rome
74,FALSE,2022-12-25 09:11:37.550000,ENTITY31183,YZA890,Chewbacca,basic,seller,TRUE,ES,EUR,40,Europe/Madrid
75,FALSE,2022-12-26 14:29:04.890000,ENTITY31184,BCD123,Solo,premium,vendor,FALSE,BR,BRL,120,America/Sao_Paulo
