Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
All Downtown,Manhattan,submarket,900000.0,849500.0,992500.0,994896.5,917500.0,797500.0,1122500.0,990000.0,949000.0,975000.0,840000.0,952500.0,999000.0,818000.0,973760.0,850000.0,855330.0,834954.0,982600.0,880000.0,845000.0,840500.0,840000.0,915000.0,900000.0,830000.0,945000.0,955000.0,950000.0,964500.0,970212.0,1024850.0,850000.0,850000.0,831223.5,993000.0,850338.0,850000.0,1100000.0,990000.0,957500.0,910621.0,1041853.0,867500.0,952000.0,950000.0,1030000.0,1150000.0,1247356.0,995000.0,982200.0,950000.0,1053168.0,1202952.0,1161652.5,1046210.0,1075130.5,1148320.0,1324362.5,1270000.0,1425275.0,1070000.0,1084809.0,1100000.0,1144000.0,1262500.0,1400000.0,1099000.0,1357500.0,1530487.5,1450000.0,1675000.0,1747500.0,1387500.0,1225000.0,1487500.0,1500000.0,1400000.0,1509858.0,1299000.0,1550000.0,1260000.0,1289500.0,1402592.5,1425275.0,1479594.0,1578287.0,1700000.0,1369818.5,1735000.0,1434514.5,1400000.0,1160000.0,1235000.0,1303055.0,1338125.0,1304134.0,1588470.0,1430000.0,1360000.0,1406596.5,1375000.0,1555629.0,1560828.0,1325000.0
All Midtown,Manhattan,submarket,685000.0,637500.0,600000.0,690000.0,732626.5,600000.0,748500.0,753505.0,718887.5,770000.0,744000.0,749206.5,700000.0,715000.0,588500.0,760000.0,763687.0,750000.0,712775.0,752250.0,717866.0,641748.5,573750.0,705000.0,766745.0,703550.0,645000.0,779000.0,710000.0,732000.0,815000.0,650000.0,675000.0,778000.0,698000.0,800250.0,692500.0,725000.0,660931.0,702500.0,845000.0,793000.0,779000.0,770250.0,755000.0,727000.0,711000.0,785000.0,717750.0,730000.0,690222.0,730000.0,751800.0,765000.0,722500.0,725000.0,747500.0,765000.0,800500.0,859750.0,877000.0,800000.0,950998.5,885484.0,864000.0,815000.0,892500.0,825000.0,977500.0,879000.0,1132494.5,976702.0,1125000.0,860000.0,940000.0,827500.0,980000.0,887500.0,825000.0,803352.0,877659.0,899500.0,825000.0,927500.0,930000.0,930000.0,882000.0,972500.0,1000000.0,965000.0,1230000.0,900000.0,900000.0,790000.0,985000.0,860000.0,865000.0,942000.0,952000.0,866756.0,861000.0,850000.0,888888.0,852500.0,880000.0
All Upper East Side,Manhattan,submarket,1004500.0,831421.0,995000.0,875000.0,1200000.0,827391.0,993750.0,975000.0,852500.0,832500.0,847436.5,927500.0,930000.0,760000.0,1162000.0,935000.0,832500.0,1050000.0,985000.0,937500.0,870000.0,847000.0,862500.0,745000.0,927500.0,840507.5,1057500.0,915000.0,834000.0,1100000.0,970000.0,965000.0,852500.0,837500.0,825000.0,975000.0,761513.0,829000.0,900000.0,899000.0,875000.0,965000.0,950000.0,869500.0,900000.0,832500.0,1090000.0,1300000.0,1230000.0,1035000.0,850000.0,950000.0,972500.0,955000.0,1165000.0,919734.0,1012000.0,999250.0,925000.0,1022250.0,1100000.0,902500.0,1200000.0,1075000.0,1130000.0,1216808.0,1082500.0,991351.0,940000.0,1125000.0,1090000.0,995000.0,955250.0,1505000.0,1150000.0,1212500.0,1207500.0,1230000.0,1137500.0,916425.0,999000.0,1176078.0,1155000.0,893000.0,1100000.0,890000.0,1211800.0,990180.5,1012000.0,1350000.0,1172500.0,1207500.0,1242680.0,1170000.0,932500.0,1295000.0,1175000.0,1072500.0,1243690.5,1215000.0,1174139.0,1120000.0,1160000.0,1050000.0,1218500.0
All Upper Manhattan,Manhattan,submarket,366022.0,393496.0,350139.5,334620.0,338750.0,415740.0,433000.0,403000.0,469750.0,438263.5,410000.0,435000.0,452290.5,400000.0,445000.0,335000.0,418500.0,455000.0,430000.0,444500.0,450000.0,427755.0,412500.0,298800.0,416250.0,429000.0,414330.5,385000.0,457514.5,462782.0,520000.0,435000.0,390000.0,435000.0,537500.0,460000.0,415000.0,407500.0,440000.0,473802.0,470000.0,460424.5,440000.0,412698.0,425000.0,405000.0,430000.0,385000.0,375000.0,405000.0,497367.0,439750.0,451625.0,480000.0,534024.0,470000.0,475600.0,528105.5,525000.0,505000.0,567564.0,499000.0,570220.0,523345.0,510000.0,500408.0,552000.0,510500.0,500000.0,575000.0,505000.0,530000.0,580000.0,539881.0,426250.0,552500.0,572500.0,622500.0,568022.5,612975.0,600000.0,599000.0,604250.0,625000.0,613018.0,640000.0,577500.0,567500.0,625000.0,576250.0,590000.0,672000.0,665000.0,575311.0,620000.0,607500.0,627500.0,547500.0,582500.0,646250.0,576802.5,712500.0,646990.0,715000.0,667500.0
All Upper West Side,Manhattan,submarket,860421.0,875000.0,747250.0,803603.5,900000.0,769750.0,985000.0,975000.0,825000.0,945000.0,955000.0,975000.0,861250.0,850683.0,805000.0,810000.0,832500.0,952500.0,901605.0,970000.0,982500.0,990000.0,999000.0,780000.0,785000.0,1050000.0,880000.0,900000.0,848750.0,975000.0,952415.0,880000.0,900000.0,865512.0,950000.0,970000.0,818000.0,815000.0,932500.0,935000.0,855854.0,955000.0,999000.0,980000.0,970000.0,910000.0,990000.0,925000.0,1010000.0,927500.0,937500.0,1067500.0,932500.0,1050000.0,961558.0,992500.0,1137765.5,887500.0,932500.0,950500.0,950000.0,1118000.0,788250.0,925050.0,1052000.0,1232500.0,1147000.0,1149531.0,1280000.0,1250460.0,1371068.5,1270000.0,1065000.0,995000.0,1123000.0,974678.0,1100000.0,1021990.0,1200000.0,1225000.0,931912.5,999000.0,1139773.5,1300000.0,1187500.0,1100000.0,975000.0,1132000.0,1250000.0,1300000.0,1237500.0,1175000.0,1590000.0,1369696.5,1580000.0,1400000.0,973468.5,1250000.0,1250000.0,1490000.0,1348888.0,985000.0,1220000.0,1225000.0,1127000.0
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,402000.0,605237.5,380000.0,415000.0,392660.0,400000.0,380000.0,555018.5,425880.0,362500.0,337300.0,465000.0,525000.0,360000.0,364500.0,385000.0,345000.0,382333.0,592500.0,560000.0,517000.0,485353.0,347500.0,439949.0,383830.0,486720.0,410670.0,454500.0,400500.0,495000.0,449000.0,476580.0,510000.0,591500.0,342000.0,537000.0,365500.0,441500.0,505000.0,536000.0,538000.0,456300.0,385320.0,540000.0,600000.0,495000.0,437022.5,447500.0,537500.0,550000.0,522500.0,544763.0,437500.0,570000.0,537750.0,580000.0,577500.0,612500.0,578000.0,532035.5,787500.0,402293.0,582750.0,495000.0,433992.0,538000.0,700000.0,725000.0,620000.0,611650.0,550000.0,589566.0,630000.0,676000.0,501000.0,674081.0,461480.0,520750.0,750000.0,567500.0,635000.0,847573.5,763279.5,522500.0,925000.0,550000.0,697500.0,804417.0,800000.0,705000.0,800000.0,707500.0,649750.0,589000.0,590000.0,605858.0,959000.0,720000.0,649183.0,707304.5,702655.0,744585.0,625000.0,850000.0,650000.0
Auburndale,Queens,neighborhood,637000.0,520000.0,,549250.0,575000.0,533250.0,554250.0,639500.0,546000.0,565000.0,500000.0,545000.0,610000.0,550000.0,625000.0,,522000.0,520000.0,515000.0,525000.0,515000.0,570000.0,,562500.0,575000.0,479000.0,590000.0,540000.0,607500.0,555000.0,587500.0,527500.0,605000.0,580000.0,500000.0,487000.0,593500.0,598000.0,527000.0,530000.0,570000.0,537500.0,495000.0,630500.0,600000.0,650000.0,635000.0,550000.0,710000.0,720000.0,680000.0,640000.0,655000.0,658000.0,650000.0,635500.0,673000.0,680000.0,635500.0,630000.0,648500.0,560000.0,620000.0,615000.0,662500.0,520000.0,634000.0,685000.0,715000.0,785500.0,830000.0,661500.0,670000.0,646261.0,699000.0,712000.0,738000.0,740500.0,650000.0,768750.0,750000.0,805000.0,760000.0,797500.0,864000.0,810000.0,738000.0,714500.0,837500.0,800000.0,835000.0,912500.0,780000.0,847785.0,785500.0,861500.0,765000.0,897500.0,835000.0,878000.0,865000.0,839500.0,760000.0,880000.0,920000.0
Bath Beach,Brooklyn,neighborhood,660000.0,353000.0,498888.0,305000.0,,537500.0,,,645000.0,,,377208.0,590000.0,,550000.0,600000.0,,523000.0,540000.0,547500.0,480000.0,510000.0,,,,599400.0,,,675250.0,530000.0,567500.0,648000.0,622000.0,,592290.5,610000.0,,,486720.0,600000.0,520000.0,586000.0,398220.0,524750.0,591500.0,600000.0,690000.0,580000.0,700000.0,552655.5,532336.0,,790000.0,545000.0,760000.0,,505000.0,745000.0,724500.0,551250.0,825000.0,850000.0,505073.5,732500.0,1090000.0,335000.0,,659000.0,750000.0,750000.0,781000.0,625000.0,992000.0,877000.0,788000.0,829000.0,540000.0,580906.0,,,944000.0,785000.0,,995000.0,724000.0,604000.0,1105000.0,788000.0,826819.0,,,,819500.0,,950000.0,900000.0,444000.0,,,882500.0,957500.0,,933500.0,1039000.0,855000.0
Battery Park City,Manhattan,neighborhood,,502650.0,763000.0,2031917.0,1476462.5,,,1165000.0,1247356.0,1400000.0,,1580000.0,853130.5,,1225000.0,495895.0,625000.0,727500.0,936790.0,575000.0,911333.0,1545899.0,585110.0,,750000.0,902000.0,770500.0,650748.5,1056579.0,760000.0,1150767.5,1125000.0,675000.0,681609.0,791241.0,700000.0,804417.0,766570.0,656771.0,834965.0,785000.0,670000.0,770000.0,759617.0,939988.0,680000.0,753774.0,595000.0,1300000.0,860285.5,998750.0,1482500.0,774000.0,937500.0,770000.0,990000.0,,770000.0,990000.0,756000.0,862500.0,,712500.0,655000.0,1125000.0,840000.0,1792120.0,860256.0,2038615.0,2325000.0,1762500.0,2253168.0,2315000.0,990000.0,1989837.5,2199419.5,1200000.0,777000.0,1818000.0,1705000.0,1135050.0,980000.0,890000.0,790000.0,1067500.0,1049490.0,891000.0,,1640000.0,1105000.0,1355000.0,1088000.0,955000.0,834000.0,1435000.0,1650000.0,1085000.0,,1009125.0,920000.0,1225000.0,1375000.0,1494500.0,744999.5,
