Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
All Downtown,Manhattan,submarket,0.9023975165185693,0.8963607545762502,0.8987899441340782,0.9117209154985348,0.9312035158891144,0.9302325581395348,0.9362656472261736,0.9280575539568344,0.9331103678929766,0.9352517985611509,0.9307875894988068,0.9298998569384836,0.9183673469387756,0.9212137070938216,0.9252971137521222,0.9442447790189412,0.9545454545454546,0.9460214393126736,0.951468663989532,0.9453658536585364,0.9516836445953594,0.9515533317257456,0.9444444444444444,0.9409645363349504,0.9442501942501942,0.944055944055944,0.932121212121212,0.9458333333333332,0.9477124183006536,0.9507085020242916,0.96,0.9656084656084656,0.9560532630073306,0.967741935483871,0.9682178932178932,0.9630837410661679,0.9738556329113924,0.9623430962343096,0.9774436090225564,0.9799599198396792,0.9798994974874372,0.9817795099401256,0.9902625770660004,1.0,0.9910913140311804,0.9956521739130436,0.9840055632823366,0.9877024615384616,0.9894459102902374,0.9776207302709068,0.9808102345415778,0.9902439024390244,0.9929072439801176,1.0,0.9855584331797236,0.9894193188163036,0.9909552106071632,0.9833024118738404,0.9948890819227718,0.9876543209876544,0.9831379310344828,0.9803921568627452,0.9772727272727272,0.9856805044666316,1.0,0.9909928749716359,1.0,0.993939393939394,1.0,0.9895963157894736,0.9842519685039369,0.9818910548369466,1.0,0.987715838691477,0.9846153846153848,0.9820533924992844,0.9866518353726362,0.9843321510098206,0.9768555230940456,0.9665735567970204,0.9670529604872841,0.9768566876178504,0.9670613472930156,0.9660574412532638,0.9757643203808464,0.9774436090225564,0.976376488095238,0.9677487393803834,0.9798785425101216,0.98130677847659,0.96996996996997,0.9749303621169916,0.9716791979949876,0.9733805668016194,0.9623430962343096,0.9575757575757576,0.9551839464882944,0.960960960960961,0.955955955955956,0.9523809523809524,0.9647058823529412,0.9652147610405324,0.9634703196347032,0.9574742712827528,0.9702749415869154
All Midtown,Manhattan,submarket,0.900490949395493,0.9041394335511984,0.9151724137931034,0.8971306471306472,0.906040268456376,0.9178082191780822,0.9192200557103064,0.9069169696969696,0.9204389574759944,0.9052631578947368,0.9157770194717564,0.9289562978498472,0.9107186133501924,0.9069212410501192,0.9102902374670184,0.9228971962616822,0.9181137173032052,0.9273556231003041,0.930942773294204,0.9178082191780822,0.9192,0.9242569230769232,0.9214382606369766,0.9263803680981596,0.934010152284264,0.9147743084543888,0.9193301261985568,0.9237880763304492,0.92968898546788,0.9345323741007194,0.9383088082901554,0.937427606177606,0.9497899159663864,0.9364260714285716,0.9439528023598821,0.9423076923076924,0.9473326346782444,0.9427207637231504,0.9627170582226762,0.9533678756476685,0.9631019387116948,0.9642857142857144,0.9676198257080608,0.9679256374458081,0.9729562411388466,0.9736345580933464,0.9696969696969696,0.9731543624161074,0.9747102212855636,0.9684210526315791,0.9749455337690632,0.9666666666666668,0.9777777777777776,0.9805435687788628,0.9774436090225564,0.9796322846240244,0.980327868852459,0.9693333333333334,0.9688195991091314,0.973529411764706,0.9719438877755512,0.975,0.96661101836394,0.9741379310344828,0.9899749373433584,0.9881590471185848,0.9854577464788732,0.9786823173040516,0.9860654600929201,0.9742674858223062,0.9829819639278556,0.9759315271252976,0.979977728285078,0.9656494176618016,0.978102189781022,0.9745762711864406,0.9847899566089836,0.9748725884659032,0.9750368964790216,0.9797914393799856,0.9652887583766284,0.9774442912099875,0.9720887285765198,0.9640287769784172,0.9588235294117649,0.9670359509069186,0.9567567567567568,0.9638286328632863,0.9635443037974684,0.9629629629629628,0.96,0.9611451942740288,0.9692307692307692,0.9653799392097264,0.9610323886639676,0.9555555555555556,0.9685157382806888,0.9631479900667392,0.9436980384409924,0.9553005722019808,0.9545454545454546,0.9586956521739132,0.9627080146479396,0.9462025316455696,0.9425091537667698
All Upper East Side,Manhattan,submarket,0.884778549021012,0.8966001024065541,0.9181750557897348,0.9177592371871276,0.9191423861852434,0.9197324414715721,0.9227272727272728,0.92,0.9257396485272796,0.9149184149184151,0.9059933155837534,0.9153034300791556,0.9142857142857144,0.9103448275862068,0.9073262003569624,0.9064856486102291,0.9159377990430622,0.919774855548914,0.92,0.9136420525657072,0.9285714285714286,0.9193548387096774,0.9133964817320704,0.912,0.906816760475297,0.9190984974958264,0.9234146633356769,0.9333333333333332,0.9288674542424376,0.9331476323119776,0.9328534136546184,0.9272955115060376,0.9313256584768584,0.9324053426158304,0.9390666044363066,0.9370428422152559,0.9442905291055976,0.9457037797684072,0.96,0.9574468085106383,0.9578947368421052,0.9711511789181692,0.9699247910396926,0.9733333333333334,0.9712230215827338,0.9848484848484848,0.9868073878627968,0.9764041095890412,0.9714285714285714,0.9694551495016612,0.9704852426213106,0.9726190476190476,0.975501113585746,0.9736796536796536,0.98046033434236,0.98830537747724,0.9718309859154929,0.9765822784810126,0.9732121502033008,0.9814814814814816,0.9692548830479866,0.969631093544137,0.9712523556621552,0.9685776487663279,0.9818181818181818,0.988277,1.0,0.9864918728297144,0.9852941176470588,0.9725657746795592,0.9745802887826936,0.9829318744824174,1.0,0.9818181818181818,0.9785147801009372,0.978494002023414,0.9740259740259741,0.9767441860465116,0.9723541028932556,0.9758787878787878,0.9727272727272728,0.9701249442213298,0.9612817089452604,0.9689922480620154,0.9618840224168528,0.9666666666666668,0.9641929499072356,0.9547738693467336,0.9740423622665496,0.9705181818181818,0.9787472789854236,0.9822421908429609,0.9686565920328908,0.9678496059261812,0.9580581300969132,0.9646192961327446,0.9648529411764706,0.95812693831386,0.9568,0.9489782636990758,0.9621380846325168,0.9610431050419156,0.9626168224299064,0.961904761904762,0.9458834657452538
All Upper Manhattan,Manhattan,submarket,0.9036144578313252,0.9107981220657276,0.9295774647887324,0.9071788306336794,0.9195371681101624,0.9220072551390568,0.9364144612476372,0.9332457743261764,0.9397496636836872,0.9179368421052632,0.9484536082474226,0.9345437616387338,0.9219217047320496,0.9246575342465754,0.8904109589041096,0.8942058218636292,0.9089742498403915,0.9247311827956988,0.9478260869565216,0.9456536363636364,0.965034965034965,0.9743852256470282,0.9757070690503526,0.9498227848101266,0.9305525460455036,0.9402686481851956,0.9366391184573004,0.951538346836324,0.9386733416770964,0.9615384615384616,0.9722231539604198,0.9552948328267478,0.9505665782046422,0.9390092879256966,0.962227817249546,0.9394625922023182,0.9506875477463712,0.9526119402985074,0.95637053105562,0.9454545454545454,0.9722818081713788,0.9737188477721436,0.9799455332057844,0.9789473684210528,0.9777777777777776,0.9806818181818182,0.9875291375291376,0.9757182018296168,0.991304347826087,1.0,0.9895199746353835,0.9831932773109244,0.99279375,1.0,0.9975539393939394,1.0,0.9927259199134201,0.9888246592432018,1.0,0.9903617810760668,1.0,0.9915322595429364,0.9878048780487804,1.0,1.0,1.014,1.0062271062271062,1.0,1.014,1.0,1.0,1.0,1.009951840385277,1.0,0.9936880216466536,0.9937625541812032,1.0,1.0,1.0,0.9972222222222222,0.9941220400728598,1.0,1.0,0.9882352941176472,0.9759416195856874,0.9842519685039369,0.9745454545454544,0.9720979972778534,0.983653846153846,1.0,1.0,1.0,0.9848484848484848,0.9870488307899541,0.9945799457994581,0.9838895281933256,0.9852164071342152,0.9635036496350364,0.975609756097561,0.977917102055033,0.9748370927318296,0.9891891891891892,0.9798268476621418,0.98079561042524,0.9824780976220276
All Upper West Side,Manhattan,submarket,0.9202345153714946,0.9302325581395348,0.9437310030395136,0.9268966222608608,0.9399081560358468,0.9480259740259741,0.9349315068493149,0.9450884955752212,0.9332030303030304,0.9276061776061776,0.9277605779153768,0.937457205104264,0.9384924088579442,0.9347826086956522,0.9304347826086956,0.9382780235889384,0.9373216718960108,0.9629186602870812,0.9640167364016736,0.9595864661654134,0.9402702702702704,0.9415584415584416,0.9471050750536096,0.9385181764539879,0.937601078167116,0.9459776447196262,0.9499262536873156,0.95,0.9435317758066007,0.9499679075738126,0.9612903225806452,0.9579831932773109,0.9575424593175946,0.9605764411027568,0.9578567363778632,0.96,0.9670017948717948,0.9636363636363636,0.9673115410273516,0.9703123076923076,0.9871412057106526,0.9882005899705014,0.9858208124652198,0.98651997823853,0.9873417721518988,0.995995995995996,0.9909898483595538,0.9839449867226552,0.988,0.9822558152601416,0.9824561403508772,0.9882251082251082,0.9870967741935484,1.0,0.9830508474576272,0.9906510851419033,1.0,0.9821109123434704,0.9837918269579734,0.976614790226914,0.979591836734694,0.9770773638968482,0.9750587462851614,0.9974108170310704,0.9796314496314495,1.0,0.9961139130434784,1.0,1.0,1.0017889087656529,1.0182493400167083,1.0,1.0,0.9804465378278792,0.9782316830540344,0.9797360809833696,0.9705042816365368,0.9833333333333332,0.9854006820119352,0.9871018689128718,0.9871604938271604,0.9790293040293041,0.9662992651970608,0.981132075471698,0.9778656014771968,0.964535,0.9598997493734336,0.9720158071499274,0.9599528857479388,0.9749869655891554,0.9871244635193132,0.977121067683508,0.984924623115578,0.9733333333333334,0.9722527135678392,0.9658421672555948,0.9799713876967096,0.9763454317897372,0.9608418367346938,0.9531588758244908,0.9679959100204498,0.9605706257248898,0.9666666666666668,0.9615060792804796,0.9564163352161152
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,0.94537084398977,,0.9401951219512196,,0.9548988211268914,0.9716654888103652,0.9415264928511352,0.9535558780841801,0.9528780284043442,0.9233646691367854,0.9107468123861566,0.9748427672955976,0.958710407239819,,,,,0.9635258358662614,,,,,,,,,0.9731936127744512,,0.9612903225806452,,,,,,0.9993043478260868,1.0,,0.9723162042749672,0.9881266490765171,0.9816849816849816,,,,,,,,,,0.9946364719904648,1.0,0.9652587599298464,0.9449311639549436,,0.9549248747913188,,0.9518072289156626,,,0.977531077877239,0.9776470588235294,0.9954617196702004,0.992964824120603,0.9738562091503268,0.9625,0.9631941544885178,0.9724399494310998,,,0.944910232211053,0.971326164874552,0.9632216748768472,0.9297484053862508,0.9736351165980796,0.9666381522668948,0.979955456570156,0.9367088607594936,0.9743820592568342,0.94226191247382,,0.9735355301592672,0.9537094842634649,,0.9166666666666666,0.977405380756954
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery Park City,Manhattan,neighborhood,,,,,0.8163481620718462,,,0.8456087492040503,0.8945860821214713,0.945945945945946,,0.9430735930735932,,,0.9025524721495994,0.9975539393939394,1.014,1.0,0.9359359281437126,0.9733333333333334,,0.8978328173374613,,,,,0.9216117962466488,0.9730677966101696,0.9918032786885246,0.9685656565656566,0.9567475864114404,0.976,0.9503666666666668,0.9820437654830718,0.996842105263158,0.9867768595041322,0.996124031007752,0.9873015873015872,1.0,0.997144262295082,0.9817496296296296,0.9797319639278556,1.0,1.0,0.9844559585492229,0.9842655902463135,0.9683148503293588,0.9836065573770492,0.9883720930232558,1.0,1.0,0.9886284447260056,0.9832417582417584,0.9708737864077671,0.967741935483871,1.0,,0.957427536231884,0.9711111111111111,0.9578947368421052,,,,,,0.9753577106518284,1.0182495626822157,0.9926271561771562,1.0182498671815576,1.018249692520182,1.0,1.018249847089081,1.0,,1.0182495114006516,0.9969296541681836,0.9636363636363636,0.9570165643029964,0.9590497799764854,0.9278681223708696,0.9525335076822492,0.9579591836734694,0.9359615384615384,0.9679234425770608,0.964905770513676,,,,0.9617327117327116,0.9785966818186148,0.9519241019081122,0.9738260200153964,,,0.9650817840089404,0.9595571095571096,0.9240284350255384,,0.970709219858156,0.972972972972973,0.9812108559498957,0.9514666666666668,0.9422850412249706,,
