Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
All Downtown,Manhattan,submarket,0.07774337805297557,0.07853757616790792,0.08852988691437802,0.0903183885640026,0.09917355371900828,0.09867109634551496,0.09163763066202092,0.0628158844765343,0.11103424420615704,0.10934863314208572,0.0927689594356261,0.041221374045801534,0.08667430316914854,0.07634164777021919,0.0963855421686747,0.08344972067039108,0.10380622837370243,0.10371141172389872,0.08234448040273283,0.059952978056426326,0.10451761102603367,0.12436177972283005,0.0911854103343465,0.04627354627354628,0.09566639411283727,0.06556733411857088,0.08773234200743495,0.077710386656558,0.08280254777070062,0.06808510638297872,0.06835544833132289,0.05222602739726028,0.09005376344086022,0.07974910394265232,0.05491329479768786,0.03101997896950578,0.07320793085917641,0.04056695992179863,0.06651982378854626,0.06855983772819473,0.06048856145792943,0.06390977443609022,0.05073086844368014,0.04688950789229341,0.08796718322698267,0.08902077151335312,0.06339928057553956,0.03084954912197437,0.04950957496496964,0.05179654689687354,0.04590731918579472,0.06484923585295332,0.07408890668802562,0.07715008431703205,0.050021376656690895,0.03412662775033678,0.07384488448844885,0.06559877955758962,0.045621181262729134,0.030009233610341645,0.053240740740740734,0.04661389621811785,0.060810810810810814,0.062227506936187074,0.07525610717100079,0.07023809523809524,0.0650103519668737,0.0437859354268023,0.09068627450980392,0.09830508474576273,0.08699122106943337,0.048888888888888885,0.08572671888598782,0.07474332648870638,0.08609022556390977,0.09607293127629732,0.12444896575110205,0.1025730180806676,0.08898776418242492,0.06259968102073367,0.1247713135748262,0.11886586695746999,0.09632157755024648,0.048177083333333336,0.11339323919554985,0.08198810535259134,0.09097830224590787,0.10799701046337816,0.1254506128334535,0.125,0.095679012345679,0.06769102990033223,0.13982102908277405,0.1274928774928775,0.09791511541325393,0.034716342082980516,0.11211498973305954,0.09611533840608733,0.09886363636363636,0.12965470548408936,0.13523573200992556,0.13160453808752026,0.09670710571923744,0.06840042750267189,0.15838409746713691
All Midtown,Manhattan,submarket,0.10439804531319412,0.10254237288135593,0.11411530815109346,0.11059190031152648,0.1175314465408805,0.11799761620977355,0.0962809917355372,0.08351269909599655,0.13581278729628082,0.11803549319026,0.09769865392965696,0.0510879848628193,0.11373289287399715,0.0925756186984418,0.13180639585133966,0.12679738562091505,0.1331028522039758,0.13704686118479226,0.10058903488898957,0.07459207459207459,0.13797814207650272,0.14381420276909335,0.1170018281535649,0.060635696821515886,0.11714285714285715,0.09168241965973536,0.11573650503202194,0.10845588235294118,0.10738871041762277,0.09073543457497613,0.09027081243731194,0.07176781002638523,0.08859416445623343,0.10454065469904963,0.07238307349665925,0.05108173076923077,0.0799059929494712,0.06728538283062645,0.07285145133750713,0.09175314036045876,0.09195402298850576,0.09316394434361766,0.06973768394113884,0.05128205128205128,0.09744623655913978,0.12077596996245307,0.07147673634524612,0.052591463414634144,0.09598214285714286,0.060627674750356624,0.08449767132401863,0.08477842003853564,0.09380863039399624,0.12049770792403405,0.08874172185430464,0.06616643929058663,0.09342347879532882,0.09074837949322334,0.0670391061452514,0.047936085219707054,0.08170155300472652,0.0565669700910273,0.08217522658610273,0.08821887213847013,0.09864712514092447,0.0914351851851852,0.08626974483596597,0.06534272901985906,0.10538922155688622,0.12965050732807215,0.08924349881796691,0.058558558558558564,0.10892970234325522,0.07403055229142186,0.10787011557512384,0.11218464841653247,0.1366754617414248,0.14500537056928034,0.0964467005076142,0.08045292014302742,0.14388489208633093,0.12967986977753662,0.09558011049723757,0.05038529934795495,0.11214953271028036,0.09842748980780433,0.11382113821138212,0.10915867944621938,0.12911522633744854,0.10741687979539642,0.11431567907708445,0.06592797783933517,0.1378238341968912,0.13862380713209446,0.11282333516785913,0.07155852031534263,0.1221826809015421,0.10275126333520494,0.1083969465648855,0.14475557664926436,0.15155615696887687,0.14285714285714285,0.12202097235462345,0.08493827160493828,0.1662062615101289
All Upper East Side,Manhattan,submarket,0.09818181818181818,0.12282229965156795,0.11774259033698742,0.12023809523809526,0.1207944872314552,0.1278444352503103,0.0928509154315606,0.07198177676537586,0.14211438474870014,0.14968553459119496,0.1275053304904051,0.048401826484018265,0.13411871318531945,0.09637488947833776,0.1501251042535446,0.12546583850931678,0.15502273666804464,0.15,0.10175596578117964,0.06646971935007387,0.14644351464435146,0.14733542319749215,0.11157407407407408,0.06801007556675064,0.14292520247737014,0.12037037037037035,0.11804670912951168,0.12618432385874245,0.11940946591402518,0.1206422018348624,0.07930367504835589,0.07016632016632017,0.13374170495150586,0.1134020618556701,0.0867320598864223,0.03927148548662493,0.08890086206896551,0.065775950668037,0.07776049766718507,0.10014873574615768,0.07859614434008898,0.08707264957264957,0.06318347509113001,0.04253926701570681,0.10476787954830613,0.11149825783972124,0.08205128205128205,0.05150214592274678,0.09549795361527967,0.07258064516129033,0.09565764631843927,0.09346914319952067,0.10365135453474676,0.10186335403726708,0.07313915857605179,0.04978962131837307,0.111318407960199,0.1079219288174512,0.09183027232425586,0.05183137525915688,0.1002710027100271,0.06976744186046513,0.08307501549907005,0.0953216374269006,0.11072664359861592,0.11352941176470588,0.07830551989730422,0.060258249641319934,0.11468812877263583,0.12134146341463414,0.10168350168350168,0.05070842654735272,0.12434847356664185,0.0918992511912866,0.11975308641975307,0.13333333333333333,0.13474770642201836,0.1291053227633069,0.0875,0.05085910652920962,0.17815344603381014,0.14259818731117824,0.10698552548772812,0.04940014114326041,0.1274710293115201,0.0973901973265436,0.11942098914354644,0.12862834376778598,0.1309851403412218,0.12189616252821672,0.11204313960455364,0.05620915032679739,0.14644351464435146,0.16376892877173305,0.10870835768556401,0.05317769130998703,0.13530522341095028,0.1284296555750146,0.11652078774617068,0.17239661185849528,0.16428241808952468,0.14136125654450266,0.11430035879036393,0.08282379099499723,0.17764471057884232
All Upper Manhattan,Manhattan,submarket,0.06401384083044982,0.06639004149377592,0.11627906976744184,0.1123076923076923,0.10241935483870968,0.11286307053941907,0.10280373831775699,0.08129370629370629,0.10517529215358933,0.11643270024772916,0.07339449541284404,0.046928327645051185,0.07830342577487764,0.08673469387755102,0.11984126984126985,0.10771704180064308,0.10281124497991967,0.1026252983293556,0.06990131578947369,0.062001771479185126,0.0875,0.10714285714285714,0.07532956685499058,0.05194805194805195,0.08766859344894026,0.0821917808219178,0.10268714011516317,0.0812133072407045,0.07879377431906615,0.08316831683168317,0.06639004149377592,0.07272727272727272,0.09287257019438444,0.07095343680709534,0.0514018691588785,0.025893958076448828,0.046632124352331605,0.028767123287671236,0.033012379642365884,0.04913678618857902,0.042767295597484274,0.05117565698478562,0.060308555399719486,0.04172661870503597,0.06363636363636363,0.0967741935483871,0.0492845786963434,0.037414965986394565,0.03255813953488372,0.032305433186490456,0.044159544159544165,0.044198895027624314,0.05154639175257732,0.04864864864864865,0.05601092896174864,0.05,0.07040229885057471,0.06752873563218391,0.05069124423963134,0.04270462633451957,0.04307116104868914,0.04151624548736462,0.02355072463768116,0.04964539007092199,0.0658578856152513,0.05351170568561873,0.05,0.030769230769230767,0.057093425605536326,0.07142857142857142,0.06525573192239859,0.038696537678207736,0.07915057915057915,0.04363636363636364,0.08517887563884156,0.08125,0.05797101449275361,0.08885542168674697,0.07154471544715447,0.07167832167832168,0.09735973597359736,0.09106529209621993,0.08064516129032258,0.04225352112676056,0.06796116504854369,0.06923076923076922,0.08070175438596491,0.07282415630550622,0.07272727272727272,0.08848080133555926,0.09892086330935253,0.05847953216374269,0.1026936026936027,0.0989010989010989,0.10272873194221507,0.046210720887245836,0.07414104882459313,0.08919382504288165,0.08264462809917356,0.09923664122137403,0.12158469945355192,0.13972602739726028,0.1178082191780822,0.08489208633093526,0.16209150326797386
All Upper West Side,Manhattan,submarket,0.11179277436946147,0.10288065843621401,0.123046875,0.13610938471100062,0.12164691203992516,0.1170610211706102,0.09385327164573697,0.05502063273727648,0.13399339933993398,0.1295238095238095,0.1044368600682594,0.05243445692883896,0.12347451543431442,0.08912896691424713,0.11940298507462685,0.11956521739130435,0.14068209500609016,0.13460356484326982,0.09952925353059852,0.08163265306122447,0.13906359189378056,0.1640248104755341,0.11454673225579763,0.05375494071146245,0.1345565749235474,0.11726618705035972,0.10435383552176918,0.1110320284697509,0.11875452570601015,0.125,0.09779735682819383,0.05268199233716475,0.08153701968134958,0.08810172570390554,0.07714285714285714,0.046336206896551733,0.0660377358490566,0.06893106893106893,0.06451612903225806,0.09246575342465753,0.08970099667774087,0.0743801652892562,0.0854788877445932,0.0713489409141583,0.10766045548654243,0.10572259941804074,0.08738938053097345,0.05284015852047557,0.08482676224611709,0.07519640852974188,0.09100310237849016,0.09003831417624521,0.12134632418069087,0.11070110701107012,0.09850746268656717,0.04503464203233257,0.11425682507583418,0.09433962264150944,0.0728862973760933,0.04720087815587267,0.07851690294438386,0.0499001996007984,0.07559808612440191,0.07519446845289543,0.08568904593639576,0.09285714285714286,0.06416131989000917,0.05373134328358209,0.10130111524163568,0.1237842617152962,0.10256410256410256,0.06264501160092807,0.12066905615292713,0.1008869179600887,0.10617760617760616,0.1290893015030946,0.12632508833922262,0.13725490196078433,0.10361681329423264,0.05396825396825397,0.14873713751169318,0.12169312169312167,0.1138996138996139,0.053993250843644536,0.11244541484716156,0.084375,0.12570356472795494,0.09730668983492616,0.12449474535165725,0.1314708299096138,0.0960352422907489,0.05784313725490196,0.14768683274021352,0.15940838126540674,0.1363236587510994,0.07040816326530612,0.13516160626836435,0.12332695984703633,0.1057347670250896,0.15801526717557252,0.16715542521994134,0.1461086637298091,0.12490650710546,0.08784893267651889,0.18306636155606407
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,0.3076923076923077,0.03680981595092025,0.02873563218390805,0.017964071856287425,0.03431372549019608,0.03980099502487562,0.05853658536585366,0.005235602094240838,0.09042553191489362,0.017441860465116282,0.022026431718061675,0.0,0.03225806451612903,0.01680672268907563,0.040404040404040414,0.032520325203252036,0.04065040650406504,0.0457516339869281,0.08888888888888889,0.03448275862068965,0.06521739130434782,0.05759162303664921,0.0446927374301676,0.02395209580838324,0.020689655172413796,0.03787878787878788,0.06293706293706294,0.0449438202247191,0.0,0.06329113924050632,0.07777777777777778,0.05952380952380953,0.08333333333333333,0.10989010989010987,0.02325581395348837,0.04225352112676056,0.05797101449275361,0.04838709677419355,0.05263157894736842,0.08955223880597014,0.1095890410958904,0.056338028169014086,0.05797101449275361,0.06756756756756757,0.14102564102564102,0.06593406593406594,0.031914893617021274,0.021739130434782608,0.020408163265306117,0.03883495145631068,0.01904761904761905,0.0505050505050505,0.04301075268817205,0.0297029702970297,0.010204081632653059,0.02083333333333333,0.05,0.02197802197802198,0.05555555555555555,0.012195121951219513,0.037037037037037035,0.05882352941176471,0.031914893617021274,0.030303030303030307,0.1020408163265306,0.04,0.06722689075630252,0.03125,0.09090909090909093,0.04385964912280702,0.01904761904761905,0.02247191011235955,0.05555555555555555,0.0963855421686747,0.04651162790697674,0.09375,0.11702127659574467,0.14545454545454545,0.12264150943396225,0.08256880733944955,0.10909090909090907,0.10344827586206896,0.06956521739130435,0.0673076923076923,0.08602150537634409,0.101010101010101,0.0625,0.1176470588235294,0.0761904761904762,0.14482758620689656,0.1568627450980392,0.07801418439716312,0.1129032258064516,0.07792207792207792,0.13245033112582782,0.07751937984496124,0.056737588652482275,0.08633093525179858,0.1165644171779141,0.16243654822335024,0.10256410256410256,0.0947867298578199,0.1507537688442211,0.14354066985645933,0.1350210970464135
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08333333333333333,,,,,,,,,,,,,,,,,0.06666666666666668,0.15,0.175,0.10416666666666667,0.02564102564102564,,,,,,,,0.05882352941176471,0.3157894736842105,0.13636363636363635,,,0.045454545454545456
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,0.04,,,,0.08,,,,,,0.1851851851851852,0.07407407407407407,0.12,0.05,0.06666666666666668,,,,,,,0.10526315789473684,,0.3684210526315789,,,,,0.05882352941176471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.05882352941176471,0.07142857142857142,0.16,0.2333333333333333,0.19230769230769232,0.10714285714285714,0.1851851851851852,0.13793103448275862,0.07142857142857142,0.045454545454545456,,,,,0.043478260869565216,0.05882352941176471,0.12195121951219512,0.09090909090909093,0.09090909090909093,0.09803921568627452,0.03389830508474576,0.0,0.1206896551724138,0.10344827586206896,0.09836065573770493,0.13114754098360654,0.15714285714285714,0.08974358974358974,0.11688311688311688,0.10126582278481013,0.0898876404494382
Battery Park City,Manhattan,neighborhood,0.05847953216374269,0.11585365853658534,0.13095238095238096,0.15846994535519127,0.1348314606741573,0.0966183574879227,0.11666666666666667,0.033755274261603366,0.0851063829787234,0.08849557522123894,0.03153153153153153,0.01951219512195122,0.043478260869565216,0.047619047619047616,0.07758620689655173,0.06779661016949153,0.0759493670886076,0.07174887892376683,0.05116279069767442,0.030456852791878174,0.06315789473684211,0.06666666666666668,0.0797872340425532,0.06936416184971098,0.0872093023255814,0.0625,0.07142857142857142,0.08125,0.07428571428571429,0.054945054945054944,0.09836065573770493,0.05113636363636364,0.07453416149068323,0.053892215568862284,0.05555555555555555,0.03816793893129771,0.02307692307692308,0.03816793893129771,0.022556390977443608,0.05594405594405594,0.016666666666666666,0.02654867256637168,0.0576923076923077,0.04301075268817205,0.08791208791208792,0.03296703296703297,0.06329113924050632,0.03225806451612903,0.015384615384615384,0.054054054054054064,0.023809523809523808,0.09302325581395347,0.12903225806451613,0.11578947368421053,0.13333333333333333,0.07142857142857142,0.12,0.16923076923076924,0.027777777777777776,0.07042253521126761,0.09210526315789473,0.0673076923076923,0.05309734513274336,0.05504587155963303,0.08181818181818183,0.1153846153846154,0.08181818181818183,0.07,0.0392156862745098,0.12244897959183673,0.07291666666666667,0.08888888888888889,0.0851063829787234,0.10784313725490197,0.10679611650485436,0.10434782608695653,0.16806722689075632,0.15454545454545454,0.16494845360824742,0.10465116279069768,0.15217391304347827,0.13333333333333333,0.10989010989010987,0.06666666666666668,0.1176470588235294,0.11827956989247312,0.13131313131313133,0.13725490196078433,0.2035398230088496,0.17117117117117114,0.1651376146788991,0.10526315789473684,0.11965811965811965,0.2066115702479339,0.07692307692307693,0.06818181818181818,0.125,0.07207207207207207,0.1129032258064516,0.15333333333333332,0.1761006289308176,0.18064516129032254,0.14685314685314685,0.08633093525179858,0.13513513513513514
