Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
All Downtown,Manhattan,submarket,1680000.0,1695000.0,1650000.0,1600000.0,1595000.0,1575000.0,1549000.0,1455000.0,1440000.0,1495000.0,1495000.0,1497500.0,1495000.0,1480000.0,1480000.0,1525000.0,1470000.0,1399000.0,1439500.0,1400000.0,1482500.0,1527500.0,1540000.0,1500000.0,1525000.0,1495000.0,1495000.0,1525000.0,1550000.0,1540000.0,1450000.0,1495000.0,1630000.0,1625000.0,1647500.0,1650000.0,1750000.0,1750000.0,1995000.0,1998000.0,1995000.0,2095000.0,2200000.0,2225000.0,2375000.0,2445312.5,2495000.0,2700000.0,2695000.0,2657500.0,2675000.0,2750000.0,2825000.0,2950000.0,2925000.0,3000000.0,3100000.0,3150000.0,3230000.0,3635000.0,3687500.0,3695000.0,3650000.0,3550000.0,3595000.0,3572495.0,3500000.0,3625000.0,3600000.0,3550000.0,3550000.0,3650000.0,3545000.0,3485000.0,3374995.0,3197499.5,3137500.0,3085000.0,3123000.0,3125000.0,2995000.0,2995000.0,3000000.0,3150000.0,3155000.0,3000000.0,2895000.0,2865000.0,2850000.0,2800000.0,2842000.0,2799000.0,2799995.0,2850000.0,2850000.0,2826500.0,2825000.0,2795000.0,2785000.0,2750000.0,2652000.0,2657500.0,2600000.0,2550000.0,2599500.0
All Midtown,Manhattan,submarket,1195000.0,1150000.0,1195000.0,1150000.0,1150000.0,1149000.0,1145000.0,1135000.0,1102000.0,1150000.0,1149000.0,1149000.0,1150000.0,1150000.0,1170000.0,1150000.0,1150000.0,1125000.0,1150000.0,1175000.0,1175000.0,1175000.0,1195000.0,1225000.0,1197500.0,1250000.0,1300000.0,1299000.0,1299000.0,1350000.0,1380000.0,1402500.0,1450000.0,1425000.0,1420500.0,1425000.0,1395000.0,1400000.0,1495000.0,1499000.0,1425000.0,1495000.0,1525000.0,1575000.0,1570000.0,1545000.0,1595000.0,1695000.0,1700000.0,1685000.0,1600000.0,1652500.0,1750000.0,1700000.0,1775000.0,1782500.0,1895000.0,1810000.0,1800000.0,1860000.0,1850000.0,1850000.0,1947500.0,1872500.0,1860000.0,1875000.0,1950000.0,1972000.0,1995000.0,2022500.0,2105000.0,2150000.0,2195000.0,1995000.0,1955000.0,2062500.0,2024500.0,1998000.0,2000000.0,2100000.0,2080000.0,2090000.0,2125000.0,2180000.0,2195000.0,2200000.0,2100000.0,1995000.0,1975000.0,1930000.0,1897000.0,1850000.0,1858500.0,1850000.0,1870000.0,1900000.0,1947000.0,1950000.0,1875000.0,1795000.0,1795000.0,1749000.0,1750000.0,1750000.0,1805000.0
All Upper East Side,Manhattan,submarket,1585000.0,1595000.0,1595000.0,1650000.0,1650000.0,1650000.0,1585000.0,1585000.0,1575000.0,1595000.0,1589000.0,1570000.0,1519500.0,1499000.0,1425000.0,1400000.0,1416000.0,1400000.0,1425000.0,1425000.0,1495000.0,1495000.0,1499000.0,1499500.0,1525000.0,1525000.0,1575000.0,1525000.0,1500000.0,1585000.0,1595000.0,1575000.0,1649000.0,1792000.0,1824500.0,1824500.0,1862500.0,1850000.0,1850000.0,1862500.0,2025000.0,2300000.0,2300000.0,2185000.0,2350000.0,2350000.0,2450000.0,2495000.0,2600000.0,2500000.0,2770000.0,2595000.0,2450000.0,2375000.0,2350000.0,2395000.0,2500000.0,2499999.0,2597500.0,2685000.0,2800000.0,2500000.0,2295000.0,2267500.0,2390000.0,2295000.0,2375000.0,2450000.0,2350000.0,2250000.0,2495000.0,2600000.0,2650000.0,2500000.0,2495000.0,2590000.0,2599500.0,2500000.0,2600000.0,2650000.0,2650000.0,2595000.0,2650000.0,2750000.0,2650000.0,2574000.0,2475000.0,2595000.0,2485000.0,2495000.0,2495000.0,2495000.0,2410000.0,2450000.0,2647500.0,2700000.0,2500000.0,2412500.0,2500000.0,2500000.5,2500000.0,2500000.0,2500000.0,2399000.0,2300000.0
All Upper Manhattan,Manhattan,submarket,639000.0,625000.0,629000.0,649000.0,604000.0,589000.0,581000.0,579000.0,595000.0,551000.0,550000.0,550000.0,540500.0,535000.0,545000.0,550000.0,550000.0,550000.0,517500.0,525000.0,525000.0,535000.0,532000.0,535000.0,539000.0,559000.0,571750.0,569000.0,566500.0,565000.0,570500.0,575000.0,567000.0,575000.0,579000.0,593000.0,570000.0,550000.0,546000.0,554400.0,565000.0,591500.0,594000.0,591500.0,598500.0,650000.0,664500.0,668000.0,710000.0,717000.0,726500.0,677000.0,650000.0,699500.0,631500.0,649000.0,726440.0,749000.0,775000.0,800000.0,795000.0,795000.0,836500.0,799000.0,795000.0,795587.0,786484.0,826429.5,815000.0,810000.0,828050.0,850000.0,799000.0,795000.0,799000.0,829000.0,790000.0,797293.5,849000.0,845000.0,827000.0,829000.0,875000.0,875000.0,899000.0,925000.0,919000.0,935000.0,925000.0,900000.0,905000.0,899000.0,849500.0,852000.0,800000.0,850000.0,855000.0,850000.0,849000.0,872500.0,839000.0,850000.0,895000.0,895000.0,878000.0
All Upper West Side,Manhattan,submarket,1495000.0,1499500.0,1495000.0,1445000.0,1495000.0,1495000.0,1512500.0,1497000.0,1499000.0,1495000.0,1650000.0,1640000.0,1560000.0,1690000.0,1625000.0,1795000.0,1795000.0,1797000.0,1795000.0,1792000.0,1672500.0,1695000.0,1725000.0,1795000.0,1695000.0,1650000.0,1720000.0,1660000.0,1635000.0,1595000.0,1450000.0,1582000.0,1650000.0,1575000.0,1534500.0,1500000.0,1500000.0,1467500.0,1450000.0,1450000.0,1475000.0,1552500.0,1685000.0,1650000.0,1675000.0,1790000.0,1849000.0,2150000.0,2232500.0,2050000.0,2055000.0,2055000.0,1997500.0,1950000.0,1874500.0,1899500.0,2100000.0,2320000.0,2420000.0,2392500.0,2300000.0,2275000.0,2300000.0,2320000.0,2350000.0,2495000.0,2460000.0,2550000.0,2550000.0,2600000.0,2700000.0,2800000.0,2761000.0,2750000.0,2750000.0,2750000.0,2600000.0,2550000.0,2600000.0,2675000.0,2550000.0,2500000.0,2600000.0,2796250.0,2537500.0,2625000.0,2497500.0,2495000.0,2495000.0,2500000.0,2495000.0,2500000.0,2600000.0,2549000.0,2695000.0,2595000.0,2740000.0,2825000.0,2449500.0,2350000.0,2375000.0,2395000.0,2395000.0,2447000.0,2350000.0
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,469000.0,477000.0,485000.0,449000.0,452500.0,450000.0,449000.0,445000.0,445000.0,452500.0,465000.0,474000.0,469000.0,474000.0,489000.0,475000.0,480500.0,474000.0,444000.0,450000.0,446980.0,441980.0,449000.0,462000.0,489000.0,489000.0,489500.0,494000.0,491500.0,497000.0,499000.0,529000.0,549000.0,529000.0,495000.0,446500.0,519000.0,519000.0,509500.0,509500.0,444000.0,444000.0,425000.0,425000.0,437000.0,450000.0,449000.0,449500.0,458000.0,449000.0,515000.0,515000.0,515000.0,517000.0,520000.0,535000.0,539500.0,532500.0,535000.0,519000.0,515000.0,539000.0,569000.0,592000.0,589000.0,602000.0,645000.0,610000.0,670000.0,680000.0,610000.0,615000.0,622000.0,639000.0,639000.0,665000.0,696425.0,665000.0,657000.0,695000.0,675000.0,665000.0,675000.0,736800.0,785000.0,725000.0,669500.0,669500.0,680000.0,649500.0,650000.0,650000.0,649000.0,689850.0,739000.0,749000.0,725000.0,724000.0,739000.0,699000.0,695000.0,695000.0,695000.0,699000.0,698938.0
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,549000.0,549000.0,,,,,,,,,,,549500.0,569000.0,570000.0,570000.0,568000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734000.0,739000.0,739000.0,724000.0,724000.0,729000.0,728500.0,750000.0,728500.0,748500.0,710000.0
Battery Park City,Manhattan,neighborhood,875000.0,944000.0,925000.0,925000.0,900000.0,1010000.0,934500.0,775000.0,775000.0,952000.0,899500.0,850000.0,870000.0,880000.0,839500.0,899000.0,884500.0,860000.0,825000.0,860000.0,900000.0,884500.0,807000.0,850000.0,849500.0,850000.0,825000.0,849000.0,815000.0,820000.0,770000.0,770000.0,799000.0,770000.0,804500.0,799000.0,835000.0,820000.0,818000.0,795000.0,782779.5,820000.0,1139500.0,1150000.0,1130000.0,1149000.0,1149000.0,1044500.0,1250000.0,1200000.0,1050000.0,960000.0,999000.0,1079000.0,1172500.0,997000.0,995000.0,1275000.0,1537500.0,1978200.0,1964100.0,2386250.0,2040000.0,1500000.0,1602500.0,1537500.0,1512500.0,1565000.0,1770000.0,1940000.0,1744500.0,1697000.0,1820000.0,1774500.0,1950000.0,1950000.0,1980000.0,1965000.0,1898000.0,1924000.0,1898999.5,1745000.0,1850000.0,2050000.0,2000000.0,1985000.0,1825000.0,1782500.0,1599000.0,1428000.0,1599000.0,1419000.0,1599000.0,1575000.0,1332000.0,1260000.0,1297500.0,1590000.0,1545000.0,1395000.0,1364000.0,1225000.0,1295000.0,1225000.0,1257944.0
Bay Ridge,Brooklyn,neighborhood,,569000.0,,539000.0,,579000.0,579000.0,579000.0,577000.0,577000.0,569000.0,572000.0,569000.0,569000.0,569000.0,569000.0,569000.0,577000.0,577000.0,579000.0,627000.0,625000.0,639000.0,649000.0,649000.0,639000.0,639000.0,,,,,,639000.0,632000.0,632500.0,,635000.0,635000.0,620000.0,607500.0,590000.0,607500.0,545000.0,565000.0,522000.0,459000.0,459000.0,425000.0,384500.0,450000.0,442500.0,507000.0,625000.0,,,,715000.0,622000.0,622000.0,575000.0,487000.0,,419000.0,,,,,,,,457500.0,529000.0,599999.0,552000.0,514000.0,514000.0,529000.0,599999.0,647499.5,722000.0,839000.0,825000.0,825000.0,852000.0,,852000.0,879000.0,845000.0,777000.0,759000.0,798000.0,814000.0,855000.0,875000.0,855000.0,849000.0,842000.0,798000.0,775000.0,739900.0,777000.0,749900.0,769000.0,856000.0,856000.0
