Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
All Downtown,Manhattan,submarket,1206187.5,1099022.5,1187142.5,1450000.0,1323725.0,1280000.0,1527375.0,1271588.5,1390000.0,1400000.0,1104946.0,1521791.5,1400000.0,1345000.0,1390000.0,1200000.0,1044813.0,1200000.0,1298906.0,1150000.0,1190000.0,1410229.0,1373523.5,1295000.0,1095000.0,1081890.0,1193723.0,1400000.0,1245050.0,1387410.0,1407730.0,1337500.0,1270000.0,1007500.0,1295000.0,1323725.0,1387546.0,1357249.0,1427729.0,1452437.5,1485000.0,1321862.5,1480822.5,1147765.5,1425550.0,1540000.0,1375000.0,1710150.0,1676000.0,1407629.0,1235000.0,1425550.0,1450418.0,1725000.0,1627500.0,1332045.0,1516142.0,1617744.0,1764112.5,1849500.0,2000000.0,1400000.0,1841653.0,1577500.0,1822500.0,1800000.0,1900000.0,1624600.0,2150000.0,2092503.0,2346713.5,2596537.0,2555000.0,2660252.0,2490527.0,2373325.0,1850000.0,2650000.0,2400000.0,2215000.0,2644370.0,2409171.5,2800187.0,2111250.0,2200000.0,2578131.5,2835826.0,2435000.0,2207500.0,2490000.0,2440000.0,2260000.0,1583000.0,1894426.5,1950000.0,1875000.0,2000000.0,2220389.0,2106250.0,1960000.0,1895000.0,1991612.0,2172500.0,2235058.5,1634291.0
All Midtown,Manhattan,submarket,840000.0,967500.0,810000.0,850165.0,932500.0,860000.0,877500.0,824782.0,1095000.0,935000.0,885484.0,910000.0,901500.0,950000.0,841600.5,867801.5,972500.0,945000.0,882984.0,951500.0,978500.0,880000.0,892500.0,985055.5,854500.0,877500.0,839000.0,969000.0,1035000.0,1155000.0,915000.0,840000.0,1050000.0,1080000.0,945000.0,935000.0,1110000.0,875000.0,800000.0,1056250.0,975000.0,1050000.0,999499.5,950000.0,920000.0,962500.0,1089000.0,1050000.0,960000.0,1150000.0,1052500.0,1198221.5,1315403.0,1162500.0,1070000.0,1100000.0,1175000.0,1370000.0,1120000.0,1250000.0,1435457.5,1084581.0,1238000.0,1225995.5,1165896.0,1097400.5,1390000.0,1200000.0,1356000.0,1090782.0,1660000.0,1525000.0,1673064.0,1749500.0,1595000.0,1217500.0,1200000.0,1360000.0,1285000.0,1390000.0,1160901.0,1160794.0,1276492.0,1420000.0,1380000.0,1260000.0,1369934.0,1388800.0,1511186.0,1455899.5,1725933.0,1360000.0,1422501.0,1304225.5,1311000.0,1152500.0,1330000.0,1189896.0,1342682.0,1262500.0,1230000.0,1232500.0,1135000.0,1120000.0,1152263.0
All Upper East Side,Manhattan,submarket,1203292.0,1007500.0,1325000.0,1380000.0,1715284.0,1302614.5,1290631.5,1275000.0,982500.0,852500.0,1205000.0,1240000.0,1526415.5,895000.0,1650000.0,1450000.0,1080000.0,1175000.0,1235000.0,1045000.0,1160000.0,940000.0,1030451.5,802500.0,972750.0,1400000.0,1379728.0,1500900.0,1017500.0,1240000.0,1280000.0,1378739.0,1205000.0,1151250.0,885500.0,1030000.0,1125000.0,1005000.0,1312522.0,1120000.0,1472500.0,1527375.0,1286406.0,1225000.0,1600000.0,1270000.0,2740069.5,2632812.5,1912000.0,1858306.0,1601875.0,2100000.0,1853136.5,1260000.0,1797500.0,1282500.0,1472500.0,1497000.0,1662500.0,1591000.0,1575000.0,1497500.0,1618250.0,1705000.0,1750000.0,1560000.0,1258443.0,1255475.0,1800000.0,2180000.0,1298490.5,1318633.0,1322500.0,1897500.0,1296524.0,1395000.0,1500000.0,1639600.0,1602581.5,1536250.0,1322500.0,2220000.0,1657500.0,1215000.0,1323725.0,1295000.0,1700000.0,1660883.5,1699068.0,1800000.0,1670000.0,1770584.0,1723000.0,1625000.0,1350000.0,1750000.0,1575000.0,1430000.0,2000000.0,2188495.5,1725000.0,1425000.0,1560000.0,1565500.0,1890000.0
All Upper Manhattan,Manhattan,submarket,438000.0,530903.5,420000.0,427500.0,431900.0,528471.0,568056.5,490000.0,580000.0,575000.0,498967.5,637286.0,560037.0,434009.0,430000.0,444750.0,621132.0,615000.0,515000.0,489762.0,535202.0,509500.0,506000.0,422000.0,491250.0,703750.5,449496.0,317500.0,512000.0,585000.0,590000.0,495000.0,582838.0,606000.0,610000.0,575000.0,544763.0,690695.5,492500.0,675625.0,503750.0,522500.0,520000.0,495395.0,495000.0,422870.0,565155.5,501000.0,462000.0,517681.0,524398.0,467000.0,549000.0,698426.0,666500.0,513499.0,526944.0,631315.0,791180.0,755270.5,885877.0,621874.0,757098.5,663726.0,669413.0,618157.5,587838.0,738000.0,727500.0,749000.0,610750.0,612986.0,595000.0,535000.0,517500.0,651965.5,698000.0,735000.0,659763.0,659450.0,767500.0,725000.0,708192.5,694446.0,682559.0,801362.0,663340.0,832250.0,842500.0,772000.0,621000.0,778000.0,780000.0,690000.0,625000.0,802500.0,675000.0,760000.0,762000.0,700000.0,770000.0,845000.0,702500.0,779190.0,790000.0
All Upper West Side,Manhattan,submarket,1085000.0,1059275.5,869500.0,1067290.5,1045000.0,999000.0,999750.0,1369546.0,1274500.0,1191000.0,1252884.0,1145500.0,1037000.0,1212500.0,976000.0,935000.0,1121250.0,1200000.0,1125000.0,1412500.0,1375000.0,1425000.0,1318750.0,1250000.0,1628000.0,1856250.0,1502500.0,1800000.0,1192500.0,1369000.0,1357500.0,1256321.0,1225000.0,1137500.0,1382500.0,1100000.0,1745900.0,1302000.0,1035000.0,1327500.0,1187500.0,1157500.0,1300500.0,1386125.0,1230000.0,1150000.0,1375000.0,1362318.5,1504625.5,1280000.0,1450000.0,1522500.0,1342500.0,1325000.0,1125000.0,1450000.0,1520000.0,1200000.0,1372500.0,1121825.0,1375000.0,1478750.0,1600000.0,1230000.0,1250000.0,1675000.0,1355000.0,1350000.0,1887762.0,1814968.5,2038500.0,1731025.0,1617492.0,1500000.0,1531383.0,1310000.0,1400000.0,1300000.0,1690000.0,1840000.0,1092500.0,1538652.0,1762500.0,2572500.0,1395000.0,1688000.0,1350000.0,1270000.0,1418750.0,1580000.0,1750000.0,1394947.0,2151351.0,1679000.0,2227147.5,1889930.0,1627358.0,1465000.0,1455577.5,2450000.0,1715000.0,1060000.0,1599000.0,1540000.0,1523750.0
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,,,383217.5,399840.0,,,355000.0,418046.0,387500.0,344760.0,347500.0,378111.0,,355000.0,,,335000.0,345000.0,,,337155.0,,330000.0,392671.5,339000.0,368500.0,365000.0,405000.0,382625.0,375000.0,365055.0,400530.0,,,400790.0,,320000.0,370000.0,,350000.0,,360000.0,337000.0,,,,,341105.0,,,,,375000.0,,,335000.0,,346850.0,360000.0,488250.0,,,455000.0,445000.0,,,,492550.5,540000.0,406000.0,499500.0,560018.5,502500.0,,465000.0,580123.0,,467000.0,,619000.0,570000.0,687318.5,702874.0,527500.0,425000.0,,496000.0,,510000.0,,,455000.0,,580000.0,,613495.0,,,,595000.0,677911.0,658750.0,,,452500.0
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery Park City,Manhattan,neighborhood,,502650.0,763000.0,2031917.0,1476462.5,,,1165000.0,1247356.0,1400000.0,,1580000.0,853130.5,,1225000.0,495895.0,625000.0,727500.0,936790.0,575000.0,911333.0,1545899.0,585110.0,,750000.0,902000.0,770500.0,650748.5,1056579.0,760000.0,1150767.5,1125000.0,675000.0,681609.0,791241.0,700000.0,804417.0,766570.0,656771.0,834965.0,785000.0,670000.0,770000.0,759617.0,939988.0,680000.0,753774.0,595000.0,1300000.0,860285.5,998750.0,1482500.0,774000.0,937500.0,770000.0,990000.0,,770000.0,990000.0,756000.0,862500.0,,712500.0,655000.0,1125000.0,840000.0,1792120.0,860256.0,2038615.0,2325000.0,1762500.0,2253168.0,2315000.0,990000.0,1989837.5,2199419.5,1200000.0,777000.0,1818000.0,1705000.0,1135050.0,980000.0,890000.0,790000.0,1067500.0,1049490.0,891000.0,,1640000.0,1105000.0,1355000.0,1088000.0,955000.0,834000.0,1435000.0,1650000.0,1085000.0,,1009125.0,920000.0,1225000.0,1375000.0,1494500.0,744999.5,
