Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
All Downtown,Manhattan,submarket,0.863905325443787,0.8690689331525707,0.8908181432810514,0.8862754189944134,0.922509225092251,0.9235590476190476,0.9306051419678116,0.9141860721741724,0.92901878914405,0.92190675617417,0.9275428905463116,0.9279212903225806,0.8960600000000001,0.9189189189189191,0.924589907826902,0.9418555342440732,0.9662983673469387,0.9509232461449242,0.9458562091503268,0.9492753623188406,0.9517543859649122,0.9435028248587571,0.948462931792038,0.942288049029622,0.9523220848646844,0.9461152882205514,0.9255813953488372,0.9518432692307692,0.9428571428571428,0.95,0.9591326105087572,0.96526037315511,0.9545454545454546,0.9676547515257192,0.9681455787947816,0.9689437586779744,0.9749232343909928,0.9623430962343096,0.9863013698630136,0.9807469007469009,0.9818181818181818,0.9877261466856844,0.9915966386554622,0.995505617977528,0.9831932773109244,0.9934078043066024,0.9873939393939394,0.9870019157007376,0.9883720930232558,0.9789473684210528,0.9908124971040682,0.9893617021276596,0.9837837837837838,0.9858091787439612,0.9846153846153848,0.982608695652174,0.9830508474576272,0.9780016589479504,1.0,0.9899958315964984,0.9749552772808586,0.9827248478701824,0.9744897959183674,0.9834983498349836,0.9974358974358974,0.98989898989899,0.99,0.9863792984762269,1.0,0.9879719063545149,0.9879350959792601,0.9798270893371758,1.0,1.0,0.9852216748768472,0.9791841666666666,0.985,0.9807692307692308,0.9701316898440792,0.9545454545454546,0.9615958810138109,0.9759550628762144,0.9612486621989498,0.9674632370958676,0.974521472392638,0.9784172661870504,0.9761904761904762,0.9682743558282207,0.9721746690377396,0.9693877551020408,0.9663625095834398,0.9739259970206852,0.9522934173669468,0.9600648510971788,0.9488687413215716,0.9529702970297028,0.9406076964740532,0.957155,0.949868073878628,0.9522253345782756,0.9566964285714286,0.9642735042735042,0.9626865671641792,0.9524651885495728,0.948838030362817
All Midtown,Manhattan,submarket,0.9002388707469546,0.9015025041736228,0.925,0.88692492899468,0.8948254545454546,0.9230769230769232,0.9086363636363636,0.8965213373138161,0.9176268861454048,0.9120523877758382,0.9181969949916527,0.9169724260618191,0.9066059225512528,0.9146452520904048,0.9163723568849924,0.9135416666666668,0.9125,0.9420000871459696,0.9330144811280152,0.90541616370401,0.9228355441449152,0.93519882179676,0.9299811439346324,0.9325848992676379,0.9485714285714286,0.9268617142857144,0.9166666666666666,0.9415971394517284,0.9256084343285051,0.9365079365079364,0.9394960431130748,0.9422064777327936,0.9490033445378152,0.9433962264150944,0.9465240641711229,0.9519038076152304,0.9556673890593864,0.9417040358744396,0.9712230215827338,0.9565217391304348,0.9694616449333432,0.9666666666666668,0.9741935483870968,0.974074074074074,0.9892754456584244,0.990405701754386,0.9789080589631638,0.9799638747658549,0.9846244131455401,0.9684210526315791,0.981132075471698,0.9748507200561995,0.9799396681749624,0.9901078961231538,0.9785714285714284,0.9839685765233191,0.980327868852459,0.96308683265205,0.9696437103269402,0.9810933333333334,0.964375,0.9845033700498296,0.9723543508650896,0.9775411389632902,1.0,1.0,0.9841284683790694,0.9651842948717948,0.9860654600929201,0.9830372250423012,0.9867490752446504,0.975609756097561,0.981012658227848,0.9567901234567902,1.0,0.9920948616600792,0.9891943758887626,0.9652467369926694,0.9714446383556332,0.9712347860501568,0.9493190865283888,0.9700446549821834,0.9699387434506308,0.9636363636363636,0.9560899736779134,0.9584569732937686,0.9393139841688656,0.9468041647527178,0.9551149758454106,0.9426475605112664,0.9574468085106383,0.9597548262548262,0.95276369168357,0.952247191011236,0.9559845559845559,0.9403493058665472,0.955008540751586,0.9451901565995524,0.9326248647925331,0.948,0.9357142857142856,0.9497206703910616,0.9557522123893806,0.92,0.923476606332634
All Upper East Side,Manhattan,submarket,0.8705003131358507,0.8768791388130432,0.9049078635285532,0.907070707070707,0.9197833936690358,0.9117647058823528,0.9094326725905671,0.909073732524006,0.9193899782135077,0.929762743716232,0.905511811023622,0.906259444001064,0.9079545454545456,0.9238373860182372,0.903644816468254,0.8877551020408163,0.8969387755102041,0.9245283018867924,0.9235639005062736,0.9113664808283082,0.9310344827586208,0.9264148980441116,0.9332830757632868,0.9313080170428876,0.911060228522684,0.9320860926352252,0.9379310344827586,0.9518518518518518,0.9274867724867726,0.9356857015816552,0.9436007487170278,0.9411764705882352,0.938657520823126,0.9397012397012396,0.9450992729306488,0.9473684210526316,0.9476162448499116,0.9484028393966282,0.9461805555555556,0.9698302001212856,0.9666781648844428,0.9836065573770492,0.967741935483871,0.985236115552713,0.98,0.9971387696709584,0.9960102964118565,0.9843315184513006,0.9711309523809524,0.980298165724589,0.9753164218958612,0.9749303621169916,0.976095238095238,0.9714285714285714,0.9899888765294772,0.9934210526315791,0.9649523846094771,0.9680451127819548,0.9783625730994152,0.9740128428997916,0.9679572763684912,0.9681050656660412,0.9608378870673951,0.9598586017282013,0.982293769179015,0.9707486631016042,1.0,0.9814178169922814,0.9967806060606059,0.9597989949748744,0.9699624530663328,0.9978848,1.0,1.0,1.0,0.9953917050691244,0.971043956043956,0.9672131147540984,0.9604574054054054,0.96393016880681,0.9577103448275862,0.9807030852194654,0.9257304312727048,0.9620253164556962,0.9736842105263158,0.9565217391304348,0.9578947368421052,0.9407407407407408,0.9693877551020408,0.972233395462846,0.97941698630137,1.0,0.9529646697388632,0.9615637049799,0.9582038022813688,0.9588151260504202,0.9719438877755512,0.9473684210526316,0.9723878205128204,0.9674418604651164,0.9678456728851814,0.9615702134756504,0.9636104925587434,0.95,0.9045888134123428
All Upper Manhattan,Manhattan,submarket,0.8389261744966443,0.8898776418242491,0.9219315895372232,0.8665105386416861,0.905441816058394,0.9142857142857144,0.9530664857530528,0.9632650793650794,0.9550561797752808,0.9389090909090908,0.9688195991091314,0.9318181818181818,0.9167862266857962,0.8832080200501253,0.9031688125894134,0.8736842105263158,0.9326923076923076,0.9325532383205856,0.9612750222333172,0.9428571428571428,0.9511115146336252,0.949796472184532,0.9770247776219436,0.9506172839506172,0.9322455322455324,0.9595585927770859,0.9317963111467522,0.9609349496966441,0.975206611570248,0.9798723809523808,0.9842615012106536,0.9438202247191012,0.9623655913978496,0.9367754830113256,0.964409996836444,0.9462567963195316,0.9568982971563418,0.9913624770056588,0.9859515859766276,0.9796564010852641,0.9894736842105264,0.9741935483870968,0.9929701230228472,0.9854736842105264,0.9880896295244854,0.9748953974895398,0.9783726647000984,0.9596354166666666,1.0,1.0,1.0,0.9931972789115646,0.996396875,1.000770416024653,1.0,1.0008311688311688,1.0,1.0,1.0128823529411766,1.0108695652173914,0.990975,1.0182498969072165,0.9818181818181818,1.0091248125968602,1.0055242101789983,1.014,1.0139988008779093,1.0142992700729927,1.057899046226678,1.0,1.0006468957871395,1.0124644808743168,1.011396284829721,1.0,0.983912275542706,0.9961045958795562,0.9957081545064378,1.0,1.0,0.9972222222222222,0.9945945945945946,0.9889860139860139,1.0,0.9727272727272728,0.96443804383429,0.9699029126213592,1.0,0.9428663934068808,1.0,1.0,1.009125,0.9943396226415094,0.978102189781022,0.9883747644642141,0.9809523809523808,0.9683086091035882,0.9840455840455841,0.9228759054365996,0.9724817948868064,0.9711188348229064,0.966160787530763,1.0,0.9788536953242836,0.981491583236907,0.938566552901024
All Upper West Side,Manhattan,submarket,0.8958978328173375,0.8987178879514646,0.9342698740838188,0.9021169306883592,0.923230442038376,0.9230769230769232,0.9322554832767256,0.9332391494893222,0.9189189189189191,0.91875,0.9038493428175984,0.9285714285714286,0.9260911719039896,0.9281863901689708,0.9230048755452912,0.9164677804295944,0.933501273190251,0.9649122807017544,0.9689922480620154,0.9657393483709272,0.9444444444444444,0.9542857142857144,0.9707000962140432,0.9389671361502347,0.9471627726073586,0.9506802721088436,0.9636363636363636,0.9555555555555556,0.9559678759346442,0.9615384615384616,0.9557843361549608,0.9581207407407408,0.959445652173913,0.9467189469860466,0.9581377151799688,0.9665266106442576,0.9761904761904762,0.962714097496706,0.9608689559284592,0.9719982591093116,0.976536219309862,0.9885519911174092,1.0,0.9843528171013668,0.9931127638266966,1.0,0.9945697674418604,1.0,1.0,0.9771428571428572,0.9969476150627616,0.9940476190476192,0.9857142857142858,1.0,0.9726027397260274,0.9952885747938752,0.9877542033361808,0.980075948262428,0.9816939571065636,0.96,0.9767441860465116,0.9734006734006736,0.994994994994995,0.9846666666666668,0.9733333333333334,0.9827675302520924,0.9843259855871132,0.99163179916318,1.019286316981132,1.0182498360655738,1.01825,1.0182493333333331,1.004083355368875,0.9776207302709068,0.9740259740259741,0.974820143884892,0.9585924224324678,0.9653551884555742,0.9495798319327732,0.9864590616205008,0.9803921568627452,0.9656125407756432,0.943661971830986,0.9851648351648352,0.9651948660569032,0.9508409871695996,0.9359747988188356,0.972377124717408,0.9453205524634096,0.9670233421063984,0.9898525038312648,0.9739218925536512,0.9874213836477987,0.9773524720893142,0.9753917293233084,0.9709090716157852,0.9778812572759022,0.9593908629441624,0.9612951301478676,0.940555279931094,0.9694656488549618,0.9565217391304348,0.9547738693467336,0.9314263322884012,0.9578595317725752
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,0.980969696969697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9545616439123434,,,,,,,,,1.0048275862068965,,1.0033442354014452,,,,,,,,0.9337150304892242,,,,,1.0055866156139874,,,,,1.013642062815764,0.9851743833044252,,,
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery Park City,Manhattan,neighborhood,,,,,0.8163481620718462,,,0.8456087492040503,0.8945860821214713,0.945945945945946,,0.9430735930735932,,,0.9025524721495994,0.9975539393939394,1.014,1.0,0.9359359281437126,0.9733333333333334,,0.8978328173374613,,,,,0.9216117962466488,0.9730677966101696,0.9918032786885246,0.9685656565656566,0.9567475864114404,0.976,0.9503666666666668,0.9820437654830718,0.996842105263158,0.9867768595041322,0.996124031007752,0.9873015873015872,1.0,0.997144262295082,0.9817496296296296,0.9797319639278556,1.0,1.0,0.9844559585492229,0.9842655902463135,0.9683148503293588,0.9836065573770492,0.9883720930232558,1.0,1.0,0.9886284447260056,0.9832417582417584,0.9708737864077671,0.967741935483871,1.0,,0.957427536231884,0.9711111111111111,0.9578947368421052,,,,,,0.9753577106518284,1.0182495626822157,0.9926271561771562,1.0182498671815576,1.018249692520182,1.0,1.018249847089081,1.0,,1.0182495114006516,0.9969296541681836,0.9636363636363636,0.9570165643029964,0.9590497799764854,0.9278681223708696,0.9525335076822492,0.9579591836734694,0.9359615384615384,0.9679234425770608,0.964905770513676,,,,0.9617327117327116,0.9785966818186148,0.9519241019081122,0.9738260200153964,,,0.9650817840089404,0.9595571095571096,0.9240284350255384,,0.970709219858156,0.972972972972973,0.9812108559498957,0.9514666666666668,0.9422850412249706,,
