Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
All Downtown,Manhattan,submarket,0.059416445623342175,0.06382978723404255,0.07102125453602902,0.07725093233883858,0.08378378378378379,0.07991242474001095,0.07325581395348837,0.05300774270399048,0.07917888563049852,0.07728337236533958,0.06736711990111248,0.030363036303630363,0.05941255006675567,0.0491480996068152,0.07168894289185905,0.05027590435315757,0.07800982800982803,0.08517156862745097,0.05653266331658292,0.03901437371663245,0.07065217391304347,0.09768637532133677,0.06801831262262918,0.03672316384180791,0.08142857142857142,0.049432197728790914,0.07692307692307693,0.05924479166666665,0.062225015713387816,0.05688429217840984,0.05645684620376379,0.04234972677595628,0.08760207869339272,0.060402684563758385,0.04,0.02901023890784983,0.06265876375952582,0.03868312757201646,0.057705840957072485,0.052945069490403715,0.04838709677419355,0.047019867549668866,0.0398406374501992,0.03202846975088968,0.07122507122507123,0.06406869220607662,0.04536222071767095,0.025290498974709502,0.03367003367003367,0.040816326530612235,0.032807570977917984,0.05724953329184816,0.06451612903225806,0.06062461726883037,0.040665434380776334,0.028938906752411574,0.05360333531864205,0.05,0.036488027366020526,0.027284263959390858,0.040436456996148916,0.040841584158415836,0.04859028194361128,0.054951345163136815,0.06617227609811753,0.06779661016949153,0.0530565167243368,0.040565457897971724,0.06892590465249858,0.08794788273615635,0.07487237663074305,0.045370938074800735,0.0730816077953715,0.06044600938967136,0.08469945355191258,0.0826530612244898,0.11958661417322836,0.09022931206380858,0.08121019108280254,0.05188141391106044,0.10849812934259756,0.10706521739130437,0.08673469387755102,0.03966730646193218,0.09467084639498433,0.07423857868020305,0.0880648899188876,0.10005685048322913,0.12176308539944905,0.11129476584022037,0.09054209919261824,0.06654567453115548,0.12583148558758314,0.1255364806866953,0.08841634023503077,0.031795511221945134,0.09920391916717697,0.08272946859903382,0.08009153318077804,0.10556422256890276,0.12676743052169673,0.12474332648870635,0.08147745790331341,0.05646929824561404,0.13819095477386933
All Midtown,Manhattan,submarket,0.07272727272727272,0.08210689388071263,0.10057471264367816,0.08524355300859597,0.08723864455659698,0.08657373440939105,0.08702290076335878,0.0776,0.11620294599018005,0.0786699107866991,0.06729131175468482,0.03963133640552995,0.09345794392523364,0.06766917293233082,0.09928443649373883,0.08951175406871609,0.0958904109589041,0.10287303058387397,0.06859903381642513,0.06420233463035019,0.10140845070422536,0.11848341232227487,0.09560975609756098,0.054752066115702484,0.07312252964426877,0.062075654704170716,0.07677356656948492,0.07761194029850746,0.08241206030150754,0.05882352941176471,0.0671892497200448,0.06643356643356642,0.06467065868263472,0.08520710059171598,0.051020408163265314,0.036568213783403664,0.06353591160220995,0.054054054054054064,0.05188067444876784,0.07187894073139975,0.06072351421188631,0.049924357034795766,0.05845181674565561,0.03801652892561983,0.0694006309148265,0.08127721335268505,0.04945904173106646,0.04631217838765009,0.08183306055646483,0.0440251572327044,0.06772334293948126,0.06793478260869565,0.09007832898172324,0.09594594594594597,0.08047493403693931,0.059895833333333336,0.07192575406032482,0.07246376811594203,0.045977011494252866,0.041916167664670656,0.07526881720430108,0.0462085308056872,0.06823266219239374,0.06352459016393443,0.08011869436201781,0.0846774193548387,0.07880724174653887,0.059782608695652176,0.09362139917695474,0.12598425196850396,0.07913669064748201,0.060021436227224015,0.10842105263157896,0.05990338164251208,0.11306765523632993,0.10146252285191956,0.13368983957219252,0.13160250671441362,0.09915014164305948,0.073558648111332,0.1318267419962335,0.12167300380228135,0.09223300970873786,0.046231155778894466,0.101010101010101,0.10337972166998012,0.11297852474323065,0.11090573012939002,0.12332439678284182,0.1064773735581189,0.11101398601398603,0.06839186691312385,0.1302785265049416,0.13240418118466898,0.1072463768115942,0.07481559536354057,0.10421052631578948,0.08102564102564103,0.09825528007346188,0.1184792219274978,0.12760633861551293,0.1329923273657289,0.1088314005352364,0.08058608058608059,0.14987080103359174
All Upper East Side,Manhattan,submarket,0.07580174927113703,0.08547008547008547,0.07076101468624832,0.09752925877763327,0.0953020134228188,0.09581646423751687,0.07296137339055794,0.04675716440422323,0.08345323741007195,0.14388489208633093,0.11240875912408757,0.03201219512195122,0.0953125,0.08597285067873303,0.12236286919831225,0.12033195020746887,0.10814606741573034,0.1286127167630058,0.0913312693498452,0.06837606837606837,0.10720268006700168,0.12603648424543948,0.08183306055646483,0.06338028169014084,0.10884353741496597,0.08514190317195326,0.08553654743390357,0.093603744149766,0.09421487603305784,0.08448275862068966,0.07168458781362007,0.05938697318007662,0.10436432637571158,0.07624113475177305,0.10583941605839416,0.041015625,0.045112781954887216,0.038745387453874534,0.05242718446601942,0.0830188679245283,0.05009276437847866,0.05642023346303503,0.0368763557483731,0.0547945205479452,0.08009153318077804,0.0658682634730539,0.06391752577319587,0.0556792873051225,0.09333333333333334,0.04921700223713647,0.06275303643724696,0.06566604127579738,0.11194029850746268,0.09523809523809523,0.07045009784735813,0.054466230936819175,0.07961165048543689,0.08752327746741155,0.07738095238095237,0.030107526881720432,0.0920245398773006,0.06910569105691057,0.0675422138836773,0.07867132867132867,0.08907563025210084,0.08391608391608392,0.07532956685499058,0.06342494714587738,0.0931174089068826,0.09838998211091236,0.0912863070539419,0.04751131221719457,0.09130434782608696,0.09861932938856016,0.11151079136690648,0.0979020979020979,0.13859649122807016,0.14638157894736842,0.09386281588447654,0.051587301587301584,0.1619047619047619,0.15398886827458255,0.08935361216730038,0.054279749478079335,0.10978043912175647,0.10609037328094302,0.1324376199616123,0.12658227848101267,0.1386481802426343,0.14821124361158433,0.125,0.057199211045364885,0.12338858195211788,0.1586452762923351,0.1082089552238806,0.06365503080082137,0.12804878048780488,0.10114503816793892,0.12110091743119268,0.13513513513513514,0.15600624024961,0.14082278481012658,0.11336717428087985,0.06846846846846846,0.15849673202614378
All Upper Manhattan,Manhattan,submarket,0.05306799336650083,0.03576982892690513,0.10413476263399694,0.10283159463487332,0.06349206349206349,0.1048252911813644,0.1012216404886562,0.04873646209386282,0.10918544194107453,0.08912655971479501,0.048695652173913036,0.030405405405405407,0.049689440993788817,0.05132743362831858,0.12605042016806722,0.08695652173913042,0.06055045871559634,0.06463195691202872,0.030075187969924814,0.036217303822937634,0.055793991416309016,0.04708520179372197,0.04166666666666666,0.0413625304136253,0.049886621315192746,0.0580046403712297,0.08372093023255814,0.06537530266343826,0.05121951219512195,0.06138107416879796,0.03968253968253968,0.03978779840848806,0.050802139037433164,0.041884816753926704,0.01988636363636364,0.018461538461538463,0.02960526315789473,0.01413427561837456,0.010380622837370242,0.021739130434782608,0.0220820189274448,0.03333333333333333,0.04230769230769231,0.025,0.04310344827586207,0.08835341365461848,0.05309734513274336,0.045045045045045036,0.017605633802816902,0.02236421725239616,0.03313253012048193,0.025477707006369428,0.015105740181268885,0.04294478527607362,0.027777777777777776,0.02931596091205212,0.04923076923076923,0.05806451612903226,0.029090909090909087,0.021367521367521368,0.027777777777777776,0.0091324200913242,0.014150943396226415,0.034934497816593885,0.05429864253393665,0.025974025974025976,0.032710280373831765,0.02830188679245283,0.02904564315352697,0.061728395061728385,0.060747663551401876,0.026737967914438502,0.1073170731707317,0.039647577092511016,0.04824561403508772,0.06642066420664207,0.04304635761589404,0.07801418439716312,0.04016064257028112,0.06751054852320675,0.08203125,0.07053941908713693,0.07531380753138077,0.022421524663677132,0.07264957264957267,0.06607929515418502,0.06692913385826772,0.07725321888412018,0.06938775510204083,0.12017167381974247,0.061032863849765265,0.06486486486486487,0.09913793103448276,0.09803921568627452,0.1153846153846154,0.05583756345177665,0.061611374407582936,0.0794979079497908,0.07228915662650602,0.10150375939849623,0.13043478260869565,0.15333333333333332,0.10526315789473684,0.06666666666666668,0.121580547112462
All Upper West Side,Manhattan,submarket,0.08892128279883382,0.07657657657657657,0.11158798283261803,0.10460251046025104,0.11862068965517243,0.09400544959128064,0.07780979827089338,0.05847953216374269,0.12336719883889695,0.09064748201438848,0.06456692913385828,0.04819277108433735,0.08600337268128162,0.06933744221879815,0.07766990291262135,0.08423913043478261,0.08653846153846154,0.07024793388429752,0.07858243451463791,0.060402684563758385,0.1054421768707483,0.11276948590381425,0.08013355592654424,0.03302752293577982,0.1123388581952118,0.08347529812606473,0.08803986710963455,0.09397163120567376,0.10035211267605634,0.10318949343339588,0.10816326530612247,0.04978354978354978,0.06768558951965066,0.07391304347826087,0.08035714285714286,0.04672897196261682,0.0746987951807229,0.04751131221719457,0.04914529914529914,0.0709812108559499,0.059793814432989686,0.054545454545454536,0.057142857142857134,0.055710306406685235,0.05744125326370756,0.07616707616707617,0.07736389684813752,0.04406779661016949,0.05056179775280899,0.04891304347826087,0.0812807881773399,0.0776255707762557,0.11825726141078838,0.1072961373390558,0.09579439252336447,0.04143646408839779,0.08353221957040573,0.06639839034205232,0.04938271604938271,0.032188841201716736,0.05353319057815846,0.045454545454545456,0.06857142857142857,0.07329842931937172,0.08759124087591241,0.07832422586520947,0.05641025641025641,0.03790613718411552,0.07972270363951472,0.09380530973451327,0.08070866141732283,0.04555808656036447,0.09813084112149532,0.11486486486486487,0.10612244897959183,0.13714285714285715,0.14095238095238094,0.1162361623616236,0.091796875,0.05450733752620545,0.14538310412573674,0.10810810810810813,0.08723404255319149,0.045454545454545456,0.0867579908675799,0.07872340425531915,0.13793103448275862,0.08014571948998178,0.10398613518197572,0.12869565217391304,0.0962962962962963,0.05070993914807302,0.12280701754385966,0.13610586011342155,0.12981744421906696,0.07517084282460136,0.1331877729257642,0.10126582278481013,0.09,0.13344887348353554,0.13550600343053176,0.1163575042158516,0.10894308943089433,0.07865168539325842,0.14311270125223613
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,0.3359375,0.0273972602739726,0.0064516129032258064,0.013422818791946308,0.021739130434782608,0.03333333333333333,0.0425531914893617,0.0,0.09248554913294796,0.01282051282051282,0.014354066985645932,0.0,0.0380952380952381,0.020202020202020204,0.013333333333333334,0.033707865168539325,,0.034782608695652174,0.05147058823529412,0.0308641975308642,0.02054794520547945,0.046052631578947366,0.02112676056338028,0.0,0.0,0.0,0.02654867256637168,0.015873015873015872,0.0,,0.040816326530612235,0.04878048780487805,0.07692307692307693,0.04444444444444445,0.022222222222222227,0.08333333333333333,0.05128205128205128,0.09090909090909093,0.06666666666666668,0.14285714285714285,0.06451612903225806,,0.03225806451612903,0.06451612903225806,0.1111111111111111,0.1,,0.07142857142857142,0.0,0.12,0.0,0.06666666666666668,0.08163265306122447,0.019230769230769232,0.01818181818181818,0.020408163265306117,0.05172413793103448,0.03571428571428571,0.04166666666666666,0.0,0.02564102564102564,0.04878048780487805,0.0,0.0,0.10256410256410256,0.018518518518518517,0.08771929824561403,0.03389830508474576,0.07352941176470587,0.0,0.0,0.02127659574468085,0.047619047619047616,0.0975609756097561,0.04878048780487805,0.10256410256410256,0.16666666666666666,0.14634146341463414,0.175,0.04878048780487805,0.02564102564102564,0.10810810810810813,0.024390243902439025,0.030303030303030307,0.1,0.05,0.05357142857142857,0.04166666666666666,0.05128205128205128,0.14814814814814814,0.12962962962962962,0.0425531914893617,0.13157894736842105,0.0425531914893617,0.12195121951219512,0.060606060606060615,0.06666666666666668,0.10638297872340426,0.07017543859649122,0.12987012987012986,0.0273972602739726,0.1139240506329114,0.17567567567567569,0.1139240506329114,0.10526315789473684
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08333333333333333,0.07142857142857142,
Battery Park City,Manhattan,neighborhood,0.05847953216374269,0.11585365853658534,0.13095238095238096,0.15846994535519127,0.1348314606741573,0.0966183574879227,0.11666666666666667,0.033755274261603366,0.0851063829787234,0.08849557522123894,0.03153153153153153,0.01951219512195122,0.043478260869565216,0.047619047619047616,0.07758620689655173,0.06808510638297872,0.07627118644067797,0.07207207207207207,0.0514018691588785,0.030612244897959183,0.06349206349206349,0.06701030927835051,0.0797872340425532,0.06936416184971098,0.0872093023255814,0.0625,0.07142857142857142,0.08125,0.07428571428571429,0.054945054945054944,0.09836065573770493,0.05113636363636364,0.07453416149068323,0.053892215568862284,0.05555555555555555,0.03816793893129771,0.02307692307692308,0.03816793893129771,0.022556390977443608,0.05594405594405594,0.016666666666666666,0.02654867256637168,0.0576923076923077,0.04301075268817205,0.08791208791208792,0.03296703296703297,0.06329113924050632,0.03225806451612903,0.015384615384615384,0.054054054054054064,0.023809523809523808,0.09302325581395347,0.12903225806451613,0.11578947368421053,0.13333333333333333,0.07142857142857142,0.12,0.16923076923076924,0.027777777777777776,0.07042253521126761,0.09210526315789473,0.0673076923076923,0.05309734513274336,0.05504587155963303,0.08181818181818183,0.1153846153846154,0.08181818181818183,0.07,0.0392156862745098,0.12244897959183673,0.07291666666666667,0.08888888888888889,0.0851063829787234,0.10784313725490197,0.10679611650485436,0.10434782608695653,0.16806722689075632,0.15454545454545454,0.16494845360824742,0.10465116279069768,0.15217391304347827,0.13333333333333333,0.10989010989010987,0.06666666666666668,0.1176470588235294,0.11827956989247312,0.13131313131313133,0.13725490196078433,0.2035398230088496,0.17117117117117114,0.1651376146788991,0.10526315789473684,0.11965811965811965,0.2066115702479339,0.07692307692307693,0.06818181818181818,0.125,0.07207207207207207,0.1129032258064516,0.15333333333333332,0.1761006289308176,0.18064516129032254,0.14685314685314685,0.08633093525179858,0.13513513513513514
Bay Ridge,Brooklyn,neighborhood,,,,,,0.0,,,,0.5833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1176470588235294,,,,,0.25,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,0.2,,0.0,0.1111111111111111,,,,,,,0.2,,0.0625,0.05882352941176471,,,0.1111111111111111,,,,,0.12121212121212123,0.08333333333333333,0.13513513513513514,0.19047619047619047,0.10638297872340426,0.07317073170731707,0.04444444444444445,0.15555555555555556
Baychester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayside,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1111111111111111,0.03225806451612903,,,0.0,,0.0,0.0,,,0.0,,,,,0.16129032258064516,0.0,0.15,,,,,,,,,,,,,0.0,,,,,,0.08333333333333333,0.15384615384615385,0.0,,0.06666666666666668,,,,,,,,,,,0.17647058823529413
Bedford Park,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
