Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
All Downtown,Manhattan,submarket,270.0,262.0,241.5,240.5,241.0,243.0,259.0,255.0,259.0,250.0,252.0,258.0,256.0,251.0,221.0,242.0,259.0,270.5,264.5,281.0,278.0,255.5,244.0,258.0,254.5,211.0,188.0,192.5,181.5,183.0,196.5,198.0,195.5,197.0,206.0,205.0,197.0,157.0,117.0,91.0,94.0,111.0,118.0,132.0,151.0,138.0,134.5,152.0,144.5,133.0,118.0,108.5,118.0,125.5,126.0,137.0,150.0,161.5,189.0,195.0,192.0,180.5,168.0,153.5,151.0,171.0,181.0,215.0,206.5,202.5,227.0,243.5,236.0,226.0,215.0,207.0,202.0,216.0,231.5,243.0,229.0,225.0,233.5,251.5,241.0,222.0,200.0,194.0,191.5,197.0,199.0,202.0,194.0,192.5,194.0,204.5,184.0,173.0,166.5,125.0,107.0,113.0,114.0,124.0,98.5
All Midtown,Manhattan,submarket,402.5,372.0,397.0,380.0,364.0,366.5,372.0,385.0,353.0,332.0,327.0,355.0,350.5,320.0,283.0,265.5,265.0,280.0,293.0,279.0,264.0,257.5,265.0,270.5,249.0,235.0,199.0,187.0,167.0,168.0,196.5,203.0,197.0,192.0,188.0,195.5,162.0,138.0,114.0,95.0,91.0,91.0,91.0,101.0,104.0,97.0,106.5,130.0,127.0,106.5,96.0,89.0,101.0,117.0,125.0,146.5,138.5,137.5,150.0,162.5,152.5,141.0,151.5,124.0,128.0,138.0,166.0,173.5,162.5,165.0,173.5,189.0,206.0,178.5,166.0,180.5,185.0,204.5,208.0,223.0,213.5,206.5,207.0,217.5,219.0,212.5,200.0,197.0,192.0,189.5,189.0,189.0,184.0,175.0,184.0,189.0,181.5,169.0,147.0,141.0,126.0,126.0,117.0,115.0,115.0
All Upper East Side,Manhattan,submarket,307.0,288.0,224.0,222.5,230.0,247.0,265.0,270.0,257.0,258.5,260.5,274.0,265.0,258.5,232.0,237.0,248.5,258.0,282.0,284.0,282.0,278.0,268.0,269.0,251.0,224.0,209.0,210.0,215.0,209.0,217.5,217.0,193.0,194.0,187.5,195.0,163.5,153.0,133.0,110.0,111.0,110.5,123.0,116.0,133.0,123.0,123.0,137.0,138.5,138.0,129.0,101.0,109.0,126.0,159.0,167.5,165.0,153.0,170.0,182.0,191.0,172.0,129.0,104.0,110.0,128.5,140.0,158.5,136.0,127.0,152.0,169.0,167.0,143.0,136.5,136.0,149.5,152.5,190.0,214.0,206.0,199.0,213.5,233.0,208.0,200.5,177.5,168.0,160.0,162.5,174.0,195.0,190.0,193.5,198.5,213.5,202.0,160.5,143.0,140.5,128.5,135.5,138.0,128.0,119.0
All Upper Manhattan,Manhattan,submarket,346.0,350.0,342.0,338.0,366.0,376.0,386.0,381.0,367.0,342.5,339.0,362.0,364.0,346.0,331.0,340.5,362.0,342.0,349.5,345.0,330.0,319.0,326.0,327.5,303.0,297.0,281.0,263.0,280.0,302.5,299.0,277.0,242.0,237.0,237.0,248.0,237.0,230.0,172.0,162.0,160.0,149.0,133.0,109.5,167.5,143.0,152.5,167.5,138.5,139.0,97.0,95.0,95.5,130.0,134.0,142.5,135.5,135.0,145.0,152.0,145.0,111.0,81.0,77.5,83.0,82.0,84.0,104.5,109.0,113.0,123.5,154.0,139.0,140.0,137.0,125.0,109.0,133.0,168.0,168.0,154.0,173.0,188.0,191.0,192.0,168.0,154.0,167.5,155.0,150.0,163.5,177.5,159.0,147.0,140.0,152.0,139.5,156.0,165.0,158.0,139.0,139.0,155.5,164.0,169.0
All Upper West Side,Manhattan,submarket,205.0,210.5,192.0,172.5,191.0,197.5,215.0,204.0,194.0,191.0,205.0,252.0,229.5,203.0,188.0,199.0,208.5,220.0,284.0,308.0,288.0,251.0,259.0,286.0,279.0,209.0,182.0,183.5,183.0,197.0,187.0,190.0,188.0,170.0,170.0,150.0,143.0,99.0,84.5,70.0,69.0,76.5,96.0,100.0,91.5,79.0,99.0,114.0,110.5,99.0,77.5,78.0,82.0,85.0,99.0,133.5,96.0,96.5,117.0,126.0,107.5,97.5,98.5,82.0,85.0,98.0,117.0,157.0,160.0,165.0,184.0,207.0,201.0,181.0,147.0,156.0,181.0,178.0,212.0,239.5,203.0,203.0,231.0,249.0,231.0,224.0,198.0,190.0,175.0,173.0,178.0,194.0,196.0,175.0,157.0,165.0,145.5,135.0,120.0,107.0,119.5,119.0,112.0,116.0,117.0
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,271.0,271.0,271.0,271.0,271.0,271.0,271.0,,,,439.0,451.0,439.0,464.0,464.0,368.0,385.5,342.0,336.0,300.0,227.0,354.0,366.0,400.0,400.0,403.0,249.5,270.5,255.0,343.0,255.0,244.0,216.0,95.0,105.0,110.0,135.0,151.5,220.5,,154.5,81.0,134.5,149.0,131.0,129.5,129.5,,,,205.0,108.0,96.0,108.0,141.0,184.0,184.0,161.0,253.0,253.0,179.0,179.0,87.0,85.0,71.0,74.5,81.0,74.0,49.0,56.5,67.5,73.0,83.0,75.0,54.5,55.0,63.0,70.0,84.5,54.0,89.5,74.5,66.0,101.0,119.5,64.0,44.0,57.0,86.0,70.0,72.0,78.5,83.0,90.5,105.0,120.0,102.0,60.0,60.0,69.0,76.0,82.5,93.0,55.0,42.5
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery Park City,Manhattan,neighborhood,445.0,431.0,417.0,397.0,361.0,382.0,339.5,208.0,265.0,316.0,319.0,360.0,357.0,340.0,359.0,365.5,401.0,408.0,428.0,443.0,462.0,444.0,452.5,439.5,403.0,368.5,378.0,329.5,278.0,228.0,214.0,218.0,227.5,227.0,228.0,246.0,246.0,164.0,142.0,106.5,95.0,89.0,79.0,81.0,90.0,106.0,85.0,107.5,93.0,84.5,77.0,75.0,97.0,101.5,100.0,95.5,96.5,140.0,123.0,90.5,90.5,55.5,57.0,66.5,85.5,88.5,97.0,110.0,110.0,111.0,112.0,137.0,169.0,150.5,125.0,112.0,118.0,140.0,143.0,173.0,146.0,109.0,109.0,180.0,169.5,128.0,140.0,140.0,135.0,129.0,131.0,124.5,114.0,112.0,109.0,137.0,108.0,102.0,118.0,114.5,102.0,114.0,156.0,156.0,94.5
