Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
All Downtown,Manhattan,submarket,749000.0,749000.0,700000.0,699000.0,690000.0,679000.0,650000.0,649000.0,650000.0,650000.0,649000.0,650000.0,650000.0,645000.0,649000.0,645000.0,649000.0,650000.0,645000.0,629000.0,649000.0,655000.0,672500.0,669500.0,670000.0,675000.0,675000.0,679000.0,679000.0,667000.0,672500.0,675000.0,699000.0,739000.0,725000.0,702499.5,699000.0,695000.0,750000.0,767000.0,769000.0,760000.0,735000.0,699000.0,700000.0,750000.0,775000.0,776500.0,775000.0,759000.0,749000.0,757000.0,789000.0,799000.0,795000.0,785000.0,799000.0,845000.0,879000.0,899500.0,912500.0,925000.0,975000.0,977500.0,999000.0,1099000.0,1100000.0,1075000.0,1185000.0,1195000.0,1150000.0,1250000.0,1172000.0,1149500.0,1185000.0,1250000.0,1200000.0,1175000.0,1100000.0,1100000.0,1147000.0,1100000.0,1100000.0,1100000.0,1080000.0,1125000.0,1150000.0,1195000.0,1195000.0,1150000.0,1050000.0,1085000.0,1095000.0,1100000.0,1095000.0,1100000.0,1100000.0,1095000.0,999000.0,1100000.0,1172500.0,1099000.0,995000.0,999000.0,1049250.0
All Midtown,Manhattan,submarket,595000.0,595000.0,595000.0,599000.0,598000.0,599000.0,575000.0,569000.0,557000.0,550000.0,549000.0,549000.0,549000.0,550000.0,575000.0,575000.0,575000.0,575000.0,575000.0,565000.0,589000.0,599000.0,589000.0,575000.0,579000.0,575000.0,585000.0,595000.0,592500.0,595000.0,584500.0,580000.0,599000.0,615000.0,609500.0,622250.0,615000.0,619000.0,625000.0,625000.0,625000.0,608000.0,599000.0,609000.0,599000.0,599999.5,600000.0,619500.0,625000.0,649000.0,649000.0,649750.0,649000.0,649250.0,649000.0,662500.0,680000.0,685000.0,679000.0,680000.0,687000.0,725000.0,696500.0,699000.0,750000.0,750000.0,759000.0,762000.0,750000.0,775000.0,775000.0,750000.0,789500.0,795000.0,795000.0,799000.0,799000.0,825000.0,825000.0,785000.0,767000.0,775000.0,785000.0,799000.0,805000.0,800000.0,799000.0,795000.0,795000.0,799000.0,799500.0,799000.0,799000.0,795000.0,785000.0,795000.0,785000.0,795000.0,775000.0,750000.0,750000.0,750000.0,745000.0,749000.0,747000.0
All Upper East Side,Manhattan,submarket,900500.0,895000.0,895000.0,895000.0,869500.0,859000.0,850000.0,799000.0,799000.0,825000.0,835000.0,850000.0,799000.0,800000.0,819000.0,795000.0,815000.0,799000.0,749000.0,749000.0,775000.0,799000.0,799000.0,775000.0,775000.0,799000.0,850000.0,850000.0,835950.0,844500.0,849500.0,800000.0,836900.0,879000.0,899000.0,925000.0,899000.0,895000.0,895000.0,935000.0,950000.0,925000.0,875000.0,842500.0,950000.0,995000.0,995000.0,999000.0,975000.0,1100000.0,999000.0,1095000.0,1100000.0,1200000.0,1149500.0,1082500.0,1075000.0,1150000.0,1250000.0,1295000.0,1283000.0,1295000.0,1300000.0,1262500.0,1375000.0,1395000.0,1395000.0,1375000.0,1495000.0,1562500.0,1595000.0,1675000.0,1590000.0,1595000.0,1500000.0,1550000.0,1535000.0,1535000.0,1517500.0,1495000.0,1500000.0,1495000.0,1462500.0,1495000.0,1500000.0,1542500.0,1595000.0,1625000.0,1649000.0,1607500.0,1560000.0,1535000.0,1495000.0,1547500.0,1585000.0,1600000.0,1565000.0,1500000.0,1500000.0,1500000.0,1495000.0,1399000.0,1349000.0,1350000.0,1350000.0
All Upper Manhattan,Manhattan,submarket,349000.0,349000.0,349500.0,342750.0,339000.0,344000.0,349000.0,349000.0,344000.0,341000.0,340000.0,340000.0,341000.0,340000.0,349750.0,355000.0,350000.0,349000.0,339000.0,339000.0,330000.0,340000.0,335000.0,334250.0,330000.0,325000.0,319000.0,325000.0,319000.0,310000.0,310000.0,309000.0,309000.0,299000.0,299000.0,299000.0,307000.0,309000.0,309000.0,319000.0,319000.0,329000.0,320000.0,310000.0,299000.0,309950.0,310000.0,329900.0,340000.0,359000.0,365000.0,365000.0,359000.0,350000.0,365000.0,359500.0,365500.0,390000.0,375000.0,375000.0,360000.0,349000.0,375000.0,399000.0,399000.0,399000.0,400000.0,399000.0,400000.0,413000.0,400000.0,400000.0,399000.0,417000.0,479000.0,499000.0,499450.0,499000.0,472500.0,475000.0,499000.0,487000.0,489499.5,467000.0,449500.0,494499.5,499000.0,485000.0,465000.0,499999.0,492000.0,460000.0,499000.0,499000.0,475000.0,460000.0,450000.0,469999.5,499000.0,529000.0,542000.0,533500.0,504999.5,450000.0,472000.0
All Upper West Side,Manhattan,submarket,729023.0,769500.0,787000.0,750000.0,760000.0,719000.0,725000.0,699000.0,725000.0,739000.0,732500.0,735000.0,745000.0,739000.0,739000.0,749000.0,749000.0,749000.0,724500.0,699000.0,699000.0,699000.0,699000.0,698500.0,699000.0,725000.0,749000.0,729500.0,742000.0,719000.0,698000.0,689000.0,699000.0,740000.0,740000.0,725000.0,762000.0,749500.0,775000.0,799000.0,799500.0,799000.0,725000.0,699000.0,720000.0,749000.0,775000.0,750000.0,736000.0,799000.0,799000.0,850000.0,849500.0,825000.0,800000.0,799000.0,849500.0,899000.0,799999.0,849500.0,890000.0,950000.0,899000.0,925000.0,995000.0,999000.0,899000.0,949000.0,1050000.0,1050000.0,1050000.0,1137500.0,1150000.0,1150000.0,1150000.0,1250000.0,1264500.0,1196500.0,1100000.0,1095000.0,1199000.0,1199500.0,1275000.0,1199500.0,1250000.0,1399500.0,1395000.0,1499000.0,1425000.0,1394000.0,1350000.0,1292500.0,1299000.0,1375000.0,1387500.0,1295000.0,1250000.0,1195000.0,1150000.0,1239000.0,1291000.0,1195000.0,1190000.0,1195000.0,1195000.0
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,,,,,285000.0,330000.0,330000.0,325000.0,325000.0,297000.0,312000.0,299000.0,297000.0,295000.0,295000.0,310000.0,299000.0,339000.0,334000.0,325000.0,322500.0,299000.0,289000.0,285000.0,278000.0,281000.0,285000.0,285000.0,281000.0,275000.0,275000.0,305000.0,334000.0,334000.0,334000.0,340000.0,340000.0,310000.0,342000.0,319000.0,337250.0,339250.0,354250.0,359000.0,337250.0,325000.0,347000.0,359000.0,354500.0,359000.0,345000.0,317500.0,339000.0,350000.0,359000.0,359000.0,375000.0,359000.0,384500.0,390000.0,355000.0,355000.0,375000.0,339000.0,309000.0,345000.0,345000.0,348000.0,359000.0,349000.0,375000.0,395000.0,335000.0,365000.0,382000.0,359000.0,359000.0,359999.0,350000.0,359000.0,374000.0,379000.0,440000.0,487000.0,479000.0,480000.0,477000.0,469000.0,449000.0,449000.0,449000.0,449000.0,399000.0,407000.0,399000.0,385000.0,339000.0,348000.0,439000.0,459000.0,452500.0,462500.0,449000.0,449000.0,468000.0
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325000.0,325000.0,,,,,,,319000.0,359000.0,307000.0,287000.0
Battery Park City,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bay Ridge,Brooklyn,neighborhood,272000.0,272000.0,274900.0,274450.0,269000.0,268000.0,271500.0,284000.0,325000.0,317000.0,285000.0,280000.0,282500.0,249000.0,249000.0,261249.5,254499.5,249000.0,254499.5,249000.0,246500.0,242000.0,235000.0,236999.5,248000.0,229000.0,244000.0,240000.0,248000.0,249000.0,253450.0,249000.0,253950.0,249000.0,255000.0,264500.0,249000.0,249000.0,249000.0,269000.0,249000.0,274000.0,274000.0,281500.0,269000.0,266000.0,273000.0,273000.0,279000.0,249000.0,249000.0,249000.0,245000.0,245000.0,245000.0,245000.0,245000.0,245000.0,245000.0,242500.0,235000.0,242000.0,247000.0,249000.0,249500.0,252500.0,249499.5,269000.0,264500.0,264000.0,309000.0,312000.0,290000.0,294500.0,270950.0,299000.0,299000.0,305000.0,314500.0,349499.5,377500.0,350000.0,350000.0,349500.0,349500.0,360000.0,367500.0,385000.0,385000.0,399000.0,379500.0,385000.0,399000.0,399000.0,410000.0,449500.0,435000.0,439500.0,449000.0,415000.0,389000.0,369000.0,369900.0,379000.0,375000.0
Baychester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
