Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
All Downtown,Manhattan,submarket,651730.0,743750.0,763250.0,705000.0,640000.0,600000.0,775000.0,687500.0,630000.0,653097.5,635000.0,600000.0,740000.0,637500.0,642500.0,646840.0,640000.0,635000.0,715000.0,735000.0,651000.0,637500.0,611000.0,547500.0,762349.0,706250.0,690000.0,657500.0,680000.0,675000.0,670000.0,642500.0,605000.0,665500.0,624500.0,676250.0,610000.0,647000.0,680000.0,675000.0,645000.0,700000.0,711250.0,675000.0,675000.0,695000.0,708086.5,679750.0,757500.0,732233.0,652500.0,637500.0,739500.0,780000.0,750000.0,717500.0,737500.0,722500.0,725000.0,740000.0,812500.0,757184.0,707500.0,795000.0,750000.0,805000.0,810000.0,775000.0,825000.0,850000.0,769000.0,827000.0,830000.0,845000.0,546676.0,816250.0,795000.0,785000.0,860000.0,867000.0,785000.0,800000.0,825500.0,835000.0,772500.0,782500.0,830000.0,782000.0,876000.0,900000.0,935000.0,930612.5,857500.0,825737.5,842500.0,850000.0,932500.0,850000.0,906000.0,864500.0,834982.5,825000.0,851000.0,955000.0,875000.0
All Midtown,Manhattan,submarket,561000.0,487500.0,470000.0,550000.0,540000.0,468500.0,570000.0,575000.0,540000.0,545000.0,570000.0,575000.0,530000.0,530000.0,495000.0,500000.0,527500.0,510000.0,496500.0,532000.0,557250.0,465000.0,425000.0,445000.0,504500.0,486150.0,537500.0,540000.0,510000.0,506250.0,600000.0,527000.0,521250.0,520000.0,485000.0,550000.0,450000.0,540000.0,535000.0,542500.0,586265.0,546000.0,600000.0,574000.0,600000.0,565000.0,577250.0,588500.0,515000.0,580000.0,528000.0,545000.0,587500.0,600000.0,570000.0,556987.0,530000.0,575000.0,570000.0,586000.0,580000.0,565000.0,618500.0,613250.0,586000.0,620000.0,580000.0,700000.0,600000.0,610000.0,612500.0,599000.0,564419.5,613475.0,655000.0,599000.0,660931.0,577500.0,635000.0,640000.0,647500.0,626500.0,585000.0,599500.0,649500.0,675609.0,585000.0,670000.0,665000.0,662922.0,751000.0,660000.0,622500.0,605000.0,725000.0,675000.0,661862.0,740000.0,685000.0,650794.0,630000.0,615000.0,699500.0,687318.0,650000.0
All Upper East Side,Manhattan,submarket,839710.5,717500.0,865000.0,701250.0,972500.0,680000.0,942500.0,900000.0,725000.0,710000.0,690000.0,788500.0,700000.0,707500.0,889500.0,820000.0,717500.0,930000.0,857500.0,850000.0,745000.0,740000.0,685000.0,725000.0,900000.0,667500.0,884500.0,789526.0,686250.0,962500.0,787896.0,840000.0,702500.0,715000.0,750000.0,900000.0,680000.0,730000.0,675000.0,750000.0,740000.0,767500.0,847500.0,760000.0,699000.0,688750.0,805000.0,745000.0,837500.0,830000.0,695000.0,756250.0,780000.0,850000.0,850000.0,775000.0,850000.0,821250.0,783000.0,812500.0,807750.0,792500.0,950000.0,825000.0,800000.0,974500.0,940000.0,875000.0,820000.0,800000.0,800000.0,833500.0,850250.0,825000.0,952000.0,895500.0,988750.0,875000.0,881805.5,780000.0,875000.0,806250.0,885000.0,836250.0,930000.0,667500.0,765000.0,795750.0,890000.0,1213000.0,908000.0,875000.0,935000.0,835000.0,770000.0,977500.0,850119.0,902612.5,993000.0,825000.0,937500.0,865000.0,956250.0,915000.0,999000.0
All Upper Manhattan,Manhattan,submarket,340000.0,338035.0,337000.0,324480.0,306077.0,350000.0,312072.5,335000.0,311500.0,375000.0,280000.0,282500.0,320000.0,365040.0,352500.0,253000.0,275000.0,252000.0,322816.0,358500.0,395067.5,375000.0,349000.0,158500.0,305000.0,323331.0,360000.0,392500.0,385000.0,382500.0,385000.0,350000.0,325000.0,302500.0,320000.0,360000.0,274000.0,322777.5,309000.0,407784.5,366780.0,385000.0,377668.0,310000.0,335000.0,370000.0,335000.0,288750.0,312500.0,270750.0,375000.0,353000.0,300000.0,400000.0,335000.0,339700.0,375000.0,370000.0,373876.0,334000.0,430000.0,410000.0,405000.0,368530.0,355000.0,343000.0,455000.0,385500.0,445000.0,430000.0,365000.0,395000.0,435000.0,479000.0,367500.0,369000.0,400000.0,517500.0,430000.0,536000.0,457500.0,439888.0,495750.0,465000.0,499000.0,447500.0,440000.0,426000.0,478897.0,450000.0,502500.0,500000.0,515000.0,448000.0,550000.0,515000.0,499395.0,463000.0,425000.0,450000.0,465250.0,560000.0,550000.0,550000.0,585000.0
All Upper West Side,Manhattan,submarket,755250.0,732500.0,705000.0,635000.0,767500.0,675000.0,925000.0,830000.0,649000.0,757450.0,834000.0,853655.0,695000.0,665000.0,750000.0,785000.0,702500.0,808000.0,686000.0,865512.0,789100.0,797500.0,765000.0,600000.0,602000.0,843750.0,685000.0,630000.0,675000.0,779750.0,785000.0,770000.0,777500.0,755000.0,705000.0,891883.0,640000.0,687000.0,800000.0,652500.0,736000.0,835000.0,840000.0,837500.0,850000.0,752352.5,722500.0,700000.0,784571.5,785000.0,760000.0,750000.0,825000.0,895000.0,851000.0,795000.0,807500.0,731000.0,837667.0,810000.0,860000.0,862500.0,675000.0,815000.0,915000.0,985000.0,798000.0,850000.0,795000.0,787500.0,800000.0,807390.0,907000.0,760000.0,895000.0,825500.0,930000.0,920000.0,910000.0,1002500.0,859500.0,865000.0,860000.0,810000.0,875000.0,859000.0,849000.0,950000.0,1100000.0,999000.0,980000.0,950500.0,937500.0,952500.0,1165000.0,995000.0,792500.0,893327.5,1095000.0,899000.0,1115000.0,921000.0,999000.0,975000.0,921250.0
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,,,,,204000.0,204000.0,,,170400.0,204000.0,168000.0,,,,182250.0,211100.0,195750.0,179250.0,,,,,278500.0,,,195750.0,,230121.0,191785.0,,,,208230.0,194392.5,232860.0,,235142.0,,,,200000.0,,258722.0,,258722.0,,240000.0,,,,,234381.0,278850.0,,305000.0,275000.0,234381.0,281717.0,270132.0,301750.0,,266329.0,,392925.0,339858.0,301665.0,280664.5,350000.0,330000.0,,290553.5,,,,353347.0,,275400.0,,,315000.0,,,,330000.0,,448185.0,,,,390970.5,,,287630.0,318434.5,330000.0,365000.0,340869.5,349000.0,299000.0,,349239.0,,308925.0,,
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery Park City,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bay Ridge,Brooklyn,neighborhood,247500.0,244000.0,215000.0,240000.0,215000.0,235000.0,226000.0,285000.0,,247500.0,212262.0,230000.0,268500.0,250000.0,220000.0,253000.0,216000.0,239869.0,215000.0,231500.0,253750.0,215000.0,222000.0,215000.0,200000.0,,250000.0,272500.0,265000.0,222000.0,,226712.0,207500.0,218500.0,,224250.0,220000.0,240912.0,201786.0,211000.0,206500.0,260000.0,248000.0,233638.0,250000.0,235000.0,276500.0,228045.5,215000.0,213000.0,276000.0,245000.0,227500.0,279500.0,228500.0,272000.0,235000.0,275000.0,222000.0,237500.0,200000.0,231000.0,237000.0,232500.0,241000.0,237000.0,250000.0,271000.0,300000.0,250000.0,243500.0,286000.0,247500.0,270510.0,255000.0,290000.0,382000.0,253000.0,269900.0,298500.0,315000.0,300000.0,326613.0,295000.0,300000.0,330000.0,285000.0,320000.0,350000.0,325000.0,390000.0,329000.0,335000.0,393500.0,345000.0,326397.5,382000.0,345000.0,370861.0,317076.0,333073.0,405000.0,480000.0,348000.0,400000.0
Baychester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
