Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
All Downtown,Manhattan,submarket,0.932642487046632,0.9178683385579938,0.905096123561852,0.9352517985611509,0.946972340425532,0.9379559177004728,0.9398131158681616,0.945945945945946,0.9425824175824176,0.9410273538530052,0.9411764705882352,0.946153846153846,0.9354265195305658,0.9238462489185516,0.927884906612822,0.9459042735042736,0.9306509298998568,0.944206008583691,0.95431675242996,0.9445401480637814,0.9520000000000001,0.9527165624001096,0.9385474860335196,0.9379844961240309,0.935064935064935,0.9441309763198176,0.9364946924396236,0.9409252503757748,0.9519230769230768,0.953846153846154,0.9636363636363636,0.9677594168040028,0.9583333333333334,0.9705882352941176,0.9687987287083478,0.9617311546169262,0.9726027397260274,0.9652166852394206,0.9692307692307692,0.9778825825337454,0.9777777777777776,0.9771309771309772,0.9891922639362912,1.0,1.0,1.0,0.9825830383321672,0.985872652948105,0.989586890434348,0.9762202753441802,0.9743589743589745,0.9908105826062484,1.0,1.0,0.9866666666666668,1.0,1.0,0.994277539341917,0.9824120603015076,0.985824534211631,0.9902912621359224,0.9789516069990484,0.979961744983592,0.9869110367892976,1.0,1.0,1.0,1.0,1.0077220077220077,1.0,0.9842519685039369,0.9854568138772809,1.0,0.975855855855856,0.98,0.9827586206896552,0.9895833333333334,0.9896343434343434,0.9844559585492229,0.9808774325955152,0.9852001358573654,0.979591836734694,0.9736842105263158,0.9648011648011648,0.9787074983596328,0.9734513274336284,0.9770642201834864,0.9670212765957448,0.9842105263157894,0.9950009950009949,0.9818181818181818,0.9766243516243516,0.9905248942905848,0.9761809710410616,0.9778764207515452,0.9717868338557992,0.9732142857142856,0.966447779862414,0.9568930036959916,0.9555991117556422,0.9721552762954038,0.9728501228501228,0.9655172413793104,0.9633911368015414,0.9814814814814816
All Midtown,Manhattan,submarket,0.9011453044921922,0.916989247311828,0.9115555555555556,0.9026605975770636,0.9230177059276368,0.9157622773216968,0.9223300970873788,0.919938414164742,0.9197913147918778,0.9,0.9099357891179451,0.9356104581434396,0.911349444489498,0.904,0.9059475069107352,0.9297517938062804,0.9206049149338374,0.9087875417130143,0.9270880131017584,0.9196652157106604,0.9182555238774056,0.908846153846154,0.9076991565135896,0.9210526315789472,0.9168241965973536,0.9087719298245616,0.9244565217391304,0.915313192515919,0.9367224971450324,0.9259815087766314,0.9350574712643678,0.9352517985611509,0.9513513513513514,0.934375,0.9422443376801648,0.9420868686868686,0.9464,0.9465478841870824,0.9587195484254308,0.9475260340060009,0.9487179487179488,0.9626001195457262,0.965689760882894,0.9665738161559888,0.9640102827763496,0.9637442718229574,0.966990291262136,0.9677442304355369,0.9676409185803758,0.969509215158418,0.966303425159432,0.9573033707865168,0.973295319553338,0.9733333333333334,0.9774513127079996,0.97342214295004,0.9797327002549898,0.9735901682210408,0.9657142857142856,0.9698996655518396,0.9732142857142856,0.9698996655518396,0.9613418279062452,0.9736842105263158,0.977859477124183,0.9806252102994664,0.9869497357979652,0.9942519775950572,0.9861648745519712,0.9705014749262536,0.9784064395911448,0.9762532981530344,0.9789157813824232,0.9712619946515652,0.9643644921371524,0.965034965034965,0.9791666666666666,0.9823693164243736,0.9758378325794056,0.9850212601468884,0.976470588235294,0.9827892384644982,0.9724437217319564,0.9671467207887344,0.9612640801001252,0.97039791384972,0.9624424033251688,0.9757207890743552,0.9731794667727816,0.975,0.9606506099468252,0.9696969696969696,0.9764242704956,0.9761187344761596,0.9638854638694638,0.9705472807167722,0.9818181818181818,0.9717791411042944,0.963302752293578,0.9666203059805284,0.9638315179756352,0.9656049271350141,0.965952380952381,0.9599528857479388,0.9625
All Upper East Side,Manhattan,submarket,0.8896057347670251,0.9022566800498408,0.9248554913294798,0.9220779220779219,0.9205020920502092,0.9220647773279352,0.9385474860335196,0.9290071321321322,0.9285714285714286,0.9118236472945892,0.9064748201438848,0.9230769230769232,0.9197570850202428,0.9081818181818182,0.9105263157894736,0.915593705293276,0.928406466512702,0.919047619047619,0.9186046511627908,0.9181509473851114,0.9284435192131366,0.9190556492411468,0.9122537964215908,0.9086757990867579,0.8997545582047686,0.9120011911852292,0.9254849089096348,0.923694779116466,0.9306062449310624,0.9331476323119776,0.9312047766749381,0.9240946063716472,0.9285714285714286,0.9317756126482212,0.936480351283712,0.9350172036284016,0.9442905291055976,0.9457037797684072,0.9626415401427608,0.946541971830986,0.9578947368421052,0.9693979933110368,0.9722222222222222,0.9719438877755512,0.9659800971997224,0.9834313725490196,0.9861325115562404,0.97196261682243,0.9739130434782608,0.9653673163418292,0.9648090815273478,0.9705200501253132,0.97545547482566,0.9755,0.9777777777777776,0.9878048780487804,0.980980980980981,0.9784172661870504,0.9732121502033008,0.9870931386861314,0.9710454129838464,0.975438596491228,0.9755893430046032,0.9713876967095852,0.9824821246169559,1.0,0.9871244635193132,0.9893334279580576,0.9841630094043888,0.9849749582637728,0.9787234042553192,0.9712985042271841,1.0,0.9703703703703704,0.9690721649484536,0.975195209774649,0.9766233766233766,0.9795424836601307,0.9807965247380288,0.9774726368159204,0.9820282413350451,0.967741935483871,0.9681229362458724,0.9716167800068004,0.9618441971383148,0.970970970970971,0.9691912708600772,0.9571187710753092,0.9749303621169916,0.9705181818181818,0.981132075471698,0.976627712854758,0.9728183118741058,0.9744522144522144,0.959624060150376,0.9666666666666668,0.9646446078431372,0.9670490234199742,0.9484848484848484,0.9480519480519479,0.95679451145937,0.9614457831325302,0.962077641984184,0.9648241206030149,0.9511189686408709
All Upper Manhattan,Manhattan,submarket,0.9304707933740192,0.9499249123977974,0.9423704551961064,0.9267860996916752,0.9275862068965516,0.9423383424408014,0.8998808104886771,0.9233536138396129,0.9023529411764706,0.8891458206223306,0.9310344827586208,0.9345437616387338,0.9242424242424242,0.9373287671232876,0.8826110868353247,0.8991414520296741,0.8879428964568283,0.9147537993920972,0.9413043478260871,0.9583333333333334,0.9793760101187547,1.0,0.9757070690503526,0.9481520969002344,0.9380281690140844,0.9268272697476236,0.9472862840298248,0.9514637904468412,0.9195402298850576,0.9523809523809524,0.9572104677060134,0.9666988899629988,0.9355675675675676,0.941421568627451,0.9554111680977352,0.9317212496029595,0.9466571834992888,0.948509485094851,0.9373493975903614,0.9420046868748452,0.9450018580453364,0.9719161912256542,0.976,0.9776371807779116,0.9764044520533609,0.9855239261462242,0.9886363636363636,0.9816174930115348,0.9866666666666668,0.9928571428571428,0.9734513274336284,0.9788418708240536,0.983921952646337,1.0,0.9869375907111756,0.9935483870967742,0.9783473782771536,0.9835616438356164,0.988095238095238,0.9739130434782608,1.0,0.9761904761904762,0.9888212644392,1.0,0.9809581267321504,1.0,1.002008032128514,0.9942857142857142,1.003454231433506,1.0,1.0,1.0,1.0055555555555555,1.0,1.0,0.9888888888888888,1.0,1.005,0.994269340974212,1.0,0.9928943533697632,1.0,1.0,0.9927648234161854,1.0,0.9926454741379309,0.9722539538058936,0.9774684504143424,0.970632234647832,1.0,1.0,1.0,0.9906759906759908,0.98,0.9945799457994581,1.0,0.9874021909233176,0.9774294316189088,0.98,0.9829059829059827,0.9813852813852814,0.9834338803088802,0.9819639278557114,0.9765886287625418,0.9886363636363636
All Upper West Side,Manhattan,submarket,0.9406307977736548,0.9408263305322128,0.949685534591195,0.9526596530677802,0.9558031210423508,0.9598853868194842,0.9386733416770964,0.9591002044989776,0.9507740686985972,0.9402951824004456,0.9534245672612248,0.9391771019677996,0.9470470470470472,0.9464997445068984,0.9305331179321488,0.954658717848088,0.9430379746835444,0.959933222036728,0.9585834333733494,0.955796192897862,0.9404,0.9378872990637696,0.9418322947264391,0.9416725128205128,0.93394777265745,0.9424521130329508,0.9392156862745098,0.9471766848816028,0.9382172550088592,0.946236559139785,0.9640287769784172,0.9579831932773109,0.9564029460679496,0.9664385364569624,0.9575757575757576,0.9549508729142656,0.9651669085631349,0.9687194525904204,0.9702941176470588,0.9679371596893688,0.9908883826879272,0.9882005899705014,0.9812108559498957,0.9882005899705014,0.9841661096256684,0.9875,0.9871244635193132,0.9749784296807592,0.9828947368421052,0.9882352941176472,0.9789516069990484,0.98,0.9897750511247444,1.0,0.9922779922779924,0.9906510851419033,1.0,0.9826589595375722,0.9869281045751634,0.9815789473684212,0.9871244635193132,0.9823269513991164,0.962608695652174,1.0,1.0,1.0,1.0,1.0034312523056896,0.9974968710888612,1.0,0.9988304093567252,1.0,1.0,0.9804465378278792,0.9808917197452228,0.9850993850993852,0.9796914499428612,1.0,1.0,0.9876685815152596,0.9948717948717948,0.9804628004278084,0.9870571827057184,0.9804090763822308,0.9835796387520526,0.9794988610478359,0.9705698152971349,0.9720158071499274,0.9647058823529412,0.9827586206896552,0.9863937729782946,0.98,0.9833080424886192,0.9710649440559441,0.966153846153846,0.9684259480085856,0.981651376146789,0.9784283513097072,0.9604166666666668,0.9597755395683454,0.9666666666666668,0.9666666666666668,0.9736842105263158,0.975,0.9561128526645768
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery Park City,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
