Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
All Downtown,Manhattan,submarket,7000000.0,6995000.0,7000000.0,6995000.0,7150000.0,7300000.0,6997500.0,6900000.0,6900000.0,6800000.0,6800000.0,6947500.0,7000000.0,7000000.0,7000000.0,6825000.0,6500000.0,6825000.0,6825000.0,6947500.0,7400000.0,7549999.0,7950000.0,8750000.0,8575000.0,7550000.0,7075000.0,6950000.0,6500000.0,6925000.0,6975000.0,6750000.0,6625000.0,6625000.0,7250000.0,7647500.0,6625000.0,7650000.0,7897500.0,8997000.0,9050000.0,9930000.0,9750000.0,8747500.0,8990000.0,8990000.0,8992500.0,8995000.0,8995000.0,9885000.0,9990000.0,9692500.0,9000000.0,9250000.0,8785000.0,8580000.0,8995000.0,9500000.0,10375000.0,10000000.0,9995000.0,9750000.0,9750000.0,10997500.0,11250000.0,11700000.0,11900000.0,11900000.0,11500000.0,11995000.0,11925000.0,10995000.0,10500000.0,10995000.0,11000000.0,10997500.0,10500000.0,10995000.0,10650000.0,10897500.0,10986350.0,10650000.0,10888850.0,11495000.0,10995000.0,11675000.0,11500000.0,10997500.0,11500000.0,11247500.0,11500000.0,10972500.0,10950000.0,10925000.0,10500000.0,10599000.0,10375000.0,10375000.0,10497500.0,11000000.0,11000000.0,10674500.0,10300000.0,9999999.0,9999998.0
All Midtown,Manhattan,submarket,4525000.0,4750000.0,4525000.0,4125000.0,4525000.0,4300000.0,4500000.0,4375000.0,4400000.0,4500000.0,4825000.0,4750000.0,5000000.0,5000000.0,4950000.0,4950000.0,4900000.0,4995000.0,4700000.0,4124500.0,4097000.0,3999000.0,3999000.0,3949500.0,4250000.0,4495000.0,4745000.0,4745000.0,4497500.0,4995000.0,4995000.0,4500000.0,4500000.0,4497500.0,4497500.0,4500000.0,5200000.0,5400000.0,5375000.0,5350000.0,5425000.0,5750000.0,6125000.0,6500000.0,6995000.0,6500000.0,6500000.0,6500000.0,6500000.0,6400000.0,6425000.0,6500000.0,6325000.0,6495000.0,6495000.0,6697500.0,6872500.0,7250000.0,7392500.0,7500000.0,7375000.0,6472500.0,6450000.0,6350000.0,6195000.0,6250000.0,6325000.0,6400000.0,6400000.0,6195000.0,6400000.0,7500000.0,7500000.0,7500000.0,6395000.0,7215000.0,7000000.0,6500000.0,6395000.0,6247500.0,6175000.0,6650000.0,7000000.0,7035000.0,7215000.0,7395000.0,7035000.0,7395000.0,7495000.0,7499000.0,7745000.0,8247500.0,7495000.0,7495000.0,6797500.0,6700000.0,6700000.0,6847500.0,7015000.0,6700000.0,6500000.0,6500000.0,6867500.0,6750000.0,6600000.0
All Upper East Side,Manhattan,submarket,9947500.0,9700000.0,9972500.0,9995000.0,10245000.0,9995000.0,10500000.0,9972500.0,10950000.0,11122500.0,11900000.0,12300000.0,12100000.0,10950000.0,11250000.0,13750000.0,11875000.0,11475000.0,11125000.0,10000000.0,9000000.0,9250000.0,10472500.0,13725000.0,14225000.0,13500000.0,13950000.0,14950000.0,14975000.0,14700000.0,13500000.0,13950000.0,14900000.0,13000000.0,13000000.0,13950000.0,13245000.0,13490000.0,13490000.0,12725000.0,12950000.0,11937500.0,12950000.0,13400000.0,13975000.0,14000000.0,15900000.0,14000000.0,13900000.0,13900000.0,13800000.0,15000000.0,13850000.0,12950000.0,12725000.0,13500000.0,13800000.0,13900000.0,13800000.0,13500000.0,12950000.0,13225000.0,13500000.0,14375000.0,14375000.0,15900000.0,16000000.0,16000000.0,15992500.0,16000000.0,15900000.0,14949999.5,14999999.0,16442500.0,15000000.0,13900000.0,13900000.0,15000000.0,16247500.0,16247500.0,16850000.0,16000000.0,16000000.0,16750000.0,16625000.0,16000000.0,16250000.0,16000000.0,15675000.0,16500000.0,16250000.0,15400000.0,15950000.0,15825000.0,15950000.0,16250000.0,16900000.0,16500000.0,16000000.0,15750000.0,14225000.0,14725000.0,14245000.0,14950000.0,13990000.0
All Upper Manhattan,Manhattan,submarket,1292500.0,1300000.0,1292500.0,1290000.0,1292500.0,1255000.0,1255000.0,1250000.0,1210000.0,1205000.0,1210000.0,1250000.0,1172500.0,1197500.0,1200000.0,1282500.0,1295000.0,1350000.0,1310000.0,1349500.0,1349000.0,1375000.0,1395000.0,1395000.0,1482500.0,1482500.0,1475000.0,1450000.0,1400000.0,1450000.0,1400000.0,1450000.0,1495000.0,1600000.0,1675000.0,1662500.0,1694500.0,1699499.5,1725000.0,1737500.0,1700000.0,1750000.0,1687000.0,1770000.0,1650000.0,1650000.0,1687000.0,1699000.0,1712500.0,1732500.0,1775000.0,1800000.0,1849500.0,1999999.0,1937500.0,1800000.0,2000000.0,2050000.0,2000000.0,2000000.0,2000000.0,2050000.0,2200000.0,2225000.0,2249999.5,2295000.0,2390000.0,2400000.0,2495000.0,2500000.0,2500000.0,2525000.0,2637500.0,2500000.0,2495000.0,2495000.0,2500000.0,2600000.0,2600000.0,2500000.0,2650000.0,2650000.0,2600000.0,2525000.0,2650000.0,2600000.0,2650000.0,2650000.0,2800000.0,2849000.0,2800000.0,2800000.0,2725000.0,2797500.0,2750000.0,2750000.0,2812500.0,2871500.0,2850000.0,2850000.0,2850000.0,2785000.0,2850000.0,2850000.0,2825000.0
All Upper West Side,Manhattan,submarket,4122500.0,3995000.0,3995000.0,3995000.0,4195000.0,4495000.0,4345000.0,4600000.0,4750000.0,4750000.0,4850000.0,4950000.0,4950000.0,4950000.0,4850000.0,4750000.0,4750000.0,4750000.0,4850000.0,4974500.0,4974500.0,4775000.0,5087000.0,5199500.0,4800000.0,4800000.0,4800000.0,5850000.0,5975000.0,6237500.0,5350000.0,5200000.0,5200000.0,5325000.0,5200000.0,5200000.0,5400000.0,7250000.0,7950000.0,7950000.0,8000000.0,7900000.0,7900000.0,7900000.0,7900000.0,7925000.0,8494999.5,9249999.5,8492500.0,8999999.0,8350000.0,7800000.0,7995000.0,8900000.0,11237500.0,11500000.0,11237500.0,11500000.0,11500000.0,9850000.0,9850000.0,9850000.0,9850000.0,8250000.0,11947500.0,10647500.0,9995000.0,9122500.0,9235000.0,8735000.0,8995000.0,9135000.0,7995000.0,8200000.0,8450000.0,8177500.0,8450000.0,8995000.0,8872500.0,8995000.0,8995000.0,8925000.0,8925000.0,8900000.0,8945000.0,8945000.0,8825000.0,8575000.0,8537500.0,8662500.0,8900000.0,8900000.0,8997500.0,8997500.0,8945000.0,8990000.0,8945000.0,8750000.0,8825000.0,8825000.0,8575000.0,8695000.0,8537500.0,8750000.0,8695000.0
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,900000.0,900000.0,879500.0,,,,,,,,,,,,,847000.0,847000.0,799000.0,747500.0,784500.0,784500.0,799000.0,810000.0,804500.0,845000.0,875000.0,770000.0,,847000.0,735000.0,757000.0,777000.0,735000.0,759000.0,742000.0,742000.0,775000.0,775000.0,775000.0,902850.0,915450.0,1122500.0,949400.0,849000.0,917400.0,1245000.0,899800.0,965000.0,879000.0,1039000.0,949944.0,857000.0,879000.0,1000000.0,950000.0,925000.0,925000.0,952250.0,1225000.0,1397500.0,1395000.0,1437500.0,1322500.0,1237500.0,1250000.0,1250000.0,1250000.0,1197000.0,1100000.0,1195000.0,1248888.0,1100000.0,1195000.0,1248844.0,1299000.0,1299000.0,1325000.0,1349000.0,1349000.0,1375000.0,1350000.0,1300000.0,1378000.0,1395000.0,1397000.0,1449000.0,1498000.0,1599000.0,1599000.0,1424500.0,1424500.0,1450000.0,1599000.0,1575000.0,1450000.0,1537500.0,1575000.0,1575000.0,1575000.0,1595000.0,1521500.0,1559500.0,1592500.0,1590000.0,1595000.0
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567000.0,595000.0,577000.0,,,,,,,,,,,,,,,,,,,,,,,,,739888.0,749000.0,769000.0,,,,,,,,,,728500.0,679000.0,,,,,,,1088444.0,,944500.0,,,,,,,,824000.0,824000.0,923500.0,1056500.0,899000.0,899000.0,899499.5,1087500.0,1087500.0,1020000.0,1000000.0,987000.0,987000.0,1020000.0,1020000.0,899000.0,899000.0,899999.0,963000.0,988888.0
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,699000.0,,,649000.0,644000.0,644000.0,644000.0,649000.0,688000.0,663500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1198000.0,998000.0,988950.0,1074000.0,1150000.0,998500.0,998000.0,998500.0,998000.0,948800.0,1150000.0,1288888.0,1294444.0,1288888.0,1348000.0,1412000.0,1450000.0,1399000.0,1450000.0,1424500.0,1375000.0,1350000.0,1280000.0,1255000.0,1250000.0,1250000.0,1280000.0,1307000.0,1299000.0,1475000.0,1448000.0
Battery Park City,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bay Ridge,Brooklyn,neighborhood,894000.0,884500.0,924500.0,899000.0,960000.0,924500.0,887000.0,869000.0,857250.0,857250.0,849000.0,847250.0,882000.0,899000.0,897000.0,895000.0,899000.0,950000.0,959500.0,944500.0,939000.0,839000.0,904000.0,839000.0,969000.0,799000.0,813500.0,828000.0,780000.0,767500.0,780000.0,799000.0,865000.0,814000.0,833500.0,838000.0,857000.0,909000.0,888000.0,924000.0,922000.0,925000.0,932000.0,929000.0,935000.0,940000.5,935000.5,945000.0,999000.0,995000.0,1075000.0,1100000.0,1194000.0,1216500.0,1361500.0,1245000.0,1247500.0,1144000.0,1150000.0,1198000.0,1193500.0,1300000.0,1350000.0,1370000.0,1295000.0,1281944.0,1310000.0,1337500.0,1425000.0,1425000.0,1425000.0,1450000.0,1437500.0,1400000.0,1399000.0,1395000.0,1299999.5,1344000.0,1398500.0,1364999.5,1300000.0,1300000.0,1299000.0,1299000.0,1279000.0,1291500.0,1399000.0,1399000.0,1398500.0,1349000.0,1349000.0,1374000.0,1398000.0,1395000.0,1370000.0,1372000.0,1425000.0,1385000.0,1359000.0,1299999.0,1299000.0,1359500.0,1374500.0,1369000.0,1395000.0
