Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
All Downtown,Manhattan,submarket,,,,,,,,,,,,4075000.0,,,,,,6415607.0,,,5411700.0,,,,,,,,,,3725000.0,,,,,5450000.0,,,,7085000.0,,,5856409.5,,,6452500.0,,,,,,,,,,7142500.0,5865000.0,,4775000.0,,,9000000.0,,,7818639.0,,,,,6000000.0,,,,,,,,,,7966666.5,,,,,,,,,,,,,,,,,,,,,6650000.0,,11500000.0,,
All Midtown,Manhattan,submarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Upper East Side,Manhattan,submarket,,,,,,,,,,,,3800000.0,,,,,,,,,,,,,,,,,,,,,,,,8250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8557505.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Upper Manhattan,Manhattan,submarket,,,,752500.0,,,,930000.0,,,,900000.0,846250.0,,823811.5,,,915000.0,865204.5,,,,,,753760.0,,,,824436.0,,1148262.5,999995.0,,,990000.0,1450000.0,1100000.0,,772500.0,835000.0,931698.0,929000.0,1085000.0,1900000.0,1800000.0,,1321862.5,,1100000.0,,1186803.0,1515000.0,1225000.0,1541250.0,1765000.0,1512500.0,1362500.0,1612500.0,,1470000.0,1687500.0,2128875.0,,,2091450.0,,1913750.0,2442500.0,2000000.0,1340025.0,1825000.0,2100000.0,1920000.0,,,1955000.0,1410000.0,,2051000.0,1755000.0,2200000.0,,2200000.0,,2350000.0,1635000.0,1900000.0,,,1925000.0,,1962500.0,2310000.0,,1850000.0,,,,2000000.0,2200000.0,,2262500.0,,2500573.0,
All Upper West Side,Manhattan,submarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,535000.0,760000.0,550937.5,650000.0,701500.0,630000.0,667922.0,700000.0,616000.0,670000.0,681750.0,656250.0,716000.0,,600000.0,695000.0,620000.0,645000.0,630000.0,741000.0,700000.0,745000.0,640000.0,670000.0,545000.0,685000.0,629000.0,590000.0,612500.0,635000.0,751000.0,678100.0,746000.0,715000.0,735000.0,650000.0,640000.0,617500.0,590000.0,765000.0,745000.0,620000.0,730000.0,750000.0,717500.0,615000.0,787500.0,690000.0,750000.0,850000.0,731500.0,925000.0,815000.0,765000.0,877500.0,800000.0,912500.0,887500.0,775000.0,865000.0,968500.0,867500.0,830000.0,828500.0,800000.0,825000.0,887500.0,945000.0,1090000.0,937000.0,875000.0,998500.0,950000.0,965000.0,920000.0,975000.0,987499.5,970000.0,1070000.0,951000.0,1045000.0,955000.0,1050000.0,1030000.0,1220000.0,940000.0,1212500.0,1100000.0,949000.0,1057000.0,935000.0,879000.0,1212000.0,1150000.0,1150000.0,1137500.0,1225000.0,1125000.0,1200000.0,1252500.0,1345000.0,980000.0,1250000.0,1115000.0,1250000.0
Auburndale,Queens,neighborhood,670000.0,592036.0,,578500.0,575000.0,550000.0,600000.0,655000.0,568500.0,570000.0,520000.0,560000.0,622000.0,565000.0,625000.0,,535000.0,520000.0,528000.0,563000.0,,570000.0,,,,525000.0,600000.0,566000.0,615000.0,579250.0,595000.0,552500.0,605000.0,622500.0,510000.0,511000.0,601000.0,598000.0,536800.0,530000.0,625000.0,550000.0,529000.0,643000.0,639500.0,650000.0,677500.0,583000.0,721000.0,738000.0,709500.0,675000.0,667500.0,700000.0,661000.0,648000.0,702500.0,680000.0,675000.0,665000.0,684000.0,569000.0,685000.0,638750.0,745000.0,662500.0,658000.0,690000.0,741944.0,798000.0,832500.0,661500.0,770000.0,,699500.0,750000.0,739000.0,759000.0,680000.0,768750.0,815000.0,840000.0,763760.0,797500.0,904000.0,810000.0,744000.0,720000.0,840000.0,800000.0,836944.0,912500.0,780000.0,847785.0,828800.0,861500.0,849500.0,930000.0,838000.0,980000.0,885000.0,850000.0,760000.0,890000.0,920000.0
Bath Beach,Brooklyn,neighborhood,687500.0,,610000.0,517500.0,,705000.0,,,700000.0,,,625000.0,,,600000.0,653000.0,,,,,,,,,,,,,,560000.0,650000.0,650000.0,667000.0,,,697000.0,,,,,,612500.0,,,610000.0,647500.0,,725000.0,702500.0,,,,829000.0,,777500.0,,656250.0,794000.0,,685000.0,,910000.0,,855000.0,1225000.0,,,,783000.0,855000.0,,841500.0,1144037.5,1016875.0,845000.0,1120000.0,,829300.0,,,990000.0,,,1055000.0,,,1220000.0,,,,,,910000.0,,,1010000.0,,,,,982500.0,,,1180000.0,986000.0
Battery Park City,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
