Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
All Downtown,Manhattan,submarket,0.053763440860215055,0.05555555555555555,0.0989010989010989,0.07216494845360824,0.06862745098039216,0.14432989690721648,0.05319148936170213,0.060606060606060615,0.10638297872340426,0.08333333333333333,0.07777777777777778,0.012195121951219513,0.04225352112676056,0.0684931506849315,0.05,0.047619047619047616,0.0898876404494382,0.11702127659574467,0.06382978723404255,0.07142857142857142,0.10344827586206896,0.09876543209876544,0.13253012048192772,0.03947368421052632,0.10526315789473684,0.06097560975609756,0.02564102564102564,0.03896103896103896,0.037037037037037035,0.0625,0.1125,0.07407407407407407,0.09090909090909093,0.07317073170731707,0.06329113924050632,0.013157894736842105,0.1388888888888889,0.05882352941176471,0.09090909090909093,0.06944444444444445,0.1111111111111111,0.13095238095238096,0.03614457831325301,0.08108108108108109,0.10843373493975904,0.10588235294117647,0.05813953488372092,0.027777777777777776,0.08571428571428573,0.049180327868852465,0.08108108108108109,0.075,0.060240963855421686,0.1097560975609756,0.08333333333333333,0.04,0.10344827586206896,0.08602150537634409,0.045454545454545456,0.03658536585365853,0.07692307692307693,0.025974025974025976,0.12987012987012986,0.075,0.05,0.09090909090909093,0.05128205128205128,0.04166666666666666,0.15584415584415584,0.04938271604938271,0.04878048780487805,0.011363636363636364,0.08433734939759037,0.12987012987012986,0.05333333333333334,0.12790697674418605,0.010526315789473684,0.07216494845360824,0.08888888888888889,0.034883720930232565,0.10714285714285714,0.12790697674418605,0.08139534883720931,0.02531645569620253,0.12987012987012986,0.08974358974358974,0.09876543209876544,0.08888888888888889,0.13131313131313133,0.10576923076923077,0.05154639175257732,0.011627906976744186,0.2371134020618557,0.11224489795918367,0.0707070707070707,0.053763440860215055,0.08888888888888889,0.05681818181818181,0.11702127659574467,0.10891089108910892,0.12844036697247707,0.08181818181818183,0.047619047619047616,0.0784313725490196,0.22018348623853207
All Midtown,Manhattan,submarket,,,0.15384615384615385,0.038461538461538464,,,,,,,,,0.08,,0.21428571428571427,,0.24242424242424246,0.08571428571428573,0.2222222222222222,0.05882352941176471,,,,0.16666666666666666,,,0.0625,,0.0,0.13513513513513514,0.0,,0.0,,0.05882352941176471,0.027027027027027032,0.05882352941176471,,,,,0.1111111111111111,,,,,,,,,0.06666666666666668,,,0.1724137931034483,,,,,,,,,0.12,,0.07407407407407407,,,0.12,,,0.043478260869565216,0.08,,,0.05263157894736842,0.045454545454545456,0.13043478260869565,0.08,,,0.14814814814814814,,,,,,,0.12903225806451613,0.11428571428571427,0.14285714285714285,0.09375,0.0625,,0.12903225806451613,0.19230769230769232,,,0.13333333333333333,,0.08571428571428573,0.07692307692307693,0.075,,,0.16216216216216214
All Upper East Side,Manhattan,submarket,0.0945945945945946,0.07692307692307693,0.11363636363636365,0.08045977011494253,0.12790697674418605,0.15294117647058825,0.061728395061728385,0.04651162790697674,0.14492753623188406,0.08108108108108109,0.056338028169014086,0.030303030303030307,0.0847457627118644,0.078125,0.08196721311475409,0.07142857142857142,0.016129032258064516,0.078125,0.06451612903225806,0.07936507936507936,0.12857142857142856,0.10294117647058824,0.05882352941176471,0.08064516129032258,0.08064516129032258,0.09836065573770493,0.06349206349206349,0.12698412698412698,0.09090909090909093,0.07352941176470587,0.04411764705882353,0.04615384615384616,0.09523809523809523,0.060606060606060615,0.04615384615384616,0.05263157894736842,0.05357142857142857,0.0392156862745098,0.14035087719298245,0.05,0.015873015873015872,0.06451612903225806,0.017543859649122806,0.038461538461538464,0.03571428571428571,0.0847457627118644,0.03389830508474576,,0.016129032258064516,0.05084745762711865,0.059701492537313425,0.05333333333333334,0.0375,0.12345679012345677,0.07692307692307693,0.0,0.12345679012345677,0.057471264367816084,0.03296703296703297,0.06593406593406594,0.057471264367816084,0.05319148936170213,0.07526881720430108,0.08,0.08823529411764706,0.11428571428571427,0.052083333333333336,0.05813953488372092,0.0625,0.13592233009708735,0.040404040404040414,0.030612244897959183,0.12087912087912088,0.04166666666666666,0.1263157894736842,0.12871287128712872,0.07207207207207207,0.06666666666666668,0.030612244897959183,0.03260869565217391,0.13829787234042554,0.08080808080808081,0.049504950495049514,0.0,0.09782608695652174,0.125,0.10784313725490197,0.10810810810810813,0.08333333333333333,0.07692307692307693,0.11818181818181818,0.0099009900990099,0.13725490196078433,0.11,0.0198019801980198,0.0,0.1368421052631579,0.13978494623655913,0.07216494845360824,0.10891089108910892,0.10377358490566037,0.13725490196078433,0.030612244897959183,0.09090909090909093,0.1523809523809524
All Upper Manhattan,Manhattan,submarket,0.054545454545454536,0.08256880733944955,0.04310344827586207,0.06611570247933883,0.075,0.1016949152542373,0.09836065573770493,0.08264462809917356,0.10619469026548672,0.04385964912280702,0.07339449541284404,0.0396039603960396,0.08163265306122447,0.09803921568627452,0.08737864077669902,0.06481481481481481,0.08737864077669902,0.1523809523809524,0.06741573033707865,0.07142857142857142,0.06741573033707865,0.060240963855421686,0.061728395061728385,0.0641025641025641,0.08333333333333333,0.03571428571428571,0.07692307692307693,0.057471264367816084,0.07692307692307693,0.0594059405940594,0.05154639175257732,0.05263157894736842,0.11458333333333333,0.030303030303030307,0.12121212121212123,0.00980392156862745,0.0425531914893617,0.011627906976744186,0.03614457831325301,0.08888888888888889,0.03448275862068965,0.024390243902439025,0.03658536585365853,0.03947368421052632,0.037037037037037035,0.07228915662650602,0.03658536585365853,0.02666666666666667,0.06756756756756757,0.015384615384615384,0.09722222222222222,0.04938271604938271,0.038461538461538464,0.059701492537313425,0.10294117647058824,0.1076923076923077,0.07352941176470587,0.11428571428571427,0.10294117647058824,0.060606060606060615,0.03225806451612903,0.0,0.032786885245901634,0.015151515151515154,0.09210526315789473,0.09333333333333334,0.09230769230769233,0.06349206349206349,0.08450704225352113,0.08045977011494253,0.08421052631578947,0.05681818181818181,0.07291666666666667,0.07692307692307693,0.17525773195876287,0.13829787234042554,0.07692307692307693,0.10891089108910892,0.051020408163265314,0.10344827586206896,0.10344827586206896,0.1176470588235294,0.08235294117647059,0.08974358974358974,0.08333333333333333,0.12658227848101267,0.10843373493975904,0.10344827586206896,0.11235955056179776,0.12087912087912088,0.12941176470588234,0.025974025974025976,0.15476190476190474,0.125,0.08695652173913042,0.03614457831325301,0.10465116279069768,0.15555555555555556,0.10526315789473684,0.10377358490566037,0.11570247933884298,0.15833333333333333,0.11199999999999999,0.09401709401709403,0.2459016393442623
All Upper West Side,Manhattan,submarket,0.06818181818181818,0.05,0.08888888888888889,0.04878048780487805,0.05128205128205128,,,0.02325581395348837,0.054054054054054064,0.0,,,0.10344827586206896,0.057142857142857134,0.05555555555555555,,0.07894736842105263,0.05555555555555555,,,0.05555555555555555,0.1111111111111111,,,0.057142857142857134,0.0,,0.09090909090909093,0.060606060606060615,0.0625,0.0,0.03448275862068965,,,,0.1,0.030303030303030307,0.06451612903225806,0.07142857142857142,,0.03225806451612903,0.0,0.028571428571428567,,0.11428571428571427,0.15625,0.08823529411764706,,0.0625,,0.0625,0.07692307692307693,0.04878048780487805,0.04651162790697674,0.025,0.027777777777777776,0.10526315789473684,0.054054054054054064,0.05263157894736842,0.0,,0.057142857142857134,0.07692307692307693,0.027027027027027032,0.027777777777777776,0.18421052631578946,,,0.10526315789473684,0.13157894736842105,0.125,0.06818181818181818,0.1702127659574468,0.06382978723404255,0.11475409836065575,0.09375,0.09230769230769233,0.125,0.1129032258064516,0.0,0.12307692307692307,0.1129032258064516,0.06666666666666668,0.10909090909090907,0.1111111111111111,0.0925925925925926,0.05357142857142857,0.11864406779661014,0.10344827586206896,0.08064516129032258,0.03508771929824561,0.054545454545454536,0.2037037037037037,0.0925925925925926,0.05555555555555555,,0.08,0.13725490196078433,0.10714285714285714,0.0967741935483871,0.12307692307692307,0.08,,0.037037037037037035,0.16455696202531644
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,,,,,,,,,,,,,,,,0.0,,,0.1,,,,0.19047619047619047,,,,,,,,0.2777777777777778,,,0.21052631578947367,,,,,,0.09090909090909093,0.125,0.0,,0.0,0.16666666666666666,0.0,0.043478260869565216,,,,0.038461538461538464,0.038461538461538464,,0.038461538461538464,,0.047619047619047616,0.05263157894736842,,0.15,,0.08333333333333333,,0.07142857142857142,0.05555555555555555,0.15384615384615385,0.06521739130434782,0.04878048780487805,0.047619047619047616,0.16216216216216214,0.08571428571428573,0.0,,0.0967741935483871,0.16666666666666666,0.06896551724137931,0.1176470588235294,0.0975609756097561,0.14893617021276595,0.0851063829787234,0.06382978723404255,0.1176470588235294,0.1016949152542373,0.1320754716981132,0.09090909090909093,0.06521739130434782,0.125,0.08333333333333333,0.15151515151515152,0.10256410256410256,0.1111111111111111,0.16071428571428573,0.03636363636363636,0.12244897959183673,0.1044776119402985,0.1095890410958904,0.07575757575757576,0.05797101449275361,0.08695652173913042,0.12658227848101267,0.1348314606741573,0.13953488372093026,0.07608695652173914,0.11904761904761905,0.16091954022988506,0.1134020618556701
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07142857142857142,0.15,0.1794871794871795,0.10638297872340426,0.02631578947368421,,,,,,,,0.05882352941176471,0.3157894736842105,0.14285714285714285,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10526315789473684,,0.25,,0.13636363636363635,0.2380952380952381,0.18181818181818185,0.09523809523809523,,,,,,,0.07692307692307693,0.06451612903225806,0.1,0.13793103448275862,0.15625,0.060606060606060615,,0.12121212121212123,0.1875,0.08333333333333333,0.16216216216216214,0.13333333333333333,0.08695652173913042,0.13953488372093026,0.0975609756097561,0.10638297872340426
Battery Park City,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
