Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
All Downtown,Manhattan,submarket,0.1143867924528302,0.09265033407572383,0.1159070990359334,0.08333333333333333,0.07992855548113419,0.0784871010056843,0.07873090481786134,0.07555115184542978,0.09212827988338193,0.10689341026419677,0.09336609336609336,0.08456926475228779,0.08571428571428573,0.08135593220338982,0.08333333333333333,0.07025369389461945,0.06708760852407261,0.08037653874004344,0.10283941780004772,0.1104206500956023,0.12527901785714285,0.14252807371148862,0.16547788873038516,0.1349182763744428,0.14258760107816712,0.12462747222974804,0.1208548268238762,0.1155200751350082,0.12570828961175234,0.1371994342291372,0.1300782705926202,0.13415831860145355,0.15342960288808666,0.1608646188850967,0.12602212602212606,0.13810679611650487,0.15930500314004606,0.13929945333063373,0.15321221202472374,0.13472198891315304,0.1217377208623764,0.13331170937398634,0.14474083055471354,0.16045801526717554,0.1703150912106136,0.1941929441148923,0.1641427328111401,0.14617083946980855,0.15375175315568024,0.1445966514459665,0.16232315711094564,0.16576978606116288,0.18389686207735345,0.13754314201712894,0.16164165227785895,0.1618685497012493,0.1876366817320309,0.1986990862629704,0.18857045955570628,0.1458548331613347,0.15503626107977436,0.14874181316787316,0.1424698795180723,0.1230074763718437,0.1307771753162923,0.14752714113389626,0.15637473585348674,0.18858874021711688,0.18848857644991213,0.22805961162125546,0.21988913153032089,0.19098417068134893,0.19043773219189145,0.1783716594157862,0.18667440847728264,0.16880430285477865,0.1584262295081967,0.19141545713931274,0.22148700673724736,0.21927767354596625,0.2487463710741621,0.278014574453458,0.2598878182079678,0.21015843429636533,0.2134719453147252,0.2024107011612524,0.19240906694781235,0.1730695596681557,0.18666361660757175,0.21092400690846289,0.1977962033602444,0.2473065015479876,0.274083368186254,0.2934158197083517,0.2871485943775101,0.20951678347473254,0.22587268993839835,0.1934260429835651,0.17249958533753526,0.15025215069712253,0.14677548835964674,0.141992011338745,0.11702649656526005,0.19784079084287196,0.22400261608894706
All Midtown,Manhattan,submarket,0.104554201411161,0.084123585194249,0.10337488598358163,0.09298957126303592,0.0847832964251819,0.07941550190597205,0.0867579908675799,0.0857434501531133,0.09892638036809816,0.1063410791650256,0.10380479735318444,0.09159983115238496,0.08942749686585875,0.08152396558787382,0.08009241432422025,0.07587768969422423,0.06764808973010866,0.08143208143208143,0.09200150206533984,0.09233511586452764,0.11123680241327301,0.1386832878846903,0.1438140267927502,0.12873369793857806,0.1308555942702284,0.1168122270742358,0.12861072902338375,0.13025356026398055,0.11118621155795876,0.11522368844544575,0.12039012496190185,0.12827628738822078,0.1497127407908077,0.16264645072363887,0.14570230607966456,0.13301920985864446,0.1422950819672131,0.12633279483037158,0.13937592867756315,0.12367688022284122,0.11491442542787285,0.1242876526458616,0.11996981891348088,0.1404494382022472,0.1414337115970108,0.18165040864750856,0.15656565656565655,0.1827468785471056,0.16684266103484688,0.15178571428571427,0.1555127587867116,0.13781749764816556,0.1138377641445126,0.13713620488940628,0.14021902512347004,0.1429495472186287,0.17190680841438588,0.16990291262135926,0.15817307692307692,0.14313114361064494,0.15213400642496558,0.13804713804713806,0.1333903377511757,0.10927624872578999,0.11451814768460575,0.122917075083317,0.14365815931941225,0.15820427367182904,0.14956377233070212,0.21334159438248654,0.1988685813751088,0.16674097191261705,0.1665601703940362,0.15731526572094007,0.1577167859984089,0.14675299195605254,0.1424812030075188,0.15424028268551238,0.17711849351572215,0.189903438929358,0.2056406425102727,0.22639044419559534,0.2164435946462715,0.17296056749426247,0.19331560957083171,0.16843762298307752,0.17592427219146275,0.1514669494521032,0.16446832763393585,0.17738605685246944,0.17322189446083253,0.19903003171050174,0.22224493968513595,0.2584247648902821,0.2738122561395456,0.2186581782566112,0.21067751975101748,0.1896551724137931,0.18372039549321684,0.1738653803990353,0.14225774225774224,0.13215505121510346,0.1155511811023622,0.18824463860206514,0.20991585171707985
All Upper East Side,Manhattan,submarket,0.1320015667841755,0.10922787193973636,0.1210287443267776,0.09876543209876544,0.0991207034372502,0.09502431724653948,0.10909090909090907,0.08671875,0.11101622544833477,0.11507769844603108,0.11029092488059053,0.09476309226932668,0.08805291442744936,0.07396061269146609,0.08181818181818183,0.07965738758029979,0.0897766323024055,0.09678765123070504,0.1020666385491354,0.10515112813963387,0.12805755395683452,0.1621212121212121,0.14210526315789473,0.1305094447624499,0.16692586832555728,0.1606323304436512,0.14382326420198374,0.14008810572687225,0.12579685507862304,0.128053585500394,0.1457550713749061,0.15681037771842807,0.17253521126760565,0.17358985570616528,0.14474283113336367,0.1313375181071946,0.13916849015317287,0.12314814814814815,0.1409710391822828,0.14828754234098607,0.12727922774401146,0.12869875222816402,0.14313222079589216,0.1374580920451082,0.17340241796200345,0.1823777129899579,0.18295292439372327,0.1672329180822952,0.15096398690432886,0.13937282229965156,0.13941825476429287,0.1295638126009693,0.12291666666666665,0.13883955002960333,0.1545530492898914,0.16046511627906976,0.17321219226260254,0.1704337202199145,0.16088117489986647,0.1447653429602888,0.1269571136827774,0.12164073550212165,0.1339652448657188,0.11057255377158436,0.10054425665998283,0.12132752992383025,0.1382636655948553,0.14582755752703078,0.15792610250297973,0.1895500725689405,0.1826654240447344,0.16899488926746167,0.1653796653796654,0.15138933248163525,0.1536214953271028,0.15693430656934307,0.14337194337194334,0.16864838631400145,0.20734341252699784,0.23062108810784784,0.2621684264743755,0.2341163908168713,0.20833333333333331,0.18064312736443885,0.18762886597938144,0.15485074626865672,0.16958041958041958,0.15233918128654972,0.1553475935828877,0.1933028919330289,0.19474778991159647,0.21813799337149745,0.2303030303030303,0.2664596273291925,0.25704347826086954,0.19881889763779528,0.21172638436482089,0.18343854437430376,0.1814066852367688,0.1432796582320079,0.1322512774271115,0.13829483889364128,0.12471655328798185,0.1983134632160512,0.1928159945781091
All Upper Manhattan,Manhattan,submarket,0.08392434988179669,0.09252669039145907,0.09348093480934808,0.07181571815718157,0.07072135785007072,0.1,0.07161803713527852,0.08131241084165478,0.09075907590759076,0.1201923076923077,0.09698996655518397,0.07692307692307693,0.0915032679738562,0.07928802588996764,0.09393939393939392,0.08151382823871907,0.1124031007751938,0.08609271523178808,0.07513661202185792,0.1034928848641656,0.1188118811881188,0.15070422535211267,0.1396011396011396,0.08575581395348837,0.0946969696969697,0.10882016036655212,0.13606911447084233,0.11832460732984293,0.10952380952380952,0.11238938053097346,0.124901185770751,0.1083781706379708,0.14627659574468085,0.1697171381031614,0.13081650570676032,0.08717948717948718,0.13565891472868216,0.10629599345870808,0.1182458888018794,0.10971579643093192,0.10059171597633136,0.12464101091326825,0.09148446490218642,0.1059850374064838,0.11341632088520055,0.17074701820464533,0.15288220551378445,0.11089494163424124,0.12296983758700696,0.12103746397694524,0.10742918225547836,0.11122244488977956,0.12927587738782764,0.13574261789334507,0.1196940726577438,0.1201814058956916,0.16612244897959186,0.14880251276010995,0.16578626574563185,0.12403729225780301,0.13231457323891166,0.12394797245600613,0.11844938980617373,0.10518834399431416,0.09489315465411084,0.11683373660559973,0.11513260530421215,0.12429378531073447,0.11926273942898448,0.14216598436918496,0.14617083946980855,0.11208539839878004,0.10738766184310737,0.11654135338345865,0.10632078918523932,0.09786476868327404,0.11540983606557376,0.12834385332131049,0.12052676782135699,0.1535674470457079,0.15627936110241153,0.15851657367902855,0.14588008977236294,0.11666666666666667,0.14006924771797294,0.13939197930142302,0.13796296296296295,0.13064516129032258,0.131811697574893,0.13958868894601542,0.13057893394542208,0.2014098690835851,0.19426870115370298,0.21705989110707805,0.2422571064913025,0.17007481296758106,0.1781818181818182,0.15636200716845874,0.14711892112791172,0.13575525812619502,0.13208191126279864,0.11867139632376653,0.08899297423887588,0.1762440758293839,0.19661590524534686
All Upper West Side,Manhattan,submarket,0.09653579676674363,0.11014625228519197,0.1035528596187175,0.07416462917685411,0.10695876288659792,0.07746478873239436,0.07117117117117118,0.08363636363636362,0.0859329017068864,0.1072498502097064,0.10408921933085502,0.08980115458627325,0.0851472471190781,0.09015873015873016,0.08074162679425838,0.07587064676616916,0.08295194508009153,0.07358201328564129,0.08037018996590356,0.10774410774410774,0.12695109261186266,0.1367437284800787,0.1693121693121693,0.13358538122243227,0.1612339930151339,0.17799889441680486,0.15498154981549814,0.15658362989323846,0.12711069418386492,0.1361419068736142,0.15298840321141838,0.1435512367491166,0.1656441717791411,0.17750257997936014,0.16790648246546228,0.11296605453533667,0.13405797101449274,0.11713995943204868,0.13739376770538245,0.14441061331013486,0.11175496688741722,0.13486842105263158,0.1592781482934484,0.15937996820349762,0.15631183221210926,0.23338485316846985,0.2086481947942905,0.22177901874750694,0.21592279855247287,0.1801340165549862,0.1832032701597919,0.16145833333333334,0.13706954760297094,0.1656751933372992,0.1920697412823397,0.1794090770636613,0.21258503401360546,0.20690883190883191,0.1997658993367148,0.18229801055623224,0.18381804623415365,0.14174454828660435,0.15842269111034246,0.1529032258064516,0.16116207951070335,0.17091836734693874,0.18307567127746133,0.1893716970052848,0.210648918469218,0.2425502425502425,0.2415349887133183,0.2232716282584057,0.1988261188554659,0.1990451707675358,0.18465810482471365,0.16900925608501885,0.193167701863354,0.20595672941837595,0.21681664791901006,0.2511640646398247,0.2593379896750683,0.26855345911949685,0.2805731422859047,0.18535881716552471,0.2352941176470588,0.22931526390870186,0.2109375,0.2159274846228553,0.2068376068376068,0.2498663816141101,0.2323232323232323,0.28304870335230864,0.3133863714977517,0.30987394957983194,0.3025465602432535,0.2572043010752688,0.2672176308539945,0.2438118811881188,0.2395139161113289,0.19078708741385564,0.1949898442789438,0.18359375,0.14892268694550062,0.23553459119496856,0.267515923566879
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,0.0392156862745098,0.02,0.00909090909090909,0.0,0.05084745762711865,0.03773584905660377,0.0196078431372549,0.0,0.019230769230769232,0.0,0.1111111111111111,0.04166666666666666,0.02325581395348837,0.0,0.025,0.0196078431372549,0.010526315789473684,0.009259259259259259,0.027027027027027032,0.046875,0.047619047619047616,0.08955223880597014,0.03448275862068965,0.09523809523809523,0.09876543209876544,0.054054054054054064,0.07954545454545454,0.07894736842105263,0.05921052631578948,0.08074534161490682,0.1118421052631579,0.1021897810218978,0.08270676691729323,0.09090909090909093,0.0958904109589041,0.09032258064516127,0.1173469387755102,0.14356435643564355,0.06866952789699571,0.05813953488372092,0.06622516556291391,0.05309734513274336,0.05774278215223098,0.09477124183006536,0.07371794871794872,0.10344827586206896,0.11711711711711713,0.07024793388429752,0.05794392523364486,0.07082630691399662,0.08345120226308345,0.05620608899297424,0.05828220858895705,0.06944444444444445,0.06675062972292191,0.06650544135429262,0.09541511771995044,0.0968494749124854,0.10018552875695733,0.07446808510638298,0.07931404072883172,0.07520891364902507,0.09446808510638298,0.07417102966841188,0.06407487401007919,0.06582446808510638,0.051709027169149865,0.08195121951219513,0.09872922776148582,0.12609457092819615,0.14348591549295775,0.10778443113772457,0.1189245087900724,0.12861136999068035,0.15136054421768708,0.13275726630007856,0.11367127496159755,0.1313813813813814,0.12149532710280375,0.14624808575803985,0.13537117903930132,0.19099590723055931,0.20897615708274891,0.13267466478475656,0.16666666666666666,0.13817097415506954,0.13096802452912834,0.1524197195838987,0.15059726962457334,0.1533410583236771,0.1534136546184739,0.17516778523489934,0.22099447513812154,0.2364502680166766,0.21825143586470966,0.18440233236151604,0.19794344473007716,0.1950231481481481,0.18603439291297552,0.17532467532467533,0.19451017510648366,0.15582034830430794,0.09357326478149099,0.16022408963585436,0.1891891891891892
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.21428571428571427,,0.0,0.13043478260869565,0.125,0.16666666666666666,0.21428571428571427,,,,0.3076923076923077,0.20833333333333331,0.1176470588235294,0.07142857142857142,0.10526315789473684,0.16666666666666666,0.125,0.2,0.08333333333333333,,0.2727272727272727,0.07142857142857142,0.29411764705882354,0.0,0.1875,0.1111111111111111,0.1153846153846154,0.10526315789473684,0.15,0.13043478260869565,0.09090909090909093,0.2352941176470588,0.0,0.2,0.05263157894736842,0.06666666666666668,0.2352941176470588,0.0,0.13043478260869565,0.2352941176470588,0.25
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09090909090909093,0.0,,,,,,,,,,0.045454545454545456,0.25,0.13636363636363635,0.0,0.09523809523809523,0.08,0.13333333333333333,0.2222222222222222,,0.07692307692307693,0.19047619047619047,0.20833333333333331,0.045454545454545456,0.05,0.2,0.05555555555555555,0.04,0.09523809523809523,0.12,0.16129032258064516,0.0967741935483871,0.12121212121212123,0.14285714285714285,0.23404255319148934,0.1951219512195122,0.07692307692307693,0.1111111111111111,0.09090909090909093,0.10526315789473684,0.21428571428571427,0.2258064516129032,0.25,0.17647058823529413,0.09090909090909093,0.0967741935483871,0.1891891891891892,0.10256410256410256,0.16,0.11428571428571427,0.0576923076923077,0.05882352941176471,0.0958904109589041
Battery Park City,Manhattan,neighborhood,0.11267605633802814,0.05797101449275361,0.06310679611650485,0.06349206349206349,0.021739130434782608,0.055,0.08602150537634409,0.07075471698113207,0.051020408163265314,0.032085561497326213,0.08235294117647059,0.08333333333333333,0.061855670103092786,0.06511627906976744,0.08438818565400844,0.061904761904761914,0.06593406593406594,0.08878504672897196,0.060747663551401876,0.17194570135746606,0.18859649122807015,0.16733067729083664,0.22393822393822396,0.16517857142857142,0.2455357142857143,0.12272727272727273,0.12350597609561753,0.14339622641509436,0.16785714285714284,0.12131147540983607,0.10862619808306707,0.12416107382550336,0.15298507462686567,0.11940298507462685,0.0967741935483871,0.1440677966101695,0.1543859649122807,0.12152777777777778,0.14666666666666667,0.1461038961038961,0.12195121951219512,0.13149847094801226,0.10625,0.13114754098360654,0.1355421686746988,0.12813370473537605,0.11636363636363635,0.13125,0.15755627009646306,0.12162162162162166,0.07590759075907591,0.03498542274052478,0.06823529411764706,0.07232704402515723,0.11572700296735905,0.12574850299401194,0.13402061855670105,0.17666666666666667,0.14625850340136054,0.12363636363636366,0.1494661921708185,0.172,0.1866197183098592,0.17894736842105266,0.13851351351351351,0.22297297297297294,0.16896551724137931,0.2168284789644013,0.19298245614035087,0.2429906542056075,0.1947565543071161,0.19844357976653693,0.30337078651685395,0.2597864768683274,0.17562724014336914,0.16541353383458646,0.12260536398467432,0.1678082191780822,0.2491467576791809,0.14563106796116504,0.15384615384615385,0.2692307692307692,0.2355072463768116,0.14285714285714285,0.16216216216216214,0.24,0.17786561264822134,0.16342412451361868,0.20318725099601595,0.1984126984126984,0.2191235059760956,0.24017467248908295,0.2175925925925926,0.2669683257918552,0.3073170731707317,0.2325581395348837,0.2801932367149759,0.2295918367346939,0.1990521327014218,0.16019417475728154,0.1339712918660287,0.0730593607305936,0.13617021276595745,0.24066390041493774,0.2568807339449541
