Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
All Downtown,Manhattan,submarket,0.11681957186544342,0.08732876712328767,0.12699316628701596,0.09879912663755458,0.09482758620689656,0.07894736842105263,0.06900800985828713,0.06546854942233632,0.09479015918958032,0.105643994211288,0.09859154929577464,0.07914201183431953,0.0831615120274914,0.07826694619147449,0.0946372239747634,0.06436931079323797,0.06883365200764817,0.06908665105386416,0.10809214412285884,0.10864485981308412,0.11514736120630567,0.1301900070372977,0.15384615384615385,0.13299784327821712,0.14258793969849246,0.1372426699937617,0.12486126526082132,0.11478072550081213,0.12826961770623746,0.14044665012406948,0.12588736393752958,0.11388611388611387,0.14349775784753366,0.1493542953396968,0.12679425837320574,0.13120784794604534,0.1483402489626556,0.14011799410029502,0.1455668284075871,0.1402439024390244,0.12213740458015268,0.1305939788445891,0.14016489988221434,0.16482213438735174,0.16501240694789082,0.18312905551550107,0.1558589306029579,0.14402618657937807,0.1416829745596869,0.13835311572700296,0.14290418175831412,0.18461538461538465,0.21061742642815925,0.1389159363842908,0.16061993659739346,0.1675656238763035,0.1763157894736842,0.19201596806387225,0.1856705985146352,0.14962702939885913,0.15633636004737467,0.14345287739783152,0.1412964311726147,0.12794376098418278,0.12805280528052804,0.15720663265306126,0.1713297705124175,0.18842530282637954,0.18547197640117996,0.230855435188644,0.21509911429776465,0.2109375,0.19805982215036375,0.185546875,0.20256776034236804,0.1693950177935943,0.15854922279792746,0.1953150775321676,0.23873725748109176,0.2232367758186398,0.2509571876087713,0.28068916008614503,0.26240060583112457,0.2191395255327704,0.2136412847347528,0.2108167770419426,0.19499341238471676,0.1900604432505037,0.20068238213399506,0.22093023255813954,0.1979070483225608,0.25621805792163543,0.2592186929536327,0.29964747356051696,0.29186602870813394,0.21692379616643293,0.2305641936916926,0.20634191176470587,0.17630176301763018,0.16456662848415424,0.13947267863966373,0.13763197586727,0.11066471877282688,0.18735806207418626,0.20165745856353592
All Midtown,Manhattan,submarket,0.11949685534591195,0.09391891891891893,0.10252996005326233,0.10267579340385813,0.0928122819260293,0.07642857142857143,0.07982893799002139,0.0962800875273523,0.0985691573926868,0.1094650205761317,0.10580204778156996,0.08800000000000001,0.09394205443371377,0.08896492728828058,0.0712,0.07567127746135069,0.06782334384858044,0.0903568716780562,0.10033726812816188,0.0997605746209098,0.10903173311635476,0.13502454991816695,0.16271463614063778,0.14310344827586208,0.13463035019455252,0.1366642174871418,0.12534626038781166,0.1284796573875803,0.098463687150838,0.12391158740790355,0.12649006622516554,0.12693082605775688,0.1489841986455982,0.1571540265832682,0.13036690085870414,0.128928283642224,0.13976945244956773,0.1323529411764706,0.1432225063938619,0.12371756185878093,0.11270125223613595,0.14207980652962515,0.12413793103448276,0.14947856315179606,0.13725490196078433,0.1891891891891892,0.17754077791718947,0.201530612244898,0.1727810650887574,0.15703444249854054,0.1503957783641161,0.1416490486257928,0.1265625,0.14653361344537816,0.14463220675944333,0.15706272310045896,0.17739403453689168,0.17393589069889648,0.1653272101033295,0.15201768933112214,0.1540041067761807,0.14299900695134066,0.1444866920152091,0.11508482347546994,0.13468013468013468,0.12857791912766925,0.15098566308243727,0.16333938294010888,0.15658021133525454,0.23626640738940205,0.20847708230655496,0.181301652892562,0.16818399616674656,0.15283842794759825,0.18186090225563908,0.15889145496535798,0.15589016829052255,0.17235705470999588,0.1992604765817584,0.20087684336389,0.2080069625761532,0.23036649214659685,0.2274580879021296,0.1811138014527845,0.21312197269925146,0.1807501129688206,0.18036912751677853,0.16308470290771174,0.1772549019607843,0.18456247611769205,0.172650262202501,0.20072661217075385,0.22954091816367264,0.2662968099861304,0.2992383025027203,0.22845575477154426,0.2294807370184255,0.20636725412166004,0.1998972250770812,0.1795259707513868,0.1626746506986028,0.13553299492385787,0.11693936477382097,0.19147894221351616,0.21432697862507225
All Upper East Side,Manhattan,submarket,0.13802816901408452,0.12607944732297066,0.12359550561797752,0.10603290676416817,0.11425959780621572,0.10105448154657294,0.117011701170117,0.08183453237410072,0.1089808274470232,0.1151219512195122,0.12187812187812187,0.09839167455061497,0.08409506398537478,0.07482993197278913,0.07785467128027683,0.07939508506616258,0.10069101678183613,0.098,0.09919839679358718,0.101364522417154,0.11771428571428573,0.15535097813578827,0.13975903614457832,0.12945838837516513,0.20066889632107024,0.1799787007454739,0.16475095785440613,0.15494296577946767,0.13533151680290645,0.132973944294699,0.1623550401427297,0.15549348230912474,0.151356993736952,0.16328600405679514,0.15061475409836064,0.13398692810457516,0.14629451395572665,0.1205311542390194,0.14800759013282733,0.14888123924268504,0.12371134020618554,0.140625,0.14628657164291073,0.1184593023255814,0.16463909164639093,0.1976487876561352,0.2031496062992126,0.17698343504795114,0.16404308202154097,0.1688715953307393,0.15504451038575667,0.1345158906134516,0.1240981240981241,0.14061384725196288,0.1620734908136483,0.17510259917920654,0.1735479356193142,0.170007423904974,0.17328825021132713,0.15270506108202445,0.13987138263665594,0.11769616026711185,0.1220414201183432,0.11756272401433693,0.10238907849829353,0.11756569847856155,0.13557046979865772,0.13664596273291926,0.15162721893491124,0.19771591720199855,0.17368018362662585,0.17166666666666666,0.14925373134328354,0.14208494208494207,0.148068669527897,0.1656005685856432,0.14444444444444446,0.15238678090575275,0.21855921855921856,0.2371134020618557,0.2455562870309414,0.2258953168044077,0.2284263959390863,0.17298578199052134,0.1880466472303207,0.1526073619631902,0.17496443812233287,0.16208393632416787,0.17498336660013306,0.20676451818761965,0.2071611253196931,0.2223826714801444,0.24980724749421745,0.2789634146341464,0.26403508771929823,0.21734892787524365,0.22153574580759047,0.1935193519351935,0.1883936080740118,0.1577708006279435,0.15142648134601314,0.13803019410496045,0.12686567164179105,0.21605401350337586,0.18549051937345426
All Upper Manhattan,Manhattan,submarket,0.09473684210526316,0.11619718309859155,0.07586206896551724,0.09398496240601503,0.07722007722007722,0.09727626459143968,0.060836501901140684,0.06390977443609022,0.07296137339055794,0.08108108108108109,0.08571428571428573,0.06666666666666668,0.057142857142857134,0.09174311926605504,0.07916666666666666,0.1129032258064516,0.08421052631578947,0.10069444444444443,0.09252669039145907,0.08813559322033898,0.1169811320754717,0.12878787878787878,0.16194331983805668,0.07234042553191489,0.10915492957746477,0.12264150943396225,0.15963855421686746,0.10355029585798817,0.09018567639257294,0.1,0.09907834101382487,0.0962800875273523,0.1172069825436409,0.14219114219114218,0.0784313725490196,0.08674698795180723,0.11827956989247312,0.11564625850340135,0.10430839002267574,0.0994263862332696,0.1139240506329114,0.116751269035533,0.08833333333333332,0.09854014598540146,0.1342155009451796,0.15345699831365936,0.13381555153707053,0.10775047258979206,0.1284246575342466,0.11986863711001645,0.113464447806354,0.10845070422535212,0.1368421052631579,0.11345646437994725,0.11461988304093568,0.08294930875576037,0.14450867052023122,0.14487632508833925,0.16305732484076432,0.11154345006485084,0.10945273631840796,0.10442260442260444,0.13501144164759726,0.0798650168728909,0.08229988726042843,0.09977578475336324,0.1176470588235294,0.10816125860373647,0.10176531671858777,0.12434141201264487,0.14907508161044614,0.11636363636363635,0.09529411764705882,0.10919540229885058,0.10372960372960373,0.07894736842105263,0.07061503416856492,0.09667359667359668,0.11864406779661014,0.14210526315789473,0.1279296875,0.1425661914460285,0.12025316455696206,0.10148232611174457,0.136,0.13758723828514458,0.11665098777046096,0.12740141557128412,0.1099195710455764,0.1165444172779136,0.1176470588235294,0.19117647058823528,0.15777777777777774,0.1922246220302376,0.2152521525215252,0.1483050847457627,0.15850515463917525,0.1371069182389937,0.14869888475836432,0.12895927601809956,0.12323232323232325,0.1270935960591133,0.07765151515151515,0.15609756097560976,0.1682051282051282
All Upper West Side,Manhattan,submarket,0.1014957264957265,0.1184346035015448,0.11567164179104478,0.09233449477351917,0.1432408236347359,0.0890652557319224,0.0691699604743083,0.10262257696693272,0.07604562737642585,0.10828025477707008,0.09881422924901186,0.09090909090909093,0.08736559139784948,0.0889487870619946,0.08643457382953182,0.08535031847133757,0.0885478158205431,0.0738255033557047,0.08,0.08852459016393442,0.10477299185098952,0.13291139240506328,0.17639429312581065,0.1422475106685633,0.1698595146871009,0.18501170960187355,0.16,0.15730337078651685,0.13372664700098327,0.12903225806451613,0.14432989690721648,0.13883299798792756,0.17539863325740318,0.1657010428736964,0.1702857142857143,0.11459589867310012,0.135815991237678,0.10784313725490197,0.14087301587301587,0.13523131672597866,0.1099290780141844,0.13526119402985073,0.1589464123524069,0.14752567693744165,0.13381555153707053,0.20848375451263534,0.1964117091595845,0.2272325375773652,0.2215302491103203,0.1839738348323794,0.18968253968253967,0.18252730109204368,0.14804063860667635,0.16888297872340424,0.20263488080301129,0.17904233171408745,0.2137983320697498,0.20948616600790515,0.20034692107545532,0.1948291782086796,0.2040133779264214,0.14964788732394366,0.17619783616692428,0.17248908296943233,0.1829436038514443,0.18152031454783749,0.1762057877813505,0.18695652173913044,0.21596638655462186,0.24498327759197325,0.2648945921173236,0.2212467076382792,0.22108843537414968,0.2082980524978832,0.18159609120521167,0.18274111675126906,0.20807926829268286,0.21714285714285714,0.23675154852030286,0.2833898305084745,0.2608047690014903,0.2836041358936485,0.2901960784313726,0.18189300411522635,0.2521877486077964,0.2347684809098294,0.21153846153846154,0.22459499263622976,0.23624161073825506,0.2661962796664529,0.2503293807641634,0.27003891050583656,0.3176954732510288,0.325,0.32422907488986785,0.29244357212953875,0.30529054640069386,0.26282628262826285,0.26123833757421544,0.2029102667744543,0.21261682242990654,0.1856702619414484,0.15846153846153846,0.25161812297734626,0.25
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,0.0,0.045454545454545456,0.020408163265306117,0.0,0.05263157894736842,0.0,0.0,0.0,0.04,0.0,0.16,0.043478260869565216,0.043478260869565216,0.0,0.0,0.03571428571428571,0.016129032258064516,0.016129032258064516,0.0,0.037037037037037035,0.03333333333333333,0.06666666666666668,0.05555555555555555,0.09523809523809523,0.2,0.057142857142857134,0.08108108108108109,0.12244897959183673,0.054545454545454536,0.0641025641025641,0.09090909090909093,0.05555555555555555,0.07575757575757576,0.12280701754385966,0.1076923076923077,0.031746031746031744,0.0945945945945946,0.12903225806451613,0.054054054054054064,0.02479338842975207,0.03759398496240601,0.025974025974025976,0.03314917127071823,0.14388489208633093,0.08527131782945736,0.08241758241758243,0.13615023474178406,0.04782608695652174,0.057142857142857134,0.048,0.08832807570977919,0.040760869565217385,0.06487695749440715,0.07268170426065163,0.05817174515235458,0.06596306068601583,0.10059171597633136,0.0804953560371517,0.08372093023255814,0.0821917808219178,0.10249307479224376,0.08333333333333333,0.0871559633027523,0.0873015873015873,0.05668934240362813,0.07505070993914807,0.059620596205962065,0.07222222222222223,0.07922912205567452,0.10762331838565024,0.13647058823529412,0.11463414634146342,0.13411764705882356,0.122,0.138671875,0.11046511627906977,0.0994263862332696,0.12927756653992395,0.1100196463654224,0.11199999999999999,0.1213872832369942,0.2065217391304348,0.21492007104795735,0.1233108108108108,0.16358839050131924,0.12207792207792208,0.11402508551881416,0.14047619047619048,0.14491150442477874,0.1503531786074672,0.13415892672858618,0.1553030303030303,0.1969178082191781,0.2414307004470939,0.251896813353566,0.18024263431542464,0.1908177905308465,0.1915184678522572,0.1554524361948956,0.17216117216117216,0.1776470588235294,0.12962962962962962,0.07661290322580645,0.13704819277108435,0.1686143572621035
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.07692307692307693,0.0,,,,,,0.18181818181818185,,,,0.1875,0.16666666666666666,,0.07407407407407407,0.054054054054054064
Battery Park City,Manhattan,neighborhood,0.11235955056179776,0.023809523809523808,0.0594059405940594,0.1111111111111111,0.011111111111111113,0.05434782608695652,0.04301075268817205,0.07207207207207207,0.06796116504854369,0.04464285714285714,0.07216494845360824,0.09433962264150944,0.08849557522123894,0.06976744186046513,0.10638297872340426,0.050420168067226885,0.05882352941176471,0.08870967741935484,0.045045045045045036,0.16806722689075632,0.18584070796460175,0.1885245901639344,0.21212121212121213,0.17796610169491525,0.26666666666666666,0.14728682170542634,0.13986013986013987,0.10714285714285714,0.13768115942028986,0.09271523178807947,0.08571428571428573,0.09090909090909093,0.15126050420168066,0.1016949152542373,0.12396694214876032,0.1875,0.1793103448275862,0.1282051282051282,0.16167664670658682,0.18787878787878787,0.11728395061728394,0.16463414634146342,0.07894736842105263,0.11235955056179776,0.12883435582822084,0.13095238095238096,0.1590909090909091,0.14906832298136646,0.15151515151515152,0.13245033112582782,0.06622516556291391,0.02097902097902098,0.06711409395973154,0.08064516129032258,0.10714285714285714,0.08917197452229299,0.1044776119402985,0.1619718309859155,0.12903225806451613,0.12244897959183673,0.14388489208633093,0.18045112781954886,0.14685314685314685,0.18439716312056734,0.10294117647058824,0.2127659574468085,0.18115942028985507,0.2196969696969697,0.1297709923664122,0.2432432432432433,0.2307692307692308,0.2307692307692308,0.2416666666666667,0.2442748091603053,0.16153846153846155,0.09401709401709403,0.10810810810810813,0.13675213675213674,0.1774193548387097,0.12307692307692307,0.1588785046728972,0.2764227642276423,0.2518518518518518,0.14754098360655735,0.13740458015267176,0.24444444444444444,0.14705882352941174,0.16666666666666666,0.23478260869565215,0.14035087719298245,0.22,0.27102803738317754,0.1276595744680851,0.3058823529411765,0.2842105263157895,0.2452830188679245,0.30392156862745096,0.21875,0.18095238095238092,0.13725490196078433,0.07777777777777778,0.0449438202247191,0.05263157894736842,0.2736842105263158,0.24390243902439024
