Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
All Downtown,Manhattan,submarket,0.10535557506584724,0.08742714404662781,0.0977198697068404,0.08695652173913042,0.06690777576853528,0.07462686567164177,0.08287795992714025,0.09444985394352484,0.08786127167630058,0.12033694344163658,0.09551886792452832,0.10048426150121063,0.08551881413911061,0.08064516129032258,0.07142857142857142,0.07357859531772576,0.0778688524590164,0.09065420560747664,0.11423550087873463,0.10521739130434783,0.14759036144578316,0.18059855521155832,0.21323529411764705,0.16666666666666666,0.17245005257623555,0.1479028697571744,0.1270611057225994,0.12476894639556375,0.14009287925696595,0.14402375649591687,0.132,0.14847457627118646,0.1813271604938272,0.1838529176658673,0.1327212020033389,0.1469838572642311,0.17709118311981914,0.1474010861132661,0.1544837980406933,0.13029315960912052,0.1388888888888889,0.12514551804423749,0.14656084656084656,0.17024620220010478,0.17597292724196278,0.19696969696969696,0.1706374758531874,0.13073237508555785,0.16225165562913907,0.13654096228868662,0.2050837666088966,0.17604617604617606,0.2014636246233319,0.13596102745792735,0.16077322017916074,0.18199142448785136,0.21920563097033685,0.22438255386232264,0.20941176470588235,0.13229813664596274,0.14887126296522268,0.15221707478491064,0.14227166276346606,0.11983032873807,0.1484777517564403,0.15447154471544716,0.1554192229038855,0.21381722780935725,0.19784172661870505,0.2364583333333333,0.23483009708737865,0.18187539332913785,0.18694362017804156,0.1793570219966159,0.1880434782608696,0.1741093828399398,0.15625,0.2085371276122721,0.22031772575250835,0.2412207357859532,0.27502295684113864,0.28007699711260825,0.26300148588410105,0.2230769230769231,0.2146951537258989,0.18923327895595432,0.19940623453735776,0.17161410018552875,0.18305785123966944,0.22230769230769232,0.20037105751391465,0.2312804607886575,0.2791052364006101,0.30996309963099633,0.2985524728588661,0.2099184782608696,0.2310513447432763,0.1901362751460091,0.17676767676767674,0.1527313266443701,0.14353163361661944,0.13752808988764045,0.11318407960199005,0.20730058584948172,0.23839541547277934
All Midtown,Manhattan,submarket,0.11756168359941944,0.06377204884667571,0.09523809523809523,0.061058344640434185,0.0576923076923077,0.07848837209302326,0.09193776520509192,0.07894736842105263,0.1141804788213628,0.1146384479717813,0.12028725314183125,0.09874326750448834,0.09807355516637478,0.06502636203866433,0.0912106135986733,0.07467532467532467,0.0715372907153729,0.06959152798789713,0.08771929824561403,0.0849194729136164,0.10526315789473684,0.15664556962025314,0.13680781758957655,0.1301989150090416,0.12998266897746968,0.09555189456342668,0.11912225705329152,0.13076923076923078,0.1303680981595092,0.12572254335260116,0.11219512195121953,0.12407862407862408,0.17718120805369128,0.17914438502673796,0.18725099601593626,0.14979195561719832,0.16145833333333334,0.14942528735632185,0.14934289127837516,0.12080536912751677,0.12344280860702153,0.1112372304199773,0.12906610703043025,0.14225941422594146,0.1559202813599062,0.19708846584546472,0.15180722891566265,0.17530864197530865,0.1511627906976744,0.13610149942329874,0.15928270042194093,0.12212943632567848,0.0953757225433526,0.13095238095238096,0.14423076923076922,0.14673913043478262,0.1892147587511826,0.17736185383244207,0.16891891891891891,0.156686626746507,0.1720430107526882,0.13725490196078433,0.12867647058823528,0.11216566005176876,0.10068846815834767,0.1167883211678832,0.15,0.17448559670781896,0.16963528413910092,0.23305785123966946,0.2082239720034996,0.15591397849462366,0.17477477477477474,0.17092511013215858,0.14473684210526316,0.1413484971567831,0.1324200913242009,0.14910394265232976,0.16715328467153284,0.1863605671843349,0.2298417483044461,0.2563338301043219,0.23133776792313376,0.1872990353697749,0.18222222222222226,0.16975060337892195,0.16715976331360946,0.14295774647887324,0.15389568576947846,0.18244514106583076,0.16878172588832488,0.18700361010830324,0.2260111022997621,0.2714285714285714,0.2596401028277635,0.21634615384615385,0.21475875118259224,0.18063872255489025,0.17412451361867706,0.1832740213523132,0.1393188854489164,0.13608087091757387,0.12925696594427244,0.19858712715855573,0.2154648132059079
All Upper East Side,Manhattan,submarket,0.1319796954314721,0.08972267536704731,0.10726643598615918,0.08188153310104529,0.08801498127340825,0.09698996655518397,0.1020066889632107,0.08600337268128162,0.13644524236983846,0.125,0.09057971014492754,0.1,0.09183673469387756,0.07651245551601424,0.10738255033557048,0.09854014598540146,0.07985480943738657,0.12110726643598616,0.12147887323943662,0.12164579606440072,0.16603053435114504,0.20408163265306126,0.1615720524017467,0.13513513513513514,0.14096916299559473,0.145413870246085,0.12352941176470587,0.12326043737574552,0.10338345864661654,0.12398042414355627,0.15136876006441224,0.1896551724137931,0.1978798586572438,0.20408163265306126,0.1448692152917505,0.14853556485355648,0.1394422310756972,0.125531914893617,0.15655577299412915,0.1583629893238434,0.11307420494699645,0.11884550084889645,0.14442916093535074,0.16817593790426907,0.17862165963431784,0.1559748427672956,0.1768901569186876,0.17156105100463678,0.1723027375201288,0.11624441132637856,0.1238390092879257,0.10557184750733138,0.11330698287220024,0.13186813186813187,0.16240409207161124,0.17571059431524547,0.1875,0.18882978723404256,0.143646408839779,0.14375,0.1301775147928994,0.14871016691957512,0.16470588235294115,0.1111111111111111,0.09112709832134293,0.1294885745375408,0.14870689655172414,0.1856353591160221,0.20789779326364694,0.2284153005464481,0.20933014354066987,0.1933774834437086,0.19875776397515527,0.1734820322180917,0.1596351197263398,0.153276955602537,0.15279138099902054,0.2013170272812794,0.1998175182481752,0.2358744394618834,0.28765880217785844,0.2552581261950287,0.21413721413721412,0.18341121495327106,0.2022099447513812,0.16324062877871826,0.17505720823798626,0.1422070534698521,0.15203426124197006,0.19878296146044624,0.1822033898305085,0.2096569250317662,0.20774193548387096,0.2746987951807229,0.2470433639947437,0.1931464174454829,0.22794117647058826,0.19558823529411765,0.1736111111111111,0.13717421124828533,0.11224489795918367,0.13160854893138355,0.11632870864461048,0.1747787610619469,0.19508867667121416
All Upper Manhattan,Manhattan,submarket,0.07317073170731707,0.0920245398773006,0.1074074074074074,0.07086614173228346,0.07604562737642585,0.0958904109589041,0.06315789473684211,0.11068702290076336,0.1085972850678733,0.14977973568281938,0.12195121951219512,0.07042253521126761,0.12669683257918551,0.0963302752293578,0.11673151750972766,0.044280442804428034,0.13970588235294118,0.05725190839694656,0.076,0.10714285714285714,0.11666666666666667,0.1799163179916318,0.14741035856573706,0.097165991902834,0.09154929577464788,0.10828025477707008,0.12874251497005987,0.14647887323943662,0.11855670103092784,0.10886075949367087,0.15081206496519722,0.10467706013363028,0.15521628498727735,0.1811926605504587,0.17899761336515513,0.08656036446469248,0.11643835616438356,0.08653846153846154,0.12796208530805686,0.1122047244094488,0.11743772241992882,0.12216404886561955,0.108499095840868,0.10377358490566037,0.08459869848156182,0.1807692307692308,0.16261682242990655,0.1245136186770428,0.12227805695142377,0.1226252158894646,0.1020066889632107,0.10682492581602374,0.14375,0.1324582338902148,0.10576923076923077,0.1345565749235474,0.16071428571428573,0.15115115115115116,0.16649323621227888,0.12756756756756754,0.1383399209486166,0.1271551724137931,0.11380400421496313,0.11860718171926005,0.10734463276836158,0.11188811188811187,0.12648945921173235,0.11298315163528246,0.1176470588235294,0.14397321428571427,0.15631469979296067,0.10221285563751316,0.1148936170212766,0.10986547085201794,0.08917197452229299,0.10601427115188584,0.13627992633517494,0.14527027027027026,0.11934156378600826,0.15168539325842698,0.1591726618705036,0.1698292220113852,0.15370705244122965,0.12632594021215046,0.1524822695035461,0.15967885816235505,0.1535806729939603,0.1287313432835821,0.15196078431372548,0.14842027920646586,0.12733812949640289,0.20959843290891286,0.19206008583690987,0.20103626943005184,0.2487373737373737,0.1664145234493192,0.17647058823529413,0.16061452513966482,0.13316892725030827,0.13908045977011493,0.12945973496432212,0.11726078799249533,0.10192147034252297,0.18039895923677365,0.19203980099502488
All Upper West Side,Manhattan,submarket,0.08376963350785341,0.10294117647058824,0.0941385435168739,0.058922558922558925,0.07509157509157509,0.05253940455341506,0.06382978723404255,0.061085972850678724,0.09178743961352658,0.12351543942992875,0.08584686774941995,0.09333333333333334,0.08247422680412371,0.08771929824561403,0.08870967741935484,0.06956521739130435,0.08169014084507042,0.06954436450839327,0.07186858316221766,0.15109343936381708,0.1728395061728395,0.16,0.17715617715617715,0.12590799031477,0.12444444444444445,0.12471131639722866,0.14184397163120568,0.14719626168224298,0.10633946830265847,0.13966480446927373,0.16842105263157894,0.1359724612736661,0.17364016736401675,0.1934826883910387,0.13990825688073394,0.1079136690647482,0.1330049261083744,0.11267605633802814,0.1169724770642202,0.1540130151843818,0.10276679841897234,0.13736263736263735,0.16776315789473684,0.1875,0.1888,0.28858024691358025,0.2147887323943662,0.19508196721311474,0.21551724137931036,0.1773308957952468,0.16610169491525426,0.1634782608695652,0.16510903426791276,0.17300131061598953,0.19262782401902495,0.2064516129032258,0.2184065934065934,0.24444444444444444,0.21036106750392464,0.17784711388455535,0.16114457831325302,0.13709677419354838,0.14798206278026907,0.15135135135135136,0.14760638297872342,0.1691542288557214,0.21776814734561212,0.2443438914027149,0.2722772277227723,0.27586206896551724,0.2670454545454545,0.2447129909365559,0.19306184012066369,0.2183206106870229,0.1903409090909091,0.18307905686546466,0.20199501246882792,0.2161594963273872,0.2086776859504132,0.2446043165467626,0.28876404494382024,0.2783018867924528,0.2946544980443285,0.19767441860465115,0.2256267409470752,0.2319884726224784,0.23624161073825506,0.2199170124481328,0.1927570093457944,0.2523659305993691,0.22741764080765145,0.30676328502415456,0.3188811188811189,0.3157181571815718,0.3078078078078078,0.24436741767764295,0.24110032362459544,0.22163120567375885,0.2114754098360656,0.16587677725118485,0.19054441260744984,0.18361955085865256,0.12927756653992395,0.22208121827411167,0.30745341614906835
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,0.060606060606060615,0.0,0.0,0.0,0.043478260869565216,0.09090909090909093,0.05263157894736842,0.0,0.0,0.0,0.1,,,,0.07142857142857142,0.0,0.0,0.0,0.037037037037037035,0.043478260869565216,0.09090909090909093,0.16,0.0,0.12,0.0,0.07142857142857142,0.05555555555555555,0.023809523809523808,0.047619047619047616,0.1176470588235294,0.13725490196078433,0.10909090909090907,0.08333333333333333,0.08333333333333333,0.07407407407407407,0.13114754098360654,0.12162162162162166,0.16129032258064516,0.10144927536231883,0.08,0.08602150537634409,0.07964601769911504,0.10400000000000001,0.05607476635514018,0.04878048780487805,0.15267175572519084,0.14634146341463414,0.11805555555555555,0.08994708994708994,0.07537688442211055,0.1004566210045662,0.07777777777777778,0.05985915492957746,0.08494208494208494,0.08156028368794327,0.07166123778501629,0.0903010033444816,0.11965811965811965,0.10817941952506596,0.07281553398058252,0.06725146198830409,0.07219251336898395,0.09839816933638444,0.07175925925925926,0.08518518518518517,0.05528455284552845,0.034261241970021415,0.07416267942583732,0.1322314049586777,0.13606911447084233,0.13900414937759334,0.09135802469135802,0.11614730878186967,0.09659090909090907,0.15421686746987953,0.14688128772635814,0.1349206349206349,0.13857677902621726,0.14644351464435146,0.14344262295081964,0.1411530815109344,0.1975736568457539,0.2036036036036036,0.13450292397660818,0.17011834319526628,0.16169154228855726,0.14285714285714285,0.1492027334851936,0.1622222222222222,0.15784215784215785,0.16559139784946236,0.19966442953020133,0.2352941176470588,0.22755417956656346,0.2006980802792321,0.1992409867172676,0.20446096654275087,0.2236842105263158,0.21758569299552907,0.17563291139240506,0.22457067371202116,0.1649746192893401,0.1087866108786611,0.16417910447761194,0.20032310177705975
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18181818181818185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07692307692307693,,,,,,,,,,,,,,,,0.09090909090909093,0.38461538461538464,0.2857142857142857,0.06666666666666668,0.0,0.14285714285714285,,,,,,,0.18181818181818185,,,0.1875,0.07142857142857142,0.12,0.07407407407407407,0.05263157894736842
Battery Park City,Manhattan,neighborhood,0.07936507936507936,0.07575757575757576,0.05660377358490566,0.023809523809523808,0.02325581395348837,0.02,0.1020408163265306,0.05357142857142857,0.02127659574468085,0.0,0.1282051282051282,0.06976744186046513,0.0196078431372549,0.10416666666666667,0.054545454545454536,0.11864406779661014,0.0625,0.06521739130434782,0.09615384615384616,0.17647058823529413,0.16129032258064516,0.17647058823529413,0.3088235294117647,0.17857142857142858,0.26,0.10638297872340426,0.06896551724137931,0.21875,0.2435897435897436,0.16279069767441862,0.1368421052631579,0.14150943396226415,0.17582417582417584,0.14942528735632185,0.08791208791208792,0.11267605633802814,0.1686746987951807,0.1323529411764706,0.13636363636363635,0.1111111111111111,0.15217391304347827,0.07954545454545454,0.17391304347826084,0.2075471698113208,0.1188118811881188,0.1016949152542373,0.05,0.1111111111111111,0.19767441860465115,0.09411764705882353,0.061728395061728385,0.060240963855421686,0.10434782608695653,0.06779661016949153,0.1391304347826087,0.20388349514563106,0.1855670103092784,0.16304347826086954,0.1686746987951807,0.2153846153846154,0.11688311688311688,0.21875,0.21052631578947367,0.13414634146341464,0.19540229885057472,0.24731182795698925,0.14432989690721648,0.2277227722772277,0.24731182795698925,0.25,0.15789473684210525,0.14942528735632185,0.42168674698795183,0.2906976744186047,0.23170731707317074,0.21505376344086025,0.13414634146341464,0.1650485436893204,0.3333333333333333,0.1926605504587156,0.17045454545454544,0.2405063291139241,0.2261904761904762,0.14925373134328354,0.14864864864864866,0.2258064516129032,0.21311475409836064,0.15714285714285714,0.18181818181818185,0.21518987341772156,0.2352941176470588,0.2361111111111111,0.2876712328767123,0.24675324675324675,0.2807017543859649,0.1864406779661017,0.3387096774193548,0.2419354838709677,0.19117647058823528,0.18840579710144928,0.1527777777777778,0.08695652173913042,0.23376623376623376,0.24705882352941175,0.2804878048780488
