Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
All Downtown,Manhattan,submarket,460.0,445.0,425.0,483.0,479.0,539.0,472.0,394.0,327.0,308.0,303.0,302.0,298.0,291.0,319.0,369.0,443.0,481.0,496.0,517.0,445.0,396.0,393.0,375.0,385.0,406.0,420.0,463.0,564.0,611.0,697.0,646.0,523.0,526.0,509.0,472.0,556.0,564.0,558.0,662.0,757.0,774.0,858.0,845.0,715.0,642.0,493.0,472.0,496.0,498.0,596.0,712.0,818.0,844.0,910.0,873.0,773.0,674.0,619.0,621.0,589.0,537.0,631.0,748.0,903.0,1022.0,1140.0,974.0,749.0,727.0,664.0,644.0,653.0,649.0,693.0,806.0,952.0,1058.0,1144.0,1155.0,1007.0,898.0,820.0,739.0,805.0,782.0,897.0,1045.0,1248.0,1353.0,1389.0,1194.0,970.0,927.0,799.0,672.0,671.0,645.0,720.0,959.0,1201.0,1238.0,1282.0,1209.0,923.0
All Midtown,Manhattan,submarket,217.0,197.0,207.0,211.0,197.0,208.0,184.0,176.0,172.0,159.0,152.0,153.0,143.0,160.0,150.0,185.0,243.0,221.0,226.0,208.0,185.0,182.0,176.0,160.0,159.0,152.0,169.0,201.0,211.0,212.0,225.0,241.0,229.0,214.0,210.0,208.0,233.0,250.0,266.0,261.0,275.0,261.0,310.0,307.0,284.0,314.0,289.0,275.0,295.0,279.0,286.0,333.0,362.0,310.0,374.0,369.0,317.0,363.0,359.0,331.0,365.0,390.0,381.0,408.0,397.0,426.0,442.0,485.0,472.0,449.0,393.0,378.0,368.0,382.0,427.0,452.0,459.0,482.0,516.0,547.0,498.0,512.0,476.0,397.0,415.0,397.0,442.0,488.0,576.0,607.0,606.0,497.0,445.0,437.0,376.0,357.0,354.0,346.0,369.0,425.0,518.0,534.0,547.0,534.0,458.0
All Upper East Side,Manhattan,submarket,261.0,257.0,245.0,284.0,287.0,318.0,308.0,267.0,256.0,235.0,224.0,255.0,213.0,186.0,203.0,202.0,236.0,276.0,265.0,261.0,230.0,210.0,194.0,155.0,150.0,163.0,200.0,236.0,247.0,284.0,314.0,302.0,259.0,263.0,266.0,228.0,235.0,230.0,241.0,306.0,323.0,301.0,347.0,381.0,347.0,354.0,326.0,312.0,311.0,293.0,307.0,330.0,381.0,421.0,433.0,415.0,444.0,413.0,378.0,317.0,353.0,335.0,332.0,360.0,441.0,489.0,488.0,457.0,438.0,432.0,380.0,355.0,368.0,351.0,390.0,429.0,523.0,571.0,567.0,530.0,488.0,486.0,476.0,438.0,451.0,424.0,420.0,419.0,464.0,513.0,520.0,430.0,388.0,389.0,378.0,325.0,320.0,277.0,294.0,334.0,401.0,444.0,464.0,435.0,335.0
All Upper Manhattan,Manhattan,submarket,160.0,160.0,168.0,151.0,132.0,160.0,151.0,123.0,106.0,122.0,121.0,130.0,135.0,125.0,110.0,106.0,139.0,130.0,125.0,133.0,114.0,124.0,129.0,130.0,152.0,152.0,157.0,167.0,172.0,214.0,278.0,281.0,226.0,221.0,211.0,218.0,261.0,247.0,279.0,327.0,396.0,395.0,395.0,342.0,294.0,300.0,320.0,307.0,344.0,358.0,394.0,404.0,441.0,426.0,541.0,527.0,462.0,475.0,507.0,562.0,616.0,635.0,687.0,710.0,697.0,677.0,735.0,694.0,631.0,583.0,573.0,590.0,578.0,595.0,653.0,711.0,760.0,812.0,882.0,913.0,777.0,743.0,813.0,781.0,798.0,685.0,711.0,730.0,809.0,900.0,962.0,719.0,585.0,598.0,517.0,444.0,484.0,492.0,593.0,603.0,659.0,705.0,856.0,886.0,704.0
All Upper West Side,Manhattan,submarket,264.0,255.0,252.0,292.0,267.0,278.0,260.0,229.0,194.0,202.0,186.0,194.0,192.0,182.0,188.0,188.0,225.0,245.0,267.0,266.0,266.0,272.0,246.0,240.0,207.0,215.0,202.0,200.0,256.0,286.0,296.0,310.0,276.0,263.0,260.0,253.0,267.0,266.0,262.0,287.0,324.0,332.0,354.0,355.0,317.0,329.0,304.0,291.0,312.0,292.0,307.0,323.0,365.0,438.0,460.0,428.0,384.0,406.0,324.0,289.0,309.0,330.0,339.0,352.0,413.0,514.0,528.0,514.0,488.0,440.0,419.0,393.0,392.0,392.0,411.0,441.0,507.0,579.0,553.0,562.0,529.0,495.0,457.0,398.0,393.0,374.0,385.0,388.0,461.0,514.0,538.0,495.0,468.0,452.0,363.0,302.0,333.0,316.0,299.0,367.0,408.0,442.0,476.0,482.0,431.0
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,13.0,14.0,17.0,14.0,13.0,12.0,7.0,5.0,2.0,4.0,8.0,8.0,4.0,4.0,4.0,5.0,10.0,14.0,9.0,8.0,8.0,7.0,10.0,13.0,14.0,11.0,12.0,16.0,17.0,17.0,18.0,12.0,8.0,18.0,17.0,19.0,31.0,33.0,33.0,45.0,61.0,53.0,56.0,44.0,46.0,68.0,81.0,79.0,94.0,109.0,137.0,159.0,165.0,148.0,104.0,113.0,143.0,145.0,216.0,230.0,172.0,223.0,239.0,275.0,339.0,324.0,247.0,184.0,146.0,179.0,183.0,147.0,144.0,160.0,185.0,203.0,223.0,221.0,241.0,242.0,255.0,227.0,205.0,223.0,292.0,334.0,356.0,369.0,404.0,458.0,466.0,281.0,280.0,265.0,262.0,197.0,210.0,250.0,267.0,282.0,346.0,383.0,367.0,328.0,295.0
Auburndale,Queens,neighborhood,1.0,,,1.0,1.0,1.0,,,,,,,,,,,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0,3.0,5.0,6.0,2.0,3.0,2.0,4.0,5.0,3.0,3.0,3.0,4.0,2.0,,1.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,3.0,3.0,2.0,3.0,3.0,4.0,5.0,5.0,8.0,8.0,4.0,2.0,3.0,4.0,7.0,5.0,5.0,3.0,2.0,3.0,3.0,5.0,6.0,7.0,7.0,6.0,5.0,7.0,4.0,2.0,5.0,7.0,10.0,8.0,8.0,16.0,12.0,6.0,6.0,5.0,5.0,8.0,9.0,8.0,9.0,6.0,6.0,6.0,11.0,4.0,5.0
Bath Beach,Brooklyn,neighborhood,1.0,1.0,,1.0,2.0,2.0,,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,6.0,5.0,5.0,4.0,6.0,7.0,7.0,5.0,6.0,9.0,8.0,10.0,7.0,8.0,8.0,7.0,9.0,11.0,12.0,10.0,14.0,12.0,13.0,14.0,15.0,13.0,10.0,11.0,15.0,16.0,13.0,12.0,16.0,13.0,17.0,17.0,15.0,17.0,16.0,5.0,9.0,12.0,6.0,5.0,11.0,12.0,16.0,18.0,17.0,9.0,7.0,9.0,16.0
Battery Park City,Manhattan,neighborhood,28.0,24.0,21.0,26.0,18.0,17.0,13.0,12.0,17.0,15.0,13.0,17.0,14.0,17.0,15.0,18.0,22.0,31.0,31.0,35.0,36.0,38.0,38.0,30.0,22.0,27.0,29.0,33.0,36.0,45.0,54.0,41.0,38.0,37.0,43.0,34.0,31.0,29.0,32.0,35.0,37.0,40.0,39.0,44.0,36.0,33.0,29.0,34.0,29.0,31.0,39.0,42.0,38.0,39.0,36.0,40.0,36.0,37.0,32.0,26.0,26.0,20.0,23.0,23.0,31.0,27.0,25.0,39.0,33.0,38.0,35.0,33.0,40.0,35.0,37.0,28.0,32.0,34.0,30.0,40.0,39.0,29.0,25.0,21.0,26.0,25.0,24.0,26.0,30.0,29.0,32.0,28.0,29.0,30.0,21.0,18.0,17.0,17.0,14.0,16.0,25.0,28.0,29.0,30.0,30.0
