Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
All Downtown,Manhattan,submarket,0.10652173913043478,0.05842696629213484,0.07529411764705883,0.043478260869565216,0.07306889352818371,0.08163265306122447,0.1016949152542373,0.10152284263959392,0.10397553516819573,0.10064935064935067,0.1056105610561056,0.049668874172185434,0.1040268456375839,0.08247422680412371,0.09404388714733544,0.08401084010840107,0.06094808126410835,0.1101871101871102,0.12096774193548387,0.14313346228239845,0.1752808988764045,0.16666666666666666,0.17557251908396945,0.11466666666666668,0.15584415584415584,0.10344827586206896,0.1261904761904762,0.11447084233261337,0.12234042553191488,0.1260229132569558,0.14634146341463414,0.17182662538699692,0.21223709369024854,0.21482889733840305,0.15717092337917485,0.1419491525423729,0.17086330935251798,0.12588652482269502,0.17383512544802868,0.14803625377643506,0.1096433289299868,0.13695090439276486,0.162004662004662,0.16094674556213018,0.21398601398601397,0.19158878504672894,0.1744421906693712,0.13559322033898305,0.13306451612903225,0.12248995983935745,0.11577181208053693,0.12359550561797752,0.13814180929095354,0.14336492890995262,0.15934065934065933,0.16494845360824742,0.19016817593790428,0.2106824925816024,0.135702746365105,0.12560386473429952,0.1035653650254669,0.12476722532588455,0.10301109350237718,0.11497326203208555,0.13067552602436322,0.14579256360078274,0.1368421052631579,0.19507186858316225,0.20560747663551399,0.21870701513067398,0.1927710843373494,0.12577639751552794,0.12710566615620214,0.1386748844375963,0.15007215007215008,0.1240694789081886,0.14600840336134455,0.15217391304347827,0.18444055944055945,0.2077922077922078,0.22542204568023835,0.2650334075723831,0.23536585365853654,0.15832205683355885,0.18509316770186332,0.13938618925831206,0.13489409141583056,0.10622009569377992,0.16105769230769232,0.1655580192165558,0.17134629229661627,0.24120603015075376,0.2979381443298969,0.2567421790722761,0.246558197747184,0.14285714285714285,0.14754098360655735,0.14883720930232558,0.11527777777777777,0.10427528675703858,0.13905079100749376,0.13489499192245558,0.13806552262090482,0.2307692307692308,0.26435536294691225
All Midtown,Manhattan,submarket,0.07373271889400923,0.07614213197969544,0.10144927536231883,0.11374407582938388,0.09137055837563453,0.07211538461538461,0.08695652173913042,0.0625,0.0872093023255814,0.1509433962264151,0.05263157894736842,0.09803921568627452,0.07692307692307693,0.03125,0.09333333333333334,0.0972972972972973,0.045267489711934165,0.045248868778280535,0.09734513274336284,0.09134615384615384,0.16756756756756758,0.14835164835164835,0.13636363636363635,0.125,0.0880503144654088,0.08552631578947369,0.10650887573964496,0.0945273631840796,0.0947867298578199,0.12264150943396225,0.18222222222222226,0.15352697095435686,0.18340611353711792,0.21495327102803735,0.13333333333333333,0.09615384615384616,0.184549356223176,0.12,0.13157894736842105,0.11877394636015325,0.08,0.1417624521072797,0.15806451612903225,0.1791530944625407,0.1866197183098592,0.18789808917197454,0.1453287197231834,0.13454545454545455,0.15593220338983052,0.13620071684587814,0.13636363636363635,0.10810810810810813,0.09392265193370164,0.1129032258064516,0.10427807486631016,0.12195121951219512,0.17034700315457413,0.12396694214876032,0.1309192200557103,0.1268882175226586,0.1643835616438356,0.1,0.14960629921259844,0.0931372549019608,0.11335012594458438,0.11737089201877934,0.15610859728506787,0.16082474226804125,0.1673728813559322,0.2293986636971047,0.17557251908396945,0.12698412698412698,0.12228260869565218,0.1544502617801047,0.12646370023419204,0.1172566371681416,0.12854030501089325,0.13692946058091288,0.16279069767441862,0.19012797074954296,0.214859437751004,0.20703125,0.1638655462184874,0.14105793450881612,0.13012048192771086,0.12090680100755667,0.1153846153846154,0.13114754098360654,0.1527777777777778,0.15485996705107086,0.1551155115511551,0.2092555331991952,0.20674157303370785,0.2585812356979405,0.2074468085106383,0.1792717086834734,0.1440677966101695,0.17341040462427745,0.15176151761517614,0.1388235294117647,0.10424710424710423,0.1104868913857678,0.10968921389396707,0.16853932584269662,0.2052401746724891
All Upper East Side,Manhattan,submarket,0.1111111111111111,0.04669260700389105,0.07755102040816328,0.09154929577464788,0.08013937282229965,0.11635220125786165,0.14285714285714285,0.14232209737827714,0.140625,0.14468085106382975,0.12053571428571427,0.10980392156862744,0.09389671361502347,0.07526881720430108,0.06896551724137931,0.06930693069306931,0.08898305084745763,0.07608695652173914,0.12452830188679245,0.09578544061302682,0.17391304347826084,0.17142857142857146,0.12371134020618554,0.0967741935483871,0.15333333333333332,0.1165644171779141,0.14,0.1016949152542373,0.1659919028340081,0.14084507042253522,0.14968152866242038,0.19536423841059605,0.25096525096525096,0.21673003802281368,0.14661654135338345,0.15789473684210525,0.13617021276595745,0.11304347826086955,0.11203319502074688,0.1503267973856209,0.14551083591331268,0.106312292358804,0.14121037463976946,0.1679790026246719,0.20461095100864554,0.2401129943502825,0.15644171779141106,0.15384615384615385,0.13183279742765272,0.09556313993174062,0.1237785016286645,0.11212121212121212,0.13648293963254593,0.15676959619952496,0.12702078521939955,0.1566265060240964,0.15315315315315314,0.15012106537530268,0.17724867724867724,0.0946372239747634,0.12181303116147307,0.11343283582089553,0.10240963855421686,0.10833333333333334,0.07029478458049887,0.12678936605316973,0.15368852459016394,0.1772428884026258,0.1598173515981735,0.1597222222222222,0.17894736842105266,0.14929577464788732,0.15760869565217392,0.1452991452991453,0.1564102564102564,0.18414918414918416,0.14149139579349904,0.18914185639229425,0.2257495590828924,0.24339622641509434,0.29713114754098363,0.2366255144032922,0.18067226890756305,0.1415525114155251,0.1574279379157428,0.13679245283018868,0.16428571428571428,0.1431980906921241,0.15086206896551724,0.19883040935672516,0.19038461538461535,0.25116279069767444,0.20618556701030927,0.2493573264781491,0.21164021164021166,0.15076923076923074,0.159375,0.1371841155234657,0.12585034013605442,0.09281437125748504,0.10473815461346632,0.13063063063063066,0.125,0.19310344827586207,0.2208955223880597
All Upper Manhattan,Manhattan,submarket,0.08125,0.075,0.09523809523809523,0.026490066225165563,0.03787878787878788,0.125,0.09271523178807947,0.08130081300813008,0.11320754716981132,0.1557377049180328,0.09917355371900828,0.09230769230769233,0.08148148148148149,0.048,0.07272727272727272,0.08490566037735849,0.1223021582733813,0.13076923076923078,0.064,0.12030075187969926,0.14035087719298245,0.20161290322580644,0.12403100775193797,0.07692307692307693,0.07894736842105263,0.10526315789473684,0.1464968152866242,0.10179640718562874,0.12790697674418605,0.1542056074766355,0.1510791366906475,0.15658362989323846,0.2035398230088496,0.2443438914027149,0.17535545023696686,0.08256880733944955,0.2260536398467433,0.15384615384615385,0.13261648745519716,0.12844036697247707,0.0707070707070707,0.16455696202531644,0.09113924050632913,0.12573099415204678,0.1598639455782313,0.2,0.15,0.12052117263843648,0.13372093023255813,0.1424581005586592,0.1065989847715736,0.12871287128712872,0.10430839002267574,0.19248826291079807,0.1645101663585952,0.16129032258064516,0.2597402597402597,0.15578947368421053,0.1932938856015779,0.14768683274021352,0.15584415584415584,0.16692913385826771,0.11208151382823872,0.1295774647887324,0.10473457675753227,0.16838995568685378,0.11428571428571427,0.18011527377521613,0.1600633914421553,0.19039451114922806,0.1431064572425829,0.12542372881355932,0.13667820069204153,0.1411764705882353,0.11791730474732008,0.12376933895921237,0.14605263157894738,0.15763546798029554,0.1349206349206349,0.18948521358159912,0.20334620334620332,0.17092866756393002,0.16974169741697415,0.11779769526248401,0.14285714285714285,0.12554744525547445,0.17018284106891698,0.136986301369863,0.1334981458590853,0.17555555555555555,0.15280665280665282,0.22253129346314326,0.2632478632478633,0.28929765886287623,0.29593810444874274,0.2117117117117117,0.2066115702479339,0.18089430894308944,0.1736930860033727,0.14262023217247094,0.13808801213960548,0.11063829787234042,0.09228971962616822,0.20428893905191872,0.2571022727272727
All Upper West Side,Manhattan,submarket,0.13257575757575754,0.08235294117647059,0.06746031746031746,0.030821917808219176,0.0449438202247191,0.039568345323741004,0.061538461538461535,0.06550218340611354,0.11855670103092784,0.0891089108910891,0.13440860215053765,0.09278350515463918,0.07291666666666667,0.0989010989010989,0.05319148936170213,0.05319148936170213,0.07111111111111111,0.08979591836734692,0.12359550561797752,0.17669172932330826,0.13909774436090225,0.1213235294117647,0.1991869918699187,0.10833333333333334,0.17391304347826084,0.13488372093023254,0.1188118811881188,0.145,0.13671875,0.17832167832167833,0.1925675675675676,0.2129032258064516,0.15579710144927536,0.22053231939163495,0.17692307692307693,0.11857707509881422,0.12359550561797752,0.12030075187969926,0.12595419847328246,0.14634146341463414,0.12345679012345677,0.16265060240963855,0.1497175141242938,0.1352112676056338,0.1861198738170347,0.23404255319148934,0.20065789473684206,0.18213058419243985,0.16346153846153846,0.13356164383561644,0.1563517915309446,0.07120743034055728,0.0904109589041096,0.1415525114155251,0.16521739130434782,0.17289719626168226,0.2578125,0.19704433497536947,0.1419753086419753,0.1245674740484429,0.13915857605177995,0.11515151515151514,0.07964601769911504,0.10795454545454546,0.12590799031477,0.17898832684824906,0.1912878787878788,0.1926070038910506,0.1762295081967213,0.24772727272727274,0.20047732696897372,0.1297709923664122,0.15306122448979592,0.1479591836734694,0.14841849148418493,0.13151927437641722,0.1203155818540434,0.17616580310880828,0.17540687160940324,0.23665480427046265,0.24196597353497165,0.2262626262626263,0.24070021881838075,0.16331658291457288,0.16539440203562342,0.17379679144385027,0.11428571428571427,0.17525773195876287,0.11713665943600868,0.19649805447470814,0.16356877323420074,0.301010101010101,0.3012820512820513,0.28982300884955753,0.27548209366391185,0.17218543046357615,0.18618618618618615,0.20253164556962025,0.17725752508361206,0.14713896457765668,0.15196078431372548,0.167420814479638,0.17647058823529413,0.24481327800829875,0.2900232018561485
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.07142857142857142,,,0.125,0.1176470588235294,0.0,0.16666666666666666,,,0.0,0.1176470588235294,0.10526315789473684,0.12903225806451613,0.15151515151515152,0.09090909090909093,0.08888888888888889,0.09836065573770493,0.018867924528301886,0.017857142857142856,0.06818181818181818,0.13043478260869565,0.08823529411764706,0.04938271604938271,0.06329113924050632,0.02127659574468085,0.11009174311926606,0.0583941605839416,0.06289308176100629,0.054545454545454536,0.0472972972972973,0.019230769230769232,0.05309734513274336,0.0979020979020979,0.08275862068965517,0.1111111111111111,0.06956521739130435,0.04651162790697674,0.08071748878923768,0.09205020920502092,0.07272727272727272,0.038348082595870206,0.07407407407407407,0.06882591093117409,0.08152173913043477,0.10273972602739724,0.1787709497206704,0.16393442622950818,0.16326530612244894,0.09027777777777778,0.2,0.2108108108108108,0.17733990147783252,0.1210762331838565,0.14027149321266968,0.11618257261410787,0.2066115702479339,0.1607843137254902,0.15859030837004404,0.2195121951219512,0.15246636771300448,0.17465753424657535,0.12874251497005987,0.16292134831460675,0.1869918699186992,0.1608910891089109,0.17248908296943233,0.1781115879828326,0.16370106761565836,0.24285714285714285,0.2641509433962264,0.1870229007633588,0.15736040609137056,0.24285714285714285,0.18,0.21348314606741567,0.19858156028368795,0.19653179190751446,0.20365535248041772,0.08446866485013624,0.1951219512195122,0.22372881355932206
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3076923076923077,,,,0.1875,0.07692307692307693,,0.0,,0.35294117647058826,0.2352941176470588,0.06666666666666668,0.2352941176470588,0.125,,,0.3333333333333333,,,0.0,0.08333333333333333,0.1875,0.05555555555555555,0.1176470588235294,,,,0.25
Battery Park City,Manhattan,neighborhood,0.10714285714285714,0.08333333333333333,0.047619047619047616,0.0,0.05555555555555555,0.1176470588235294,,,0.1176470588235294,,,0.0,,,,0.0,0.13636363636363635,0.12903225806451613,0.0967741935483871,0.14285714285714285,0.19444444444444445,0.07894736842105263,0.10526315789473684,0.2,,0.037037037037037035,0.13793103448275862,0.09090909090909093,0.1111111111111111,0.13333333333333333,0.07407407407407407,0.1951219512195122,0.13157894736842105,0.08108108108108109,0.09302325581395347,0.08823529411764706,0.03225806451612903,0.03448275862068965,0.0625,0.11428571428571427,0.13513513513513514,0.15,0.10256410256410256,0.045454545454545456,0.2222222222222222,0.15151515151515152,0.10344827586206896,0.1176470588235294,0.10344827586206896,0.06451612903225806,0.07692307692307693,0.047619047619047616,0.05263157894736842,0.10256410256410256,0.1388888888888889,0.125,0.1388888888888889,0.21621621621621626,0.125,0.038461538461538464,0.19230769230769232,0.1,0.13043478260869565,0.17391304347826084,0.1935483870967742,0.1851851851851852,0.08,0.1282051282051282,0.2727272727272727,0.18421052631578946,0.2,0.15151515151515152,0.15,0.17142857142857146,0.08108108108108109,0.25,0.0625,0.2058823529411765,0.2,0.125,0.1794871794871795,0.27586206896551724,0.2,,0.3076923076923077,0.2,0.08333333333333333,0.15384615384615385,0.13333333333333333,0.13793103448275862,0.125,0.21428571428571427,0.27586206896551724,0.1,0.14285714285714285,0.1111111111111111,0.0,,,0.1875,0.24,0.07142857142857142,0.06896551724137931,0.26666666666666666,0.16666666666666666
