date,sales,MoM,YoY
1995-01-01,,,
1995-02-01,,,
1995-03-01,,,
1995-04-01,,,
1995-05-01,,,
1995-06-01,,,
1995-07-01,,,
1995-08-01,,,
1995-09-01,,,
1995-10-01,,,
1995-11-01,,,
1995-12-01,,,
1996-01-01,,,
1996-02-01,,,
1996-03-01,,,
1996-04-01,,,
1996-05-01,,,
1996-06-01,,,
1996-07-01,,,
1996-08-01,,,
1996-09-01,,,
1996-10-01,,,
1996-11-01,,,
1996-12-01,,,
1997-01-01,,,
1997-02-01,,,
1997-03-01,,,
1997-04-01,,,
1997-05-01,,,
1997-06-01,,,
1997-07-01,,,
1997-08-01,,,
1997-09-01,,,
1997-10-01,,,
1997-11-01,,,
1997-12-01,,,
1998-01-01,,,
1998-02-01,,,
1998-03-01,,,
1998-04-01,,,
1998-05-01,,,
1998-06-01,,,
1998-07-01,,,
1998-08-01,,,
1998-09-01,,,
1998-10-01,,,
1998-11-01,,,
1998-12-01,,,
1999-01-01,,,
1999-02-01,,,
1999-03-01,,,
1999-04-01,,,
1999-05-01,,,
1999-06-01,,,
1999-07-01,,,
1999-08-01,,,
1999-09-01,,,
1999-10-01,,,
1999-11-01,,,
1999-12-01,,,
2000-01-01,,,
2000-02-01,,,
2000-03-01,,,
2000-04-01,,,
2000-05-01,,,
2000-06-01,,,
2000-07-01,,,
2000-08-01,,,
2000-09-01,,,
2000-10-01,,,
2000-11-01,,,
2000-12-01,,,
2001-01-01,,,
2001-02-01,,,
2001-03-01,,,
2001-04-01,,,
2001-05-01,,,
2001-06-01,,,
2001-07-01,,,
2001-08-01,,,
2001-09-01,,,
2001-10-01,,,
2001-11-01,,,
2001-12-01,,,
2002-01-01,,,
2002-02-01,,,
2002-03-01,,,
2002-04-01,,,
2002-05-01,,,
2002-06-01,,,
2002-07-01,,,
2002-08-01,,,
2002-09-01,,,
2002-10-01,,,
2002-11-01,,,
2002-12-01,,,
2003-01-01,,,
2003-02-01,,,
2003-03-01,,,
2003-04-01,,,
2003-05-01,,,
2003-06-01,,,
2003-07-01,,,
2003-08-01,,,
2003-09-01,,,
2003-10-01,,,
2003-11-01,,,
2003-12-01,,,
2004-01-01,,,
2004-02-01,,,
2004-03-01,,,
2004-04-01,,,
2004-05-01,,,
2004-06-01,,,
2004-07-01,,,
2004-08-01,,,
2004-09-01,,,
2004-10-01,,,
2004-11-01,,,
2004-12-01,,,
2005-01-01,400130.0,,
2005-02-01,394934.0,-0.01298577962162295,
2005-03-01,398084.0,0.007976016245752504,
2005-04-01,405325.0,0.018189628319651208,
2005-05-01,413994.0,0.02138777524208968,
2005-06-01,414609.0,0.0014855287757793434,
2005-07-01,417991.0,0.00815708293838302,
2005-08-01,431680.0,0.032749508960719265,
2005-09-01,434476.0,0.006477020014825863,
2005-10-01,444065.0,0.02207026395013756,
2005-11-01,450591.0,0.01469604674991265,
2005-12-01,460071.0,0.021039035400174377,
2006-01-01,469492.0,0.020477274159858005,0.17334866168495244
2006-02-01,473724.0,0.009013998108593935,0.19950168888978914
2006-03-01,464093.0,-0.020330403357229132,0.16581676229137576
2006-04-01,461240.0,-0.006147474751827753,0.13795102695367922
2006-05-01,461142.0,-0.00021247073107277803,0.11388570848852875
2006-06-01,468899.0,0.01682128281527162,0.13094264716877824
2006-07-01,479558.0,0.02273197426311424,0.14729264505695094
2006-08-01,488681.0,0.019023767719441587,0.1320445700518902
2006-09-01,490364.0,0.003443964467617855,0.1286331120706321
2006-10-01,498629.0,0.01685482621073331,0.12287390359519446
2006-11-01,493466.0,-0.01035439174215702,0.09515281042009271
2006-12-01,495559.0,0.00424142696761276,0.077135920325341
2007-01-01,496038.0,0.0009665852098337258,0.05654196450631743
2007-02-01,496616.0,0.0011652333087384115,0.04832349638185951
2007-03-01,498230.0,0.003249995972743447,0.07355637770877821
2007-04-01,493797.0,-0.008897497139875199,0.07058581215852922
2007-05-01,484130.0,-0.019576870657375345,0.0498501546161485
2007-06-01,478514.0,-0.011600190031603064,0.020505481990791274
2007-07-01,477360.0,-0.002411632679503617,-0.004583387202382161
2007-08-01,469827.0,-0.015780542986425394,-0.038581405865994345
2007-09-01,476945.0,0.015150257435183612,-0.027365385713470025
2007-10-01,478099.0,0.002419566197360279,-0.04117289608105423
2007-11-01,477856.0,-0.0005082629329908883,-0.03163338507617541
2007-12-01,475669.0,-0.004576692560101736,-0.04013649232482919
2008-01-01,470793.0,-0.010250825679201325,-0.050893278337546755
2008-02-01,463485.0,-0.015522745665292437,-0.06671351708362194
2008-03-01,463301.0,-0.00039699235142454103,-0.07010617586255341
2008-04-01,464462.0,0.0025059302699541597,-0.05940700328272552
2008-05-01,468095.0,0.00782195314148404,-0.033121269080618854
2008-06-01,474011.0,0.01263846014163783,-0.009410382977300569
2008-07-01,466746.0,-0.015326648537692167,-0.022234791352438443
