date,sales,MoM,YoY
1995-01-01,,,
1995-02-01,,,
1995-03-01,,,
1995-04-01,,,
1995-05-01,,,
1995-06-01,,,
1995-07-01,,,
1995-08-01,,,
1995-09-01,,,
1995-10-01,,,
1995-11-01,,,
1995-12-01,,,
1996-01-01,,,
1996-02-01,,,
1996-03-01,,,
1996-04-01,,,
1996-05-01,,,
1996-06-01,,,
1996-07-01,,,
1996-08-01,,,
1996-09-01,,,
1996-10-01,,,
1996-11-01,,,
1996-12-01,,,
1997-01-01,,,
1997-02-01,,,
1997-03-01,,,
1997-04-01,,,
1997-05-01,,,
1997-06-01,,,
1997-07-01,,,
1997-08-01,,,
1997-09-01,,,
1997-10-01,,,
1997-11-01,,,
1997-12-01,,,
1998-01-01,,,
1998-02-01,,,
1998-03-01,,,
1998-04-01,,,
1998-05-01,,,
1998-06-01,,,
1998-07-01,,,
1998-08-01,,,
1998-09-01,,,
1998-10-01,,,
1998-11-01,,,
1998-12-01,,,
1999-01-01,,,
1999-02-01,,,
1999-03-01,,,
1999-04-01,,,
1999-05-01,,,
1999-06-01,,,
1999-07-01,,,
1999-08-01,,,
1999-09-01,,,
1999-10-01,,,
1999-11-01,,,
1999-12-01,,,
2000-01-01,,,
2000-02-01,,,
2000-03-01,,,
2000-04-01,,,
2000-05-01,,,
2000-06-01,,,
2000-07-01,,,
2000-08-01,,,
2000-09-01,,,
2000-10-01,,,
2000-11-01,,,
2000-12-01,,,
2001-01-01,,,
2001-02-01,,,
2001-03-01,,,
2001-04-01,,,
2001-05-01,,,
2001-06-01,,,
2001-07-01,,,
2001-08-01,,,
2001-09-01,,,
2001-10-01,,,
2001-11-01,,,
2001-12-01,,,
2002-01-01,,,
2002-02-01,,,
2002-03-01,,,
2002-04-01,,,
2002-05-01,,,
2002-06-01,,,
2002-07-01,,,
2002-08-01,,,
2002-09-01,,,
2002-10-01,,,
2002-11-01,,,
2002-12-01,,,
2003-01-01,,,
2003-02-01,,,
2003-03-01,,,
2003-04-01,,,
2003-05-01,,,
2003-06-01,,,
2003-07-01,,,
2003-08-01,,,
2003-09-01,,,
2003-10-01,,,
2003-11-01,,,
2003-12-01,,,
2004-01-01,,,
2004-02-01,,,
2004-03-01,,,
2004-04-01,,,
2004-05-01,,,
2004-06-01,,,
2004-07-01,,,
2004-08-01,,,
2004-09-01,,,
2004-10-01,,,
2004-11-01,,,
2004-12-01,,,
2005-01-01,731338.0,,
2005-02-01,682011.0,-0.0674476097235478,
2005-03-01,695808.0,0.02022987899022155,
2005-04-01,691254.0,-0.006544908940397387,
2005-05-01,649148.0,-0.06091248658235615,
2005-06-01,659829.0,0.016453874925286716,
2005-07-01,689275.0,0.04462671389102324,
2005-08-01,714468.0,0.03654999818650029,
2005-09-01,741845.0,0.03831802124097927,
2005-10-01,730080.0,-0.015859108034697256,
2005-11-01,746692.0,0.022753670830593986,
2005-12-01,764766.0,0.024205428744381807,
2006-01-01,766768.0,0.002617794201102086,0.04844545203449013
2006-02-01,726402.0,-0.052644346138597364,0.06508839300245883
2006-03-01,739072.0,0.017442132593247228,0.062178072111847005
2006-04-01,762646.0,0.03189675701420169,0.1032789683676334
2006-05-01,819293.0,0.0742769253362634,0.26210509775890856
2006-06-01,850548.0,0.03814874532066059,0.2890430702500193
2006-07-01,836356.0,-0.016685713210777053,0.2133850785245366
2006-08-01,838335.0,0.002366217256766223,0.17336955608928606
2006-09-01,857140.0,0.022431366935652175,0.1554165627590669
2006-10-01,875627.0,0.02156823856079515,0.1993576046460661
2006-11-01,880445.0,0.005502342892578671,0.17912740460591525
2006-12-01,846179.0,-0.03891895575532822,0.10645478486229765
2007-01-01,853769.0,0.008969733354290188,0.1134645681614257
2007-02-01,813383.0,-0.047303193252507425,0.1197422363925209
2007-03-01,828248.0,0.018275523338943556,0.1206594215448562
2007-04-01,840988.0,0.015381866300914648,0.10272393744935404
2007-05-01,800649.0,-0.04796620165804977,-0.022756205655363848
2007-06-01,787619.0,-0.016274297476172483,-0.07398641816805163
2007-07-01,802302.0,0.01864226231210786,-0.04071711089536034
2007-08-01,804359.0,0.0025638724570049565,-0.040527951236677406
2007-09-01,827980.0,0.029366240696007573,-0.03402011340037803
2007-10-01,806976.0,-0.025367762506340763,-0.07840210500589861
2007-11-01,809003.0,0.002511846696803932,-0.08114305833981683
2007-12-01,806512.0,-0.0030790985941955284,-0.046877788269385046
2008-01-01,820696.0,0.01758684309718883,-0.03873764449165995
2008-02-01,802662.0,-0.021974031797401206,-0.013180752486835812
2008-03-01,816930.0,0.017775850856275754,-0.013664989230278812
2008-04-01,844144.0,0.033312523716842346,0.0037527289331120706
2008-05-01,855581.0,0.013548636251634827,0.06860934067237956
2008-06-01,853339.0,-0.002620441547907193,0.08344135933744612
2008-07-01,858466.0,0.006008163227041008,0.0700035647424535
2008-08-01,850575.0,-0.009191977317680622,0.05745693154424836
