date,Queens_All,Queens_Q1,Queens_Q2,Queens_Q3,Queens_Q4,Queens_Q5,Queens_All_MoM,Queens_Q1_MoM,Queens_Q2_MoM,Queens_Q3_MoM,Queens_Q4_MoM,Queens_Q5_MoM,Queens_All_YoY,Queens_Q1_YoY,Queens_Q2_YoY,Queens_Q3_YoY,Queens_Q4_YoY,Queens_Q5_YoY
1995-01-01,,,,,,,,,,,,,,,,,,
1995-02-01,,,,,,,,,,,,,,,,,,
1995-03-01,,,,,,,,,,,,,,,,,,
1995-04-01,,,,,,,,,,,,,,,,,,
1995-05-01,,,,,,,,,,,,,,,,,,
1995-06-01,,,,,,,,,,,,,,,,,,
1995-07-01,,,,,,,,,,,,,,,,,,
1995-08-01,,,,,,,,,,,,,,,,,,
1995-09-01,,,,,,,,,,,,,,,,,,
1995-10-01,,,,,,,,,,,,,,,,,,
1995-11-01,,,,,,,,,,,,,,,,,,
1995-12-01,,,,,,,,,,,,,,,,,,
1996-01-01,,,,,,,,,,,,,,,,,,
1996-02-01,,,,,,,,,,,,,,,,,,
1996-03-01,,,,,,,,,,,,,,,,,,
1996-04-01,,,,,,,,,,,,,,,,,,
1996-05-01,,,,,,,,,,,,,,,,,,
1996-06-01,,,,,,,,,,,,,,,,,,
1996-07-01,,,,,,,,,,,,,,,,,,
1996-08-01,,,,,,,,,,,,,,,,,,
1996-09-01,,,,,,,,,,,,,,,,,,
1996-10-01,,,,,,,,,,,,,,,,,,
1996-11-01,,,,,,,,,,,,,,,,,,
1996-12-01,,,,,,,,,,,,,,,,,,
1997-01-01,,,,,,,,,,,,,,,,,,
1997-02-01,,,,,,,,,,,,,,,,,,
1997-03-01,,,,,,,,,,,,,,,,,,
1997-04-01,,,,,,,,,,,,,,,,,,
1997-05-01,,,,,,,,,,,,,,,,,,
1997-06-01,,,,,,,,,,,,,,,,,,
1997-07-01,,,,,,,,,,,,,,,,,,
1997-08-01,,,,,,,,,,,,,,,,,,
1997-09-01,,,,,,,,,,,,,,,,,,
1997-10-01,,,,,,,,,,,,,,,,,,
1997-11-01,,,,,,,,,,,,,,,,,,
1997-12-01,,,,,,,,,,,,,,,,,,
1998-01-01,,,,,,,,,,,,,,,,,,
1998-02-01,,,,,,,,,,,,,,,,,,
1998-03-01,,,,,,,,,,,,,,,,,,
1998-04-01,,,,,,,,,,,,,,,,,,
1998-05-01,,,,,,,,,,,,,,,,,,
1998-06-01,,,,,,,,,,,,,,,,,,
1998-07-01,,,,,,,,,,,,,,,,,,
1998-08-01,,,,,,,,,,,,,,,,,,
1998-09-01,,,,,,,,,,,,,,,,,,
1998-10-01,,,,,,,,,,,,,,,,,,
1998-11-01,,,,,,,,,,,,,,,,,,
1998-12-01,,,,,,,,,,,,,,,,,,
1999-01-01,,,,,,,,,,,,,,,,,,
1999-02-01,,,,,,,,,,,,,,,,,,
1999-03-01,,,,,,,,,,,,,,,,,,
1999-04-01,,,,,,,,,,,,,,,,,,
1999-05-01,,,,,,,,,,,,,,,,,,
1999-06-01,,,,,,,,,,,,,,,,,,
1999-07-01,,,,,,,,,,,,,,,,,,
1999-08-01,,,,,,,,,,,,,,,,,,
1999-09-01,,,,,,,,,,,,,,,,,,
1999-10-01,,,,,,,,,,,,,,,,,,
1999-11-01,,,,,,,,,,,,,,,,,,
1999-12-01,,,,,,,,,,,,,,,,,,
2000-01-01,,,,,,,,,,,,,,,,,,
2000-02-01,,,,,,,,,,,,,,,,,,
2000-03-01,,,,,,,,,,,,,,,,,,
2000-04-01,,,,,,,,,,,,,,,,,,
2000-05-01,,,,,,,,,,,,,,,,,,
2000-06-01,,,,,,,,,,,,,,,,,,
2000-07-01,,,,,,,,,,,,,,,,,,
2000-08-01,,,,,,,,,,,,,,,,,,
2000-09-01,,,,,,,,,,,,,,,,,,
2000-10-01,,,,,,,,,,,,,,,,,,
2000-11-01,,,,,,,,,,,,,,,,,,
2000-12-01,,,,,,,,,,,,,,,,,,
2001-01-01,,,,,,,,,,,,,,,,,,
2001-02-01,,,,,,,,,,,,,,,,,,
2001-03-01,,,,,,,,,,,,,,,,,,
2001-04-01,,,,,,,,,,,,,,,,,,
2001-05-01,,,,,,,,,,,,,,,,,,
2001-06-01,,,,,,,,,,,,,,,,,,
2001-07-01,,,,,,,,,,,,,,,,,,
2001-08-01,,,,,,,,,,,,,,,,,,
2001-09-01,,,,,,,,,,,,,,,,,,
2001-10-01,,,,,,,,,,,,,,,,,,
2001-11-01,,,,,,,,,,,,,,,,,,
2001-12-01,,,,,,,,,,,,,,,,,,
2002-01-01,,,,,,,,,,,,,,,,,,
2002-02-01,,,,,,,,,,,,,,,,,,
2002-03-01,,,,,,,,,,,,,,,,,,
2002-04-01,,,,,,,,,,,,,,,,,,
2002-05-01,,,,,,,,,,,,,,,,,,
2002-06-01,,,,,,,,,,,,,,,,,,
