date,NYC_All,NYC_All_MoM,NYC_All_YoY
1995-01-01,,,
1995-02-01,,,
1995-03-01,,,
1995-04-01,,,
1995-05-01,,,
1995-06-01,,,
1995-07-01,,,
1995-08-01,,,
1995-09-01,,,
1995-10-01,,,
1995-11-01,,,
1995-12-01,,,
1996-01-01,,,
1996-02-01,,,
1996-03-01,,,
1996-04-01,,,
1996-05-01,,,
1996-06-01,,,
1996-07-01,,,
1996-08-01,,,
1996-09-01,,,
1996-10-01,,,
1996-11-01,,,
1996-12-01,,,
1997-01-01,,,
1997-02-01,,,
1997-03-01,,,
1997-04-01,,,
1997-05-01,,,
1997-06-01,,,
1997-07-01,,,
1997-08-01,,,
1997-09-01,,,
1997-10-01,,,
1997-11-01,,,
1997-12-01,,,
1998-01-01,,,
1998-02-01,,,
1998-03-01,,,
1998-04-01,,,
1998-05-01,,,
1998-06-01,,,
1998-07-01,,,
1998-08-01,,,
1998-09-01,,,
1998-10-01,,,
1998-11-01,,,
1998-12-01,,,
1999-01-01,,,
1999-02-01,,,
1999-03-01,,,
1999-04-01,,,
1999-05-01,,,
1999-06-01,,,
1999-07-01,,,
1999-08-01,,,
1999-09-01,,,
1999-10-01,,,
1999-11-01,,,
1999-12-01,,,
2000-01-01,,,
2000-02-01,,,
2000-03-01,,,
2000-04-01,,,
2000-05-01,,,
2000-06-01,,,
2000-07-01,,,
2000-08-01,,,
2000-09-01,,,
2000-10-01,,,
2000-11-01,,,
2000-12-01,,,
2001-01-01,,,
2001-02-01,,,
2001-03-01,,,
2001-04-01,,,
2001-05-01,,,
2001-06-01,,,
2001-07-01,,,
2001-08-01,,,
2001-09-01,,,
2001-10-01,,,
2001-11-01,,,
2001-12-01,,,
2002-01-01,,,
2002-02-01,,,
2002-03-01,,,
2002-04-01,,,
2002-05-01,,,
2002-06-01,,,
2002-07-01,,,
2002-08-01,,,
2002-09-01,,,
2002-10-01,,,
2002-11-01,,,
2002-12-01,,,
2003-01-01,,,
2003-02-01,,,
2003-03-01,,,
2003-04-01,,,
2003-05-01,,,
2003-06-01,,,
2003-07-01,,,
2003-08-01,,,
2003-09-01,,,
2003-10-01,,,
2003-11-01,,,
2003-12-01,,,
2004-01-01,,,
2004-02-01,,,
2004-03-01,,,
2004-04-01,,,
2004-05-01,,,
2004-06-01,,,
2004-07-01,,,
2004-08-01,,,
2004-09-01,,,
2004-10-01,,,
2004-11-01,,,
2004-12-01,,,
2005-01-01,,,
2005-02-01,,,
2005-03-01,,,
2005-04-01,,,
2005-05-01,,,
2005-06-01,,,
2005-07-01,,,
2005-08-01,,,
2005-09-01,,,
2005-10-01,,,
2005-11-01,,,
2005-12-01,,,
2006-01-01,,,
2006-02-01,,,
2006-03-01,,,
2006-04-01,,,
2006-05-01,,,
2006-06-01,,,
2006-07-01,,,
2006-08-01,,,
2006-09-01,,,
2006-10-01,,,
2006-11-01,,,
2006-12-01,,,
2007-01-01,2221.0,,
2007-02-01,2140.0,-0.03647005853219265,
2007-03-01,2156.0,0.007476635514018781,
2007-04-01,2190.0,0.01576994434137302,
2007-05-01,2221.0,0.014155251141552583,
2007-06-01,2240.0,0.00855470508779832,
2007-07-01,2286.0,0.020535714285714324,
2007-08-01,2322.0,0.015748031496062964,
2007-09-01,2332.0,0.004306632213608941,
2007-10-01,2331.0,-0.00042881646655235084,
2007-11-01,2352.0,0.009009009009008917,
2007-12-01,2354.0,0.0008503401360544505,
2008-01-01,2347.0,-0.0029736618521665203,0.05673120216118854
2008-02-01,2338.0,-0.0038346825734980605,0.09252336448598131
2008-03-01,2346.0,0.0034217279726260763,0.08812615955473091
2008-04-01,2344.0,-0.0008525149190110604,0.07031963470319624
2008-05-01,2345.0,0.0004266211604095904,0.055830706888788884
2008-06-01,2346.0,0.0004264392324093702,0.047321428571428514
2008-07-01,2345.0,-0.0004262574595055302,0.02580927384076981
2008-08-01,2344.0,-0.0004264392324093702,0.009474590869939625
2008-09-01,2327.0,-0.007252559726962482,-0.002144082332761532
2008-10-01,2291.0,-0.015470562956596434,-0.017160017160017138
2008-11-01,2254.0,-0.016150152771715387,-0.04166666666666663
2008-12-01,2214.0,-0.017746228926353136,-0.05947323704333052
2009-01-01,2178.0,-0.016260162601625994,-0.07200681721346402
2009-02-01,2149.0,-0.013314967860422411,-0.08083832335329344
2009-03-01,2128.0,-0.009771986970684043,-0.09292412617220802
2009-04-01,2108.0,-0.009398496240601517,-0.10068259385665534
2009-05-01,2097.0,-0.005218216318785607,-0.1057569296375267
2009-06-01,2097.0,0.0,-0.10613810741687979
2009-07-01,2108.0,0.005245588936576118,-0.1010660980810234
2009-08-01,2107.0,-0.0004743833017077925,-0.10110921501706482
2009-09-01,2111.0,0.0018984337921215122,-0.09282337773957883
2009-10-01,2106.0,-0.002368545712932213,-0.08075076385857705
2009-11-01,2092.0,-0.006647673314340019,-0.07187222715173025
