ad_id,ad_name,adset_name,date,account_id,impressions,inline_link_clicks,spend,reach,frequency
6215293456071,v1,Adset A,2024-06-01,1700252260223815,5000,25,100.00,4000,1.25
6215304566671,v1,Adset B,2024-06-02,1700252260223815,3200,18,75.50,2800,1.14
6215304566672,v1,Adset C,2024-06-03,1700252260223815,4500,30,120.00,3900,1.15
6215304566673,v1,Adset D,2024-06-04,1700252260223815,2800,12,60.00,2300,1.22
6215762744671,v1,Adset E,2024-06-05,1700252260223815,6100,40,180.00,5200,1.17
6229007992271,v1,Adset F,2024-06-06,1700252260223815,4200,22,90.00,3700,1.14
6229007992272,v1,Adset G,2024-06-07,1700252260223815,3800,15,70.00,3100,1.23
6229007992273,v1,Adset H,2024-06-08,1700252260223815,5500,35,150.00,4800,1.15
6229007992274,v1,Adset I,2024-06-09,1700252260223815,4900,28,130.00,4300,1.14
6229007992275,v1,Adset J,2024-06-10,1700252260223815,3500,20,80.00,3000,1.17
