disp_id,client_id,account_id,type
D00000001,1.0,A00000001,Owner
D00000002,2.0,A00000002,Owner
D00000003,3.0,A00000002,User
D00000004,4.0,A00000003,Owner
D00000005,5.0,A00000003,User
D00000006,6.0,A00000004,Owner
D00000007,7.0,A00000005,Owner
D00000008,8.0,A00000006,Owner
D00000009,9.0,A00000007,Owner
D00000010,10.0,A00000008,Owner
D00000011,11.0,A00000008,User
D00000012,12.0,A00000009,Owner
D00000013,13.0,A00000010,Owner
D00000014,14.0,A00000011,Owner
D00000015,15.0,A00000012,Owner
D00000016,16.0,A00000012,User
D00000017,17.0,A00000013,Owner
D00000018,18.0,A00000013,User
D00000019,19.0,A00000014,Owner
D00000020,20.0,A00000015,Owner
D00000021,21.0,A00000016,Owner
D00000022,22.0,A00000017,Owner
D00000023,23.0,A00000017,User
D00000024,24.0,A00000018,Owner
D00000025,25.0,A00000019,Owner
D00000026,26.0,A00000020,Owner
D00000027,27.0,A00000021,Owner
D00000028,28.0,A00000022,Owner
D00000029,29.0,A00000023,Owner
D00000030,30.0,A00000024,Owner
D00000031,31.0,A00000025,Owner
D00000032,32.0,A00000026,Owner
D00000033,33.0,A00000027,Owner
D00000036,36.0,A00000029,Owner
D00000037,37.0,A00000029,User
D00000038,38.0,A00000030,Owner
D00000039,39.0,A00000031,Owner
D00000040,40.0,A00000032,Owner
D00000041,41.0,A00000033,Owner
D00000042,42.0,A00000034,Owner
D00000043,43.0,A00000035,Owner
D00000044,44.0,A00000036,Owner
D00000045,45.0,A00000037,Owner
D00000046,46.0,A00000038,Owner
D00000047,47.0,A00000039,Owner
D00000048,48.0,A00000040,Owner
D00000049,49.0,A00000041,Owner
D00000050,50.0,A00000042,Owner
D00000051,51.0,A00000043,Owner
D00000052,52.0,A00000044,Owner
D00000053,53.0,A00000045,Owner
D00000055,55.0,A00000047,Owner
D00000056,56.0,A00000048,Owner
D00000057,57.0,A00000048,User
D00000058,58.0,A00000049,Owner
D00000059,59.0,A00000050,Owner
D00000060,60.0,A00000051,Owner
D00000061,61.0,A00000052,Owner
D00000062,62.0,A00000053,Owner
D00000063,63.0,A00000054,Owner
D00000064,64.0,A00000055,Owner
