date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed,complaint_id,client_id
2014-07-03,Bank account or service,Checking account,Deposits and withdrawals,,,,,Email,2014-07-09,Closed with explanation,Yes,No,CR0922485,1925.0
2012-04-12,Bank account or service,Savings account,"Account opening, closing, or management",,,,,Email,2012-04-13,Closed with relief,Yes,No,CR0057298,3141.0
2012-04-03,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Email,2012-04-03,Closed without relief,Yes,No,CR0043811,297.0
2012-03-14,Credit card,,Billing disputes,,,,,Email,2012-03-14,Closed with relief,Yes,No,CR0035411,4275.0
2012-03-05,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Email,2012-03-06,Closed with relief,Yes,No,CR0030939,900.0
2012-03-05,Bank account or service,Checking account,Problems caused by my funds being low,,,,,Email,2012-03-05,Closed with relief,Yes,No,CR0030070,11596.0
2012-02-23,Credit card,,Other fee,,,,,Email,2012-02-24,Closed without relief,Yes,No,CR0013328,2716.0
2017-02-16,Credit card,,Identity theft / Fraud / Embezzlement,,,,,Fax,2017-02-22,Closed with explanation,Yes,,CR2347888,11252.0
2017-02-03,Bank account or service,(CD) Certificate of deposit,Deposits and withdrawals,,,,,Fax,2017-02-07,Closed with explanation,Yes,,CR2327253,7366.0
2017-01-31,Credit card,,Other,,,,,Fax,2017-02-03,Closed with explanation,Yes,,CR2319065,4459.0
2017-01-30,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,,,,Fax,2017-02-02,Closed with explanation,Yes,,CR2318000,2463.0
2017-01-09,Credit card,,Other,,,,,Fax,2017-01-10,Closed with explanation,Yes,Yes,CR2281296,1075.0
2016-12-19,Credit card,,Credit line increase/decrease,,,,,Fax,2016-12-19,Closed with explanation,Yes,Yes,CR2254957,3048.0
2016-12-08,Credit card,,Billing disputes,,,,,Fax,2016-12-09,Closed with explanation,Yes,No,CR2241469,3061.0
2016-12-08,Credit card,,Billing disputes,,,,,Fax,2016-12-09,Closed with explanation,Yes,Yes,CR2241293,2563.0
2016-12-07,Bank account or service,Checking account,"Making/receiving payments, sending money",,,,,Fax,2016-12-08,Closed with monetary relief,Yes,No,CR2239563,2298.0
2016-12-01,Credit card,,Late fee,,,,,Fax,2016-12-02,Closed with monetary relief,Yes,No,CR2230679,2771.0
2016-11-28,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Fax,2016-11-29,Closed with explanation,Yes,No,CR2225814,1537.0
2016-11-17,Bank account or service,Checking account,Deposits and withdrawals,,,,,Fax,2016-11-18,Closed with monetary relief,Yes,No,CR2214250,10077.0
2016-11-16,Bank account or service,Checking account,Deposits and withdrawals,,,,,Fax,2016-11-16,Closed with explanation,Yes,No,CR2208613,1768.0
2016-11-08,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,,,Fax,2016-11-09,Closed with explanation,Yes,No,CR2200226,1671.0
2016-11-04,Credit card,,Sale of account,,,,,Fax,2016-11-07,Closed with explanation,Yes,No,CR2195804,2994.0
2016-11-02,Credit card,,Identity theft / Fraud / Embezzlement,,,,,Fax,2016-11-15,Closed with monetary relief,Yes,No,CR2192368,3098.0
2011-12-07,Credit card,,Collection debt dispute,,,,,Email,2012-02-29,Closed without relief,Yes,No,CR0003732,146.0
2017-03-27,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,,Fax,2017-03-27,Closed with explanation,Yes,,CR2405000,778.0
2017-03-21,Credit card,,Other,,,,,Fax,2017-03-21,Closed with non-monetary relief,Yes,,CR2398334,706.0
2017-03-20,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Fax,2017-03-21,In progress,Yes,,CR2395319,2065.0
2017-03-07,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,,Fax,2017-03-09,Closed with explanation,Yes,,CR2375209,298.0
2017-03-03,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Fax,2017-03-08,Closed with monetary relief,Yes,,CR2371479,2926.0
2017-03-02,Credit card,,Identity theft / Fraud / Embezzlement,,,,,Fax,2017-03-06,Closed with explanation,Yes,,CR2368953,3552.0
2017-02-21,Bank account or service,Savings account,Deposits and withdrawals,,,,,Fax,2017-02-24,Closed with monetary relief,Yes,,CR2353277,438.0
2016-11-02,Credit card,,Identity theft / Fraud / Embezzlement,,,,,Fax,2016-11-14,Closed with monetary relief,Yes,No,CR2190357,3203.0
2016-10-28,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,Older American,,Fax,2016-10-31,Closed with non-monetary relief,Yes,No,CR2184843,10041.0
2016-10-06,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Fax,2016-10-12,Closed with explanation,Yes,No,CR2150336,1791.0
2016-10-05,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,Older American,,Fax,2016-10-14,Closed with explanation,Yes,No,CR2147799,5050.0
2016-10-04,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Fax,2016-10-06,Closed with explanation,Yes,Yes,CR2146555,3330.0
2016-09-30,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,,Fax,2016-10-14,Closed with monetary relief,Yes,No,CR2140531,3003.0
2016-09-26,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,,Fax,2016-09-28,Closed with monetary relief,Yes,No,CR2132541,489.0
2016-09-23,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Fax,2016-09-27,Closed with explanation,Yes,Yes,CR2128698,1520.0
2016-09-22,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Fax,2016-09-26,Closed with explanation,Yes,No,CR2125933,3001.0
2016-09-12,Credit card,,Balance transfer fee,,,,,Fax,2016-09-14,Closed with non-monetary relief,Yes,No,CR2106749,11329.0
2016-08-31,Credit card,,Billing disputes,,,,,Fax,2016-09-06,Closed with explanation,Yes,No,CR2089516,3317.0
2016-08-26,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,,Fax,2016-08-30,Closed with explanation,Yes,No,CR2083797,1600.0
2016-08-25,Bank account or service,Savings account,Deposits and withdrawals,,,,,Fax,2016-08-30,Closed with explanation,Yes,Yes,CR2081319,572.0
2016-08-22,Credit card,,Billing disputes,,,,,Fax,2016-08-24,Closed with explanation,Yes,No,CR2075840,119.0
2016-08-09,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,,Fax,2016-08-29,Closed with monetary relief,Yes,Yes,CR2053856,3819.0
